open,close,high,low,value,volume,begin,end
466.2,466.2,466.2,466.2,285713933.4000004,612857,2023-10-13 15:00:00,2023-10-13 15:59:59
466.2,466.2,466.2,466.2,48164520.599999994,103313,2023-10-13 16:00:00,2023-10-13 16:59:59
466.2,466.2,466.2,466.2,41358933.00000001,88715,2023-10-13 17:00:00,2023-10-13 17:59:59
466.2,466.2,466.2,466.2,23349627.000000004,50085,2023-10-13 18:00:00,2023-10-13 18:59:59
512.8,512.8,512.8,512.8,11925164.000000007,23255,2023-10-16 09:00:00,2023-10-16 09:59:59
540.0,504.3,651.7,502.0,3217764116.400001,5709790,2023-10-16 10:00:00,2023-10-16 10:59:59
504.3,523.0,545.0,503.75,1510754095.0000002,2877824,2023-10-16 11:00:00,2023-10-16 11:59:59
523.0,537.05,541.65,522.0,560283066.9499999,1051398,2023-10-16 12:00:00,2023-10-16 12:59:59
537.0,583.0,593.0,537.0,1844278328.95,3252451,2023-10-16 13:00:00,2023-10-16 13:59:59
583.05,589.75,595.0,575.0,1383435076.4,2356338,2023-10-16 14:00:00,2023-10-16 14:59:59
589.75,564.9,590.0,562.0,906378772.7500005,1573656,2023-10-16 15:00:00,2023-10-16 15:59:59
564.95,566.85,575.0,552.0,748182705.1500001,1328596,2023-10-16 16:00:00,2023-10-16 16:59:59
567.0,568.55,579.0,563.2,483604341.1999999,845709,2023-10-16 17:00:00,2023-10-16 17:59:59
568.45,560.0,569.0,556.0,264943648.60000002,469361,2023-10-16 18:00:00,2023-10-16 18:59:59
569.65,569.65,569.65,569.65,15167500.900000034,26626,2023-10-17 09:00:00,2023-10-17 09:59:59
569.05,565.35,590.0,562.45,1214088755.4000006,2114590,2023-10-17 10:00:00,2023-10-17 10:59:59
565.7,536.9,566.85,536.2,663749040.2,1204394,2023-10-17 11:00:00,2023-10-17 11:59:59
536.9,536.6,545.55,524.0,483226577.29999995,905964,2023-10-17 12:00:00,2023-10-17 12:59:59
536.6,536.5,553.4,534.0,311977833.5999999,574440,2023-10-17 13:00:00,2023-10-17 13:59:59
536.6,534.95,540.0,526.55,149382762.9,280385,2023-10-17 14:00:00,2023-10-17 14:59:59
534.95,531.1,536.0,529.15,82966720.75,155936,2023-10-17 15:00:00,2023-10-17 15:59:59
531.0,534.25,540.0,530.6,111482465.15000002,207872,2023-10-17 16:00:00,2023-10-17 16:59:59
534.25,528.55,534.95,527.9,79154447.50000001,149121,2023-10-17 17:00:00,2023-10-17 17:59:59
528.85,531.6,532.0,528.4,63847586.849999994,120356,2023-10-17 18:00:00,2023-10-17 18:59:59
531.6,531.6,531.6,531.6,3215648.4000000074,6049,2023-10-18 09:00:00,2023-10-18 09:59:59
532.0,511.0,536.3,505.05,621086608.4999999,1208979,2023-10-18 10:00:00,2023-10-18 10:59:59
511.0,511.2,513.45,502.35,291574809.4999999,575215,2023-10-18 11:00:00,2023-10-18 11:59:59
511.3,521.5,525.0,507.5,246418981.2,477241,2023-10-18 12:00:00,2023-10-18 12:59:59
521.85,513.3,528.9,512.55,183279403.79999992,352623,2023-10-18 13:00:00,2023-10-18 13:59:59
513.3,514.2,516.65,509.5,99933439.74999999,194919,2023-10-18 14:00:00,2023-10-18 14:59:59
513.9,513.0,518.0,512.5,62947034.849999994,122233,2023-10-18 15:00:00,2023-10-18 15:59:59
512.95,512.3,514.95,510.5,74923688.79999997,146237,2023-10-18 16:00:00,2023-10-18 16:59:59
512.3,508.15,512.3,506.3,58595218.599999994,115041,2023-10-18 17:00:00,2023-10-18 17:59:59
508.2,506.0,509.9,505.0,68756326.35,135749,2023-10-18 18:00:00,2023-10-18 18:59:59
506.0,506.0,506.0,506.0,1854996.0,3666,2023-10-19 09:00:00,2023-10-19 09:59:59
506.5,507.85,514.5,495.15,349247295.95,690407,2023-10-19 10:00:00,2023-10-19 10:59:59
507.85,502.45,507.85,501.0,57782520.45000001,114670,2023-10-19 11:00:00,2023-10-19 11:59:59
502.2,501.2,503.85,500.3,47673373.04999999,94990,2023-10-19 12:00:00,2023-10-19 12:59:59
501.3,501.65,502.9,497.2,107214453.75000001,214365,2023-10-19 13:00:00,2023-10-19 13:59:59
501.2,499.85,501.8,498.1,48298977.34999998,96562,2023-10-19 14:00:00,2023-10-19 14:59:59
499.35,497.9,500.0,496.6,51727519.750000015,103897,2023-10-19 15:00:00,2023-10-19 15:59:59
497.85,501.15,502.9,497.3,64518384.25,129102,2023-10-19 16:00:00,2023-10-19 16:59:59
501.2,499.15,502.3,499.0,39542298.25,78957,2023-10-19 17:00:00,2023-10-19 17:59:59
499.1,502.7,503.5,498.7,58480419.44999999,116606,2023-10-19 18:00:00,2023-10-19 18:59:59
505.9,505.9,505.9,505.9,4194416.8999999985,8291,2023-10-20 09:00:00,2023-10-20 09:59:59
505.85,491.65,506.1,488.7,207972480.49999997,420693,2023-10-20 10:00:00,2023-10-20 10:59:59
491.45,490.7,494.6,490.25,68194927.6,138484,2023-10-20 11:00:00,2023-10-20 11:59:59
490.4,487.95,492.65,486.0,89190069.80000001,182614,2023-10-20 12:00:00,2023-10-20 12:59:59
487.95,487.2,489.65,486.5,29580347.45,60692,2023-10-20 13:00:00,2023-10-20 13:59:59
487.15,482.45,487.2,482.0,63002061.15000001,129929,2023-10-20 14:00:00,2023-10-20 14:59:59
482.4,482.55,485.5,481.2,74584835.70000002,154625,2023-10-20 15:00:00,2023-10-20 15:59:59
482.6,482.4,485.25,482.0,35014929.0,72373,2023-10-20 16:00:00,2023-10-20 16:59:59
482.45,481.95,484.0,481.55,26407882.999999996,54730,2023-10-20 17:00:00,2023-10-20 17:59:59
481.95,480.75,483.3,480.1,59284650.60000001,123209,2023-10-20 18:00:00,2023-10-20 18:59:59
477.0,477.0,477.0,477.0,2917809.0,6117,2023-10-23 09:00:00,2023-10-23 09:59:59
477.0,470.3,480.0,468.05,236058196.2500001,500257,2023-10-23 10:00:00,2023-10-23 10:59:59
470.2,495.2,496.65,467.0,262684779.99999997,547858,2023-10-23 11:00:00,2023-10-23 11:59:59
