open,close,high,low,value,volume,begin,end
770.0,932.2,1238.2,700.0,235944791.79999986,271221,2021-12-17 11:00:00,2021-12-17 11:59:59
932.2,919.0,933.0,870.0,29749246.2,32854,2021-12-17 12:00:00,2021-12-17 12:59:59
919.0,939.6,942.0,914.0,26146260.6,28185,2021-12-17 13:00:00,2021-12-17 13:59:59
939.0,945.0,945.0,927.2,8146696.600000001,8687,2021-12-17 14:00:00,2021-12-17 14:59:59
945.0,964.4,968.0,938.0,34979899.400000006,36663,2021-12-17 15:00:00,2021-12-17 15:59:59
964.4,985.6,987.0,955.0,35437094.400000006,36386,2021-12-17 16:00:00,2021-12-17 16:59:59
985.0,989.6,996.2,974.0,24996433.400000006,25373,2021-12-17 17:00:00,2021-12-17 17:59:59
989.4,994.8,996.8,984.4,21827666.000000004,21954,2021-12-17 18:00:00,2021-12-17 18:59:59
1000.0,1000.0,1000.0,1000.0,1848000.0,1848,2021-12-20 09:00:00,2021-12-20 09:59:59
999.8,1018.8,1043.0,962.0,113664768.20000002,112554,2021-12-20 10:00:00,2021-12-20 10:59:59
1019.0,1001.2,1020.0,990.6,20988053.6,20796,2021-12-20 11:00:00,2021-12-20 11:59:59
1001.2,1003.8,1004.8,1000.0,4876505.6,4863,2021-12-20 12:00:00,2021-12-20 12:59:59
1003.8,999.2,1004.0,998.0,6435071.400000001,6423,2021-12-20 13:00:00,2021-12-20 13:59:59
1001.6,1001.0,1004.0,999.6,2885901.8,2879,2021-12-20 14:00:00,2021-12-20 14:59:59
1001.2,981.4,1002.6,980.0,7649343.3999999985,7704,2021-12-20 15:00:00,2021-12-20 15:59:59
980.2,973.6,987.0,960.0,7722865.6,7939,2021-12-20 16:00:00,2021-12-20 16:59:59
973.6,984.0,984.0,973.0,1685234.1999999997,1719,2021-12-20 17:00:00,2021-12-20 17:57:13
984.2,980.0,984.6,977.2,800598.6,815,2021-12-20 18:00:00,2021-12-20 18:49:13
999.4,999.4,999.4,999.4,187887.2,188,2021-12-21 09:00:00,2021-12-21 09:59:59
999.4,984.6,1000.0,956.4,6295005.199999999,6343,2021-12-21 10:00:00,2021-12-21 10:59:59
984.6,984.8,990.0,980.0,3339417.6000000006,3397,2021-12-21 11:00:00,2021-12-21 11:59:59
984.6,927.6,984.8,920.0,27033256.600000005,28661,2021-12-21 12:00:00,2021-12-21 12:59:59
927.4,934.8,939.4,925.0,8239388.400000003,8842,2021-12-21 13:00:00,2021-12-21 13:59:59
930.6,938.4,939.0,930.0,2229425.0000000005,2385,2021-12-21 14:00:00,2021-12-21 14:59:59
938.0,927.8,938.8,920.0,7388447.6,7977,2021-12-21 15:00:00,2021-12-21 15:59:59
927.8,925.4,930.0,920.2,1915298.9999999995,2068,2021-12-21 16:00:00,2021-12-21 16:59:08
925.2,930.2,934.2,925.0,2522210.000000001,2714,2021-12-21 17:00:00,2021-12-21 17:59:59
930.2,922.4,932.0,920.0,2902483.000000001,3132,2021-12-21 18:00:00,2021-12-21 18:48:07
945.0,945.0,945.0,945.0,19845.0,21,2021-12-22 09:00:00,2021-12-22 09:59:59
943.8,839.4,943.8,835.2,40523541.00000001,46396,2021-12-22 10:00:00,2021-12-22 10:59:59
839.4,845.0,868.0,828.0,40284615.99999998,47586,2021-12-22 11:00:00,2021-12-22 11:59:59
844.8,851.2,860.0,839.4,10466563.400000002,12328,2021-12-22 12:00:00,2021-12-22 12:59:59
852.6,848.6,853.0,843.2,4478048.4,5275,2021-12-22 13:00:00,2021-12-22 13:59:59
848.4,865.0,865.0,844.2,6084658.599999999,7101,2021-12-22 14:00:00,2021-12-22 14:59:59
865.0,916.6,920.0,857.2,17898859.799999997,20152,2021-12-22 15:00:00,2021-12-22 15:59:59
918.4,914.8,945.0,900.0,20627459.400000002,22284,2021-12-22 16:00:00,2021-12-22 16:59:08
914.6,898.6,915.2,898.6,4836607.8,5338,2021-12-22 17:00:00,2021-12-22 17:59:59
902.6,915.0,915.2,894.0,2194958.6,2423,2021-12-22 18:00:00,2021-12-22 18:48:13
916.0,916.0,916.0,916.0,91600.0,100,2021-12-23 09:00:00,2021-12-23 09:59:59
920.0,921.8,944.0,920.0,3692356.7999999993,3980,2021-12-23 10:00:00,2021-12-23 10:59:59
921.8,911.0,921.8,905.4,1343889.7999999998,1469,2021-12-23 11:00:00,2021-12-23 11:59:59
911.2,911.0,912.8,910.0,880595.4000000001,965,2021-12-23 12:00:00,2021-12-23 12:59:59
