open,close,high,low,value,volume,begin,end
238.18,238.91,239.35,237.02,205268678.90000004,860420,2014-06-09 10:00:00,2014-06-09 10:59:59
238.79,238.23,240.23,237.93,525711952.9999998,2200640,2014-06-09 11:00:00,2014-06-09 11:59:59
238.29,240.33,241.0,238.11,214433221.59999996,894230,2014-06-09 12:00:00,2014-06-09 12:59:59
240.22,240.45,240.7,239.6,98983236.89999998,411860,2014-06-09 13:00:00,2014-06-09 13:59:59
240.32,240.14,240.55,239.61,90252474.0,375850,2014-06-09 14:00:00,2014-06-09 14:59:59
240.08,240.3,240.7,239.57,101294003.5,421350,2014-06-09 15:00:00,2014-06-09 15:59:59
240.24,240.97,241.32,240.23,131929276.50000001,547990,2014-06-09 16:00:00,2014-06-09 16:59:59
240.91,240.74,241.79,240.63,63327875.70000001,262590,2014-06-09 17:00:00,2014-06-09 17:59:59
240.76,240.41,240.93,240.35,94327745.79999997,391970,2014-06-09 18:00:00,2014-06-09 18:59:59
240.6,242.1,242.76,239.65,237160801.7,981240,2014-06-10 10:00:00,2014-06-10 10:59:59
242.11,242.8,243.43,241.16,215766423.0,890170,2014-06-10 11:00:00,2014-06-10 11:59:59
242.72,240.8,242.77,240.5,134611277.59999996,557590,2014-06-10 12:00:00,2014-06-10 12:59:59
240.85,241.06,241.38,240.56,63937228.1,265470,2014-06-10 13:00:00,2014-06-10 13:59:59
241.01,242.2,242.4,240.38,127808203.69999997,529720,2014-06-10 14:00:00,2014-06-10 14:59:59
242.21,241.13,242.34,240.8,77172930.10000001,319590,2014-06-10 15:00:00,2014-06-10 15:59:59
241.23,240.57,241.25,240.54,73683600.79999998,305930,2014-06-10 16:00:00,2014-06-10 16:59:59
240.56,241.0,241.27,240.5,123205074.49999997,511500,2014-06-10 17:00:00,2014-06-10 17:59:59
241.0,242.61,242.97,240.86,153493189.39999998,634330,2014-06-10 18:00:00,2014-06-10 18:59:59
242.45,243.24,243.93,242.12,199332043.69999996,819150,2014-06-11 10:00:00,2014-06-11 10:59:59
243.18,243.16,243.27,242.9,47044883.699999996,193520,2014-06-11 11:00:00,2014-06-11 11:59:59
243.15,244.75,244.79,242.77,294762209.2999999,1210500,2014-06-11 12:00:00,2014-06-11 12:59:59
244.75,244.37,244.87,243.06,646031357.6000001,2647670,2014-06-11 13:00:00,2014-06-11 13:59:59
244.33,246.6,247.0,244.32,685269834.6999999,2790300,2014-06-11 14:00:00,2014-06-11 14:59:59
246.6,246.3,247.35,245.63,210855972.79999992,855210,2014-06-11 15:00:00,2014-06-11 15:59:59
246.3,247.98,248.4,246.17,439568975.4,1776810,2014-06-11 16:00:00,2014-06-11 16:59:59
247.98,248.31,249.0,247.6,303004608.99999994,1219720,2014-06-11 17:00:00,2014-06-11 17:59:59
248.31,249.27,249.65,248.08,340473365.0999999,1367290,2014-06-11 18:00:00,2014-06-11 18:59:59
249.07,247.5,249.66,245.67,472198959.20000005,1907990,2014-06-16 10:00:00,2014-06-16 10:59:59
247.5,247.78,247.8,246.47,434722693.9,1756660,2014-06-16 11:00:00,2014-06-16 11:59:59
