open,close,high,low,value,volume,begin,end
12.6,12.6,12.6,12.6,1260.0,100,2011-12-06 10:00:00,2011-12-06 10:06:15
12.6,13.3,13.3,12.59,3849.0,300,2011-12-06 11:00:00,2011-12-06 11:49:15
13.31,13.31,13.31,13.31,1331.0,100,2011-12-06 12:00:00,2011-12-06 12:03:15
13.929,12.657,13.929,12.657,6455.7,500,2011-12-07 10:00:00,2011-12-07 10:52:15
13.699,13.699,13.699,13.699,1369.9,100,2011-12-07 11:00:00,2011-12-07 11:16:16
13.696,13.696,13.696,13.696,1369.6,100,2011-12-07 12:00:00,2011-12-07 12:10:15
13.694,13.694,13.694,13.694,5477.6,400,2011-12-07 13:00:00,2011-12-07 13:25:15
13.009,13.008,13.009,13.008,11707.6,900,2011-12-07 15:00:00,2011-12-07 15:02:16
13.0,13.0,13.0,13.0,1300.0,100,2011-12-07 17:00:00,2011-12-07 17:06:15
12.561,13.411,13.411,12.56,3853.2,300,2011-12-07 18:00:00,2011-12-07 18:21:16
12.277,13.403,13.403,12.277,2568.0,200,2011-12-08 10:00:00,2011-12-08 10:05:16
12.109,13.097,13.097,12.0,69822.3,5800,2011-12-08 15:00:00,2011-12-08 15:33:15
12.499,12.987,13.098,12.0,77671.3,6300,2011-12-08 16:00:00,2011-12-08 16:59:59
12.5,12.5,12.5,12.5,15000.0,1200,2011-12-08 17:00:00,2011-12-08 17:17:15
12.1,12.499,12.499,12.099,14559.8,1200,2011-12-08 18:00:00,2011-12-08 18:29:16
11.5,9.5,11.5,9.499,1069071.6,107600,2011-12-09 10:00:00,2011-12-09 10:37:15
9.5,9.9,10.0,9.5,244072.5,25000,2011-12-09 11:00:00,2011-12-09 11:59:15
9.9,9.5,10.436,9.5,1632579.3,170000,2011-12-09 12:00:00,2011-12-09 12:57:15
9.5,9.5,9.975,9.5,366052.4,38200,2011-12-09 13:00:00,2011-12-09 13:59:59
9.5,9.5,9.65,9.42,115603.0,12200,2011-12-09 14:00:00,2011-12-09 14:41:15
9.5,9.5,9.65,9.499,168174.0,17700,2011-12-09 15:00:00,2011-12-09 15:56:16
9.5,9.5,9.78,9.302,493889.7,51900,2011-12-09 16:00:00,2011-12-09 16:57:15
9.4,9.497,9.5,9.303,25451.0,2700,2011-12-09 17:00:00,2011-12-09 17:44:15
9.493,9.3,9.5,9.3,968745.2,102000,2011-12-09 18:00:00,2011-12-09 18:59:59
9.979,9.699,9.979,9.5,4857.7,500,2011-12-12 10:00:00,2011-12-12 10:58:15
9.451,9.4,9.719,9.4,32154.7,3400,2011-12-12 11:00:00,2011-12-12 11:18:15
9.46,9.41,9.501,9.41,56528.3,6000,2011-12-12 12:00:00,2011-12-12 12:48:15
9.488,9.488,9.488,9.488,948.8,100,2011-12-12 13:00:00,2011-12-12 13:26:16
9.497,9.2,9.497,9.2,10157.7,1100,2011-12-12 14:00:00,2011-12-12 14:59:59
9.16,9.239,9.239,9.01,119657.3,13200,2011-12-12 15:00:00,2011-12-12 15:53:15
9.03,9.09,9.2,8.888,363723.6,40400,2011-12-12 16:00:00,2011-12-12 16:54:16
9.099,9.099,9.099,9.099,909.9,100,2011-12-12 17:00:00,2011-12-12 17:27:16
9.0,9.497,9.497,9.0,93796.6,10400,2011-12-12 18:00:00,2011-12-12 18:44:15
9.47,9.9,9.9,9.47,3859.0,400,2011-12-13 10:00:00,2011-12-13 10:17:16
9.25,9.25,9.25,9.25,946275.0,102300,2011-12-13 12:00:00,2011-12-13 12:28:15
9.2,9.15,9.2,9.15,32950.0,3600,2011-12-13 13:00:00,2011-12-13 13:17:15
9.48,9.86,9.86,9.48,2628294.1,271300,2011-12-13 14:00:00,2011-12-13 14:53:15
9.984,10.5,11.499,9.984,636507.5,60600,2011-12-13 15:00:00,2011-12-13 15:59:15
10.5,10.031,10.501,10.031,25153.5,2400,2011-12-13 16:00:00,2011-12-13 16:58:16
10.59,11.44,11.44,10.5,265839.7,24400,2011-12-13 18:00:00,2011-12-13 18:59:59
11.5,10.502,12.501,10.502,617359.4,53200,2011-12-14 10:00:00,2011-12-14 10:59:59
10.55,10.75,10.75,10.55,19269.0,1800,2011-12-14 12:00:00,2011-12-14 12:56:15
10.751,10.55,10.799,10.55,9640.6,900,2011-12-14 13:00:00,2011-12-14 13:52:15
10.8,10.8,10.8,10.8,1080.0,100,2011-12-14 14:00:00,2011-12-14 14:21:16
10.75,10.75,10.75,10.75,1075.0,100,2011-12-14 15:00:00,2011-12-14 15:28:16
10.76,10.599,10.76,10.5,15887.0,1500,2011-12-14 16:00:00,2011-12-14 16:59:59
10.55,10.599,10.599,10.3,14509.8,1400,2011-12-14 17:00:00,2011-12-14 17:50:15
10.4,11.0,11.0,10.4,276544.6,26000,2011-12-14 18:00:00,2011-12-14 18:39:15
10.15,10.5,10.5,10.0,33501.9,3200,2011-12-15 10:00:00,2011-12-15 10:38:15
10.303,10.303,10.303,10.303,1030.3,100,2011-12-15 11:00:00,2011-12-15 11:03:16
10.299,10.0,10.299,10.0,274630.0,27400,2011-12-15 12:00:00,2011-12-15 12:41:15
10.109,10.28,10.28,10.109,565348.3,55000,2011-12-15 15:00:00,2011-12-15 15:42:16
10.276,10.29,10.29,10.276,1381892.8,134300,2011-12-15 16:00:00,2011-12-15 16:59:59
10.29,10.285,10.29,10.285,3086.5,300,2011-12-15 17:00:00,2011-12-15 17:37:16
10.292,10.292,10.292,10.292,1029.2,100,2011-12-15 18:00:00,2011-12-15 18:44:16
10.699,10.001,10.699,10.001,41068.2,3900,2011-12-16 10:00:00,2011-12-16 10:59:59
10.111,10.11,10.111,10.11,10110.9,1000,2011-12-16 11:00:00,2011-12-16 11:12:15
9.92,9.956,9.956,9.5,330913.1,34800,2011-12-16 14:00:00,2011-12-16 14:26:16
9.648,9.65,9.65,9.648,290449.5,30100,2011-12-16 15:00:00,2011-12-16 15:46:15
9.65,9.8,9.8,9.65,193980.0,20100,2011-12-16 16:00:00,2011-12-16 16:27:15
9.8,9.899,9.899,9.8,9889.1,1000,2011-12-16 17:00:00,2011-12-16 17:41:15
9.9,9.75,9.9,9.511,4847.3,500,2011-12-16 18:00:00,2011-12-16 18:59:59
10.175,10.175,10.175,10.175,1017.5,100,2011-12-19 10:00:00,2011-12-19 10:53:15
9.801,9.8,9.801,9.8,1960.1,200,2011-12-19 11:00:00,2011-12-19 11:50:56
9.565,9.411,9.565,9.411,19063.2,2000,2011-12-19 13:00:00,2011-12-19 13:46:15
9.76,9.85,9.85,9.76,341626.5,34700,2011-12-19 14:00:00,2011-12-19 14:46:15
9.85,9.85,9.85,9.85,493485.0,50100,2011-12-19 15:00:00,2011-12-19 15:42:15
9.588,9.588,9.588,9.588,958.8,100,2011-12-19 16:00:00,2011-12-19 16:05:16
9.849,11.999,11.999,9.849,1738169.3,171100,2011-12-19 17:00:00,2011-12-19 17:46:15
11.5,12.65,12.67,11.5,406872.0,33500,2011-12-19 18:00:00,2011-12-19 18:59:59
11.103,10.565,11.103,10.565,22245.7,2100,2011-12-20 10:00:00,2011-12-20 10:59:15
11.499,10.8,11.499,10.666,13016.7,1200,2011-12-20 14:00:00,2011-12-20 14:53:15
10.605,10.65,10.65,10.605,3186.0,300,2011-12-20 16:00:00,2011-12-20 16:19:15
10.606,10.55,10.61,10.55,92189.7,8700,2011-12-20 17:00:00,2011-12-20 17:54:16
10.78,14.9,15.0,10.78,1709829.0,133000,2011-12-20 18:00:00,2011-12-20 18:59:59
12.9,14.43,14.43,12.9,7062.0,500,2011-12-21 10:00:00,2011-12-21 10:30:15
14.0,12.5,14.0,12.5,16151.8,1200,2011-12-21 12:00:00,2011-12-21 12:19:15
13.6,13.6,13.6,13.6,1360.0,100,2011-12-21 13:00:00,2011-12-21 13:47:15
13.7,13.7,13.7,13.7,4110.0,300,2011-12-21 16:00:00,2011-12-21 16:27:16
12.651,12.651,12.651,12.651,12651.0,1000,2011-12-21 17:00:00,2011-12-21 17:48:15
13.695,13.95,13.95,13.1,321733.8,23100,2011-12-21 18:00:00,2011-12-21 18:59:59
13.4,13.13,13.4,13.13,13157.1,1000,2011-12-22 10:00:00,2011-12-22 10:33:15
13.13,13.13,13.13,13.13,23634.0,1800,2011-12-22 12:00:00,2011-12-22 12:02:15
13.599,14.5,14.5,13.599,114449.8,8100,2011-12-22 14:00:00,2011-12-22 14:48:16
13.4,13.301,14.0,13.301,76838.1,5500,2011-12-22 18:00:00,2011-12-22 18:59:59
13.999,13.555,14.98,13.555,67209.0,4800,2011-12-23 10:00:00,2011-12-23 10:42:15
13.1,13.002,13.1,13.002,68940.0,5300,2011-12-23 11:00:00,2011-12-23 11:38:15
12.53,12.13,12.53,12.13,158591.5,12700,2011-12-23 12:00:00,2011-12-23 12:45:15
12.026,12.628,12.628,11.997,255297.2,21200,2011-12-23 13:00:00,2011-12-23 13:22:15
12.05,12.001,12.05,12.001,12006.1,1000,2011-12-23 14:00:00,2011-12-23 14:57:16
12.11,12.28,12.28,12.1,10913.0,900,2011-12-23 16:00:00,2011-12-23 16:46:15
12.01,12.2,12.3,12.01,6101.0,500,2011-12-23 17:00:00,2011-12-23 17:29:15
12.004,12.261,14.55,11.996,656481.5,48300,2011-12-23 18:00:00,2011-12-23 18:59:59
13.699,13.699,13.699,13.699,1369.9,100,2011-12-26 10:00:00,2011-12-26 10:55:16
13.799,13.799,13.799,13.799,1379.9,100,2011-12-26 11:00:00,2011-12-26 11:05:15
12.999,12.999,12.999,12.999,1299.9,100,2011-12-26 12:00:00,2011-12-26 12:44:15
13.0,13.0,13.0,13.0,2600.0,200,2011-12-26 15:00:00,2011-12-26 15:28:15
13.499,13.75,13.99,13.499,11042.5,800,2011-12-26 17:00:00,2011-12-26 17:30:16
13.21,13.01,13.21,12.401,55080.6,4300,2011-12-26 18:00:00,2011-12-26 18:59:59
13.01,13.011,13.5,13.01,70220.9,5300,2011-12-27 10:00:00,2011-12-27 10:58:15
13.5,13.8,14.02,13.3,502774.2,36300,2011-12-27 11:00:00,2011-12-27 11:54:16
13.9,13.5,13.9,13.3,223206.0,16500,2011-12-27 12:00:00,2011-12-27 12:42:15
13.6,13.6,13.6,13.6,1360.0,100,2011-12-27 13:00:00,2011-12-27 13:04:16
13.6,13.6,13.6,13.6,1360.0,100,2011-12-27 16:00:00,2011-12-27 16:08:15
13.601,13.6,13.601,13.6,12240.5,900,2011-12-27 17:00:00,2011-12-27 17:06:15
13.6,14.2,14.2,13.6,172251.4,12300,2011-12-27 18:00:00,2011-12-27 18:59:59
14.0,14.0,14.0,14.0,1400.0,100,2011-12-28 10:00:00,2011-12-28 10:59:59
14.0,14.0,14.0,14.0,1400.0,100,2011-12-28 11:00:00,2011-12-28 11:36:16
14.0,14.0,14.0,13.85,206450.0,14800,2011-12-28 12:00:00,2011-12-28 12:59:59
14.0,14.0,14.0,14.0,70000.0,5000,2011-12-28 13:00:00,2011-12-28 13:14:15
14.0,14.0,14.0,14.0,70000.0,5000,2011-12-28 14:00:00,2011-12-28 14:27:16
13.855,13.855,13.855,13.855,1385.5,100,2011-12-28 15:00:00,2011-12-28 15:53:16
14.0,14.0,14.0,14.0,7000.0,500,2011-12-28 16:00:00,2011-12-28 16:06:15
14.0,13.85,14.0,13.85,104560.0,7500,2011-12-28 17:00:00,2011-12-28 17:43:15
14.0,14.0,14.0,14.0,4200.0,300,2011-12-28 18:00:00,2011-12-28 18:39:16
14.249,14.1,14.99,14.1,37232.5,2600,2011-12-29 10:00:00,2011-12-29 10:37:15
13.404,14.099,14.099,13.403,36259.0,2700,2011-12-29 13:00:00,2011-12-29 13:57:15
13.531,13.408,13.531,13.408,40305.9,3000,2011-12-29 15:00:00,2011-12-29 15:49:15
