open,close,high,low,value,volume,begin,end
27.152,27.176,27.235,27.097,18268326.699999996,672200,2014-06-09 10:00:00,2014-06-09 10:59:59
27.175,27.204,27.33,27.131,49205426.8,1806900,2014-06-09 11:00:00,2014-06-09 11:59:10
27.215,27.214,27.29,27.191,41898368.499999985,1538000,2014-06-09 12:00:00,2014-06-09 12:59:59
27.211,27.238,27.28,27.131,73882343.8,2714600,2014-06-09 13:00:00,2014-06-09 13:59:59
27.232,27.188,27.27,27.142,39464230.00000001,1450900,2014-06-09 14:00:00,2014-06-09 14:59:11
27.175,27.112,27.229,27.112,23245736.8,855500,2014-06-09 15:00:00,2014-06-09 15:59:59
27.113,27.138,27.191,27.099,40721368.2,1501700,2014-06-09 16:00:00,2014-06-09 16:59:59
27.135,26.912,27.153,26.911,55276717.90000001,2044800,2014-06-09 17:00:00,2014-06-09 17:59:59
26.918,26.957,26.988,26.831,58851029.8,2186600,2014-06-09 18:00:00,2014-06-09 18:59:59
27.0,26.71,27.0,26.7,41204477.900000006,1536400,2014-06-10 10:00:00,2014-06-10 10:59:59
26.71,26.85,26.866,26.71,48051049.099999994,1794200,2014-06-10 11:00:00,2014-06-10 11:59:59
26.844,26.892,26.932,26.812,38816345.000000015,1443600,2014-06-10 12:00:00,2014-06-10 12:59:59
26.909,26.974,26.989,26.84,14903853.600000007,553800,2014-06-10 13:00:00,2014-06-10 13:59:01
26.974,27.12,27.145,26.871,45678410.89999999,1689000,2014-06-10 14:00:00,2014-06-10 14:59:16
27.109,27.168,27.17,27.061,39577956.199999996,1459300,2014-06-10 15:00:00,2014-06-10 15:59:59
27.165,27.175,27.19,27.125,33886390.5,1247600,2014-06-10 16:00:00,2014-06-10 16:59:59
27.183,27.205,27.225,27.134,29738049.70000001,1093800,2014-06-10 17:00:00,2014-06-10 17:59:59
27.203,27.266,27.394,27.199,129938279.4,4758800,2014-06-10 18:00:00,2014-06-10 18:59:59
27.363,27.358,27.418,27.224,61692332.500000015,2256400,2014-06-11 10:00:00,2014-06-11 10:59:59
27.358,27.365,27.4,27.343,28603821.900000002,1045100,2014-06-11 11:00:00,2014-06-11 11:29:20
27.364,27.21,27.4,27.204,29482439.900000002,1080300,2014-06-11 12:00:00,2014-06-11 12:59:59
27.21,27.562,27.61,27.21,103006363.40000004,3750000,2014-06-11 13:00:00,2014-06-11 13:59:59
27.568,27.628,27.64,27.53,49894694.39999999,1807800,2014-06-11 14:00:00,2014-06-11 14:59:59
27.628,27.599,27.65,27.581,120618745.89999998,4368400,2014-06-11 15:00:00,2014-06-11 15:59:59
27.599,27.435,27.604,27.434,55831601.00000002,2027800,2014-06-11 16:00:00,2014-06-11 16:59:59
27.435,27.3,27.474,27.3,53097716.0,1938000,2014-06-11 17:00:00,2014-06-11 17:59:59
