symbol,timestamp,open,high,low,close,volume
1000000MOGUSDT,2025-04-26 14:40:00,0.6411,0.6423,0.6405,0.6406,10166.0
1000000MOGUSDT,2025-04-26 14:45:00,0.6406,0.6428,0.6389,0.6418,3625.0
1000000MOGUSDT,2025-04-26 14:50:00,0.6418,0.6451,0.6417,0.6447,7112.0
1000000MOGUSDT,2025-04-26 14:55:00,0.6447,0.6455,0.6436,0.6445,2255.0
1000000MOGUSDT,2025-04-26 15:00:00,0.6445,0.6458,0.6406,0.6437,13363.0
1000000MOGUSDT,2025-04-26 15:05:00,0.6437,0.6469,0.6425,0.6456,1573.0
1000000MOGUSDT,2025-04-26 15:10:00,0.6456,0.6476,0.6452,0.6461,2109.0
1000000MOGUSDT,2025-04-26 15:15:00,0.6461,0.6519,0.6459,0.6513,2632.0
1000000MOGUSDT,2025-04-26 15:20:00,0.6513,0.6524,0.6503,0.6521,16996.0
1000000MOGUSDT,2025-04-26 15:25:00,0.6521,0.6585,0.6512,0.6581,4414.0
1000000MOGUSDT,2025-04-26 15:30:00,0.6581,0.6581,0.6521,0.6542,12695.0
1000000MOGUSDT,2025-04-26 15:35:00,0.6542,0.6565,0.6533,0.6549,5342.0
1000000MOGUSDT,2025-04-26 15:40:00,0.6549,0.6566,0.6545,0.656,1084.0
1000000MOGUSDT,2025-04-26 15:45:00,0.656,0.6594,0.6558,0.6594,7956.0
1000000MOGUSDT,2025-04-26 15:50:00,0.6594,0.664,0.659,0.664,6384.0
1000000MOGUSDT,2025-04-26 15:55:00,0.664,0.6646,0.6626,0.6626,2863.0
1000000MOGUSDT,2025-04-26 16:00:00,0.6626,0.6644,0.658,0.658,11609.0
1000000MOGUSDT,2025-04-26 16:05:00,0.658,0.6613,0.658,0.6582,2738.0
1000000MOGUSDT,2025-04-26 16:10:00,0.6582,0.6606,0.6582,0.6598,1657.0
1000000MOGUSDT,2025-04-26 16:15:00,0.6598,0.6598,0.6551,0.656,2255.0
1000000MOGUSDT,2025-04-26 16:20:00,0.656,0.6592,0.6557,0.6592,1876.0
1000000MOGUSDT,2025-04-26 16:25:00,0.6592,0.6605,0.6547,0.6583,7690.0
1000000MOGUSDT,2025-04-26 16:30:00,0.6583,0.6623,0.656,0.6576,4782.0
1000000MOGUSDT,2025-04-26 16:35:00,0.6576,0.6614,0.6576,0.6586,7039.0
1000000MOGUSDT,2025-04-26 16:40:00,0.6586,0.6605,0.6569,0.6575,1577.0
1000000MOGUSDT,2025-04-26 16:45:00,0.6575,0.6619,0.6575,0.6608,3301.0
1000000MOGUSDT,2025-04-26 16:50:00,0.6608,0.6634,0.6589,0.6634,8120.0
1000000MOGUSDT,2025-04-26 16:55:00,0.6634,0.6647,0.6626,0.6647,2025.0
1000000MOGUSDT,2025-04-26 17:00:00,0.6647,0.6648,0.6631,0.6639,2266.0
1000000MOGUSDT,2025-04-26 17:05:00,0.6639,0.6666,0.6634,0.6656,1340.0
1000000MOGUSDT,2025-04-26 17:10:00,0.6656,0.6656,0.6591,0.6609,3282.0
1000000MOGUSDT,2025-04-26 17:15:00,0.6609,0.6655,0.6609,0.6633,1379.0
1000000MOGUSDT,2025-04-26 17:20:00,0.6633,0.6656,0.6611,0.6656,6460.0
1000000MOGUSDT,2025-04-26 17:25:00,0.6656,0.6671,0.664,0.6664,6979.0
1000000MOGUSDT,2025-04-26 17:30:00,0.6664,0.6664,0.6641,0.6653,2075.0
1000000MOGUSDT,2025-04-26 17:35:00,0.6653,0.6655,0.6637,0.6639,7527.0
1000000MOGUSDT,2025-04-26 17:40:00,0.6639,0.6648,0.6633,0.6639,2170.0
1000000MOGUSDT,2025-04-26 17:45:00,0.6639,0.6678,0.6634,0.6669,10242.0
1000000MOGUSDT,2025-04-26 17:50:00,0.6669,0.6669,0.6645,0.6652,2302.0
1000000MOGUSDT,2025-04-26 17:55:00,0.6652,0.6659,0.6634,0.6658,1592.0
1000000MOGUSDT,2025-04-26 18:00:00,0.6658,0.6658,0.662,0.6626,5799.0
1000000MOGUSDT,2025-04-26 18:05:00,0.6626,0.666,0.6626,0.666,2975.0
1000000MOGUSDT,2025-04-26 18:10:00,0.666,0.67,0.6613,0.6613,4079.0
1000000MOGUSDT,2025-04-26 18:15:00,0.6613,0.6631,0.6608,0.6631,1490.0
1000000MOGUSDT,2025-04-26 18:20:00,0.6631,0.6688,0.6631,0.668,4677.0
1000000MOGUSDT,2025-04-26 18:25:00,0.668,0.6712,0.668,0.6707,5728.0
1000000MOGUSDT,2025-04-26 18:30:00,0.6707,0.6713,0.6686,0.6688,4758.0
1000000MOGUSDT,2025-04-26 18:35:00,0.6688,0.6715,0.6674,0.6676,2021.0
1000000MOGUSDT,2025-04-26 18:40:00,0.6676,0.6726,0.6676,0.6685,9739.0
1000000MOGUSDT,2025-04-26 18:45:00,0.6685,0.673,0.6685,0.67,19534.0
1000000MOGUSDT,2025-04-26 18:50:00,0.67,0.67,0.6681,0.6687,2596.0
1000000MOGUSDT,2025-04-26 18:55:00,0.6687,0.6715,0.6687,0.6688,2458.0
1000000MOGUSDT,2025-04-26 19:00:00,0.6688,0.6706,0.6668,0.6706,6353.0
1000000MOGUSDT,2025-04-26 19:05:00,0.6706,0.671,0.6673,0.6673,1744.0
1000000MOGUSDT,2025-04-26 19:10:00,0.6673,0.6713,0.6673,0.6713,5405.0
1000000MOGUSDT,2025-04-26 19:15:00,0.6713,0.6732,0.6694,0.6707,6482.0
1000000MOGUSDT,2025-04-26 19:20:00,0.6707,0.6719,0.6694,0.6719,1954.0
1000000MOGUSDT,2025-04-26 19:25:00,0.6719,0.6735,0.6691,0.6718,4090.0
1000000MOGUSDT,2025-04-26 19:30:00,0.6718,0.6724,0.6693,0.6718,2110.0
1000000MOGUSDT,2025-04-26 19:35:00,0.6718,0.6737,0.6704,0.6706,3128.0
1000000MOGUSDT,2025-04-26 19:40:00,0.6706,0.6722,0.6693,0.6722,2783.0
1000000MOGUSDT,2025-04-26 19:45:00,0.6722,0.6733,0.6694,0.6703,7666.0
1000000MOGUSDT,2025-04-26 19:50:00,0.6703,0.6736,0.6698,0.6718,4912.0
1000000MOGUSDT,2025-04-26 19:55:00,0.6718,0.6738,0.6713,0.6738,2482.0
1000000MOGUSDT,2025-04-26 20:00:00,0.6738,0.6768,0.6734,0.6739,3510.0
1000000MOGUSDT,2025-04-26 20:05:00,0.6739,0.6751,0.6708,0.6732,5301.0
