symbol,timestamp,open,high,low,close,volume
10000ELONUSDT,2025-04-26 14:40:00,0.001391,0.001397,0.001391,0.001397,289400.0
10000ELONUSDT,2025-04-26 14:45:00,0.001397,0.001399,0.001397,0.001398,424500.0
10000ELONUSDT,2025-04-26 14:50:00,0.001398,0.001399,0.001398,0.001399,511700.0
10000ELONUSDT,2025-04-26 14:55:00,0.001399,0.001399,0.001398,0.001398,387900.0
10000ELONUSDT,2025-04-26 15:00:00,0.001398,0.001398,0.001397,0.001397,587900.0
10000ELONUSDT,2025-04-26 15:05:00,0.001397,0.001399,0.001397,0.001399,313300.0
10000ELONUSDT,2025-04-26 15:10:00,0.001399,0.001402,0.001399,0.001401,641900.0
10000ELONUSDT,2025-04-26 15:15:00,0.001401,0.001402,0.001401,0.001401,532900.0
10000ELONUSDT,2025-04-26 15:20:00,0.001401,0.001401,0.001401,0.001401,477700.0
10000ELONUSDT,2025-04-26 15:25:00,0.001401,0.001405,0.001401,0.001404,240800.0
10000ELONUSDT,2025-04-26 15:30:00,0.001404,0.001406,0.001404,0.001405,183700.0
10000ELONUSDT,2025-04-26 15:35:00,0.001405,0.001405,0.001402,0.001402,587500.0
10000ELONUSDT,2025-04-26 15:40:00,0.001402,0.001402,0.001401,0.001401,374500.0
10000ELONUSDT,2025-04-26 15:45:00,0.001401,0.001402,0.001401,0.001401,461800.0
10000ELONUSDT,2025-04-26 15:50:00,0.001401,0.001406,0.001401,0.001404,1537500.0
10000ELONUSDT,2025-04-26 15:55:00,0.001404,0.001404,0.001403,0.001403,502000.0
10000ELONUSDT,2025-04-26 16:00:00,0.001403,0.001403,0.001396,0.001396,573000.0
10000ELONUSDT,2025-04-26 16:05:00,0.001396,0.001397,0.001396,0.001397,398700.0
10000ELONUSDT,2025-04-26 16:10:00,0.001397,0.0014,0.001396,0.001398,746700.0
10000ELONUSDT,2025-04-26 16:15:00,0.001398,0.001398,0.001396,0.001396,335300.0
10000ELONUSDT,2025-04-26 16:20:00,0.001396,0.0014,0.001396,0.001399,530600.0
10000ELONUSDT,2025-04-26 16:25:00,0.001399,0.001399,0.001396,0.001396,757000.0
10000ELONUSDT,2025-04-26 16:30:00,0.001396,0.001401,0.001395,0.001401,425200.0
10000ELONUSDT,2025-04-26 16:35:00,0.001401,0.001401,0.00139,0.001391,1433800.0
10000ELONUSDT,2025-04-26 16:40:00,0.001391,0.001392,0.001382,0.001382,1699400.0
10000ELONUSDT,2025-04-26 16:45:00,0.001382,0.001386,0.001382,0.001385,767100.0
10000ELONUSDT,2025-04-26 16:50:00,0.001385,0.001386,0.001385,0.001386,370500.0
10000ELONUSDT,2025-04-26 16:55:00,0.001386,0.001386,0.001386,0.001386,400700.0
10000ELONUSDT,2025-04-26 17:00:00,0.001386,0.001388,0.001386,0.001388,272800.0
10000ELONUSDT,2025-04-26 17:05:00,0.001388,0.001389,0.001387,0.001388,806300.0
10000ELONUSDT,2025-04-26 17:10:00,0.001388,0.001388,0.001386,0.001387,623600.0
10000ELONUSDT,2025-04-26 17:15:00,0.001387,0.001392,0.001386,0.001392,917600.0
10000ELONUSDT,2025-04-26 17:20:00,0.001392,0.001396,0.001392,0.001396,770300.0
10000ELONUSDT,2025-04-26 17:25:00,0.001396,0.001404,0.001396,0.001404,439500.0
10000ELONUSDT,2025-04-26 17:30:00,0.001404,0.001406,0.001404,0.001404,988800.0
10000ELONUSDT,2025-04-26 17:35:00,0.001404,0.001404,0.001404,0.001404,250200.0
10000ELONUSDT,2025-04-26 17:40:00,0.001404,0.001406,0.001404,0.001405,238200.0
10000ELONUSDT,2025-04-26 17:45:00,0.001405,0.001406,0.001405,0.001406,456000.0
10000ELONUSDT,2025-04-26 17:50:00,0.001406,0.001406,0.001403,0.001404,391000.0
10000ELONUSDT,2025-04-26 17:55:00,0.001404,0.001404,0.001403,0.001403,594700.0
10000ELONUSDT,2025-04-26 18:00:00,0.001403,0.001403,0.001398,0.001399,569000.0
10000ELONUSDT,2025-04-26 18:05:00,0.001399,0.0014,0.001398,0.001399,362500.0
10000ELONUSDT,2025-04-26 18:10:00,0.001399,0.001399,0.001397,0.001398,371800.0
10000ELONUSDT,2025-04-26 18:15:00,0.001398,0.001404,0.001398,0.001404,276400.0
10000ELONUSDT,2025-04-26 18:20:00,0.001404,0.001408,0.001404,0.001407,322600.0
10000ELONUSDT,2025-04-26 18:25:00,0.001407,0.001409,0.001407,0.001409,450000.0
10000ELONUSDT,2025-04-26 18:30:00,0.001409,0.001411,0.001409,0.00141,553900.0
10000ELONUSDT,2025-04-26 18:35:00,0.00141,0.00141,0.001403,0.001403,548300.0
10000ELONUSDT,2025-04-26 18:40:00,0.001403,0.001403,0.001403,0.001403,283200.0
10000ELONUSDT,2025-04-26 18:45:00,0.001403,0.001407,0.001403,0.001405,419300.0
10000ELONUSDT,2025-04-26 18:50:00,0.001405,0.001405,0.001405,0.001405,326700.0
