symbol,timestamp,open,high,low,close,volume
1000RATSUSDT,2025-04-26 14:40:00,0.0324,0.03247,0.03235,0.03241,14765.0
1000RATSUSDT,2025-04-26 14:45:00,0.03241,0.03247,0.03232,0.03246,23791.0
1000RATSUSDT,2025-04-26 14:50:00,0.03246,0.03246,0.03232,0.03235,14041.0
1000RATSUSDT,2025-04-26 14:55:00,0.03235,0.03236,0.03228,0.03233,40049.0
1000RATSUSDT,2025-04-26 15:00:00,0.03233,0.03241,0.0323,0.03236,31233.0
1000RATSUSDT,2025-04-26 15:05:00,0.03236,0.03263,0.03234,0.03257,61719.0
1000RATSUSDT,2025-04-26 15:10:00,0.03257,0.03264,0.03247,0.03258,37742.0
1000RATSUSDT,2025-04-26 15:15:00,0.03258,0.03298,0.03255,0.0328,480355.0
1000RATSUSDT,2025-04-26 15:20:00,0.0328,0.03289,0.03279,0.03289,241227.0
1000RATSUSDT,2025-04-26 15:25:00,0.03289,0.03365,0.03287,0.03331,6328987.0
1000RATSUSDT,2025-04-26 15:30:00,0.03331,0.03336,0.03315,0.03322,199101.0
1000RATSUSDT,2025-04-26 15:35:00,0.03322,0.03328,0.03308,0.03319,178501.0
1000RATSUSDT,2025-04-26 15:40:00,0.03319,0.03331,0.03313,0.03328,66222.0
1000RATSUSDT,2025-04-26 15:45:00,0.03328,0.0335,0.03327,0.03341,228083.0
1000RATSUSDT,2025-04-26 15:50:00,0.03341,0.03352,0.03334,0.03344,42002.0
1000RATSUSDT,2025-04-26 15:55:00,0.03344,0.0335,0.03331,0.03331,42764.0
1000RATSUSDT,2025-04-26 16:00:00,0.03331,0.03349,0.03331,0.03338,39891.0
1000RATSUSDT,2025-04-26 16:05:00,0.03338,0.03349,0.03336,0.03336,26216.0
1000RATSUSDT,2025-04-26 16:10:00,0.03336,0.03427,0.03334,0.03427,191630.0
1000RATSUSDT,2025-04-26 16:15:00,0.03427,0.0351,0.03423,0.03472,623160.0
1000RATSUSDT,2025-04-26 16:20:00,0.03472,0.03472,0.03386,0.03424,287372.0
1000RATSUSDT,2025-04-26 16:25:00,0.03424,0.03435,0.03403,0.03409,25199.0
