symbol,timestamp,open,high,low,close,volume
1INCHUSDT,2025-04-26 14:40:00,0.1995,0.1996,0.1995,0.1996,220.9
1INCHUSDT,2025-04-26 14:45:00,0.1996,0.1997,0.1995,0.1995,1513.6
1INCHUSDT,2025-04-26 14:50:00,0.1995,0.1996,0.1995,0.1996,294.1
1INCHUSDT,2025-04-26 14:55:00,0.1996,0.2002,0.1996,0.2002,100075.0
1INCHUSDT,2025-04-26 15:00:00,0.2002,0.2002,0.1994,0.1996,92936.9
1INCHUSDT,2025-04-26 15:05:00,0.1996,0.2005,0.1996,0.2004,25303.0
1INCHUSDT,2025-04-26 15:10:00,0.2004,0.2011,0.2004,0.2009,9144.4
1INCHUSDT,2025-04-26 15:15:00,0.2009,0.2011,0.2009,0.2011,667.6
1INCHUSDT,2025-04-26 15:20:00,0.2011,0.2021,0.2011,0.2021,1879.7
1INCHUSDT,2025-04-26 15:25:00,0.2021,0.2025,0.2021,0.2025,2553.4
1INCHUSDT,2025-04-26 15:30:00,0.2025,0.2025,0.202,0.202,25054.4
1INCHUSDT,2025-04-26 15:35:00,0.202,0.2024,0.2019,0.2024,5148.3
1INCHUSDT,2025-04-26 15:40:00,0.2024,0.2025,0.2023,0.2025,21344.0
1INCHUSDT,2025-04-26 15:45:00,0.2025,0.2025,0.2023,0.2023,1967.0
1INCHUSDT,2025-04-26 15:50:00,0.2023,0.2026,0.2023,0.2026,1113.6
1INCHUSDT,2025-04-26 15:55:00,0.2026,0.2026,0.2026,0.2026,0.0
1INCHUSDT,2025-04-26 16:00:00,0.2026,0.2026,0.2023,0.2023,1083.3
1INCHUSDT,2025-04-26 16:05:00,0.2023,0.2023,0.2016,0.2017,34298.1
1INCHUSDT,2025-04-26 16:10:00,0.2017,0.2018,0.2015,0.2015,2061.4
1INCHUSDT,2025-04-26 16:15:00,0.2015,0.2022,0.2015,0.2022,986.2
1INCHUSDT,2025-04-26 16:20:00,0.2022,0.2024,0.2021,0.2024,926.2
1INCHUSDT,2025-04-26 16:25:00,0.2024,0.2031,0.2024,0.203,9395.7
1INCHUSDT,2025-04-26 16:30:00,0.203,0.203,0.2027,0.2027,3763.9
1INCHUSDT,2025-04-26 16:35:00,0.2027,0.2027,0.2024,0.2025,2592.6
1INCHUSDT,2025-04-26 16:40:00,0.2025,0.2025,0.202,0.202,819.6
1INCHUSDT,2025-04-26 16:45:00,0.202,0.2027,0.202,0.2025,954.7
1INCHUSDT,2025-04-26 16:50:00,0.2025,0.2026,0.2022,0.2024,1520.3
1INCHUSDT,2025-04-26 16:55:00,0.2024,0.2028,0.2023,0.2028,630.7
1INCHUSDT,2025-04-26 17:00:00,0.2028,0.2028,0.2019,0.2019,109383.8
1INCHUSDT,2025-04-26 17:05:00,0.2019,0.2019,0.2019,0.2019,215.1
1INCHUSDT,2025-04-26 17:10:00,0.2019,0.2019,0.2016,0.2016,5102.5
1INCHUSDT,2025-04-26 17:15:00,0.2016,0.2019,0.2016,0.2017,15124.1
1INCHUSDT,2025-04-26 17:20:00,0.2017,0.2017,0.2014,0.2014,6724.3
1INCHUSDT,2025-04-26 17:25:00,0.2014,0.2018,0.2014,0.2018,226.0
1INCHUSDT,2025-04-26 17:30:00,0.2018,0.2018,0.2018,0.2018,0.0
1INCHUSDT,2025-04-26 17:35:00,0.2018,0.2025,0.2018,0.2025,434.0
1INCHUSDT,2025-04-26 17:40:00,0.2025,0.2027,0.2025,0.2027,2063.7
1INCHUSDT,2025-04-26 17:45:00,0.2027,0.2033,0.2027,0.2033,58399.8
1INCHUSDT,2025-04-26 17:50:00,0.2033,0.2033,0.2028,0.2029,1138.4
1INCHUSDT,2025-04-26 17:55:00,0.2029,0.2029,0.2028,0.2028,2703.5
1INCHUSDT,2025-04-26 18:00:00,0.2028,0.2028,0.2027,0.2027,816.2
1INCHUSDT,2025-04-26 18:05:00,0.2027,0.2027,0.2027,0.2027,0.0
1INCHUSDT,2025-04-26 18:10:00,0.2027,0.2027,0.2027,0.2027,0.0
1INCHUSDT,2025-04-26 18:15:00,0.2027,0.2027,0.2027,0.2027,0.0
1INCHUSDT,2025-04-26 18:20:00,0.2027,0.2038,0.2027,0.2038,10838.3
1INCHUSDT,2025-04-26 18:25:00,0.2038,0.2038,0.2037,0.2038,2956.1
1INCHUSDT,2025-04-26 18:30:00,0.2038,0.2043,0.2035,0.2042,144923.3
1INCHUSDT,2025-04-26 18:35:00,0.2042,0.2042,0.204,0.204,7340.6
1INCHUSDT,2025-04-26 18:40:00,0.204,0.204,0.203,0.2032,29340.1
1INCHUSDT,2025-04-26 18:45:00,0.2032,0.2032,0.203,0.2031,3125.8
1INCHUSDT,2025-04-26 18:50:00,0.2031,0.2031,0.2031,0.2031,0.0
1INCHUSDT,2025-04-26 18:55:00,0.2031,0.2031,0.2019,0.2019,43149.3
1INCHUSDT,2025-04-26 19:00:00,0.2019,0.2019,0.2019,0.2019,467.1
1INCHUSDT,2025-04-26 19:05:00,0.2019,0.2021,0.2019,0.202,386.1
1INCHUSDT,2025-04-26 19:10:00,0.202,0.202,0.2019,0.2019,5267.4
1INCHUSDT,2025-04-26 19:15:00,0.2019,0.2022,0.2019,0.2021,1595.0
1INCHUSDT,2025-04-26 19:20:00,0.2021,0.2021,0.2021,0.2021,0.0
1INCHUSDT,2025-04-26 19:25:00,0.2021,0.2028,0.2021,0.2027,3683.7
1INCHUSDT,2025-04-26 19:30:00,0.2027,0.2027,0.2023,0.2023,154.4
1INCHUSDT,2025-04-26 19:35:00,0.2023,0.2027,0.2023,0.2026,756.8
1INCHUSDT,2025-04-26 19:40:00,0.2026,0.2026,0.2023,0.2024,1568.2
1INCHUSDT,2025-04-26 19:45:00,0.2024,0.2024,0.202,0.2023,6686.1
1INCHUSDT,2025-04-26 19:50:00,0.2023,0.2023,0.2023,0.2023,0.0
1INCHUSDT,2025-04-26 19:55:00,0.2023,0.2023,0.2021,0.2021,154.2
1INCHUSDT,2025-04-26 20:00:00,0.2021,0.2024,0.2021,0.2022,1719.8
1INCHUSDT,2025-04-26 20:05:00,0.2022,0.2024,0.2021,0.2024,1125.6
1INCHUSDT,2025-04-26 20:10:00,0.2024,0.2024,0.2021,0.2021,3486.8
1INCHUSDT,2025-04-26 20:15:00,0.2021,0.2021,0.2019,0.2019,675.0
1INCHUSDT,2025-04-26 20:20:00,0.2019,0.2019,0.2019,0.2019,0.0
1INCHUSDT,2025-04-26 20:25:00,0.2019,0.2019,0.2019,0.2019,258.5
1INCHUSDT,2025-04-26 20:30:00,0.2019,0.2019,0.2019,0.2019,0.0
1INCHUSDT,2025-04-26 20:35:00,0.2019,0.2019,0.2019,0.2019,2608.6
1INCHUSDT,2025-04-26 20:40:00,0.2019,0.2019,0.2019,0.2019,0.0
1INCHUSDT,2025-04-26 20:45:00,0.2019,0.2019,0.2019,0.2019,0.0
1INCHUSDT,2025-04-26 20:50:00,0.2019,0.2025,0.2019,0.2025,81.1
1INCHUSDT,2025-04-26 20:55:00,0.2025,0.2025,0.2022,0.2022,151.2
1INCHUSDT,2025-04-26 21:00:00,0.2022,0.2024,0.2022,0.2024,10156.4
1INCHUSDT,2025-04-26 21:05:00,0.2024,0.203,0.2024,0.203,583.7
1INCHUSDT,2025-04-26 21:10:00,0.203,0.2033,0.203,0.2033,579.5
1INCHUSDT,2025-04-26 21:15:00,0.2033,0.2033,0.2033,0.2033,0.0
1INCHUSDT,2025-04-26 21:20:00,0.2033,0.2033,0.2023,0.2028,3252.5
1INCHUSDT,2025-04-26 21:25:00,0.2028,0.2031,0.2028,0.2029,1668.4
1INCHUSDT,2025-04-26 21:30:00,0.2029,0.2038,0.2029,0.2038,2068.9
1INCHUSDT,2025-04-26 21:35:00,0.2038,0.2038,0.2033,0.2034,3825.0
1INCHUSDT,2025-04-26 21:40:00,0.2034,0.2037,0.2034,0.2037,2820.5
1INCHUSDT,2025-04-26 21:45:00,0.2037,0.204,0.2033,0.2033,2229.4
1INCHUSDT,2025-04-26 21:50:00,0.2033,0.2034,0.2031,0.2031,3908.9
1INCHUSDT,2025-04-26 21:55:00,0.2031,0.2035,0.2031,0.2035,2561.7
1INCHUSDT,2025-04-26 22:00:00,0.2035,0.2041,0.2035,0.2035,106943.1
1INCHUSDT,2025-04-26 22:05:00,0.2035,0.2039,0.2033,0.2038,4193.0
1INCHUSDT,2025-04-26 22:10:00,0.2038,0.2038,0.2034,0.2035,1684.2
1INCHUSDT,2025-04-26 22:15:00,0.2035,0.204,0.2035,0.204,13716.7
1INCHUSDT,2025-04-26 22:20:00,0.204,0.204,0.2038,0.2038,233.9
1INCHUSDT,2025-04-26 22:25:00,0.2038,0.2038,0.2038,0.2038,0.0
1INCHUSDT,2025-04-26 22:30:00,0.2038,0.2038,0.2036,0.2036,1604.2
1INCHUSDT,2025-04-26 22:35:00,0.2036,0.2036,0.2036,0.2036,0.0
1INCHUSDT,2025-04-26 22:40:00,0.2036,0.2036,0.2036,0.2036,0.0
1INCHUSDT,2025-04-26 22:45:00,0.2036,0.204,0.2036,0.204,164.8
1INCHUSDT,2025-04-26 22:50:00,0.204,0.204,0.2039,0.2039,200.0
1INCHUSDT,2025-04-26 22:55:00,0.2039,0.2039,0.2035,0.2035,247.4
1INCHUSDT,2025-04-26 23:00:00,0.2035,0.2035,0.2035,0.2035,47.9
1INCHUSDT,2025-04-26 23:05:00,0.2035,0.2037,0.2035,0.2037,1399.7
1INCHUSDT,2025-04-26 23:10:00,0.2037,0.2037,0.2037,0.2037,0.0
1INCHUSDT,2025-04-26 23:15:00,0.2037,0.2037,0.2036,0.2036,2759.1
1INCHUSDT,2025-04-26 23:20:00,0.2036,0.204,0.2036,0.204,206.1
1INCHUSDT,2025-04-26 23:25:00,0.204,0.2044,0.204,0.2044,883.4
1INCHUSDT,2025-04-26 23:30:00,0.2044,0.2046,0.2044,0.2045,1124.5
1INCHUSDT,2025-04-26 23:35:00,0.2045,0.2046,0.2042,0.2042,2090.8
1INCHUSDT,2025-04-26 23:40:00,0.2042,0.2042,0.2042,0.2042,0.0
1INCHUSDT,2025-04-26 23:45:00,0.2042,0.2049,0.2042,0.2049,1044.1
1INCHUSDT,2025-04-26 23:50:00,0.2049,0.2052,0.2049,0.2051,704.9
1INCHUSDT,2025-04-26 23:55:00,0.2051,0.2051,0.2048,0.2048,21766.7
1INCHUSDT,2025-04-27 00:00:00,0.2048,0.2049,0.2041,0.2043,16044.9
1INCHUSDT,2025-04-27 00:05:00,0.2043,0.2054,0.2042,0.2049,2078.2
1INCHUSDT,2025-04-27 00:10:00,0.2049,0.2052,0.2049,0.2052,2311.4
1INCHUSDT,2025-04-27 00:15:00,0.2052,0.206,0.2052,0.206,2999.9
1INCHUSDT,2025-04-27 00:20:00,0.206,0.2061,0.2054,0.2054,1079.6
1INCHUSDT,2025-04-27 00:25:00,0.2054,0.2058,0.2054,0.2055,251.8
1INCHUSDT,2025-04-27 00:30:00,0.2055,0.2055,0.2046,0.2047,5761.2
1INCHUSDT,2025-04-27 00:35:00,0.2047,0.2047,0.2039,0.204,11252.7
1INCHUSDT,2025-04-27 00:40:00,0.204,0.2045,0.204,0.2044,642.8
1INCHUSDT,2025-04-27 00:45:00,0.2044,0.2044,0.2031,0.2032,1830.2
1INCHUSDT,2025-04-27 00:50:00,0.2032,0.2033,0.2032,0.2033,143.8
1INCHUSDT,2025-04-27 00:55:00,0.2033,0.204,0.2033,0.2037,31876.8
1INCHUSDT,2025-04-27 01:00:00,0.2037,0.2037,0.2036,0.2036,152.4
1INCHUSDT,2025-04-27 01:05:00,0.2036,0.2038,0.2035,0.2035,4922.9
1INCHUSDT,2025-04-27 01:10:00,0.2035,0.2038,0.2033,0.2035,732.7
1INCHUSDT,2025-04-27 01:15:00,0.2035,0.2035,0.2031,0.2034,1710.7
1INCHUSDT,2025-04-27 01:20:00,0.2034,0.2034,0.1988,0.2002,216399.6
1INCHUSDT,2025-04-27 01:25:00,0.2002,0.2006,0.1998,0.2005,11444.8
1INCHUSDT,2025-04-27 01:30:00,0.2005,0.2005,0.1988,0.1989,3340.2
1INCHUSDT,2025-04-27 01:35:00,0.1989,0.1999,0.1988,0.1998,9879.8
1INCHUSDT,2025-04-27 01:40:00,0.1998,0.1998,0.1996,0.1996,718.0
1INCHUSDT,2025-04-27 01:45:00,0.1996,0.1997,0.1992,0.1992,791.8
1INCHUSDT,2025-04-27 01:50:00,0.1992,0.1994,0.1988,0.1988,1905.1
1INCHUSDT,2025-04-27 01:55:00,0.1988,0.1988,0.1981,0.1981,492118.1
