symbol,timestamp,open,high,low,close,volume
AAVEUSDT,2025-04-26 14:40:00,166.57,166.89,166.46,166.75,203.1
AAVEUSDT,2025-04-26 14:45:00,166.75,166.81,166.41,166.59,60.9
AAVEUSDT,2025-04-26 14:50:00,166.59,166.7,166.42,166.58,64.2
AAVEUSDT,2025-04-26 14:55:00,166.58,166.84,166.46,166.46,22.4
AAVEUSDT,2025-04-26 15:00:00,166.46,166.91,166.46,166.91,21.9
AAVEUSDT,2025-04-26 15:05:00,166.91,167.32,166.82,167.16,79.9
AAVEUSDT,2025-04-26 15:10:00,167.16,167.37,166.93,167.15,25.5
AAVEUSDT,2025-04-26 15:15:00,167.15,167.9,167.11,167.25,244.4
AAVEUSDT,2025-04-26 15:20:00,167.25,167.69,167.25,167.66,151.9
AAVEUSDT,2025-04-26 15:25:00,167.66,168.05,167.66,168.02,37.8
AAVEUSDT,2025-04-26 15:30:00,168.02,168.02,167.53,167.53,43.6
AAVEUSDT,2025-04-26 15:35:00,167.53,167.81,167.52,167.62,61.8
AAVEUSDT,2025-04-26 15:40:00,167.62,167.77,167.4,167.54,5.3
AAVEUSDT,2025-04-26 15:45:00,167.54,167.85,167.15,167.83,11.9
AAVEUSDT,2025-04-26 15:50:00,167.83,168.17,167.7,168.01,30.0
AAVEUSDT,2025-04-26 15:55:00,168.01,168.1,167.82,167.82,58.8
AAVEUSDT,2025-04-26 16:00:00,167.82,167.9,167.71,167.85,115.6
AAVEUSDT,2025-04-26 16:05:00,167.85,167.85,167.16,167.16,166.6
AAVEUSDT,2025-04-26 16:10:00,167.16,167.56,167.12,167.56,18.1
AAVEUSDT,2025-04-26 16:15:00,167.56,167.75,167.33,167.66,34.6
AAVEUSDT,2025-04-26 16:20:00,167.66,168.0,167.66,168.0,557.0
AAVEUSDT,2025-04-26 16:25:00,168.0,168.16,168.0,168.16,3.2
AAVEUSDT,2025-04-26 16:30:00,168.16,168.33,167.83,167.91,60.0
AAVEUSDT,2025-04-26 16:35:00,167.91,167.91,167.47,167.55,10.8
AAVEUSDT,2025-04-26 16:40:00,167.55,167.55,166.44,166.75,508.7
AAVEUSDT,2025-04-26 16:45:00,166.75,167.29,166.64,167.24,579.1
AAVEUSDT,2025-04-26 16:50:00,167.24,167.37,166.87,167.23,26.0
AAVEUSDT,2025-04-26 16:55:00,167.23,167.4,167.08,167.38,41.8
AAVEUSDT,2025-04-26 17:00:00,167.38,167.39,167.05,167.31,25.2
AAVEUSDT,2025-04-26 17:05:00,167.31,167.4,167.22,167.28,12.2
AAVEUSDT,2025-04-26 17:10:00,167.28,167.51,166.83,166.9,6.5
AAVEUSDT,2025-04-26 17:15:00,166.9,167.24,166.88,167.24,32.3
AAVEUSDT,2025-04-26 17:20:00,167.24,167.38,166.85,167.38,40.4
AAVEUSDT,2025-04-26 17:25:00,167.38,167.93,167.38,167.89,79.8
AAVEUSDT,2025-04-26 17:30:00,167.89,168.13,167.89,168.03,107.1
AAVEUSDT,2025-04-26 17:35:00,168.03,168.17,167.89,167.96,245.7
AAVEUSDT,2025-04-26 17:40:00,167.96,168.41,167.96,168.4,46.8
AAVEUSDT,2025-04-26 17:45:00,168.4,168.47,168.25,168.4,34.5
AAVEUSDT,2025-04-26 17:50:00,168.4,168.41,168.12,168.23,65.7
AAVEUSDT,2025-04-26 17:55:00,168.23,168.23,168.09,168.23,32.7
AAVEUSDT,2025-04-26 18:00:00,168.23,168.23,167.75,167.95,20.8
AAVEUSDT,2025-04-26 18:05:00,167.95,168.51,167.95,168.5,59.9
AAVEUSDT,2025-04-26 18:10:00,168.5,168.67,167.86,167.86,602.5
AAVEUSDT,2025-04-26 18:15:00,167.86,168.04,167.7,168.04,38.7
AAVEUSDT,2025-04-26 18:20:00,168.04,168.4,167.99,168.38,10.9
AAVEUSDT,2025-04-26 18:25:00,168.38,168.74,168.37,168.63,39.4
AAVEUSDT,2025-04-26 18:30:00,168.63,168.76,168.46,168.76,44.6
AAVEUSDT,2025-04-26 18:35:00,168.76,169.07,168.71,169.04,133.1
AAVEUSDT,2025-04-26 18:40:00,169.04,169.11,169.01,169.09,21.9
AAVEUSDT,2025-04-26 18:45:00,169.09,169.47,169.09,169.47,39.9
AAVEUSDT,2025-04-26 18:50:00,169.47,169.9,169.4,169.59,96.6
AAVEUSDT,2025-04-26 18:55:00,169.59,169.59,169.06,169.07,114.6
AAVEUSDT,2025-04-26 19:00:00,169.07,169.85,169.02,169.85,41.8
AAVEUSDT,2025-04-26 19:05:00,169.85,169.86,169.35,169.36,35.9
AAVEUSDT,2025-04-26 19:10:00,169.36,169.74,169.18,169.65,41.0
AAVEUSDT,2025-04-26 19:15:00,169.65,169.83,169.5,169.83,46.8
AAVEUSDT,2025-04-26 19:20:00,169.83,170.05,169.65,170.01,69.7
AAVEUSDT,2025-04-26 19:25:00,170.01,170.32,169.94,170.05,81.2
AAVEUSDT,2025-04-26 19:30:00,170.05,170.05,169.36,169.96,19.7
AAVEUSDT,2025-04-26 19:35:00,169.96,170.33,169.96,170.21,19.5
AAVEUSDT,2025-04-26 19:40:00,170.21,170.31,169.96,170.22,149.5
AAVEUSDT,2025-04-26 19:45:00,170.22,170.55,169.98,169.98,220.8
AAVEUSDT,2025-04-26 19:50:00,169.98,170.66,169.98,170.55,24.5
AAVEUSDT,2025-04-26 19:55:00,170.55,171.24,170.55,171.24,93.1
AAVEUSDT,2025-04-26 20:00:00,171.24,171.59,171.08,171.43,469.6
AAVEUSDT,2025-04-26 20:05:00,171.43,171.53,171.03,171.17,350.8
AAVEUSDT,2025-04-26 20:10:00,171.17,171.34,170.52,170.52,302.9
AAVEUSDT,2025-04-26 20:15:00,170.52,170.6,170.12,170.13,269.6
AAVEUSDT,2025-04-26 20:20:00,170.13,170.44,170.0,170.05,104.5
AAVEUSDT,2025-04-26 20:25:00,170.05,170.26,169.93,170.24,121.9
AAVEUSDT,2025-04-26 20:30:00,170.24,170.61,170.2,170.61,236.1
AAVEUSDT,2025-04-26 20:35:00,170.61,170.61,170.03,170.15,62.2
AAVEUSDT,2025-04-26 20:40:00,170.15,170.35,169.96,169.96,56.7
AAVEUSDT,2025-04-26 20:45:00,169.96,170.35,169.96,170.23,6.8
AAVEUSDT,2025-04-26 20:50:00,170.23,170.25,169.64,169.64,37.7
AAVEUSDT,2025-04-26 20:55:00,169.64,170.06,169.6,169.73,13.2
AAVEUSDT,2025-04-26 21:00:00,169.73,170.29,169.73,170.05,14.7
AAVEUSDT,2025-04-26 21:05:00,170.05,170.23,169.87,170.23,29.1
AAVEUSDT,2025-04-26 21:10:00,170.23,170.53,170.1,170.52,13.7
AAVEUSDT,2025-04-26 21:15:00,170.52,170.88,170.42,170.7,152.7
AAVEUSDT,2025-04-26 21:20:00,170.7,171.59,170.55,171.59,32.5
AAVEUSDT,2025-04-26 21:25:00,171.59,171.71,170.95,170.95,258.2
AAVEUSDT,2025-04-26 21:30:00,170.95,171.38,170.95,171.12,89.5
AAVEUSDT,2025-04-26 21:35:00,171.12,171.16,170.56,170.68,98.2
AAVEUSDT,2025-04-26 21:40:00,170.68,170.69,170.56,170.61,17.8
AAVEUSDT,2025-04-26 21:45:00,170.61,170.66,170.31,170.35,17.0
AAVEUSDT,2025-04-26 21:50:00,170.35,170.35,169.95,170.15,150.7
AAVEUSDT,2025-04-26 21:55:00,170.15,170.62,170.0,170.4,472.2
AAVEUSDT,2025-04-26 22:00:00,170.4,170.91,170.4,170.91,127.5
AAVEUSDT,2025-04-26 22:05:00,170.91,171.89,170.85,171.76,91.2
AAVEUSDT,2025-04-26 22:10:00,171.76,172.27,171.54,172.25,272.4
AAVEUSDT,2025-04-26 22:15:00,172.25,172.93,171.91,172.76,250.1
AAVEUSDT,2025-04-26 22:20:00,172.76,172.89,172.1,172.45,129.3
AAVEUSDT,2025-04-26 22:25:00,172.45,172.53,171.82,171.82,47.1
AAVEUSDT,2025-04-26 22:30:00,171.82,171.93,171.51,171.85,23.5
AAVEUSDT,2025-04-26 22:35:00,171.85,172.85,171.78,172.68,230.7
AAVEUSDT,2025-04-26 22:40:00,172.68,172.75,172.47,172.75,130.9
AAVEUSDT,2025-04-26 22:45:00,172.75,172.75,172.15,172.28,108.6
AAVEUSDT,2025-04-26 22:50:00,172.28,172.42,171.92,171.94,50.1
AAVEUSDT,2025-04-26 22:55:00,171.94,172.12,171.66,172.12,23.3
AAVEUSDT,2025-04-26 23:00:00,172.12,172.52,172.06,172.11,172.4
AAVEUSDT,2025-04-26 23:05:00,172.11,172.46,171.89,172.45,16.1
AAVEUSDT,2025-04-26 23:10:00,172.45,172.5,172.14,172.22,148.4
AAVEUSDT,2025-04-26 23:15:00,172.22,172.53,172.04,172.53,14.5
AAVEUSDT,2025-04-26 23:20:00,172.53,172.76,172.27,172.76,6.4
AAVEUSDT,2025-04-26 23:25:00,172.76,172.76,172.46,172.73,32.3
AAVEUSDT,2025-04-26 23:30:00,172.73,172.73,172.25,172.71,118.3
AAVEUSDT,2025-04-26 23:35:00,172.71,173.1,172.49,172.55,603.2
AAVEUSDT,2025-04-26 23:40:00,172.55,172.93,172.55,172.93,24.8
AAVEUSDT,2025-04-26 23:45:00,172.93,173.03,172.34,172.61,129.3
AAVEUSDT,2025-04-26 23:50:00,172.61,172.79,172.38,172.79,70.9
AAVEUSDT,2025-04-26 23:55:00,172.79,172.92,172.6,172.91,42.7
AAVEUSDT,2025-04-27 00:00:00,172.91,174.62,172.82,173.34,867.5
AAVEUSDT,2025-04-27 00:05:00,173.34,174.71,173.26,174.34,352.1
AAVEUSDT,2025-04-27 00:10:00,174.34,175.19,174.3,175.15,176.6
AAVEUSDT,2025-04-27 00:15:00,175.15,177.76,175.15,177.67,817.8
AAVEUSDT,2025-04-27 00:20:00,177.67,177.78,176.55,177.0,444.0
AAVEUSDT,2025-04-27 00:25:00,177.0,178.46,176.66,178.29,647.1
AAVEUSDT,2025-04-27 00:30:00,178.29,178.72,176.95,177.03,400.1
AAVEUSDT,2025-04-27 00:35:00,177.03,178.18,177.03,178.18,456.4
AAVEUSDT,2025-04-27 00:40:00,178.18,179.08,178.1,178.92,337.1
AAVEUSDT,2025-04-27 00:45:00,178.92,179.25,178.53,178.9,352.8
AAVEUSDT,2025-04-27 00:50:00,178.9,179.21,178.21,178.21,510.3
AAVEUSDT,2025-04-27 00:55:00,178.21,178.97,178.15,178.78,221.3
AAVEUSDT,2025-04-27 01:00:00,178.78,178.93,177.48,177.81,298.5
AAVEUSDT,2025-04-27 01:05:00,177.81,178.38,177.56,178.34,118.0
AAVEUSDT,2025-04-27 01:10:00,178.34,178.72,177.4,177.88,570.1
AAVEUSDT,2025-04-27 01:15:00,177.88,178.38,176.42,176.47,84.6
AAVEUSDT,2025-04-27 01:20:00,176.47,176.47,174.6,175.07,752.5
AAVEUSDT,2025-04-27 01:25:00,175.07,175.17,173.8,174.65,479.5
AAVEUSDT,2025-04-27 01:30:00,174.65,174.99,172.18,172.18,700.2
AAVEUSDT,2025-04-27 01:35:00,172.18,173.98,172.18,173.81,1073.3
AAVEUSDT,2025-04-27 01:40:00,173.81,174.47,173.55,174.01,88.8
AAVEUSDT,2025-04-27 01:45:00,174.01,174.11,172.69,173.3,666.4
AAVEUSDT,2025-04-27 01:50:00,173.3,174.17,173.15,173.72,295.2
AAVEUSDT,2025-04-27 01:55:00,173.72,173.94,171.63,171.91,359.4
AAVEUSDT,2025-04-27 02:00:00,171.91,172.7,171.56,172.25,296.3
AAVEUSDT,2025-04-27 02:05:00,172.25,172.76,172.07,172.65,76.4
AAVEUSDT,2025-04-27 02:10:00,172.65,172.85,172.5,172.85,83.2
AAVEUSDT,2025-04-27 02:15:00,172.85,173.16,172.24,173.12,340.5
AAVEUSDT,2025-04-27 02:20:00,173.12,173.42,172.98,173.42,152.3
AAVEUSDT,2025-04-27 02:25:00,173.42,173.48,172.79,172.86,36.0
AAVEUSDT,2025-04-27 02:30:00,172.86,172.86,171.83,171.89,255.9
AAVEUSDT,2025-04-27 02:35:00,171.89,172.45,171.89,172.01,23.4
AAVEUSDT,2025-04-27 02:40:00,172.01,172.14,171.64,171.66,44.4
AAVEUSDT,2025-04-27 02:45:00,171.66,171.72,170.83,170.87,148.9
AAVEUSDT,2025-04-27 02:50:00,170.87,171.44,170.87,171.42,63.7
AAVEUSDT,2025-04-27 02:55:00,171.42,171.62,171.24,171.31,47.5
AAVEUSDT,2025-04-27 03:00:00,171.31,171.73,171.05,171.63,157.3
AAVEUSDT,2025-04-27 03:05:00,171.63,171.83,171.58,171.83,30.4
AAVEUSDT,2025-04-27 03:10:00,171.83,172.13,171.52,171.52,182.7
AAVEUSDT,2025-04-27 03:15:00,171.52,171.79,171.29,171.29,153.8
AAVEUSDT,2025-04-27 03:20:00,171.29,171.29,170.82,171.05,69.0
AAVEUSDT,2025-04-27 03:25:00,171.05,171.05,170.43,170.71,96.3
AAVEUSDT,2025-04-27 03:30:00,170.71,171.14,170.54,171.12,9.9
AAVEUSDT,2025-04-27 03:35:00,171.12,171.36,171.12,171.34,80.3
AAVEUSDT,2025-04-27 03:40:00,171.34,171.39,170.87,170.87,14.6
AAVEUSDT,2025-04-27 03:45:00,170.87,171.26,170.72,170.72,80.2
AAVEUSDT,2025-04-27 03:50:00,170.72,170.75,170.26,170.26,15.1
AAVEUSDT,2025-04-27 03:55:00,170.26,170.74,170.26,170.7,36.0
AAVEUSDT,2025-04-27 04:00:00,170.7,170.93,170.44,170.52,21.4
AAVEUSDT,2025-04-27 04:05:00,170.52,170.56,170.11,170.56,84.6
AAVEUSDT,2025-04-27 04:10:00,170.56,170.9,170.54,170.88,4.7
AAVEUSDT,2025-04-27 04:15:00,170.88,170.93,170.45,170.91,27.8
AAVEUSDT,2025-04-27 04:20:00,170.91,171.08,170.55,171.06,7.2
AAVEUSDT,2025-04-27 04:25:00,171.06,171.06,170.5,170.55,26.6
AAVEUSDT,2025-04-27 04:30:00,170.55,170.57,169.71,169.71,273.2
AAVEUSDT,2025-04-27 04:35:00,169.71,169.76,169.19,169.19,111.1
AAVEUSDT,2025-04-27 04:40:00,169.19,169.56,168.99,169.35,61.3
AAVEUSDT,2025-04-27 04:45:00,169.35,169.69,169.02,169.08,15.1
AAVEUSDT,2025-04-27 04:50:00,169.08,169.08,168.42,168.46,86.7
AAVEUSDT,2025-04-27 04:55:00,168.46,169.02,168.46,168.58,30.5
AAVEUSDT,2025-04-27 05:00:00,168.58,169.24,168.41,169.15,46.2
AAVEUSDT,2025-04-27 05:05:00,169.15,169.52,168.86,169.48,102.6
AAVEUSDT,2025-04-27 05:10:00,169.48,169.48,168.91,169.16,77.7
AAVEUSDT,2025-04-27 05:15:00,169.16,169.34,168.68,168.72,21.1
AAVEUSDT,2025-04-27 05:20:00,168.72,168.72,167.82,167.96,489.2
AAVEUSDT,2025-04-27 05:25:00,167.96,168.36,167.64,168.35,421.0
AAVEUSDT,2025-04-27 05:30:00,168.35,168.62,168.07,168.6,18.2
AAVEUSDT,2025-04-27 05:35:00,168.6,168.89,168.49,168.59,105.0
AAVEUSDT,2025-04-27 05:40:00,168.59,168.72,168.41,168.69,56.9
AAVEUSDT,2025-04-27 05:45:00,168.69,169.18,168.63,169.18,68.6
AAVEUSDT,2025-04-27 05:50:00,169.18,169.29,168.68,169.18,460.1
AAVEUSDT,2025-04-27 05:55:00,169.18,169.44,169.02,169.44,114.3
AAVEUSDT,2025-04-27 06:00:00,169.44,169.9,169.43,169.88,90.5
AAVEUSDT,2025-04-27 06:05:00,169.88,170.0,169.56,169.91,34.2
AAVEUSDT,2025-04-27 06:10:00,169.91,170.05,169.71,169.89,37.1
AAVEUSDT,2025-04-27 06:15:00,169.89,170.06,169.69,170.06,306.2
AAVEUSDT,2025-04-27 06:20:00,170.06,170.4,169.9,170.4,38.0
AAVEUSDT,2025-04-27 06:25:00,170.4,170.51,170.11,170.18,138.1
AAVEUSDT,2025-04-27 06:30:00,170.18,170.24,169.75,169.75,53.9
AAVEUSDT,2025-04-27 06:35:00,169.75,169.78,169.22,169.35,32.3
AAVEUSDT,2025-04-27 06:40:00,169.35,169.54,169.04,169.31,57.3
AAVEUSDT,2025-04-27 06:45:00,169.31,169.31,168.95,169.07,130.0
AAVEUSDT,2025-04-27 06:50:00,169.07,169.34,168.91,169.32,107.1
AAVEUSDT,2025-04-27 06:55:00,169.32,169.59,169.29,169.3,38.4
AAVEUSDT,2025-04-27 07:00:00,169.3,169.9,169.24,169.24,52.9
AAVEUSDT,2025-04-27 07:05:00,169.24,169.24,168.66,168.66,90.0
AAVEUSDT,2025-04-27 07:10:00,168.66,168.75,168.36,168.72,90.4
AAVEUSDT,2025-04-27 07:15:00,168.72,169.13,168.72,169.06,19.3
AAVEUSDT,2025-04-27 07:20:00,169.06,169.35,168.88,168.88,28.6
AAVEUSDT,2025-04-27 07:25:00,168.88,169.24,168.75,169.11,56.1
AAVEUSDT,2025-04-27 07:30:00,169.11,169.43,168.81,168.83,53.1
AAVEUSDT,2025-04-27 07:35:00,168.83,168.96,168.69,168.91,27.8
AAVEUSDT,2025-04-27 07:40:00,168.91,169.01,168.78,169.01,13.4
AAVEUSDT,2025-04-27 07:45:00,169.01,169.39,168.71,169.36,83.8
AAVEUSDT,2025-04-27 07:50:00,169.36,169.37,169.01,169.16,8.9
AAVEUSDT,2025-04-27 07:55:00,169.16,169.23,168.82,169.14,71.3
AAVEUSDT,2025-04-27 08:00:00,169.14,169.14,168.5,168.5,45.0
AAVEUSDT,2025-04-27 08:05:00,168.5,168.96,168.48,168.96,32.9
AAVEUSDT,2025-04-27 08:10:00,168.96,169.38,168.87,169.29,123.2
AAVEUSDT,2025-04-27 08:15:00,169.29,170.11,169.04,169.61,147.5
AAVEUSDT,2025-04-27 08:20:00,169.61,169.78,169.46,169.46,45.8
AAVEUSDT,2025-04-27 08:25:00,169.46,169.64,169.35,169.57,76.6
AAVEUSDT,2025-04-27 08:30:00,169.57,169.91,169.4,169.53,77.1
AAVEUSDT,2025-04-27 08:35:00,169.53,169.57,169.26,169.42,100.8
AAVEUSDT,2025-04-27 08:40:00,169.42,169.77,169.33,169.77,20.3
AAVEUSDT,2025-04-27 08:45:00,169.77,170.57,169.69,170.44,109.8
AAVEUSDT,2025-04-27 08:50:00,170.44,170.88,170.37,170.62,129.7
AAVEUSDT,2025-04-27 08:55:00,170.62,170.64,170.24,170.61,32.9
AAVEUSDT,2025-04-27 09:00:00,170.61,170.61,169.93,169.93,26.2
AAVEUSDT,2025-04-27 09:05:00,169.93,170.23,169.5,169.52,103.3
AAVEUSDT,2025-04-27 09:10:00,169.52,169.53,169.21,169.34,71.0
AAVEUSDT,2025-04-27 09:15:00,169.34,169.88,169.34,169.83,64.9
AAVEUSDT,2025-04-27 09:20:00,169.83,169.84,169.37,169.45,19.2
AAVEUSDT,2025-04-27 09:25:00,169.45,169.71,169.41,169.65,68.6
AAVEUSDT,2025-04-27 09:30:00,169.65,169.87,169.61,169.81,14.0
AAVEUSDT,2025-04-27 09:35:00,169.81,169.97,169.67,169.94,49.3
AAVEUSDT,2025-04-27 09:40:00,169.94,170.68,169.84,170.68,97.3
AAVEUSDT,2025-04-27 09:45:00,170.68,170.74,170.39,170.49,112.5
AAVEUSDT,2025-04-27 09:50:00,170.49,170.84,170.43,170.79,72.8
AAVEUSDT,2025-04-27 09:55:00,170.79,170.83,170.56,170.63,51.6
AAVEUSDT,2025-04-27 10:00:00,170.63,170.66,170.14,170.23,85.4
AAVEUSDT,2025-04-27 10:05:00,170.23,170.63,170.17,170.51,44.7
AAVEUSDT,2025-04-27 10:10:00,170.51,170.54,170.15,170.15,11.3
AAVEUSDT,2025-04-27 10:15:00,170.15,170.36,170.14,170.24,14.5
AAVEUSDT,2025-04-27 10:20:00,170.24,170.27,170.16,170.21,12.0
AAVEUSDT,2025-04-27 10:25:00,170.21,170.36,169.76,169.82,30.4
AAVEUSDT,2025-04-27 10:30:00,169.82,169.85,169.58,169.81,39.8
AAVEUSDT,2025-04-27 10:35:00,169.81,169.92,169.2,169.25,137.8
AAVEUSDT,2025-04-27 10:40:00,169.25,169.79,169.25,169.79,30.9
AAVEUSDT,2025-04-27 10:45:00,169.79,170.09,169.51,169.75,32.6
AAVEUSDT,2025-04-27 10:50:00,169.75,169.94,169.68,169.7,28.2
AAVEUSDT,2025-04-27 10:55:00,169.7,169.91,169.61,169.91,21.4
AAVEUSDT,2025-04-27 11:00:00,169.91,169.95,169.61,169.66,193.4
AAVEUSDT,2025-04-27 11:05:00,169.66,170.05,169.64,169.64,30.6
AAVEUSDT,2025-04-27 11:10:00,169.64,169.87,169.64,169.73,14.4
AAVEUSDT,2025-04-27 11:15:00,169.73,170.16,169.7,170.16,100.3
