symbol,timestamp,open,high,low,close,volume
ACEUSDT,2025-04-26 14:40:00,0.6367,0.6395,0.6367,0.6391,5453.79
ACEUSDT,2025-04-26 14:45:00,0.6391,0.6391,0.6365,0.6374,3811.55
ACEUSDT,2025-04-26 14:50:00,0.6374,0.6383,0.6366,0.6376,2773.39
ACEUSDT,2025-04-26 14:55:00,0.6376,0.6376,0.636,0.6361,3335.86
ACEUSDT,2025-04-26 15:00:00,0.6361,0.6386,0.6361,0.6375,2886.54
ACEUSDT,2025-04-26 15:05:00,0.6375,0.6403,0.6367,0.6399,1572.19
ACEUSDT,2025-04-26 15:10:00,0.6399,0.6401,0.638,0.6384,1756.07
ACEUSDT,2025-04-26 15:15:00,0.6384,0.6405,0.6375,0.6376,2793.53
ACEUSDT,2025-04-26 15:20:00,0.6376,0.6414,0.6376,0.6408,2805.6
ACEUSDT,2025-04-26 15:25:00,0.6408,0.6426,0.6403,0.6421,1695.81
ACEUSDT,2025-04-26 15:30:00,0.6421,0.6421,0.6402,0.6406,1175.64
ACEUSDT,2025-04-26 15:35:00,0.6406,0.6428,0.6401,0.6419,4005.74
ACEUSDT,2025-04-26 15:40:00,0.6419,0.6425,0.6419,0.6425,788.91
ACEUSDT,2025-04-26 15:45:00,0.6425,0.6435,0.642,0.643,2841.7
ACEUSDT,2025-04-26 15:50:00,0.643,0.645,0.643,0.6445,3649.49
ACEUSDT,2025-04-26 15:55:00,0.6445,0.6456,0.6445,0.6448,1404.97
ACEUSDT,2025-04-26 16:00:00,0.6448,0.6448,0.6429,0.6446,642.19
ACEUSDT,2025-04-26 16:05:00,0.6446,0.6447,0.6405,0.6405,3566.6
ACEUSDT,2025-04-26 16:10:00,0.6405,0.6416,0.64,0.6414,2317.39
ACEUSDT,2025-04-26 16:15:00,0.6414,0.6433,0.6402,0.6423,4304.9
ACEUSDT,2025-04-26 16:20:00,0.6423,0.6423,0.6408,0.642,1407.03
ACEUSDT,2025-04-26 16:25:00,0.642,0.6427,0.6414,0.6414,981.76
ACEUSDT,2025-04-26 16:30:00,0.6414,0.6414,0.6389,0.6389,2904.11
ACEUSDT,2025-04-26 16:35:00,0.6389,0.6403,0.6381,0.6392,1604.76
ACEUSDT,2025-04-26 16:40:00,0.6392,0.6393,0.6356,0.6356,10572.38
ACEUSDT,2025-04-26 16:45:00,0.6356,0.6394,0.6353,0.6394,5263.48
ACEUSDT,2025-04-26 16:50:00,0.6394,0.6399,0.638,0.6392,2325.56
ACEUSDT,2025-04-26 16:55:00,0.6392,0.6398,0.6389,0.6398,2582.87
ACEUSDT,2025-04-26 17:00:00,0.6398,0.6398,0.638,0.6384,1039.34
ACEUSDT,2025-04-26 17:05:00,0.6384,0.639,0.6376,0.6385,4931.16
ACEUSDT,2025-04-26 17:10:00,0.6385,0.6385,0.6348,0.6352,2080.51
ACEUSDT,2025-04-26 17:15:00,0.6352,0.6374,0.6352,0.6374,1165.08
ACEUSDT,2025-04-26 17:20:00,0.6374,0.6386,0.636,0.6386,9789.12
ACEUSDT,2025-04-26 17:25:00,0.6386,0.6394,0.6371,0.6392,1339.06
ACEUSDT,2025-04-26 17:30:00,0.6392,0.6392,0.6376,0.6384,997.79
ACEUSDT,2025-04-26 17:35:00,0.6384,0.6384,0.6351,0.6356,2698.41
ACEUSDT,2025-04-26 17:40:00,0.6356,0.6376,0.6352,0.6375,2291.86
ACEUSDT,2025-04-26 17:45:00,0.6375,0.6376,0.6369,0.6372,2241.04
ACEUSDT,2025-04-26 17:50:00,0.6372,0.6388,0.6372,0.6383,3878.99
ACEUSDT,2025-04-26 17:55:00,0.6383,0.6383,0.6369,0.6379,2424.02
ACEUSDT,2025-04-26 18:00:00,0.6379,0.6379,0.6358,0.6365,835.52
ACEUSDT,2025-04-26 18:05:00,0.6365,0.638,0.6365,0.6379,942.49
ACEUSDT,2025-04-26 18:10:00,0.6379,0.6387,0.6354,0.6354,1138.58
ACEUSDT,2025-04-26 18:15:00,0.6354,0.6366,0.6351,0.6364,1172.09
ACEUSDT,2025-04-26 18:20:00,0.6364,0.6373,0.636,0.6369,1902.2
ACEUSDT,2025-04-26 18:25:00,0.6369,0.6377,0.6369,0.6374,1018.19
ACEUSDT,2025-04-26 18:30:00,0.6374,0.6374,0.6364,0.6366,1235.08
ACEUSDT,2025-04-26 18:35:00,0.6366,0.6367,0.6357,0.6364,766.08
ACEUSDT,2025-04-26 18:40:00,0.6364,0.6364,0.6349,0.6354,1013.19
ACEUSDT,2025-04-26 18:45:00,0.6354,0.637,0.6354,0.637,1441.74
ACEUSDT,2025-04-26 18:50:00,0.637,0.637,0.6358,0.6359,1137.25
ACEUSDT,2025-04-26 18:55:00,0.6359,0.6359,0.6343,0.6346,1086.44
ACEUSDT,2025-04-26 19:00:00,0.6346,0.6346,0.6332,0.6342,977.56
ACEUSDT,2025-04-26 19:05:00,0.6342,0.6342,0.6319,0.6319,3327.28
ACEUSDT,2025-04-26 19:10:00,0.6319,0.6325,0.6315,0.6322,790.97
ACEUSDT,2025-04-26 19:15:00,0.6322,0.6329,0.6317,0.6318,600.49
ACEUSDT,2025-04-26 19:20:00,0.6318,0.633,0.6316,0.6316,761.82
ACEUSDT,2025-04-26 19:25:00,0.6316,0.6346,0.6316,0.6343,553.23
ACEUSDT,2025-04-26 19:30:00,0.6343,0.6351,0.6343,0.6351,1584.51
ACEUSDT,2025-04-26 19:35:00,0.6351,0.6362,0.6349,0.636,2893.97
ACEUSDT,2025-04-26 19:40:00,0.636,0.6363,0.6353,0.6355,658.43
ACEUSDT,2025-04-26 19:45:00,0.6355,0.6364,0.6352,0.6354,1625.31
ACEUSDT,2025-04-26 19:50:00,0.6354,0.6372,0.6348,0.6365,1473.41
ACEUSDT,2025-04-26 19:55:00,0.6365,0.6369,0.6362,0.6369,3242.2
ACEUSDT,2025-04-26 20:00:00,0.6369,0.6374,0.6362,0.6362,567.06
ACEUSDT,2025-04-26 20:05:00,0.6362,0.6363,0.6354,0.6356,1156.78
ACEUSDT,2025-04-26 20:10:00,0.6356,0.6362,0.6343,0.6346,764.47
ACEUSDT,2025-04-26 20:15:00,0.6346,0.6365,0.6346,0.6363,1028.71
ACEUSDT,2025-04-26 20:20:00,0.6363,0.6377,0.6363,0.6376,1826.26
ACEUSDT,2025-04-26 20:25:00,0.6376,0.64,0.6363,0.64,1839.2
ACEUSDT,2025-04-26 20:30:00,0.64,0.64,0.6382,0.6396,1338.73
ACEUSDT,2025-04-26 20:35:00,0.6396,0.6396,0.6367,0.6371,1295.07
ACEUSDT,2025-04-26 20:40:00,0.6371,0.6385,0.6364,0.6385,810.09
ACEUSDT,2025-04-26 20:45:00,0.6385,0.6389,0.638,0.6382,1730.91
ACEUSDT,2025-04-26 20:50:00,0.6382,0.6387,0.6368,0.637,2180.45
ACEUSDT,2025-04-26 20:55:00,0.637,0.6373,0.6356,0.6356,737.28
ACEUSDT,2025-04-26 21:00:00,0.6356,0.6362,0.6356,0.6362,218.91
ACEUSDT,2025-04-26 21:05:00,0.6362,0.6383,0.6362,0.6382,1327.12
ACEUSDT,2025-04-26 21:10:00,0.6382,0.6382,0.6365,0.6372,1039.07
ACEUSDT,2025-04-26 21:15:00,0.6372,0.638,0.6367,0.6367,1882.19
ACEUSDT,2025-04-26 21:20:00,0.6367,0.6393,0.6356,0.6393,2161.11
ACEUSDT,2025-04-26 21:25:00,0.6393,0.6405,0.6387,0.6396,1540.89
ACEUSDT,2025-04-26 21:30:00,0.6396,0.6399,0.6383,0.6388,7678.71
ACEUSDT,2025-04-26 21:35:00,0.6388,0.6396,0.6378,0.6388,5638.26
ACEUSDT,2025-04-26 21:40:00,0.6388,0.6398,0.6385,0.6394,997.05
ACEUSDT,2025-04-26 21:45:00,0.6394,0.6394,0.6382,0.6386,2402.66
ACEUSDT,2025-04-26 21:50:00,0.6386,0.6388,0.6375,0.6377,1369.94
ACEUSDT,2025-04-26 21:55:00,0.6377,0.6377,0.6371,0.6371,1341.73
ACEUSDT,2025-04-26 22:00:00,0.6371,0.6382,0.6371,0.6382,1701.68
ACEUSDT,2025-04-26 22:05:00,0.6382,0.6393,0.6376,0.6391,1698.49
ACEUSDT,2025-04-26 22:10:00,0.6391,0.6394,0.6388,0.6392,1395.69
ACEUSDT,2025-04-26 22:15:00,0.6392,0.6414,0.6391,0.6404,2658.95
ACEUSDT,2025-04-26 22:20:00,0.6404,0.6406,0.6401,0.6406,786.53
ACEUSDT,2025-04-26 22:25:00,0.6406,0.6408,0.6403,0.6403,767.68
ACEUSDT,2025-04-26 22:30:00,0.6403,0.6443,0.6401,0.6434,2722.11
ACEUSDT,2025-04-26 22:35:00,0.6434,0.645,0.6426,0.645,1863.69
ACEUSDT,2025-04-26 22:40:00,0.645,0.645,0.6444,0.6446,1084.73
ACEUSDT,2025-04-26 22:45:00,0.6446,0.6449,0.6441,0.6442,896.27
ACEUSDT,2025-04-26 22:50:00,0.6442,0.6449,0.6421,0.6421,12869.61
ACEUSDT,2025-04-26 22:55:00,0.6421,0.6438,0.6416,0.6431,5268.28
ACEUSDT,2025-04-26 23:00:00,0.6431,0.644,0.6426,0.6437,3454.95
ACEUSDT,2025-04-26 23:05:00,0.6437,0.6437,0.6409,0.6424,716.23
ACEUSDT,2025-04-26 23:10:00,0.6424,0.6429,0.6416,0.6426,401.65
ACEUSDT,2025-04-26 23:15:00,0.6426,0.6449,0.6426,0.6449,1637.22
ACEUSDT,2025-04-26 23:20:00,0.6449,0.6453,0.6438,0.6453,5774.72
ACEUSDT,2025-04-26 23:25:00,0.6453,0.6455,0.645,0.6455,1170.82
ACEUSDT,2025-04-26 23:30:00,0.6455,0.6462,0.6454,0.646,6782.45
ACEUSDT,2025-04-26 23:35:00,0.646,0.6464,0.6457,0.6457,714.51
ACEUSDT,2025-04-26 23:40:00,0.6457,0.6475,0.6457,0.6475,1050.49
ACEUSDT,2025-04-26 23:45:00,0.6475,0.6479,0.6444,0.6473,13032.55
ACEUSDT,2025-04-26 23:50:00,0.6473,0.6494,0.6473,0.6494,2291.3
ACEUSDT,2025-04-26 23:55:00,0.6494,0.6494,0.6487,0.6491,485.43
ACEUSDT,2025-04-27 00:00:00,0.6491,0.6491,0.6442,0.6442,2313.79
ACEUSDT,2025-04-27 00:05:00,0.6442,0.6457,0.6436,0.6451,4407.73
ACEUSDT,2025-04-27 00:10:00,0.6451,0.6467,0.6451,0.6457,873.05
ACEUSDT,2025-04-27 00:15:00,0.6457,0.6485,0.6444,0.6485,4159.22
ACEUSDT,2025-04-27 00:20:00,0.6485,0.6487,0.646,0.6466,2023.09
ACEUSDT,2025-04-27 00:25:00,0.6466,0.6466,0.6441,0.6446,825.99
ACEUSDT,2025-04-27 00:30:00,0.6446,0.6453,0.6391,0.6399,2994.29
ACEUSDT,2025-04-27 00:35:00,0.6399,0.6419,0.6399,0.6418,1623.03
ACEUSDT,2025-04-27 00:40:00,0.6418,0.6418,0.6402,0.6406,435.84
ACEUSDT,2025-04-27 00:45:00,0.6406,0.6416,0.6389,0.6396,1825.62
ACEUSDT,2025-04-27 00:50:00,0.6396,0.6423,0.6396,0.6414,975.13
ACEUSDT,2025-04-27 00:55:00,0.6414,0.6416,0.6406,0.6414,753.04
ACEUSDT,2025-04-27 01:00:00,0.6414,0.6414,0.6388,0.6389,653.86
ACEUSDT,2025-04-27 01:05:00,0.6389,0.6399,0.6365,0.6399,5483.57
ACEUSDT,2025-04-27 01:10:00,0.6399,0.6404,0.6376,0.6395,3765.86
ACEUSDT,2025-04-27 01:15:00,0.6395,0.6405,0.6356,0.6357,3044.26
ACEUSDT,2025-04-27 01:20:00,0.6357,0.6357,0.6278,0.6296,7124.71
ACEUSDT,2025-04-27 01:25:00,0.6296,0.6296,0.624,0.6273,16007.45
ACEUSDT,2025-04-27 01:30:00,0.6273,0.6281,0.6162,0.6178,27050.73
ACEUSDT,2025-04-27 01:35:00,0.6178,0.6232,0.6178,0.6224,6652.75
ACEUSDT,2025-04-27 01:40:00,0.6224,0.6234,0.621,0.6215,5886.94
ACEUSDT,2025-04-27 01:45:00,0.6215,0.6215,0.6129,0.6131,8177.7
ACEUSDT,2025-04-27 01:50:00,0.6131,0.6137,0.6051,0.6112,23195.19
ACEUSDT,2025-04-27 01:55:00,0.6112,0.612,0.6067,0.6072,9268.02
ACEUSDT,2025-04-27 02:00:00,0.6072,0.6106,0.6071,0.61,2277.02
ACEUSDT,2025-04-27 02:05:00,0.61,0.6101,0.6083,0.6089,3729.13
ACEUSDT,2025-04-27 02:10:00,0.6089,0.6111,0.6086,0.6111,3613.29
ACEUSDT,2025-04-27 02:15:00,0.6111,0.612,0.6077,0.6104,2433.34
ACEUSDT,2025-04-27 02:20:00,0.6104,0.6124,0.6097,0.6121,3729.03
ACEUSDT,2025-04-27 02:25:00,0.6121,0.615,0.6119,0.6147,3065.46
