symbol,timestamp,open,high,low,close,volume
ACXUSDT,2025-04-26 14:40:00,0.2223,0.2231,0.2223,0.2227,8094.0
ACXUSDT,2025-04-26 14:45:00,0.2227,0.2228,0.2222,0.2223,3745.0
ACXUSDT,2025-04-26 14:50:00,0.2223,0.2224,0.2221,0.2223,3603.0
ACXUSDT,2025-04-26 14:55:00,0.2223,0.2225,0.2222,0.2223,5029.0
ACXUSDT,2025-04-26 15:00:00,0.2223,0.2261,0.2223,0.2227,28154.0
ACXUSDT,2025-04-26 15:05:00,0.2227,0.224,0.2227,0.2239,3115.0
ACXUSDT,2025-04-26 15:10:00,0.2239,0.2246,0.2239,0.2241,4803.0
ACXUSDT,2025-04-26 15:15:00,0.2241,0.2246,0.224,0.2241,2194.0
ACXUSDT,2025-04-26 15:20:00,0.2241,0.2244,0.2237,0.2244,3784.0
ACXUSDT,2025-04-26 15:25:00,0.2244,0.2251,0.2244,0.2251,5336.0
ACXUSDT,2025-04-26 15:30:00,0.2251,0.2251,0.2246,0.2249,2129.0
ACXUSDT,2025-04-26 15:35:00,0.2249,0.2255,0.2249,0.2255,1084.0
ACXUSDT,2025-04-26 15:40:00,0.2255,0.2255,0.2247,0.2254,4292.0
ACXUSDT,2025-04-26 15:45:00,0.2254,0.2259,0.2251,0.2259,2919.0
ACXUSDT,2025-04-26 15:50:00,0.2259,0.2262,0.2258,0.2261,3489.0
ACXUSDT,2025-04-26 15:55:00,0.2261,0.2266,0.2257,0.2257,3541.0
ACXUSDT,2025-04-26 16:00:00,0.2257,0.2259,0.2254,0.2259,2668.0
ACXUSDT,2025-04-26 16:05:00,0.2259,0.2259,0.2252,0.2252,1227.0
ACXUSDT,2025-04-26 16:10:00,0.2252,0.2259,0.2252,0.2257,1648.0
ACXUSDT,2025-04-26 16:15:00,0.2257,0.2264,0.2257,0.2264,1528.0
ACXUSDT,2025-04-26 16:20:00,0.2264,0.227,0.2262,0.2262,3527.0
ACXUSDT,2025-04-26 16:25:00,0.2262,0.2265,0.2262,0.2265,3032.0
ACXUSDT,2025-04-26 16:30:00,0.2265,0.2265,0.2258,0.2258,14502.0
ACXUSDT,2025-04-26 16:35:00,0.2258,0.2259,0.2247,0.2258,6349.0
ACXUSDT,2025-04-26 16:40:00,0.2258,0.2259,0.2245,0.2245,5798.0
ACXUSDT,2025-04-26 16:45:00,0.2245,0.2255,0.2243,0.2255,3401.0
ACXUSDT,2025-04-26 16:50:00,0.2255,0.2255,0.225,0.2255,1430.0
ACXUSDT,2025-04-26 16:55:00,0.2255,0.2259,0.2255,0.2259,3644.0
ACXUSDT,2025-04-26 17:00:00,0.2259,0.2265,0.2259,0.2262,1213.0
ACXUSDT,2025-04-26 17:05:00,0.2262,0.2262,0.2259,0.2259,4529.0
ACXUSDT,2025-04-26 17:10:00,0.2259,0.226,0.2252,0.2253,3876.0
ACXUSDT,2025-04-26 17:15:00,0.2253,0.2255,0.2253,0.2255,3987.0
ACXUSDT,2025-04-26 17:20:00,0.2255,0.2255,0.2253,0.2255,2840.0
ACXUSDT,2025-04-26 17:25:00,0.2255,0.2261,0.2255,0.226,2180.0
ACXUSDT,2025-04-26 17:30:00,0.226,0.2262,0.226,0.2261,3105.0
ACXUSDT,2025-04-26 17:35:00,0.2261,0.2263,0.226,0.2261,4424.0
ACXUSDT,2025-04-26 17:40:00,0.2261,0.2267,0.2261,0.2267,3277.0
ACXUSDT,2025-04-26 17:45:00,0.2267,0.2267,0.2264,0.2266,3778.0
ACXUSDT,2025-04-26 17:50:00,0.2266,0.2266,0.2264,0.2265,1938.0
ACXUSDT,2025-04-26 17:55:00,0.2265,0.2265,0.2261,0.2263,3056.0
ACXUSDT,2025-04-26 18:00:00,0.2263,0.2263,0.2254,0.2256,1477.0
ACXUSDT,2025-04-26 18:05:00,0.2256,0.226,0.2256,0.226,2439.0
ACXUSDT,2025-04-26 18:10:00,0.226,0.2263,0.2255,0.2255,3297.0
ACXUSDT,2025-04-26 18:15:00,0.2255,0.2259,0.2255,0.2259,1666.0
ACXUSDT,2025-04-26 18:20:00,0.2259,0.226,0.2256,0.226,3266.0
ACXUSDT,2025-04-26 18:25:00,0.226,0.2261,0.2258,0.2259,2558.0
ACXUSDT,2025-04-26 18:30:00,0.2259,0.2264,0.2257,0.226,2653.0
ACXUSDT,2025-04-26 18:35:00,0.226,0.2262,0.2258,0.2258,3028.0
ACXUSDT,2025-04-26 18:40:00,0.2258,0.2259,0.2254,0.2254,3447.0
ACXUSDT,2025-04-26 18:45:00,0.2254,0.2256,0.2251,0.2253,2592.0
ACXUSDT,2025-04-26 18:50:00,0.2253,0.2253,0.225,0.225,2439.0
ACXUSDT,2025-04-26 18:55:00,0.225,0.225,0.2243,0.2244,3631.0
ACXUSDT,2025-04-26 19:00:00,0.2244,0.2247,0.2244,0.2247,2103.0
ACXUSDT,2025-04-26 19:05:00,0.2247,0.225,0.2242,0.2243,3628.0
ACXUSDT,2025-04-26 19:10:00,0.2243,0.2247,0.2242,0.2244,2977.0
ACXUSDT,2025-04-26 19:15:00,0.2244,0.2246,0.2243,0.2246,3176.0
ACXUSDT,2025-04-26 19:20:00,0.2246,0.2248,0.2245,0.2246,1289.0
ACXUSDT,2025-04-26 19:25:00,0.2246,0.2253,0.2246,0.2252,4048.0
ACXUSDT,2025-04-26 19:30:00,0.2252,0.2253,0.2249,0.2252,2188.0
ACXUSDT,2025-04-26 19:35:00,0.2252,0.2255,0.2251,0.2254,2710.0
ACXUSDT,2025-04-26 19:40:00,0.2254,0.2256,0.2254,0.2255,1503.0
ACXUSDT,2025-04-26 19:45:00,0.2255,0.2256,0.2249,0.2249,1661.0
ACXUSDT,2025-04-26 19:50:00,0.2249,0.2252,0.2249,0.2251,3099.0
ACXUSDT,2025-04-26 19:55:00,0.2251,0.2253,0.2249,0.2253,1599.0
ACXUSDT,2025-04-26 20:00:00,0.2253,0.2257,0.2253,0.2256,4063.0
ACXUSDT,2025-04-26 20:05:00,0.2256,0.227,0.2256,0.2266,7452.0
ACXUSDT,2025-04-26 20:10:00,0.2266,0.2269,0.2261,0.2263,5268.0
ACXUSDT,2025-04-26 20:15:00,0.2263,0.2265,0.2263,0.2264,5046.0
ACXUSDT,2025-04-26 20:20:00,0.2264,0.2265,0.2261,0.2261,832.0
ACXUSDT,2025-04-26 20:25:00,0.2261,0.2265,0.2261,0.2264,4479.0
ACXUSDT,2025-04-26 20:30:00,0.2264,0.2268,0.2263,0.2264,6860.0
ACXUSDT,2025-04-26 20:35:00,0.2264,0.2264,0.2258,0.2261,2412.0
ACXUSDT,2025-04-26 20:40:00,0.2261,0.2262,0.2261,0.2261,2737.0
ACXUSDT,2025-04-26 20:45:00,0.2261,0.2262,0.2259,0.2261,2858.0
ACXUSDT,2025-04-26 20:50:00,0.2261,0.2261,0.2258,0.2258,2753.0
ACXUSDT,2025-04-26 20:55:00,0.2258,0.2259,0.2256,0.2256,3679.0
ACXUSDT,2025-04-26 21:00:00,0.2256,0.226,0.2256,0.2259,6056.0
ACXUSDT,2025-04-26 21:05:00,0.2259,0.2263,0.2259,0.2263,3472.0
