symbol,timestamp,open,high,low,close,volume
ADAUSDT,2025-04-26 14:40:00,0.7082,0.7093,0.7078,0.7083,106116.0
ADAUSDT,2025-04-26 14:45:00,0.7083,0.7094,0.7072,0.7078,385426.0
ADAUSDT,2025-04-26 14:50:00,0.7078,0.7081,0.7068,0.7076,98917.0
ADAUSDT,2025-04-26 14:55:00,0.7076,0.7084,0.707,0.7071,12113.0
ADAUSDT,2025-04-26 15:00:00,0.7071,0.7094,0.7069,0.7093,43882.0
ADAUSDT,2025-04-26 15:05:00,0.7093,0.7109,0.7088,0.7098,325782.0
ADAUSDT,2025-04-26 15:10:00,0.7098,0.711,0.7098,0.7105,138602.0
ADAUSDT,2025-04-26 15:15:00,0.7105,0.7124,0.7089,0.709,246730.0
ADAUSDT,2025-04-26 15:20:00,0.709,0.7098,0.7083,0.7095,231694.0
ADAUSDT,2025-04-26 15:25:00,0.7095,0.711,0.7092,0.7109,175238.0
ADAUSDT,2025-04-26 15:30:00,0.7109,0.7112,0.7092,0.7094,273600.0
ADAUSDT,2025-04-26 15:35:00,0.7094,0.7101,0.7087,0.7088,137824.0
ADAUSDT,2025-04-26 15:40:00,0.7088,0.7093,0.7076,0.7078,73192.0
ADAUSDT,2025-04-26 15:45:00,0.7078,0.7085,0.7063,0.7085,407679.0
ADAUSDT,2025-04-26 15:50:00,0.7085,0.7093,0.7078,0.7091,85859.0
ADAUSDT,2025-04-26 15:55:00,0.7091,0.7102,0.7091,0.7095,68878.0
ADAUSDT,2025-04-26 16:00:00,0.7095,0.7096,0.7076,0.7083,92514.0
ADAUSDT,2025-04-26 16:05:00,0.7083,0.7085,0.7058,0.7059,53840.0
ADAUSDT,2025-04-26 16:10:00,0.7059,0.7074,0.7058,0.7068,80211.0
ADAUSDT,2025-04-26 16:15:00,0.7068,0.7079,0.7061,0.7079,139541.0
ADAUSDT,2025-04-26 16:20:00,0.7079,0.709,0.7079,0.7087,10480.0
ADAUSDT,2025-04-26 16:25:00,0.7087,0.7094,0.7086,0.7091,166888.0
ADAUSDT,2025-04-26 16:30:00,0.7091,0.7091,0.7078,0.7078,171139.0
ADAUSDT,2025-04-26 16:35:00,0.7078,0.7078,0.7058,0.7059,188091.0
ADAUSDT,2025-04-26 16:40:00,0.7059,0.7059,0.703,0.7041,444679.0
ADAUSDT,2025-04-26 16:45:00,0.7041,0.7067,0.7041,0.7062,329524.0
ADAUSDT,2025-04-26 16:50:00,0.7062,0.7067,0.705,0.7059,37169.0
ADAUSDT,2025-04-26 16:55:00,0.7059,0.707,0.7055,0.707,184890.0
ADAUSDT,2025-04-26 17:00:00,0.707,0.7078,0.7063,0.7069,39623.0
ADAUSDT,2025-04-26 17:05:00,0.7069,0.7079,0.7068,0.7078,22983.0
ADAUSDT,2025-04-26 17:10:00,0.7078,0.7081,0.7052,0.7057,102330.0
ADAUSDT,2025-04-26 17:15:00,0.7057,0.7071,0.7054,0.7065,19306.0
ADAUSDT,2025-04-26 17:20:00,0.7065,0.7077,0.7059,0.7073,40807.0
ADAUSDT,2025-04-26 17:25:00,0.7073,0.7097,0.7073,0.7087,361850.0
ADAUSDT,2025-04-26 17:30:00,0.7087,0.7095,0.7082,0.7091,81497.0
ADAUSDT,2025-04-26 17:35:00,0.7091,0.7091,0.7076,0.7077,10261.0
ADAUSDT,2025-04-26 17:40:00,0.7077,0.7089,0.7077,0.7089,46298.0
ADAUSDT,2025-04-26 17:45:00,0.7089,0.7095,0.7087,0.7091,62784.0
ADAUSDT,2025-04-26 17:50:00,0.7091,0.7091,0.7081,0.7082,44632.0
ADAUSDT,2025-04-26 17:55:00,0.7082,0.7084,0.7076,0.7077,36399.0
ADAUSDT,2025-04-26 18:00:00,0.7077,0.7077,0.7062,0.7072,80304.0
ADAUSDT,2025-04-26 18:05:00,0.7072,0.7087,0.7072,0.7085,88586.0
