symbol,timestamp,open,high,low,close,volume
AI16ZUSDT,2025-04-26 14:40:00,0.2324,0.2324,0.2311,0.2311,56996.0
AI16ZUSDT,2025-04-26 14:45:00,0.2311,0.2314,0.2295,0.2311,41800.0
AI16ZUSDT,2025-04-26 14:50:00,0.2311,0.2317,0.2309,0.2311,15345.0
AI16ZUSDT,2025-04-26 14:55:00,0.2311,0.2311,0.2299,0.2303,46508.0
AI16ZUSDT,2025-04-26 15:00:00,0.2303,0.2316,0.2303,0.2309,49530.0
AI16ZUSDT,2025-04-26 15:05:00,0.2309,0.2326,0.2306,0.2322,41267.0
AI16ZUSDT,2025-04-26 15:10:00,0.2322,0.2351,0.2322,0.2346,121925.0
AI16ZUSDT,2025-04-26 15:15:00,0.2346,0.2373,0.2338,0.2346,1585442.0
AI16ZUSDT,2025-04-26 15:20:00,0.2346,0.2351,0.2339,0.2347,219122.0
AI16ZUSDT,2025-04-26 15:25:00,0.2347,0.2363,0.2347,0.2359,71621.0
AI16ZUSDT,2025-04-26 15:30:00,0.2359,0.2392,0.2352,0.2376,189324.0
AI16ZUSDT,2025-04-26 15:35:00,0.2376,0.2386,0.2371,0.2386,69820.0
AI16ZUSDT,2025-04-26 15:40:00,0.2386,0.2389,0.2378,0.2389,49564.0
AI16ZUSDT,2025-04-26 15:45:00,0.2389,0.2406,0.238,0.2403,288135.0
AI16ZUSDT,2025-04-26 15:50:00,0.2403,0.2419,0.2398,0.2404,101284.0
AI16ZUSDT,2025-04-26 15:55:00,0.2404,0.2419,0.2404,0.2405,91076.0
AI16ZUSDT,2025-04-26 16:00:00,0.2405,0.2409,0.239,0.2394,59061.0
AI16ZUSDT,2025-04-26 16:05:00,0.2394,0.2399,0.2369,0.2375,189385.0
AI16ZUSDT,2025-04-26 16:10:00,0.2375,0.2406,0.2372,0.2402,110221.0
AI16ZUSDT,2025-04-26 16:15:00,0.2402,0.2407,0.2391,0.2407,17317.0
AI16ZUSDT,2025-04-26 16:20:00,0.2407,0.2416,0.2392,0.2412,28462.0
AI16ZUSDT,2025-04-26 16:25:00,0.2412,0.2412,0.2402,0.2405,28000.0
AI16ZUSDT,2025-04-26 16:30:00,0.2405,0.2405,0.2381,0.2387,86073.0
AI16ZUSDT,2025-04-26 16:35:00,0.2387,0.2394,0.2381,0.2383,69076.0
AI16ZUSDT,2025-04-26 16:40:00,0.2383,0.2386,0.2366,0.2383,91318.0
AI16ZUSDT,2025-04-26 16:45:00,0.2383,0.2388,0.2371,0.2388,68952.0
AI16ZUSDT,2025-04-26 16:50:00,0.2388,0.2398,0.2381,0.2398,101640.0
AI16ZUSDT,2025-04-26 16:55:00,0.2398,0.2402,0.2393,0.2398,33929.0
AI16ZUSDT,2025-04-26 17:00:00,0.2398,0.2402,0.2383,0.2386,84013.0
AI16ZUSDT,2025-04-26 17:05:00,0.2386,0.2398,0.2386,0.2393,38104.0
AI16ZUSDT,2025-04-26 17:10:00,0.2393,0.2395,0.2385,0.2385,30637.0
AI16ZUSDT,2025-04-26 17:15:00,0.2385,0.2398,0.2385,0.2395,19490.0
AI16ZUSDT,2025-04-26 17:20:00,0.2395,0.2402,0.2387,0.2402,41988.0
