symbol,timestamp,open,high,low,close,volume
AIXBTUSDT,2025-04-25 16:30:00,0.12801,0.12811,0.12611,0.12678,333230.0
AIXBTUSDT,2025-04-25 16:45:00,0.12678,0.12682,0.12317,0.12573,295965.0
AIXBTUSDT,2025-04-25 17:00:00,0.12573,0.12759,0.12554,0.12698,290817.0
AIXBTUSDT,2025-04-25 17:15:00,0.12698,0.12698,0.12495,0.12507,147442.0
AIXBTUSDT,2025-04-25 17:30:00,0.12507,0.12525,0.12345,0.12442,289589.0
AIXBTUSDT,2025-04-25 17:45:00,0.12442,0.12442,0.12296,0.12369,258697.0
AIXBTUSDT,2025-04-25 18:00:00,0.12369,0.12449,0.12028,0.12236,861496.0
AIXBTUSDT,2025-04-25 18:15:00,0.12236,0.1237,0.12143,0.1237,405974.0
AIXBTUSDT,2025-04-25 18:30:00,0.1237,0.12515,0.12279,0.12491,151930.0
AIXBTUSDT,2025-04-25 18:45:00,0.12491,0.12491,0.12268,0.12312,270609.0
AIXBTUSDT,2025-04-25 19:00:00,0.12312,0.12379,0.12255,0.12354,70395.0
AIXBTUSDT,2025-04-25 19:15:00,0.12354,0.1238,0.12234,0.12286,127571.0
AIXBTUSDT,2025-04-25 19:30:00,0.12286,0.12323,0.1223,0.1229,59417.0
AIXBTUSDT,2025-04-25 19:45:00,0.1229,0.12348,0.12238,0.12258,52347.0
AIXBTUSDT,2025-04-25 20:00:00,0.12258,0.125,0.12219,0.125,156388.0
AIXBTUSDT,2025-04-25 20:15:00,0.125,0.125,0.12284,0.12401,148737.0
AIXBTUSDT,2025-04-25 20:30:00,0.12401,0.12409,0.12216,0.12358,331324.0
AIXBTUSDT,2025-04-25 20:45:00,0.12358,0.12389,0.12299,0.12341,118166.0
AIXBTUSDT,2025-04-25 21:00:00,0.12341,0.12343,0.12247,0.12264,90160.0
AIXBTUSDT,2025-04-25 21:15:00,0.12264,0.12316,0.12182,0.12222,143974.0
