symbol,timestamp,open,high,low,close,volume
ALICEUSDT,2025-04-25 16:30:00,0.4691,0.4713,0.4682,0.4706,28105.6
ALICEUSDT,2025-04-25 16:45:00,0.4706,0.4718,0.4699,0.4717,52606.7
ALICEUSDT,2025-04-25 17:00:00,0.4717,0.4748,0.4711,0.4734,29056.8
ALICEUSDT,2025-04-25 17:15:00,0.4734,0.475,0.4732,0.4734,24749.6
ALICEUSDT,2025-04-25 17:30:00,0.4734,0.474,0.4682,0.4693,37298.0
ALICEUSDT,2025-04-25 17:45:00,0.4693,0.4693,0.4662,0.4673,16772.2
ALICEUSDT,2025-04-25 18:00:00,0.4673,0.4696,0.4664,0.4678,15796.0
ALICEUSDT,2025-04-25 18:15:00,0.4678,0.471,0.4673,0.4709,17823.0
ALICEUSDT,2025-04-25 18:30:00,0.4709,0.4729,0.4707,0.4726,16265.8
ALICEUSDT,2025-04-25 18:45:00,0.4726,0.4768,0.4707,0.4758,25365.6
ALICEUSDT,2025-04-25 19:00:00,0.4758,0.4758,0.4691,0.4697,19893.3
ALICEUSDT,2025-04-25 19:15:00,0.4697,0.4743,0.4693,0.4727,21781.7
ALICEUSDT,2025-04-25 19:30:00,0.4727,0.4728,0.4703,0.4714,21576.9
ALICEUSDT,2025-04-25 19:45:00,0.4714,0.4733,0.4704,0.4725,16310.3
ALICEUSDT,2025-04-25 20:00:00,0.4725,0.4742,0.4722,0.4733,16530.1
ALICEUSDT,2025-04-25 20:15:00,0.4733,0.4747,0.4716,0.4735,37659.2
ALICEUSDT,2025-04-25 20:30:00,0.4735,0.4737,0.4721,0.4728,29932.5
ALICEUSDT,2025-04-25 20:45:00,0.4728,0.4748,0.4724,0.4736,21936.6
ALICEUSDT,2025-04-25 21:00:00,0.4736,0.4779,0.4733,0.4772,26639.0
ALICEUSDT,2025-04-25 21:15:00,0.4772,0.4772,0.4744,0.4746,24147.2
ALICEUSDT,2025-04-25 21:30:00,0.4746,0.4762,0.4742,0.4748,14543.6
ALICEUSDT,2025-04-25 21:45:00,0.4748,0.4749,0.4702,0.471,15327.7
ALICEUSDT,2025-04-25 22:00:00,0.471,0.4768,0.4707,0.4754,16424.9
ALICEUSDT,2025-04-25 22:15:00,0.4754,0.4759,0.4733,0.4745,19436.9
ALICEUSDT,2025-04-25 22:30:00,0.4745,0.4777,0.4744,0.4777,22772.7
ALICEUSDT,2025-04-25 22:45:00,0.4777,0.478,0.4771,0.4775,30239.3
ALICEUSDT,2025-04-25 23:00:00,0.4775,0.481,0.4773,0.4774,27947.1
ALICEUSDT,2025-04-25 23:15:00,0.4774,0.4789,0.4761,0.4786,36034.6
ALICEUSDT,2025-04-25 23:30:00,0.4786,0.4787,0.4762,0.4773,22867.1
ALICEUSDT,2025-04-25 23:45:00,0.4773,0.4778,0.4751,0.4752,18304.4
ALICEUSDT,2025-04-26 00:00:00,0.4752,0.478,0.4752,0.4779,31161.3
ALICEUSDT,2025-04-26 00:15:00,0.4779,0.4789,0.4758,0.4786,21625.1
ALICEUSDT,2025-04-26 00:30:00,0.4786,0.4789,0.4767,0.4776,18710.5
ALICEUSDT,2025-04-26 00:45:00,0.4776,0.4829,0.4775,0.4817,27036.7
ALICEUSDT,2025-04-26 01:00:00,0.4817,0.4829,0.4793,0.4804,17024.7
ALICEUSDT,2025-04-26 01:15:00,0.4804,0.4851,0.4802,0.4845,22861.0
ALICEUSDT,2025-04-26 01:30:00,0.4845,0.4935,0.4844,0.4925,84603.5
ALICEUSDT,2025-04-26 01:45:00,0.4925,0.4936,0.4905,0.4923,24936.8
ALICEUSDT,2025-04-26 02:00:00,0.4923,0.4931,0.4893,0.49,19355.8
ALICEUSDT,2025-04-26 02:15:00,0.49,0.4921,0.4892,0.4919,20914.8
ALICEUSDT,2025-04-26 02:30:00,0.4919,0.495,0.4915,0.4938,21516.5
ALICEUSDT,2025-04-26 02:45:00,0.4938,0.495,0.4927,0.494,27681.3
ALICEUSDT,2025-04-26 03:00:00,0.494,0.4953,0.4912,0.4935,24216.5
ALICEUSDT,2025-04-26 03:15:00,0.4935,0.4937,0.49,0.4909,31682.9
ALICEUSDT,2025-04-26 03:30:00,0.4909,0.4918,0.49,0.4915,32419.2
ALICEUSDT,2025-04-26 03:45:00,0.4915,0.4932,0.4911,0.4929,24144.7
ALICEUSDT,2025-04-26 04:00:00,0.4929,0.4947,0.4922,0.4946,32316.4
ALICEUSDT,2025-04-26 04:15:00,0.4946,0.4948,0.491,0.4913,25639.2
ALICEUSDT,2025-04-26 04:30:00,0.4913,0.4913,0.488,0.4885,21129.9
ALICEUSDT,2025-04-26 04:45:00,0.4885,0.4897,0.4879,0.4885,28132.9
ALICEUSDT,2025-04-26 05:00:00,0.4885,0.489,0.4841,0.486,35923.2
ALICEUSDT,2025-04-26 05:15:00,0.486,0.4878,0.4854,0.4877,23892.8
ALICEUSDT,2025-04-26 05:30:00,0.4877,0.4889,0.4874,0.4888,20376.5
ALICEUSDT,2025-04-26 05:45:00,0.4888,0.4907,0.4884,0.4897,18939.6
ALICEUSDT,2025-04-26 06:00:00,0.4897,0.4923,0.4894,0.4917,15736.0
ALICEUSDT,2025-04-26 06:15:00,0.4917,0.4928,0.4893,0.4919,16312.3
ALICEUSDT,2025-04-26 06:30:00,0.4919,0.4936,0.4904,0.4919,17622.8
ALICEUSDT,2025-04-26 06:45:00,0.4919,0.4934,0.4907,0.4913,18230.1
ALICEUSDT,2025-04-26 07:00:00,0.4913,0.4943,0.4907,0.4939,16779.4
ALICEUSDT,2025-04-26 07:15:00,0.4939,0.4944,0.4914,0.493,27405.7
ALICEUSDT,2025-04-26 07:30:00,0.493,0.4943,0.4914,0.4922,34201.9
ALICEUSDT,2025-04-26 07:45:00,0.4922,0.4925,0.489,0.4898,23652.0
ALICEUSDT,2025-04-26 08:00:00,0.4898,0.4909,0.4875,0.4887,25064.5
ALICEUSDT,2025-04-26 08:15:00,0.4887,0.4928,0.4875,0.4923,89369.9
ALICEUSDT,2025-04-26 08:30:00,0.4923,0.4923,0.4853,0.4853,25925.8
ALICEUSDT,2025-04-26 08:45:00,0.4853,0.4859,0.4832,0.4847,27021.5
ALICEUSDT,2025-04-26 09:00:00,0.4847,0.4855,0.4813,0.4845,26324.2
ALICEUSDT,2025-04-26 09:15:00,0.4845,0.4859,0.4831,0.4834,16538.7
ALICEUSDT,2025-04-26 09:30:00,0.4834,0.4838,0.479,0.4802,20680.3
ALICEUSDT,2025-04-26 09:45:00,0.4802,0.4819,0.4793,0.4816,23747.0
ALICEUSDT,2025-04-26 10:00:00,0.4816,0.4832,0.4803,0.4803,20728.7
ALICEUSDT,2025-04-26 10:15:00,0.4803,0.4837,0.4802,0.4824,18995.3
ALICEUSDT,2025-04-26 10:30:00,0.4824,0.4866,0.4813,0.4858,34682.5
ALICEUSDT,2025-04-26 10:45:00,0.4858,0.486,0.4823,0.483,20328.4
ALICEUSDT,2025-04-26 11:00:00,0.483,0.4839,0.4811,0.4817,19432.3
ALICEUSDT,2025-04-26 11:15:00,0.4817,0.4832,0.4792,0.4796,19205.2
ALICEUSDT,2025-04-26 11:30:00,0.4796,0.4808,0.472,0.4727,37409.0
ALICEUSDT,2025-04-26 11:45:00,0.4727,0.4736,0.4697,0.4717,22416.0
ALICEUSDT,2025-04-26 12:00:00,0.4717,0.4785,0.4711,0.4769,33401.2
ALICEUSDT,2025-04-26 12:15:00,0.4769,0.4799,0.4766,0.4793,21238.7
ALICEUSDT,2025-04-26 12:30:00,0.4793,0.48,0.4775,0.4789,19353.1
ALICEUSDT,2025-04-26 12:45:00,0.4789,0.4806,0.4774,0.4797,28620.6
ALICEUSDT,2025-04-26 13:00:00,0.4797,0.4826,0.4786,0.4816,20066.1
ALICEUSDT,2025-04-26 13:15:00,0.4816,0.4819,0.4786,0.4786,18402.0
ALICEUSDT,2025-04-26 13:30:00,0.4786,0.4789,0.4744,0.4762,18498.1
ALICEUSDT,2025-04-26 13:45:00,0.4762,0.4786,0.4731,0.4786,38672.3
ALICEUSDT,2025-04-26 14:00:00,0.4786,0.4789,0.4746,0.4776,26071.5
ALICEUSDT,2025-04-26 14:15:00,0.4776,0.4778,0.4732,0.4755,26057.0
ALICEUSDT,2025-04-26 14:30:00,0.4755,0.4786,0.4753,0.4777,14874.7
