symbol,timestamp,open,high,low,close,volume
ALPHAUSDT,2025-04-25 16:30:00,0.03369,0.03387,0.03359,0.03385,86313.0
ALPHAUSDT,2025-04-25 16:45:00,0.03385,0.0339,0.03371,0.03373,199458.0
ALPHAUSDT,2025-04-25 17:00:00,0.03373,0.03419,0.03373,0.03417,179296.0
ALPHAUSDT,2025-04-25 17:15:00,0.03417,0.03425,0.03403,0.03404,196358.0
ALPHAUSDT,2025-04-25 17:30:00,0.03404,0.03407,0.0337,0.03385,358850.0
ALPHAUSDT,2025-04-25 17:45:00,0.03385,0.03389,0.03369,0.03371,120022.0
ALPHAUSDT,2025-04-25 18:00:00,0.03371,0.03386,0.03371,0.0338,95889.0
ALPHAUSDT,2025-04-25 18:15:00,0.0338,0.03392,0.03372,0.03386,144784.0
ALPHAUSDT,2025-04-25 18:30:00,0.03386,0.03402,0.0338,0.03395,143964.0
ALPHAUSDT,2025-04-25 18:45:00,0.03395,0.03396,0.03382,0.03383,187275.0
ALPHAUSDT,2025-04-25 19:00:00,0.03383,0.03383,0.0336,0.03362,1279857.0
ALPHAUSDT,2025-04-25 19:15:00,0.03362,0.03376,0.03362,0.03375,174717.0
ALPHAUSDT,2025-04-25 19:30:00,0.03375,0.03383,0.03366,0.03383,527837.0
ALPHAUSDT,2025-04-25 19:45:00,0.03383,0.03397,0.03371,0.03371,1064030.0
ALPHAUSDT,2025-04-25 20:00:00,0.03371,0.03381,0.03371,0.03374,74546.0
ALPHAUSDT,2025-04-25 20:15:00,0.03374,0.03395,0.03353,0.03374,2754087.0
ALPHAUSDT,2025-04-25 20:30:00,0.03374,0.0338,0.0337,0.03373,160149.0
ALPHAUSDT,2025-04-25 20:45:00,0.03373,0.03378,0.03367,0.03372,180156.0
ALPHAUSDT,2025-04-25 21:00:00,0.03372,0.03387,0.03367,0.03378,107770.0
ALPHAUSDT,2025-04-25 21:15:00,0.03378,0.03378,0.03359,0.03359,104472.0
ALPHAUSDT,2025-04-25 21:30:00,0.03359,0.03373,0.03351,0.03355,230026.0
ALPHAUSDT,2025-04-25 21:45:00,0.03355,0.03359,0.0333,0.03332,146577.0
ALPHAUSDT,2025-04-25 22:00:00,0.03332,0.03362,0.03332,0.03362,94768.0
ALPHAUSDT,2025-04-25 22:15:00,0.03362,0.03373,0.03361,0.03373,75066.0
ALPHAUSDT,2025-04-25 22:30:00,0.03373,0.03397,0.03373,0.03396,134835.0
ALPHAUSDT,2025-04-25 22:45:00,0.03396,0.03407,0.03396,0.03404,124575.0
ALPHAUSDT,2025-04-25 23:00:00,0.03404,0.03413,0.0339,0.03401,105175.0
ALPHAUSDT,2025-04-25 23:15:00,0.03401,0.03401,0.03385,0.03397,116522.0
ALPHAUSDT,2025-04-25 23:30:00,0.03397,0.03399,0.03384,0.03397,102963.0
ALPHAUSDT,2025-04-25 23:45:00,0.03397,0.03406,0.03393,0.03403,91517.0
ALPHAUSDT,2025-04-26 00:00:00,0.03403,0.03411,0.03397,0.034,109824.0
ALPHAUSDT,2025-04-26 00:15:00,0.034,0.03401,0.03371,0.03382,113681.0
ALPHAUSDT,2025-04-26 00:30:00,0.03382,0.03428,0.0338,0.03426,172235.0
ALPHAUSDT,2025-04-26 00:45:00,0.03426,0.03439,0.03416,0.03424,154677.0
ALPHAUSDT,2025-04-26 01:00:00,0.03424,0.03425,0.03399,0.03405,115588.0
ALPHAUSDT,2025-04-26 01:15:00,0.03405,0.03426,0.03399,0.03403,136295.0
ALPHAUSDT,2025-04-26 01:30:00,0.03403,0.0347,0.03403,0.03458,513923.0
ALPHAUSDT,2025-04-26 01:45:00,0.03458,0.03467,0.03451,0.03457,107920.0
ALPHAUSDT,2025-04-26 02:00:00,0.03457,0.03457,0.03437,0.03444,104054.0
ALPHAUSDT,2025-04-26 02:15:00,0.03444,0.03456,0.03442,0.03445,75943.0
ALPHAUSDT,2025-04-26 02:30:00,0.03445,0.0346,0.03439,0.03449,84865.0
ALPHAUSDT,2025-04-26 02:45:00,0.03449,0.03449,0.03431,0.03436,201645.0
ALPHAUSDT,2025-04-26 03:00:00,0.03436,0.03444,0.03402,0.03423,132862.0
ALPHAUSDT,2025-04-26 03:15:00,0.03423,0.03423,0.03395,0.03395,112184.0
ALPHAUSDT,2025-04-26 03:30:00,0.03395,0.03411,0.03392,0.03407,75699.0
ALPHAUSDT,2025-04-26 03:45:00,0.03407,0.03419,0.03401,0.03412,69523.0
ALPHAUSDT,2025-04-26 04:00:00,0.03412,0.03412,0.03401,0.03403,69112.0
ALPHAUSDT,2025-04-26 04:15:00,0.03403,0.03407,0.03393,0.03394,68263.0
ALPHAUSDT,2025-04-26 04:30:00,0.03394,0.03394,0.0337,0.03387,134400.0
ALPHAUSDT,2025-04-26 04:45:00,0.03387,0.03394,0.03383,0.03385,66013.0
ALPHAUSDT,2025-04-26 05:00:00,0.03385,0.03387,0.03364,0.03374,74332.0
ALPHAUSDT,2025-04-26 05:15:00,0.03374,0.03384,0.03368,0.03379,57453.0
ALPHAUSDT,2025-04-26 05:30:00,0.03379,0.03398,0.03374,0.03398,54495.0
ALPHAUSDT,2025-04-26 05:45:00,0.03398,0.03417,0.03397,0.03404,66513.0
ALPHAUSDT,2025-04-26 06:00:00,0.03404,0.03418,0.03404,0.03414,68205.0
ALPHAUSDT,2025-04-26 06:15:00,0.03414,0.03415,0.03401,0.03407,107751.0
ALPHAUSDT,2025-04-26 06:30:00,0.03407,0.03426,0.03405,0.03411,63607.0
ALPHAUSDT,2025-04-26 06:45:00,0.03411,0.03426,0.03411,0.03422,76378.0
ALPHAUSDT,2025-04-26 07:00:00,0.03422,0.03434,0.03419,0.0343,70556.0
ALPHAUSDT,2025-04-26 07:15:00,0.0343,0.03434,0.03412,0.03414,67266.0
ALPHAUSDT,2025-04-26 07:30:00,0.03414,0.03419,0.03406,0.03412,97128.0
ALPHAUSDT,2025-04-26 07:45:00,0.03412,0.03415,0.03383,0.03383,61198.0
ALPHAUSDT,2025-04-26 08:00:00,0.03383,0.03394,0.03381,0.03394,85320.0
ALPHAUSDT,2025-04-26 08:15:00,0.03394,0.03414,0.03386,0.03408,86461.0
ALPHAUSDT,2025-04-26 08:30:00,0.03408,0.03408,0.03361,0.03365,95344.0
ALPHAUSDT,2025-04-26 08:45:00,0.03365,0.03366,0.03346,0.03356,128460.0
ALPHAUSDT,2025-04-26 09:00:00,0.03356,0.03374,0.03348,0.03374,65904.0
ALPHAUSDT,2025-04-26 09:15:00,0.03374,0.03388,0.0336,0.03365,79028.0
ALPHAUSDT,2025-04-26 09:30:00,0.03365,0.03365,0.0333,0.03349,87494.0
ALPHAUSDT,2025-04-26 09:45:00,0.03349,0.03352,0.03344,0.03352,78656.0
ALPHAUSDT,2025-04-26 10:00:00,0.03352,0.0337,0.0335,0.03351,74499.0
ALPHAUSDT,2025-04-26 10:15:00,0.03351,0.0337,0.03351,0.03358,82072.0
ALPHAUSDT,2025-04-26 10:30:00,0.03358,0.03381,0.03358,0.03377,56140.0
ALPHAUSDT,2025-04-26 10:45:00,0.03377,0.0338,0.03373,0.03377,89199.0
ALPHAUSDT,2025-04-26 11:00:00,0.03377,0.03387,0.03357,0.03364,77509.0
ALPHAUSDT,2025-04-26 11:15:00,0.03364,0.03364,0.03341,0.03343,113020.0
ALPHAUSDT,2025-04-26 11:30:00,0.03343,0.03353,0.03305,0.03308,213738.0
