symbol,timestamp,open,high,low,close,volume
ALTUSDT,2025-04-26 14:40:00,0.03191,0.03197,0.03189,0.03195,39274.0
ALTUSDT,2025-04-26 14:45:00,0.03195,0.03202,0.03191,0.03196,80150.0
ALTUSDT,2025-04-26 14:50:00,0.03196,0.03202,0.03195,0.03202,35887.0
ALTUSDT,2025-04-26 14:55:00,0.03202,0.03203,0.03196,0.03196,36969.0
ALTUSDT,2025-04-26 15:00:00,0.03196,0.03209,0.03196,0.03209,39359.0
ALTUSDT,2025-04-26 15:05:00,0.03209,0.0322,0.03206,0.03211,66848.0
ALTUSDT,2025-04-26 15:10:00,0.03211,0.03213,0.03203,0.03208,54842.0
ALTUSDT,2025-04-26 15:15:00,0.03208,0.03213,0.03206,0.03208,60754.0
ALTUSDT,2025-04-26 15:20:00,0.03208,0.03216,0.03208,0.03216,51268.0
ALTUSDT,2025-04-26 15:25:00,0.03216,0.03226,0.03214,0.03225,56143.0
ALTUSDT,2025-04-26 15:30:00,0.03225,0.03228,0.03195,0.03196,397525.0
ALTUSDT,2025-04-26 15:35:00,0.03196,0.03223,0.03195,0.03223,35935.0
ALTUSDT,2025-04-26 15:40:00,0.03223,0.03223,0.03213,0.03218,40906.0
ALTUSDT,2025-04-26 15:45:00,0.03218,0.03222,0.03214,0.03222,41688.0
ALTUSDT,2025-04-26 15:50:00,0.03222,0.03226,0.03219,0.03222,96777.0
ALTUSDT,2025-04-26 15:55:00,0.03222,0.03223,0.03219,0.03219,18281.0
ALTUSDT,2025-04-26 16:00:00,0.03219,0.03222,0.03215,0.03219,41606.0
ALTUSDT,2025-04-26 16:05:00,0.03219,0.03229,0.03216,0.03216,45857.0
ALTUSDT,2025-04-26 16:10:00,0.03216,0.03222,0.03213,0.03222,79216.0
ALTUSDT,2025-04-26 16:15:00,0.03222,0.03234,0.03219,0.03226,91513.0
ALTUSDT,2025-04-26 16:20:00,0.03226,0.03231,0.03221,0.03223,49650.0
ALTUSDT,2025-04-26 16:25:00,0.03223,0.03233,0.03223,0.03229,38805.0
ALTUSDT,2025-04-26 16:30:00,0.03229,0.03229,0.03219,0.03219,75608.0
ALTUSDT,2025-04-26 16:35:00,0.03219,0.03224,0.03215,0.03216,111423.0
ALTUSDT,2025-04-26 16:40:00,0.03216,0.03216,0.03203,0.03209,40219.0
