symbol,timestamp,open,high,low,close,volume
APTUSDT,2025-04-25 16:30:00,5.5382,5.5683,5.5297,5.5681,11618.668
APTUSDT,2025-04-25 16:45:00,5.5681,5.5704,5.5428,5.5557,10895.209
APTUSDT,2025-04-25 17:00:00,5.5557,5.5827,5.5507,5.5679,27800.099
APTUSDT,2025-04-25 17:15:00,5.5679,5.5748,5.5559,5.5608,19746.774
APTUSDT,2025-04-25 17:30:00,5.5608,5.5608,5.4903,5.5147,11935.198
APTUSDT,2025-04-25 17:45:00,5.5147,5.5272,5.4972,5.5179,3757.22
APTUSDT,2025-04-25 18:00:00,5.5179,5.5458,5.5149,5.5362,3413.09
APTUSDT,2025-04-25 18:15:00,5.5362,5.5535,5.5336,5.5424,1468.065
APTUSDT,2025-04-25 18:30:00,5.5424,5.5586,5.5352,5.5573,819.167
APTUSDT,2025-04-25 18:45:00,5.5573,5.5573,5.5261,5.5321,963.444
APTUSDT,2025-04-25 19:00:00,5.5321,5.5382,5.5086,5.5088,4640.615
APTUSDT,2025-04-25 19:15:00,5.5088,5.5345,5.5088,5.5315,1377.698
APTUSDT,2025-04-25 19:30:00,5.5315,5.5345,5.5083,5.5117,9825.705
APTUSDT,2025-04-25 19:45:00,5.5117,5.5289,5.5027,5.5271,2662.103
APTUSDT,2025-04-25 20:00:00,5.5271,5.5289,5.509,5.5216,5358.709
APTUSDT,2025-04-25 20:15:00,5.5216,5.5319,5.5152,5.5305,1564.973
APTUSDT,2025-04-25 20:30:00,5.5305,5.5644,5.5281,5.5492,5447.419
APTUSDT,2025-04-25 20:45:00,5.5492,5.5658,5.5492,5.5546,868.401
APTUSDT,2025-04-25 21:00:00,5.5546,5.5723,5.5454,5.5707,3606.304
APTUSDT,2025-04-25 21:15:00,5.5707,5.572,5.5472,5.5496,2037.109
APTUSDT,2025-04-25 21:30:00,5.5496,5.562,5.5281,5.5378,4652.83
APTUSDT,2025-04-25 21:45:00,5.5378,5.5453,5.5046,5.5191,14509.745
APTUSDT,2025-04-25 22:00:00,5.5191,5.5447,5.5189,5.5354,4865.999
APTUSDT,2025-04-25 22:15:00,5.5354,5.5787,5.5303,5.5713,1207.384
APTUSDT,2025-04-25 22:30:00,5.5713,5.5842,5.5697,5.5805,5199.885
APTUSDT,2025-04-25 22:45:00,5.5805,5.5827,5.5558,5.5608,1750.275
APTUSDT,2025-04-25 23:00:00,5.5608,5.562,5.5438,5.5454,3530.946
APTUSDT,2025-04-25 23:15:00,5.5454,5.5454,5.5251,5.5343,3830.126
APTUSDT,2025-04-25 23:30:00,5.5343,5.5439,5.5226,5.5405,2445.869
APTUSDT,2025-04-25 23:45:00,5.5405,5.5495,5.5323,5.5445,1257.7
APTUSDT,2025-04-26 00:00:00,5.5445,5.5698,5.5445,5.5678,1965.458
APTUSDT,2025-04-26 00:15:00,5.5678,5.5929,5.5521,5.5786,1730.757
APTUSDT,2025-04-26 00:30:00,5.5786,5.5925,5.568,5.5856,6375.805
APTUSDT,2025-04-26 00:45:00,5.5856,5.6053,5.5856,5.5921,6694.093
APTUSDT,2025-04-26 01:00:00,5.5921,5.5939,5.5658,5.5751,2923.112
APTUSDT,2025-04-26 01:15:00,5.5751,5.6,5.5711,5.5974,3700.057
APTUSDT,2025-04-26 01:30:00,5.5974,5.647,5.5974,5.6402,4725.897
APTUSDT,2025-04-26 01:45:00,5.6402,5.641,5.6221,5.6406,4406.262
APTUSDT,2025-04-26 02:00:00,5.6406,5.6469,5.6072,5.6124,2407.229
APTUSDT,2025-04-26 02:15:00,5.6124,5.6199,5.5991,5.6114,1083.164
APTUSDT,2025-04-26 02:30:00,5.6114,5.6298,5.6075,5.6157,4854.132
APTUSDT,2025-04-26 02:45:00,5.6157,5.6198,5.5959,5.6033,2184.421
APTUSDT,2025-04-26 03:00:00,5.6033,5.6136,5.5848,5.5972,4262.144
