symbol,timestamp,open,high,low,close,volume
ARKMUSDT,2025-04-25 16:30:00,0.5719,0.5755,0.5707,0.5748,8798.0
ARKMUSDT,2025-04-25 16:45:00,0.5748,0.5756,0.5714,0.5746,55357.0
ARKMUSDT,2025-04-25 17:00:00,0.5746,0.5782,0.5743,0.5776,5866.0
ARKMUSDT,2025-04-25 17:15:00,0.5776,0.5778,0.575,0.575,14950.0
ARKMUSDT,2025-04-25 17:30:00,0.575,0.575,0.5684,0.5713,10012.0
ARKMUSDT,2025-04-25 17:45:00,0.5713,0.5713,0.5672,0.5681,46503.0
ARKMUSDT,2025-04-25 18:00:00,0.5681,0.5719,0.5679,0.571,17427.0
ARKMUSDT,2025-04-25 18:15:00,0.571,0.5735,0.5707,0.573,5818.0
ARKMUSDT,2025-04-25 18:30:00,0.573,0.5743,0.5718,0.5728,6641.0
ARKMUSDT,2025-04-25 18:45:00,0.5728,0.5734,0.5693,0.5696,7016.0
ARKMUSDT,2025-04-25 19:00:00,0.5696,0.5702,0.5646,0.5646,9144.0
ARKMUSDT,2025-04-25 19:15:00,0.5646,0.5684,0.5646,0.568,15022.0
ARKMUSDT,2025-04-25 19:30:00,0.568,0.5683,0.5659,0.5676,4158.0
ARKMUSDT,2025-04-25 19:45:00,0.5676,0.5691,0.5667,0.5687,41555.0
ARKMUSDT,2025-04-25 20:00:00,0.5687,0.5721,0.5687,0.5701,6722.0
ARKMUSDT,2025-04-25 20:15:00,0.5701,0.5708,0.5682,0.5702,3068.0
ARKMUSDT,2025-04-25 20:30:00,0.5702,0.5715,0.5678,0.5687,17071.0
ARKMUSDT,2025-04-25 20:45:00,0.5687,0.572,0.5687,0.5705,3432.0
ARKMUSDT,2025-04-25 21:00:00,0.5705,0.5824,0.5705,0.5809,61009.0
ARKMUSDT,2025-04-25 21:15:00,0.5809,0.5826,0.5792,0.5812,5138.0
ARKMUSDT,2025-04-25 21:30:00,0.5812,0.5849,0.5807,0.5846,8570.0
ARKMUSDT,2025-04-25 21:45:00,0.5846,0.5846,0.5792,0.5806,16699.0
ARKMUSDT,2025-04-25 22:00:00,0.5806,0.5806,0.5727,0.5758,17076.0
ARKMUSDT,2025-04-25 22:15:00,0.5758,0.5816,0.5758,0.5805,45474.0
ARKMUSDT,2025-04-25 22:30:00,0.5805,0.5835,0.5789,0.5816,36845.0
ARKMUSDT,2025-04-25 22:45:00,0.5816,0.5816,0.578,0.5788,20838.0
ARKMUSDT,2025-04-25 23:00:00,0.5788,0.587,0.5786,0.5868,30783.0
