symbol,timestamp,open,high,low,close,volume
ARKUSDT,2025-04-25 16:30:00,0.465,0.468,0.465,0.4673,14824.0
ARKUSDT,2025-04-25 16:45:00,0.4673,0.4674,0.4627,0.465,15050.0
ARKUSDT,2025-04-25 17:00:00,0.465,0.4682,0.4646,0.4673,11755.0
ARKUSDT,2025-04-25 17:15:00,0.4673,0.4682,0.4662,0.4662,9023.0
ARKUSDT,2025-04-25 17:30:00,0.4662,0.4687,0.4646,0.4675,22040.0
ARKUSDT,2025-04-25 17:45:00,0.4675,0.4675,0.4619,0.4625,16700.0
ARKUSDT,2025-04-25 18:00:00,0.4625,0.4663,0.4625,0.4663,11552.0
ARKUSDT,2025-04-25 18:15:00,0.4663,0.4702,0.4649,0.4695,8250.0
ARKUSDT,2025-04-25 18:30:00,0.4695,0.4704,0.4678,0.4678,6472.0
ARKUSDT,2025-04-25 18:45:00,0.4678,0.468,0.4651,0.4653,6012.0
ARKUSDT,2025-04-25 19:00:00,0.4653,0.4664,0.4636,0.4636,8977.0
ARKUSDT,2025-04-25 19:15:00,0.4636,0.4669,0.4636,0.4669,10003.0
ARKUSDT,2025-04-25 19:30:00,0.4669,0.4669,0.4652,0.4653,10129.0
ARKUSDT,2025-04-25 19:45:00,0.4653,0.4659,0.465,0.4652,14792.0
ARKUSDT,2025-04-25 20:00:00,0.4652,0.4667,0.465,0.4667,11015.0
ARKUSDT,2025-04-25 20:15:00,0.4667,0.4669,0.4628,0.4628,12140.0
ARKUSDT,2025-04-25 20:30:00,0.4628,0.4641,0.4628,0.4631,7841.0
ARKUSDT,2025-04-25 20:45:00,0.4631,0.4659,0.463,0.4653,15779.0
ARKUSDT,2025-04-25 21:00:00,0.4653,0.4659,0.4643,0.4645,13536.0
ARKUSDT,2025-04-25 21:15:00,0.4645,0.465,0.4628,0.4628,10815.0
ARKUSDT,2025-04-25 21:30:00,0.4628,0.4652,0.4612,0.4612,12070.0
ARKUSDT,2025-04-25 21:45:00,0.4612,0.4619,0.4595,0.4607,18927.0
ARKUSDT,2025-04-25 22:00:00,0.4607,0.4643,0.4603,0.4633,30121.0
ARKUSDT,2025-04-25 22:15:00,0.4633,0.4659,0.4622,0.4654,17788.0
ARKUSDT,2025-04-25 22:30:00,0.4654,0.4663,0.4643,0.4663,28085.0
ARKUSDT,2025-04-25 22:45:00,0.4663,0.4664,0.4635,0.4642,15418.0
ARKUSDT,2025-04-25 23:00:00,0.4642,0.465,0.463,0.4645,15375.0
ARKUSDT,2025-04-25 23:15:00,0.4645,0.4645,0.461,0.4612,8577.0
ARKUSDT,2025-04-25 23:30:00,0.4612,0.4629,0.4612,0.4622,13094.0
ARKUSDT,2025-04-25 23:45:00,0.4622,0.4664,0.4619,0.4664,12141.0
ARKUSDT,2025-04-26 00:00:00,0.4664,0.4691,0.4615,0.462,74299.0
ARKUSDT,2025-04-26 00:15:00,0.462,0.4626,0.4603,0.4609,43072.0
ARKUSDT,2025-04-26 00:30:00,0.4609,0.4647,0.4605,0.4627,14948.0
ARKUSDT,2025-04-26 00:45:00,0.4627,0.4648,0.4618,0.4628,25651.0
ARKUSDT,2025-04-26 01:00:00,0.4628,0.4649,0.4626,0.4626,13311.0
ARKUSDT,2025-04-26 01:15:00,0.4626,0.4662,0.4626,0.4649,13723.0
ARKUSDT,2025-04-26 01:30:00,0.4649,0.47,0.4649,0.4674,32820.0
ARKUSDT,2025-04-26 01:45:00,0.4674,0.4676,0.466,0.4672,6593.0
ARKUSDT,2025-04-26 02:00:00,0.4672,0.4673,0.4634,0.4642,30444.0
ARKUSDT,2025-04-26 02:15:00,0.4642,0.4667,0.4637,0.4655,7787.0
ARKUSDT,2025-04-26 02:30:00,0.4655,0.4687,0.4652,0.4672,9086.0
ARKUSDT,2025-04-26 02:45:00,0.4672,0.4705,0.4657,0.4701,68347.0
ARKUSDT,2025-04-26 03:00:00,0.4701,0.4705,0.4674,0.4696,114270.0
ARKUSDT,2025-04-26 03:15:00,0.4696,0.4696,0.4654,0.4657,32393.0
ARKUSDT,2025-04-26 03:30:00,0.4657,0.4692,0.4653,0.4676,12272.0
ARKUSDT,2025-04-26 03:45:00,0.4676,0.4679,0.466,0.4664,16061.0
ARKUSDT,2025-04-26 04:00:00,0.4664,0.4695,0.4659,0.469,11510.0
ARKUSDT,2025-04-26 04:15:00,0.469,0.469,0.4643,0.4647,166088.0
ARKUSDT,2025-04-26 04:30:00,0.4647,0.4647,0.4614,0.4625,33475.0
ARKUSDT,2025-04-26 04:45:00,0.4625,0.4634,0.461,0.4611,10353.0
ARKUSDT,2025-04-26 05:00:00,0.4611,0.4618,0.4569,0.458,34519.0
ARKUSDT,2025-04-26 05:15:00,0.458,0.4609,0.4579,0.4609,58083.0
ARKUSDT,2025-04-26 05:30:00,0.4609,0.4621,0.4608,0.4616,149511.0
ARKUSDT,2025-04-26 05:45:00,0.4616,0.4642,0.4616,0.4635,12341.0
ARKUSDT,2025-04-26 06:00:00,0.4635,0.464,0.4613,0.464,60826.0
ARKUSDT,2025-04-26 06:15:00,0.464,0.464,0.4625,0.4634,10014.0
ARKUSDT,2025-04-26 06:30:00,0.4634,0.4644,0.4626,0.4637,13488.0
ARKUSDT,2025-04-26 06:45:00,0.4637,0.4665,0.4632,0.4659,38547.0
ARKUSDT,2025-04-26 07:00:00,0.4659,0.467,0.4641,0.466,19784.0
ARKUSDT,2025-04-26 07:15:00,0.466,0.4661,0.4639,0.4652,11236.0
ARKUSDT,2025-04-26 07:30:00,0.4652,0.4652,0.4624,0.4638,17553.0
ARKUSDT,2025-04-26 07:45:00,0.4638,0.4638,0.4587,0.4587,10913.0
ARKUSDT,2025-04-26 08:00:00,0.4587,0.4601,0.458,0.4601,18783.0
ARKUSDT,2025-04-26 08:15:00,0.4601,0.4645,0.4592,0.4637,22167.0
ARKUSDT,2025-04-26 08:30:00,0.4637,0.4637,0.4588,0.4593,35900.0
ARKUSDT,2025-04-26 08:45:00,0.4593,0.4595,0.4572,0.4576,23881.0
ARKUSDT,2025-04-26 09:00:00,0.4576,0.4594,0.4569,0.4583,16113.0
ARKUSDT,2025-04-26 09:15:00,0.4583,0.4604,0.4578,0.4578,8362.0
ARKUSDT,2025-04-26 09:30:00,0.4578,0.4584,0.4563,0.4577,14505.0
ARKUSDT,2025-04-26 09:45:00,0.4577,0.4587,0.4573,0.4574,8025.0
ARKUSDT,2025-04-26 10:00:00,0.4574,0.4593,0.4562,0.4568,7493.0
ARKUSDT,2025-04-26 10:15:00,0.4568,0.4595,0.4568,0.4583,10710.0
ARKUSDT,2025-04-26 10:30:00,0.4583,0.4595,0.4569,0.459,92575.0
ARKUSDT,2025-04-26 10:45:00,0.459,0.4598,0.458,0.4585,33613.0
ARKUSDT,2025-04-26 11:00:00,0.4585,0.4589,0.4562,0.4569,21001.0
ARKUSDT,2025-04-26 11:15:00,0.4569,0.4571,0.4526,0.4528,47331.0
ARKUSDT,2025-04-26 11:30:00,0.4528,0.4536,0.4504,0.4523,35508.0
ARKUSDT,2025-04-26 11:45:00,0.4523,0.4542,0.45,0.4535,26414.0
ARKUSDT,2025-04-26 12:00:00,0.4535,0.4573,0.4533,0.4572,18582.0
ARKUSDT,2025-04-26 12:15:00,0.4572,0.4597,0.4562,0.4586,7735.0
ARKUSDT,2025-04-26 12:30:00,0.4586,0.4586,0.4538,0.456,7544.0
ARKUSDT,2025-04-26 12:45:00,0.456,0.4561,0.4525,0.4525,8431.0
ARKUSDT,2025-04-26 13:00:00,0.4525,0.4568,0.4521,0.4554,13877.0
ARKUSDT,2025-04-26 13:15:00,0.4554,0.4554,0.4522,0.4522,54036.0
ARKUSDT,2025-04-26 13:30:00,0.4522,0.4523,0.45,0.45,33465.0
ARKUSDT,2025-04-26 13:45:00,0.45,0.4557,0.4458,0.455,304206.0
ARKUSDT,2025-04-26 14:00:00,0.455,0.4554,0.4507,0.4515,21534.0
ARKUSDT,2025-04-26 14:15:00,0.4515,0.4524,0.4498,0.452,13182.0
ARKUSDT,2025-04-26 14:30:00,0.452,0.454,0.4518,0.4536,17276.0
ARKUSDT,2025-04-26 14:45:00,0.4536,0.4537,0.4524,0.4527,6649.0
ARKUSDT,2025-04-26 15:00:00,0.4527,0.4536,0.4521,0.453,11375.0
ARKUSDT,2025-04-26 15:15:00,0.453,0.4547,0.4525,0.4547,15835.0
ARKUSDT,2025-04-26 15:30:00,0.4547,0.4548,0.453,0.4541,16487.0
