symbol,timestamp,open,high,low,close,volume
ARUSDT,2025-04-25 16:30:00,7.008,7.054,6.983,7.046,1122.2
ARUSDT,2025-04-25 16:45:00,7.046,7.047,7.004,7.02,912.0
ARUSDT,2025-04-25 17:00:00,7.02,7.06,7.01,7.054,709.6
ARUSDT,2025-04-25 17:15:00,7.054,7.056,7.012,7.015,451.1
ARUSDT,2025-04-25 17:30:00,7.015,7.016,6.943,6.987,1810.1
ARUSDT,2025-04-25 17:45:00,6.987,6.996,6.953,6.971,644.7
ARUSDT,2025-04-25 18:00:00,6.971,7.02,6.97,7.017,668.0
ARUSDT,2025-04-25 18:15:00,7.017,7.064,7.001,7.054,995.9
ARUSDT,2025-04-25 18:30:00,7.054,7.087,7.046,7.058,716.5
ARUSDT,2025-04-25 18:45:00,7.058,7.075,7.015,7.02,356.1
ARUSDT,2025-04-25 19:00:00,7.02,7.027,6.999,7.005,5462.2
ARUSDT,2025-04-25 19:15:00,7.005,7.071,7.003,7.064,10697.5
ARUSDT,2025-04-25 19:30:00,7.064,7.066,7.024,7.038,11454.7
ARUSDT,2025-04-25 19:45:00,7.038,7.058,7.027,7.052,736.9
ARUSDT,2025-04-25 20:00:00,7.052,7.066,7.033,7.059,819.1
ARUSDT,2025-04-25 20:15:00,7.059,7.06,7.022,7.028,567.3
ARUSDT,2025-04-25 20:30:00,7.028,7.055,7.027,7.042,375.8
ARUSDT,2025-04-25 20:45:00,7.042,7.063,7.039,7.047,382.0
ARUSDT,2025-04-25 21:00:00,7.047,7.133,7.04,7.112,1238.7
ARUSDT,2025-04-25 21:15:00,7.112,7.112,7.05,7.058,3129.2
ARUSDT,2025-04-25 21:30:00,7.058,7.074,7.035,7.036,1337.9
ARUSDT,2025-04-25 21:45:00,7.036,7.036,6.934,6.949,2232.8
ARUSDT,2025-04-25 22:00:00,6.949,7.033,6.949,7.012,1164.7
ARUSDT,2025-04-25 22:15:00,7.012,7.057,6.995,7.057,6194.6
ARUSDT,2025-04-25 22:30:00,7.057,7.112,7.055,7.112,502.7
ARUSDT,2025-04-25 22:45:00,7.112,7.112,7.074,7.079,1286.6
ARUSDT,2025-04-25 23:00:00,7.079,7.116,7.055,7.084,2801.7
ARUSDT,2025-04-25 23:15:00,7.084,7.084,7.056,7.071,416.6
ARUSDT,2025-04-25 23:30:00,7.071,7.081,7.048,7.066,470.8
ARUSDT,2025-04-25 23:45:00,7.066,7.07,7.049,7.055,538.3
ARUSDT,2025-04-26 00:00:00,7.055,7.13,7.055,7.128,881.6
ARUSDT,2025-04-26 00:15:00,7.128,7.171,7.104,7.16,447.4
