symbol,timestamp,open,high,low,close,volume
ASTRUSDT,2025-04-25 16:30:00,0.02951,0.0297,0.02948,0.02969,143434.0
ASTRUSDT,2025-04-25 16:45:00,0.02969,0.02969,0.02958,0.02966,106496.0
ASTRUSDT,2025-04-25 17:00:00,0.02966,0.02975,0.02965,0.02969,142127.0
ASTRUSDT,2025-04-25 17:15:00,0.02969,0.02971,0.02963,0.02963,195287.0
ASTRUSDT,2025-04-25 17:30:00,0.02963,0.02963,0.02932,0.02943,135414.0
ASTRUSDT,2025-04-25 17:45:00,0.02943,0.02943,0.02926,0.02927,198272.0
ASTRUSDT,2025-04-25 18:00:00,0.02927,0.02938,0.02927,0.02933,126386.0
ASTRUSDT,2025-04-25 18:15:00,0.02933,0.0294,0.0293,0.02937,103212.0
ASTRUSDT,2025-04-25 18:30:00,0.02937,0.02952,0.02935,0.02942,109444.0
ASTRUSDT,2025-04-25 18:45:00,0.02942,0.02944,0.02931,0.02933,182747.0
ASTRUSDT,2025-04-25 19:00:00,0.02933,0.02935,0.02917,0.02917,165562.0
ASTRUSDT,2025-04-25 19:15:00,0.02917,0.02932,0.02917,0.02929,164098.0
ASTRUSDT,2025-04-25 19:30:00,0.02929,0.02929,0.02919,0.02922,166246.0
ASTRUSDT,2025-04-25 19:45:00,0.02922,0.0293,0.0292,0.02929,121107.0
ASTRUSDT,2025-04-25 20:00:00,0.02929,0.02933,0.02925,0.02927,150077.0
ASTRUSDT,2025-04-25 20:15:00,0.02927,0.02932,0.02924,0.02925,125008.0
ASTRUSDT,2025-04-25 20:30:00,0.02925,0.02933,0.02924,0.02927,137300.0
ASTRUSDT,2025-04-25 20:45:00,0.02927,0.02938,0.02926,0.02931,136061.0
ASTRUSDT,2025-04-25 21:00:00,0.02931,0.02942,0.02929,0.0294,76105.0
ASTRUSDT,2025-04-25 21:15:00,0.0294,0.02941,0.02935,0.02937,118238.0
ASTRUSDT,2025-04-25 21:30:00,0.02937,0.02943,0.02931,0.02935,152025.0
ASTRUSDT,2025-04-25 21:45:00,0.02935,0.02935,0.02913,0.02919,187358.0
ASTRUSDT,2025-04-25 22:00:00,0.02919,0.02923,0.02918,0.02921,136538.0
ASTRUSDT,2025-04-25 22:15:00,0.02921,0.02935,0.02921,0.02934,125702.0
ASTRUSDT,2025-04-25 22:30:00,0.02934,0.02957,0.02934,0.02957,184288.0
ASTRUSDT,2025-04-25 22:45:00,0.02957,0.02962,0.02956,0.02956,104705.0
ASTRUSDT,2025-04-25 23:00:00,0.02956,0.02964,0.02955,0.02955,69267.0
ASTRUSDT,2025-04-25 23:15:00,0.02955,0.02956,0.02945,0.02948,115881.0
ASTRUSDT,2025-04-25 23:30:00,0.02948,0.02954,0.02945,0.02952,77533.0
ASTRUSDT,2025-04-25 23:45:00,0.02952,0.02953,0.0294,0.02943,110504.0
ASTRUSDT,2025-04-26 00:00:00,0.02943,0.02967,0.02943,0.02967,94994.0
ASTRUSDT,2025-04-26 00:15:00,0.02967,0.02972,0.0296,0.02969,77147.0
ASTRUSDT,2025-04-26 00:30:00,0.02969,0.02973,0.02966,0.02969,85287.0
ASTRUSDT,2025-04-26 00:45:00,0.02969,0.02985,0.02969,0.02978,92209.0
ASTRUSDT,2025-04-26 01:00:00,0.02978,0.02987,0.02977,0.02983,102109.0
ASTRUSDT,2025-04-26 01:15:00,0.02983,0.03001,0.0298,0.02998,90241.0
ASTRUSDT,2025-04-26 01:30:00,0.02998,0.03032,0.02998,0.03015,143436.0
ASTRUSDT,2025-04-26 01:45:00,0.03015,0.03017,0.03008,0.03014,62474.0
ASTRUSDT,2025-04-26 02:00:00,0.03014,0.03019,0.03005,0.03006,152735.0
ASTRUSDT,2025-04-26 02:15:00,0.03006,0.03018,0.03004,0.03015,67148.0
ASTRUSDT,2025-04-26 02:30:00,0.03015,0.03024,0.03015,0.03023,68766.0
ASTRUSDT,2025-04-26 02:45:00,0.03023,0.03023,0.03011,0.03012,65064.0
ASTRUSDT,2025-04-26 03:00:00,0.03012,0.0302,0.03008,0.03016,75872.0
ASTRUSDT,2025-04-26 03:15:00,0.03016,0.03016,0.02999,0.03,68181.0
ASTRUSDT,2025-04-26 03:30:00,0.03,0.03006,0.02999,0.03003,92810.0
ASTRUSDT,2025-04-26 03:45:00,0.03003,0.03009,0.02996,0.03004,62894.0
ASTRUSDT,2025-04-26 04:00:00,0.03004,0.03004,0.02996,0.03001,98431.0
ASTRUSDT,2025-04-26 04:15:00,0.03001,0.03001,0.02989,0.02989,155117.0
ASTRUSDT,2025-04-26 04:30:00,0.02989,0.03,0.02969,0.02981,808583.0
ASTRUSDT,2025-04-26 04:45:00,0.02981,0.02981,0.02973,0.02979,118326.0
ASTRUSDT,2025-04-26 05:00:00,0.02979,0.0298,0.02971,0.02972,221853.0
ASTRUSDT,2025-04-26 05:15:00,0.02972,0.02993,0.02967,0.02993,199340.0
ASTRUSDT,2025-04-26 05:30:00,0.02993,0.02993,0.02982,0.02992,145484.0
ASTRUSDT,2025-04-26 05:45:00,0.02992,0.02997,0.02991,0.02995,144165.0
ASTRUSDT,2025-04-26 06:00:00,0.02995,0.03005,0.02995,0.03002,70924.0
ASTRUSDT,2025-04-26 06:15:00,0.03002,0.03004,0.03,0.03002,54818.0
ASTRUSDT,2025-04-26 06:30:00,0.03002,0.03012,0.03001,0.03007,72756.0
ASTRUSDT,2025-04-26 06:45:00,0.03007,0.03016,0.03007,0.03014,106341.0
ASTRUSDT,2025-04-26 07:00:00,0.03014,0.03026,0.03014,0.03022,157669.0
ASTRUSDT,2025-04-26 07:15:00,0.03022,0.03025,0.03021,0.03023,176183.0
ASTRUSDT,2025-04-26 07:30:00,0.03023,0.03029,0.03017,0.03029,123381.0
ASTRUSDT,2025-04-26 07:45:00,0.03029,0.03032,0.03016,0.03016,152815.0
ASTRUSDT,2025-04-26 08:00:00,0.03016,0.03022,0.0301,0.03017,181582.0
ASTRUSDT,2025-04-26 08:15:00,0.03017,0.03041,0.03011,0.03036,120763.0
ASTRUSDT,2025-04-26 08:30:00,0.03036,0.03036,0.02995,0.02998,161362.0
ASTRUSDT,2025-04-26 08:45:00,0.02998,0.03013,0.02975,0.02983,182934.0
ASTRUSDT,2025-04-26 09:00:00,0.02983,0.0299,0.02968,0.02986,112598.0
ASTRUSDT,2025-04-26 09:15:00,0.02986,0.02994,0.02979,0.0298,102382.0
ASTRUSDT,2025-04-26 09:30:00,0.0298,0.0298,0.02962,0.02972,136616.0
ASTRUSDT,2025-04-26 09:45:00,0.02972,0.02977,0.02969,0.02977,112479.0
ASTRUSDT,2025-04-26 10:00:00,0.02977,0.0299,0.02974,0.02981,90497.0
ASTRUSDT,2025-04-26 10:15:00,0.02981,0.02995,0.02981,0.02991,80626.0
ASTRUSDT,2025-04-26 10:30:00,0.02991,0.03,0.02989,0.03,109946.0
ASTRUSDT,2025-04-26 10:45:00,0.03,0.03001,0.02991,0.02991,82605.0
ASTRUSDT,2025-04-26 11:00:00,0.02991,0.03003,0.02986,0.02993,94592.0
ASTRUSDT,2025-04-26 11:15:00,0.02993,0.02995,0.02974,0.02975,121030.0
ASTRUSDT,2025-04-26 11:30:00,0.02975,0.02984,0.02955,0.02961,85898.0
ASTRUSDT,2025-04-26 11:45:00,0.02961,0.02965,0.02943,0.02947,178144.0
ASTRUSDT,2025-04-26 12:00:00,0.02947,0.02964,0.02945,0.0296,161805.0
ASTRUSDT,2025-04-26 12:15:00,0.0296,0.02967,0.02955,0.02966,117835.0
ASTRUSDT,2025-04-26 12:30:00,0.02966,0.02967,0.02954,0.0296,110632.0
ASTRUSDT,2025-04-26 12:45:00,0.0296,0.02966,0.02954,0.02955,78939.0
ASTRUSDT,2025-04-26 13:00:00,0.02955,0.02968,0.02953,0.02958,40030.0
ASTRUSDT,2025-04-26 13:15:00,0.02958,0.02961,0.02948,0.02948,39478.0
ASTRUSDT,2025-04-26 13:30:00,0.02948,0.02949,0.02935,0.02941,60038.0
ASTRUSDT,2025-04-26 13:45:00,0.02941,0.0295,0.02925,0.0295,99434.0
ASTRUSDT,2025-04-26 14:00:00,0.0295,0.02952,0.02937,0.02947,71499.0
ASTRUSDT,2025-04-26 14:15:00,0.02947,0.02947,0.02932,0.02945,100714.0
ASTRUSDT,2025-04-26 14:30:00,0.02945,0.02961,0.02943,0.02956,72141.0
ASTRUSDT,2025-04-26 14:45:00,0.02956,0.02961,0.02953,0.02956,78681.0
ASTRUSDT,2025-04-26 15:00:00,0.02956,0.02966,0.02955,0.02963,133234.0
ASTRUSDT,2025-04-26 15:15:00,0.02963,0.02974,0.02961,0.02974,86135.0
ASTRUSDT,2025-04-26 15:30:00,0.02974,0.0298,0.02972,0.02973,201367.0
ASTRUSDT,2025-04-26 15:45:00,0.02973,0.02982,0.02971,0.02979,183067.0
ASTRUSDT,2025-04-26 16:00:00,0.02979,0.02982,0.02973,0.0298,93616.0
ASTRUSDT,2025-04-26 16:15:00,0.0298,0.02984,0.02975,0.02979,90333.0
