symbol,timestamp,open,high,low,close,volume
AVAAIUSDT,2025-04-26 14:40:00,0.04689,0.04697,0.04685,0.0469,61919.0
AVAAIUSDT,2025-04-26 14:45:00,0.0469,0.0469,0.04663,0.04676,63516.0
AVAAIUSDT,2025-04-26 14:50:00,0.04676,0.04692,0.04662,0.04684,20037.0
AVAAIUSDT,2025-04-26 14:55:00,0.04684,0.04684,0.04668,0.04676,21978.0
AVAAIUSDT,2025-04-26 15:00:00,0.04676,0.04687,0.04666,0.04682,23032.0
AVAAIUSDT,2025-04-26 15:05:00,0.04682,0.04727,0.04677,0.04712,106534.0
AVAAIUSDT,2025-04-26 15:10:00,0.04712,0.04712,0.04696,0.04703,15995.0
AVAAIUSDT,2025-04-26 15:15:00,0.04703,0.04735,0.04701,0.04716,53559.0
AVAAIUSDT,2025-04-26 15:20:00,0.04716,0.04738,0.04716,0.04734,22489.0
AVAAIUSDT,2025-04-26 15:25:00,0.04734,0.04779,0.04734,0.0477,170349.0
AVAAIUSDT,2025-04-26 15:30:00,0.0477,0.04777,0.04752,0.04767,18610.0
AVAAIUSDT,2025-04-26 15:35:00,0.04767,0.04776,0.0476,0.04762,21660.0
AVAAIUSDT,2025-04-26 15:40:00,0.04762,0.04765,0.04756,0.04765,54081.0
AVAAIUSDT,2025-04-26 15:45:00,0.04765,0.04779,0.04765,0.04774,24936.0
AVAAIUSDT,2025-04-26 15:50:00,0.04774,0.04779,0.04763,0.04769,46381.0
AVAAIUSDT,2025-04-26 15:55:00,0.04769,0.0478,0.04746,0.04746,200836.0
AVAAIUSDT,2025-04-26 16:00:00,0.04746,0.04748,0.04712,0.04713,225685.0
AVAAIUSDT,2025-04-26 16:05:00,0.04713,0.04718,0.047,0.047,192848.0
AVAAIUSDT,2025-04-26 16:10:00,0.047,0.04717,0.04684,0.04695,103262.0
AVAAIUSDT,2025-04-26 16:15:00,0.04695,0.04695,0.04658,0.04672,103544.0
AVAAIUSDT,2025-04-26 16:20:00,0.04672,0.04697,0.04663,0.04697,191673.0
AVAAIUSDT,2025-04-26 16:25:00,0.04697,0.04707,0.04685,0.04685,44356.0
AVAAIUSDT,2025-04-26 16:30:00,0.04685,0.04685,0.04656,0.04657,133076.0
AVAAIUSDT,2025-04-26 16:35:00,0.04657,0.04664,0.0465,0.04658,24772.0
AVAAIUSDT,2025-04-26 16:40:00,0.04658,0.04661,0.04621,0.04649,138985.0
AVAAIUSDT,2025-04-26 16:45:00,0.04649,0.04669,0.04608,0.04666,153032.0
AVAAIUSDT,2025-04-26 16:50:00,0.04666,0.04666,0.04639,0.04644,383746.0
AVAAIUSDT,2025-04-26 16:55:00,0.04644,0.04653,0.04644,0.04649,8103.0
AVAAIUSDT,2025-04-26 17:00:00,0.04649,0.04663,0.04649,0.04662,21928.0
AVAAIUSDT,2025-04-26 17:05:00,0.04662,0.0469,0.04662,0.0469,25268.0
