symbol,timestamp,open,high,low,close,volume
AVAUSDT,2025-04-26 14:40:00,0.6215,0.6244,0.6215,0.6225,1363.0
AVAUSDT,2025-04-26 14:45:00,0.6225,0.6227,0.621,0.622,1434.0
AVAUSDT,2025-04-26 14:50:00,0.622,0.6222,0.6205,0.6214,1707.0
AVAUSDT,2025-04-26 14:55:00,0.6214,0.6214,0.62,0.62,976.0
AVAUSDT,2025-04-26 15:00:00,0.62,0.6217,0.62,0.6215,1287.0
AVAUSDT,2025-04-26 15:05:00,0.6215,0.6225,0.6203,0.6225,1227.0
AVAUSDT,2025-04-26 15:10:00,0.6225,0.6226,0.6214,0.6214,1057.0
AVAUSDT,2025-04-26 15:15:00,0.6214,0.6234,0.6211,0.6214,1980.0
AVAUSDT,2025-04-26 15:20:00,0.6214,0.6236,0.6214,0.6236,1400.0
AVAUSDT,2025-04-26 15:25:00,0.6236,0.6247,0.6236,0.6245,1044.0
AVAUSDT,2025-04-26 15:30:00,0.6245,0.6245,0.6227,0.6227,1214.0
AVAUSDT,2025-04-26 15:35:00,0.6227,0.6234,0.6224,0.6228,1328.0
AVAUSDT,2025-04-26 15:40:00,0.6228,0.6235,0.6225,0.6233,1751.0
AVAUSDT,2025-04-26 15:45:00,0.6233,0.6244,0.6223,0.6241,1094.0
AVAUSDT,2025-04-26 15:50:00,0.6241,0.6258,0.6241,0.6253,1582.0
AVAUSDT,2025-04-26 15:55:00,0.6253,0.6257,0.6249,0.6253,1322.0
AVAUSDT,2025-04-26 16:00:00,0.6253,0.6253,0.6231,0.6235,1344.0
AVAUSDT,2025-04-26 16:05:00,0.6235,0.6235,0.6214,0.6214,1449.0
AVAUSDT,2025-04-26 16:10:00,0.6214,0.6227,0.6214,0.6223,999.0
AVAUSDT,2025-04-26 16:15:00,0.6223,0.6235,0.6223,0.6235,1485.0
AVAUSDT,2025-04-26 16:20:00,0.6235,0.6243,0.6223,0.6232,1898.0
AVAUSDT,2025-04-26 16:25:00,0.6232,0.6237,0.6222,0.6222,1328.0
AVAUSDT,2025-04-26 16:30:00,0.6222,0.6227,0.6198,0.6198,1835.0
AVAUSDT,2025-04-26 16:35:00,0.6198,0.6198,0.618,0.6181,1728.0
AVAUSDT,2025-04-26 16:40:00,0.6181,0.6184,0.616,0.6166,25463.0
AVAUSDT,2025-04-26 16:45:00,0.6166,0.6186,0.6164,0.6181,1521.0
AVAUSDT,2025-04-26 16:50:00,0.6181,0.619,0.6173,0.6188,1685.0
AVAUSDT,2025-04-26 16:55:00,0.6188,0.6201,0.6186,0.6201,1871.0
AVAUSDT,2025-04-26 17:00:00,0.6201,0.6216,0.6195,0.6202,1250.0
AVAUSDT,2025-04-26 17:05:00,0.6202,0.6208,0.6192,0.6205,1509.0
AVAUSDT,2025-04-26 17:10:00,0.6205,0.6208,0.6186,0.6188,1755.0
AVAUSDT,2025-04-26 17:15:00,0.6188,0.6194,0.6188,0.6194,910.0
AVAUSDT,2025-04-26 17:20:00,0.6194,0.6198,0.6182,0.6193,1490.0
AVAUSDT,2025-04-26 17:25:00,0.6193,0.6214,0.6193,0.6214,1106.0
AVAUSDT,2025-04-26 17:30:00,0.6214,0.622,0.6201,0.6216,1236.0
AVAUSDT,2025-04-26 17:35:00,0.6216,0.6219,0.621,0.621,984.0
AVAUSDT,2025-04-26 17:40:00,0.621,0.622,0.621,0.6218,1639.0
AVAUSDT,2025-04-26 17:45:00,0.6218,0.6226,0.6212,0.6226,1722.0
AVAUSDT,2025-04-26 17:50:00,0.6226,0.6239,0.6225,0.623,1973.0
AVAUSDT,2025-04-26 17:55:00,0.623,0.623,0.6218,0.6224,1743.0
AVAUSDT,2025-04-26 18:00:00,0.6224,0.6225,0.6201,0.6204,1029.0
AVAUSDT,2025-04-26 18:05:00,0.6204,0.6214,0.6204,0.621,1838.0
AVAUSDT,2025-04-26 18:10:00,0.621,0.6221,0.6188,0.6188,1778.0
AVAUSDT,2025-04-26 18:15:00,0.6188,0.6198,0.6185,0.6193,1497.0
AVAUSDT,2025-04-26 18:20:00,0.6193,0.6218,0.6193,0.6215,1772.0
AVAUSDT,2025-04-26 18:25:00,0.6215,0.6228,0.6209,0.6209,1776.0
AVAUSDT,2025-04-26 18:30:00,0.6209,0.6212,0.6197,0.6209,1826.0
AVAUSDT,2025-04-26 18:35:00,0.6209,0.6209,0.6193,0.6198,1705.0
AVAUSDT,2025-04-26 18:40:00,0.6198,0.6209,0.6198,0.6201,1415.0
AVAUSDT,2025-04-26 18:45:00,0.6201,0.6207,0.6199,0.6205,1624.0
AVAUSDT,2025-04-26 18:50:00,0.6205,0.6208,0.6189,0.6189,1473.0
AVAUSDT,2025-04-26 18:55:00,0.6189,0.6189,0.6177,0.6183,1495.0
AVAUSDT,2025-04-26 19:00:00,0.6183,0.6194,0.6177,0.6194,1108.0
AVAUSDT,2025-04-26 19:05:00,0.6194,0.6197,0.6181,0.6181,1203.0
AVAUSDT,2025-04-26 19:10:00,0.6181,0.619,0.6181,0.6186,1712.0
AVAUSDT,2025-04-26 19:15:00,0.6186,0.619,0.618,0.6183,1151.0
AVAUSDT,2025-04-26 19:20:00,0.6183,0.6194,0.6181,0.6191,2031.0
AVAUSDT,2025-04-26 19:25:00,0.6191,0.6218,0.6191,0.6209,1095.0
AVAUSDT,2025-04-26 19:30:00,0.6209,0.6219,0.62,0.6217,1495.0
AVAUSDT,2025-04-26 19:35:00,0.6217,0.6229,0.6215,0.6225,1967.0
AVAUSDT,2025-04-26 19:40:00,0.6225,0.6231,0.6222,0.6225,1108.0
AVAUSDT,2025-04-26 19:45:00,0.6225,0.6232,0.6213,0.6213,1892.0
AVAUSDT,2025-04-26 19:50:00,0.6213,0.6224,0.621,0.6214,1715.0
AVAUSDT,2025-04-26 19:55:00,0.6214,0.6224,0.6214,0.6224,1365.0
AVAUSDT,2025-04-26 20:00:00,0.6224,0.6245,0.6224,0.6235,1803.0
AVAUSDT,2025-04-26 20:05:00,0.6235,0.6258,0.6235,0.6246,1634.0
AVAUSDT,2025-04-26 20:10:00,0.6246,0.6256,0.6228,0.6229,1507.0
AVAUSDT,2025-04-26 20:15:00,0.6229,0.6234,0.6223,0.6226,2032.0
AVAUSDT,2025-04-26 20:20:00,0.6226,0.6234,0.6226,0.6232,1230.0
AVAUSDT,2025-04-26 20:25:00,0.6232,0.6233,0.6226,0.6229,1470.0
AVAUSDT,2025-04-26 20:30:00,0.6229,0.6236,0.6228,0.6233,1669.0
AVAUSDT,2025-04-26 20:35:00,0.6233,0.6234,0.6213,0.6216,1889.0
AVAUSDT,2025-04-26 20:40:00,0.6216,0.6231,0.6216,0.6224,982.0
AVAUSDT,2025-04-26 20:45:00,0.6224,0.6235,0.6219,0.623,1879.0
AVAUSDT,2025-04-26 20:50:00,0.623,0.623,0.6208,0.6208,1969.0
AVAUSDT,2025-04-26 20:55:00,0.6208,0.6215,0.6202,0.6202,1030.0
AVAUSDT,2025-04-26 21:00:00,0.6202,0.6216,0.6199,0.621,680.0
AVAUSDT,2025-04-26 21:05:00,0.621,0.6231,0.621,0.6231,1421.0
AVAUSDT,2025-04-26 21:10:00,0.6231,0.6237,0.6225,0.6234,1676.0
AVAUSDT,2025-04-26 21:15:00,0.6234,0.6243,0.6227,0.6227,1395.0
AVAUSDT,2025-04-26 21:20:00,0.6227,0.6238,0.6222,0.6238,2232.0
AVAUSDT,2025-04-26 21:25:00,0.6238,0.625,0.6232,0.6236,1890.0
AVAUSDT,2025-04-26 21:30:00,0.6236,0.6241,0.6223,0.6241,1764.0
AVAUSDT,2025-04-26 21:35:00,0.6241,0.6242,0.6227,0.624,2150.0
AVAUSDT,2025-04-26 21:40:00,0.624,0.6246,0.6234,0.6243,2610.0
AVAUSDT,2025-04-26 21:45:00,0.6243,0.6249,0.624,0.6248,1658.0
AVAUSDT,2025-04-26 21:50:00,0.6248,0.6248,0.6238,0.6239,2140.0
AVAUSDT,2025-04-26 21:55:00,0.6239,0.6247,0.6235,0.6235,2591.0
AVAUSDT,2025-04-26 22:00:00,0.6235,0.6253,0.6235,0.625,2152.0
AVAUSDT,2025-04-26 22:05:00,0.625,0.6287,0.625,0.6274,6669.0
AVAUSDT,2025-04-26 22:10:00,0.6274,0.6278,0.6268,0.6276,2771.0
AVAUSDT,2025-04-26 22:15:00,0.6276,0.6296,0.6276,0.6296,1959.0
AVAUSDT,2025-04-26 22:20:00,0.6296,0.6299,0.6295,0.6298,18208.0
AVAUSDT,2025-04-26 22:25:00,0.6298,0.6308,0.6295,0.6308,4615.0
AVAUSDT,2025-04-26 22:30:00,0.6308,0.6308,0.6293,0.6307,4156.0
AVAUSDT,2025-04-26 22:35:00,0.6307,0.6309,0.6307,0.6307,1750.0
AVAUSDT,2025-04-26 22:40:00,0.6307,0.6311,0.6307,0.631,7010.0
AVAUSDT,2025-04-26 22:45:00,0.631,0.6312,0.6303,0.6309,4775.0
AVAUSDT,2025-04-26 22:50:00,0.6309,0.631,0.6264,0.6266,2737.0
AVAUSDT,2025-04-26 22:55:00,0.6266,0.6266,0.6244,0.6261,2083.0
AVAUSDT,2025-04-26 23:00:00,0.6261,0.6269,0.6257,0.6263,1105.0
AVAUSDT,2025-04-26 23:05:00,0.6263,0.6277,0.6251,0.6277,1620.0
AVAUSDT,2025-04-26 23:10:00,0.6277,0.6277,0.6264,0.6268,1781.0
AVAUSDT,2025-04-26 23:15:00,0.6268,0.6276,0.6262,0.6275,1171.0
AVAUSDT,2025-04-26 23:20:00,0.6275,0.6283,0.6271,0.6282,1814.0
AVAUSDT,2025-04-26 23:25:00,0.6282,0.6287,0.6277,0.6287,1279.0
AVAUSDT,2025-04-26 23:30:00,0.6287,0.6287,0.6277,0.6281,1356.0
AVAUSDT,2025-04-26 23:35:00,0.6281,0.6287,0.628,0.628,1464.0
AVAUSDT,2025-04-26 23:40:00,0.628,0.6293,0.628,0.6293,1625.0
AVAUSDT,2025-04-26 23:45:00,0.6293,0.6298,0.629,0.6298,1848.0
AVAUSDT,2025-04-26 23:50:00,0.6298,0.6307,0.6296,0.6304,1176.0
AVAUSDT,2025-04-26 23:55:00,0.6304,0.6307,0.6295,0.6296,1129.0
AVAUSDT,2025-04-27 00:00:00,0.6296,0.6302,0.629,0.6302,9231.0
AVAUSDT,2025-04-27 00:05:00,0.6302,0.6322,0.6299,0.632,2841.0
AVAUSDT,2025-04-27 00:10:00,0.632,0.633,0.6319,0.6322,7986.0
AVAUSDT,2025-04-27 00:15:00,0.6322,0.6341,0.632,0.6341,2162.0
AVAUSDT,2025-04-27 00:20:00,0.6341,0.6341,0.6314,0.6319,1277.0
AVAUSDT,2025-04-27 00:25:00,0.6319,0.6427,0.6249,0.6299,27269.0
AVAUSDT,2025-04-27 00:30:00,0.6299,0.6311,0.6276,0.6276,2102.0
AVAUSDT,2025-04-27 00:35:00,0.6276,0.6287,0.6271,0.6287,1642.0
AVAUSDT,2025-04-27 00:40:00,0.6287,0.6297,0.6271,0.6297,798.0
AVAUSDT,2025-04-27 00:45:00,0.6297,0.6306,0.6289,0.6301,957.0
AVAUSDT,2025-04-27 00:50:00,0.6301,0.6303,0.6275,0.6275,1587.0
AVAUSDT,2025-04-27 00:55:00,0.6275,0.6275,0.6236,0.6246,1593.0
AVAUSDT,2025-04-27 01:00:00,0.6246,0.6255,0.6233,0.6243,1112.0
AVAUSDT,2025-04-27 01:05:00,0.6243,0.6248,0.6218,0.622,1945.0
AVAUSDT,2025-04-27 01:10:00,0.622,0.6234,0.6211,0.6223,1331.0
AVAUSDT,2025-04-27 01:15:00,0.6223,0.6229,0.6185,0.6185,1836.0
AVAUSDT,2025-04-27 01:20:00,0.6185,0.6185,0.6123,0.6129,34605.0
AVAUSDT,2025-04-27 01:25:00,0.6129,0.6141,0.611,0.6141,8645.0
AVAUSDT,2025-04-27 01:30:00,0.6141,0.6142,0.6064,0.6064,12664.0
AVAUSDT,2025-04-27 01:35:00,0.6064,0.61,0.6064,0.61,1698.0
AVAUSDT,2025-04-27 01:40:00,0.61,0.6101,0.6083,0.6092,1520.0
AVAUSDT,2025-04-27 01:45:00,0.6092,0.6092,0.6054,0.6066,4547.0
AVAUSDT,2025-04-27 01:50:00,0.6066,0.6073,0.6037,0.6043,1570.0
AVAUSDT,2025-04-27 01:55:00,0.6043,0.6056,0.6008,0.6013,5758.0
AVAUSDT,2025-04-27 02:00:00,0.6013,0.6041,0.5991,0.6038,23198.0
AVAUSDT,2025-04-27 02:05:00,0.6038,0.6043,0.6025,0.6037,1490.0
AVAUSDT,2025-04-27 02:10:00,0.6037,0.6051,0.6029,0.6051,19154.0
AVAUSDT,2025-04-27 02:15:00,0.6051,0.6065,0.6044,0.6065,1854.0
AVAUSDT,2025-04-27 02:20:00,0.6065,0.6071,0.6054,0.6068,2338.0
AVAUSDT,2025-04-27 02:25:00,0.6068,0.6084,0.6065,0.6073,2475.0
AVAUSDT,2025-04-27 02:30:00,0.6073,0.608,0.6064,0.6064,1864.0
