symbol,timestamp,open,high,low,close,volume
AVLUSDT,2025-04-25 16:30:00,0.2296,0.232,0.2292,0.2312,55485.0
AVLUSDT,2025-04-25 16:45:00,0.2312,0.2314,0.2306,0.2307,31146.0
AVLUSDT,2025-04-25 17:00:00,0.2307,0.2326,0.2306,0.2319,28911.0
AVLUSDT,2025-04-25 17:15:00,0.2319,0.232,0.2306,0.2306,32324.0
AVLUSDT,2025-04-25 17:30:00,0.2306,0.2313,0.2302,0.2309,18699.0
AVLUSDT,2025-04-25 17:45:00,0.2309,0.231,0.2275,0.2277,33086.0
AVLUSDT,2025-04-25 18:00:00,0.2277,0.2294,0.2277,0.2289,76129.0
AVLUSDT,2025-04-25 18:15:00,0.2289,0.2304,0.2276,0.2279,19346.0
AVLUSDT,2025-04-25 18:30:00,0.2279,0.2294,0.2274,0.2275,30822.0
AVLUSDT,2025-04-25 18:45:00,0.2275,0.2276,0.2251,0.226,20068.0
AVLUSDT,2025-04-25 19:00:00,0.226,0.2266,0.2252,0.2263,25841.0
AVLUSDT,2025-04-25 19:15:00,0.2263,0.2264,0.225,0.2256,16677.0
AVLUSDT,2025-04-25 19:30:00,0.2256,0.2278,0.2249,0.2261,44239.0
AVLUSDT,2025-04-25 19:45:00,0.2261,0.2273,0.2257,0.2272,35258.0
AVLUSDT,2025-04-25 20:00:00,0.2272,0.2276,0.2259,0.2268,19941.0
AVLUSDT,2025-04-25 20:15:00,0.2268,0.2271,0.2259,0.2267,18725.0
AVLUSDT,2025-04-25 20:30:00,0.2267,0.2268,0.2259,0.226,22134.0
AVLUSDT,2025-04-25 20:45:00,0.226,0.2308,0.2259,0.2285,48774.0
AVLUSDT,2025-04-25 21:00:00,0.2285,0.2293,0.2277,0.2287,18189.0
AVLUSDT,2025-04-25 21:15:00,0.2287,0.2293,0.2261,0.2263,57372.0
AVLUSDT,2025-04-25 21:30:00,0.2263,0.2301,0.2259,0.2265,96209.0
AVLUSDT,2025-04-25 21:45:00,0.2265,0.2285,0.2264,0.2276,111628.0
AVLUSDT,2025-04-25 22:00:00,0.2276,0.2296,0.2265,0.2284,77930.0
AVLUSDT,2025-04-25 22:15:00,0.2284,0.2311,0.2268,0.2276,63686.0
AVLUSDT,2025-04-25 22:30:00,0.2276,0.2291,0.2269,0.2283,44649.0
AVLUSDT,2025-04-25 22:45:00,0.2283,0.2284,0.227,0.2277,20317.0
AVLUSDT,2025-04-25 23:00:00,0.2277,0.228,0.2266,0.2269,21723.0
AVLUSDT,2025-04-25 23:15:00,0.2269,0.2281,0.2259,0.227,32561.0
AVLUSDT,2025-04-25 23:30:00,0.227,0.2273,0.2259,0.2263,21642.0
AVLUSDT,2025-04-25 23:45:00,0.2263,0.2276,0.2259,0.226,17228.0
AVLUSDT,2025-04-26 00:00:00,0.226,0.2277,0.2257,0.2275,20855.0
AVLUSDT,2025-04-26 00:15:00,0.2275,0.2282,0.2272,0.2275,20463.0
AVLUSDT,2025-04-26 00:30:00,0.2275,0.2275,0.2267,0.2272,32916.0
AVLUSDT,2025-04-26 00:45:00,0.2272,0.2288,0.2272,0.2286,18729.0
AVLUSDT,2025-04-26 01:00:00,0.2286,0.23,0.2268,0.2291,43913.0
AVLUSDT,2025-04-26 01:15:00,0.2291,0.2305,0.2285,0.2303,30584.0
AVLUSDT,2025-04-26 01:30:00,0.2303,0.2355,0.2303,0.234,278111.0
AVLUSDT,2025-04-26 01:45:00,0.234,0.2358,0.2323,0.2332,98310.0
AVLUSDT,2025-04-26 02:00:00,0.2332,0.2344,0.2328,0.2344,19640.0
AVLUSDT,2025-04-26 02:15:00,0.2344,0.2384,0.2344,0.2371,91818.0
AVLUSDT,2025-04-26 02:30:00,0.2371,0.2386,0.236,0.2369,50616.0
AVLUSDT,2025-04-26 02:45:00,0.2369,0.2376,0.2364,0.2376,21906.0
AVLUSDT,2025-04-26 03:00:00,0.2376,0.2395,0.2374,0.2384,43877.0
AVLUSDT,2025-04-26 03:15:00,0.2384,0.2384,0.2366,0.2371,28273.0
AVLUSDT,2025-04-26 03:30:00,0.2371,0.2387,0.237,0.2387,18149.0
AVLUSDT,2025-04-26 03:45:00,0.2387,0.2397,0.2375,0.2375,31857.0
AVLUSDT,2025-04-26 04:00:00,0.2375,0.2391,0.2368,0.2388,34703.0
AVLUSDT,2025-04-26 04:15:00,0.2388,0.2388,0.2359,0.2365,89457.0
