symbol,timestamp,open,high,low,close,volume
AXSUSDT,2025-04-25 16:30:00,2.606,2.618,2.599,2.617,708.6
AXSUSDT,2025-04-25 16:45:00,2.617,2.617,2.608,2.612,413.0
AXSUSDT,2025-04-25 17:00:00,2.612,2.626,2.612,2.625,1815.5
AXSUSDT,2025-04-25 17:15:00,2.625,2.631,2.62,2.623,3208.4
AXSUSDT,2025-04-25 17:30:00,2.623,2.624,2.593,2.599,4815.5
AXSUSDT,2025-04-25 17:45:00,2.599,2.603,2.589,2.595,1050.9
AXSUSDT,2025-04-25 18:00:00,2.595,2.61,2.594,2.602,546.1
AXSUSDT,2025-04-25 18:15:00,2.602,2.612,2.601,2.611,519.8
AXSUSDT,2025-04-25 18:30:00,2.611,2.619,2.61,2.615,1515.4
AXSUSDT,2025-04-25 18:45:00,2.615,2.616,2.601,2.605,476.8
AXSUSDT,2025-04-25 19:00:00,2.605,2.608,2.588,2.589,562.0
AXSUSDT,2025-04-25 19:15:00,2.589,2.603,2.589,2.6,478.5
AXSUSDT,2025-04-25 19:30:00,2.6,2.601,2.592,2.596,818.2
AXSUSDT,2025-04-25 19:45:00,2.596,2.603,2.591,2.603,2181.2
AXSUSDT,2025-04-25 20:00:00,2.603,2.608,2.599,2.605,4262.8
AXSUSDT,2025-04-25 20:15:00,2.605,2.609,2.597,2.601,543.2
AXSUSDT,2025-04-25 20:30:00,2.601,2.608,2.6,2.603,510.1
AXSUSDT,2025-04-25 20:45:00,2.603,2.618,2.603,2.61,6993.4
AXSUSDT,2025-04-25 21:00:00,2.61,2.622,2.608,2.617,975.1
AXSUSDT,2025-04-25 21:15:00,2.617,2.62,2.606,2.609,1565.4
AXSUSDT,2025-04-25 21:30:00,2.609,2.616,2.606,2.614,2035.1
AXSUSDT,2025-04-25 21:45:00,2.614,2.616,2.594,2.603,6902.9
AXSUSDT,2025-04-25 22:00:00,2.603,2.618,2.602,2.618,1633.2
AXSUSDT,2025-04-25 22:15:00,2.618,2.621,2.614,2.62,1075.4
AXSUSDT,2025-04-25 22:30:00,2.62,2.634,2.62,2.633,5663.7
AXSUSDT,2025-04-25 22:45:00,2.633,2.634,2.628,2.63,358.1
AXSUSDT,2025-04-25 23:00:00,2.63,2.63,2.616,2.617,13391.5
AXSUSDT,2025-04-25 23:15:00,2.617,2.617,2.608,2.614,396.3
AXSUSDT,2025-04-25 23:30:00,2.614,2.62,2.607,2.617,5274.7
AXSUSDT,2025-04-25 23:45:00,2.617,2.62,2.611,2.618,522.1
AXSUSDT,2025-04-26 00:00:00,2.618,2.634,2.618,2.631,365.6
AXSUSDT,2025-04-26 00:15:00,2.631,2.643,2.626,2.637,6902.0
AXSUSDT,2025-04-26 00:30:00,2.637,2.644,2.625,2.636,824.0
AXSUSDT,2025-04-26 00:45:00,2.636,2.66,2.636,2.652,45087.9
AXSUSDT,2025-04-26 01:00:00,2.652,2.652,2.636,2.639,1413.6
AXSUSDT,2025-04-26 01:15:00,2.639,2.66,2.639,2.653,11815.0
AXSUSDT,2025-04-26 01:30:00,2.653,2.697,2.653,2.682,28955.6
AXSUSDT,2025-04-26 01:45:00,2.682,2.685,2.67,2.681,5370.1
AXSUSDT,2025-04-26 02:00:00,2.681,2.688,2.663,2.664,2153.5
AXSUSDT,2025-04-26 02:15:00,2.664,2.671,2.659,2.67,6847.4
AXSUSDT,2025-04-26 02:30:00,2.67,2.682,2.666,2.679,3498.8
AXSUSDT,2025-04-26 02:45:00,2.679,2.681,2.669,2.676,420.6
AXSUSDT,2025-04-26 03:00:00,2.676,2.682,2.671,2.679,593.7
AXSUSDT,2025-04-26 03:15:00,2.679,2.681,2.663,2.663,1004.7
AXSUSDT,2025-04-26 03:30:00,2.663,2.671,2.662,2.67,412.9
AXSUSDT,2025-04-26 03:45:00,2.67,2.674,2.658,2.664,4243.4
AXSUSDT,2025-04-26 04:00:00,2.664,2.668,2.657,2.663,436.8
AXSUSDT,2025-04-26 04:15:00,2.663,2.664,2.649,2.65,6300.0
AXSUSDT,2025-04-26 04:30:00,2.65,2.65,2.632,2.645,4497.1
AXSUSDT,2025-04-26 04:45:00,2.645,2.649,2.639,2.64,797.7
AXSUSDT,2025-04-26 05:00:00,2.64,2.643,2.628,2.63,1262.9
AXSUSDT,2025-04-26 05:15:00,2.63,2.638,2.628,2.634,4888.2
AXSUSDT,2025-04-26 05:30:00,2.634,2.64,2.628,2.64,1038.8
AXSUSDT,2025-04-26 05:45:00,2.64,2.647,2.638,2.647,657.2
AXSUSDT,2025-04-26 06:00:00,2.647,2.659,2.642,2.658,729.4
AXSUSDT,2025-04-26 06:15:00,2.658,2.658,2.65,2.655,8672.2
AXSUSDT,2025-04-26 06:30:00,2.655,2.669,2.655,2.661,829.3
AXSUSDT,2025-04-26 06:45:00,2.661,2.677,2.661,2.668,5769.1
AXSUSDT,2025-04-26 07:00:00,2.668,2.68,2.668,2.678,17950.2
AXSUSDT,2025-04-26 07:15:00,2.678,2.682,2.667,2.671,8513.7
AXSUSDT,2025-04-26 07:30:00,2.671,2.682,2.666,2.677,1834.7
AXSUSDT,2025-04-26 07:45:00,2.677,2.677,2.659,2.659,9197.4
AXSUSDT,2025-04-26 08:00:00,2.659,2.667,2.653,2.66,9204.8
AXSUSDT,2025-04-26 08:15:00,2.66,2.696,2.658,2.685,8273.1
AXSUSDT,2025-04-26 08:30:00,2.685,2.687,2.657,2.657,1541.3
AXSUSDT,2025-04-26 08:45:00,2.657,2.661,2.645,2.651,4861.8
AXSUSDT,2025-04-26 09:00:00,2.651,2.653,2.636,2.647,7907.2
AXSUSDT,2025-04-26 09:15:00,2.647,2.657,2.64,2.641,1752.1
AXSUSDT,2025-04-26 09:30:00,2.641,2.641,2.615,2.627,19393.1
AXSUSDT,2025-04-26 09:45:00,2.627,2.635,2.622,2.634,5577.7
AXSUSDT,2025-04-26 10:00:00,2.634,2.645,2.628,2.635,418.6
AXSUSDT,2025-04-26 10:15:00,2.635,2.646,2.635,2.641,741.0
AXSUSDT,2025-04-26 10:30:00,2.641,2.652,2.634,2.651,767.2
AXSUSDT,2025-04-26 10:45:00,2.651,2.653,2.638,2.639,591.3
AXSUSDT,2025-04-26 11:00:00,2.639,2.653,2.639,2.643,2151.0
AXSUSDT,2025-04-26 11:15:00,2.643,2.655,2.639,2.648,5684.3
AXSUSDT,2025-04-26 11:30:00,2.648,2.659,2.626,2.637,8256.6
AXSUSDT,2025-04-26 11:45:00,2.637,2.652,2.622,2.625,2519.5
AXSUSDT,2025-04-26 12:00:00,2.625,2.642,2.62,2.632,19911.6
AXSUSDT,2025-04-26 12:15:00,2.632,2.638,2.632,2.634,21721.6
AXSUSDT,2025-04-26 12:30:00,2.634,2.637,2.617,2.624,10851.2
AXSUSDT,2025-04-26 12:45:00,2.624,2.628,2.567,2.584,45419.6
