symbol,timestamp,open,high,low,close,volume
BABYUSDT,2025-04-26 14:40:00,0.08297,0.08297,0.08234,0.08277,239709.0
BABYUSDT,2025-04-26 14:45:00,0.08277,0.08334,0.08242,0.08257,298094.0
BABYUSDT,2025-04-26 14:50:00,0.08257,0.08257,0.08214,0.08241,169606.0
BABYUSDT,2025-04-26 14:55:00,0.08241,0.08263,0.0823,0.08234,91022.0
BABYUSDT,2025-04-26 15:00:00,0.08234,0.08252,0.08169,0.08197,736025.0
BABYUSDT,2025-04-26 15:05:00,0.08197,0.08328,0.08197,0.0823,9907202.0
BABYUSDT,2025-04-26 15:10:00,0.0823,0.08235,0.08172,0.08212,3797016.0
BABYUSDT,2025-04-26 15:15:00,0.08212,0.08254,0.08206,0.0823,129691.0
BABYUSDT,2025-04-26 15:20:00,0.0823,0.08247,0.08201,0.08245,99481.0
BABYUSDT,2025-04-26 15:25:00,0.08245,0.08267,0.0821,0.08241,876867.0
BABYUSDT,2025-04-26 15:30:00,0.08241,0.08258,0.08216,0.08246,197075.0
BABYUSDT,2025-04-26 15:35:00,0.08246,0.08288,0.08222,0.08288,60182.0
BABYUSDT,2025-04-26 15:40:00,0.08288,0.08291,0.08236,0.08236,56617.0
BABYUSDT,2025-04-26 15:45:00,0.08236,0.08252,0.08207,0.08207,63030.0
BABYUSDT,2025-04-26 15:50:00,0.08207,0.08213,0.08163,0.08178,172123.0
BABYUSDT,2025-04-26 15:55:00,0.08178,0.08188,0.08159,0.08178,63555.0
BABYUSDT,2025-04-26 16:00:00,0.08178,0.08178,0.08103,0.08118,104022.0
BABYUSDT,2025-04-26 16:05:00,0.08118,0.08164,0.08102,0.08106,174515.0
BABYUSDT,2025-04-26 16:10:00,0.08106,0.08112,0.08076,0.08108,885057.0
BABYUSDT,2025-04-26 16:15:00,0.08108,0.08117,0.0806,0.08114,142732.0
BABYUSDT,2025-04-26 16:20:00,0.08114,0.08169,0.081,0.08152,251792.0
BABYUSDT,2025-04-26 16:25:00,0.08152,0.08152,0.0811,0.0811,42532.0
BABYUSDT,2025-04-26 16:30:00,0.0811,0.08111,0.08073,0.08073,152945.0
BABYUSDT,2025-04-26 16:35:00,0.08073,0.08079,0.08053,0.08056,99463.0
BABYUSDT,2025-04-26 16:40:00,0.08056,0.08058,0.0801,0.08031,348078.0
BABYUSDT,2025-04-26 16:45:00,0.08031,0.08043,0.08005,0.08037,250866.0
BABYUSDT,2025-04-26 16:50:00,0.08037,0.08049,0.08027,0.08049,24090.0
BABYUSDT,2025-04-26 16:55:00,0.08049,0.08071,0.08049,0.08069,112240.0
BABYUSDT,2025-04-26 17:00:00,0.08069,0.08069,0.08038,0.08061,226927.0
BABYUSDT,2025-04-26 17:05:00,0.08061,0.08075,0.08051,0.08062,38389.0
BABYUSDT,2025-04-26 17:10:00,0.08062,0.08105,0.08007,0.08037,224220.0
BABYUSDT,2025-04-26 17:15:00,0.08037,0.08053,0.0802,0.0802,13571.0
BABYUSDT,2025-04-26 17:20:00,0.0802,0.08036,0.07997,0.08034,307117.0
BABYUSDT,2025-04-26 17:25:00,0.08034,0.08058,0.08027,0.0805,131646.0
BABYUSDT,2025-04-26 17:30:00,0.0805,0.08074,0.08042,0.08069,36873.0
BABYUSDT,2025-04-26 17:35:00,0.08069,0.08073,0.08034,0.0804,90094.0
BABYUSDT,2025-04-26 17:40:00,0.0804,0.08044,0.08008,0.08012,44255.0
BABYUSDT,2025-04-26 17:45:00,0.08012,0.08027,0.08006,0.08012,751565.0
BABYUSDT,2025-04-26 17:50:00,0.08012,0.0802,0.08001,0.08006,40740.0
BABYUSDT,2025-04-26 17:55:00,0.08006,0.08047,0.07998,0.08018,179136.0
BABYUSDT,2025-04-26 18:00:00,0.08018,0.08049,0.07984,0.08028,81492.0
BABYUSDT,2025-04-26 18:05:00,0.08028,0.08061,0.08028,0.08053,103838.0
BABYUSDT,2025-04-26 18:10:00,0.08053,0.08063,0.08013,0.08018,39213.0
BABYUSDT,2025-04-26 18:15:00,0.08018,0.08047,0.08008,0.08042,23089.0
BABYUSDT,2025-04-26 18:20:00,0.08042,0.08062,0.08042,0.0806,19199.0
BABYUSDT,2025-04-26 18:25:00,0.0806,0.08064,0.08055,0.08059,24340.0
BABYUSDT,2025-04-26 18:30:00,0.08059,0.08089,0.08059,0.08089,28502.0
BABYUSDT,2025-04-26 18:35:00,0.08089,0.08097,0.08063,0.08077,112360.0
BABYUSDT,2025-04-26 18:40:00,0.08077,0.08088,0.08058,0.08087,13527.0
BABYUSDT,2025-04-26 18:45:00,0.08087,0.08139,0.08081,0.08134,260943.0
BABYUSDT,2025-04-26 18:50:00,0.08134,0.08184,0.08134,0.08181,290375.0
BABYUSDT,2025-04-26 18:55:00,0.08181,0.08236,0.08164,0.08231,231883.0
BABYUSDT,2025-04-26 19:00:00,0.08231,0.08252,0.08199,0.08203,233395.0
BABYUSDT,2025-04-26 19:05:00,0.08203,0.08205,0.08122,0.08122,155103.0
BABYUSDT,2025-04-26 19:10:00,0.08122,0.08129,0.08067,0.08109,204640.0
BABYUSDT,2025-04-26 19:15:00,0.08109,0.08112,0.08064,0.0808,122252.0
BABYUSDT,2025-04-26 19:20:00,0.0808,0.08115,0.08073,0.08109,81034.0
BABYUSDT,2025-04-26 19:25:00,0.08109,0.08174,0.08106,0.08169,53707.0
BABYUSDT,2025-04-26 19:30:00,0.08169,0.08194,0.0813,0.08135,94106.0
BABYUSDT,2025-04-26 19:35:00,0.08135,0.08144,0.08102,0.08102,51890.0
BABYUSDT,2025-04-26 19:40:00,0.08102,0.08105,0.08083,0.08088,42493.0
BABYUSDT,2025-04-26 19:45:00,0.08088,0.08117,0.08085,0.08093,21953.0
BABYUSDT,2025-04-26 19:50:00,0.08093,0.08142,0.08086,0.08121,29290.0
