symbol,timestamp,open,high,low,close,volume
BANUSDT,2025-04-25 16:30:00,0.04946,0.0505,0.04946,0.05032,530060.0
BANUSDT,2025-04-25 16:45:00,0.05032,0.05058,0.05015,0.05057,273130.0
BANUSDT,2025-04-25 17:00:00,0.05057,0.05104,0.05053,0.05104,556034.0
BANUSDT,2025-04-25 17:15:00,0.05104,0.05119,0.05089,0.05107,89303.0
BANUSDT,2025-04-25 17:30:00,0.05107,0.05107,0.05062,0.05087,248088.0
BANUSDT,2025-04-25 17:45:00,0.05087,0.0509,0.0505,0.05077,169030.0
BANUSDT,2025-04-25 18:00:00,0.05077,0.05212,0.05077,0.05149,3223255.0
BANUSDT,2025-04-25 18:15:00,0.05149,0.05158,0.0514,0.05143,136322.0
BANUSDT,2025-04-25 18:30:00,0.05143,0.05175,0.05143,0.05169,146465.0
BANUSDT,2025-04-25 18:45:00,0.05169,0.05178,0.05147,0.05147,110353.0
BANUSDT,2025-04-25 19:00:00,0.05147,0.05151,0.05121,0.05122,122857.0
BANUSDT,2025-04-25 19:15:00,0.05122,0.05164,0.05122,0.05155,59288.0
BANUSDT,2025-04-25 19:30:00,0.05155,0.05227,0.05152,0.05217,236619.0
BANUSDT,2025-04-25 19:45:00,0.05217,0.05224,0.05189,0.05196,137689.0
BANUSDT,2025-04-25 20:00:00,0.05196,0.05196,0.05146,0.05146,115486.0
BANUSDT,2025-04-25 20:15:00,0.05146,0.05149,0.05067,0.05102,441745.0
BANUSDT,2025-04-25 20:30:00,0.05102,0.05102,0.05074,0.05082,299668.0
BANUSDT,2025-04-25 20:45:00,0.05082,0.05105,0.0508,0.05095,89219.0
BANUSDT,2025-04-25 21:00:00,0.05095,0.05115,0.05083,0.05087,100845.0
BANUSDT,2025-04-25 21:15:00,0.05087,0.05096,0.05071,0.05084,123420.0
BANUSDT,2025-04-25 21:30:00,0.05084,0.05094,0.05059,0.05059,174335.0
BANUSDT,2025-04-25 21:45:00,0.05059,0.05061,0.05022,0.05036,359145.0
BANUSDT,2025-04-25 22:00:00,0.05036,0.05065,0.05036,0.05051,78102.0
BANUSDT,2025-04-25 22:15:00,0.05051,0.05062,0.05036,0.05055,176132.0
BANUSDT,2025-04-25 22:30:00,0.05055,0.05077,0.05054,0.05074,144526.0
BANUSDT,2025-04-25 22:45:00,0.05074,0.05079,0.05064,0.05076,93598.0
BANUSDT,2025-04-25 23:00:00,0.05076,0.05082,0.05057,0.05079,82770.0
BANUSDT,2025-04-25 23:15:00,0.05079,0.05079,0.05044,0.05055,113973.0
BANUSDT,2025-04-25 23:30:00,0.05055,0.05072,0.0505,0.05063,73839.0
BANUSDT,2025-04-25 23:45:00,0.05063,0.05065,0.05044,0.0505,63814.0
BANUSDT,2025-04-26 00:00:00,0.0505,0.05068,0.05034,0.0505,149283.0
BANUSDT,2025-04-26 00:15:00,0.0505,0.0505,0.04975,0.05008,449653.0
BANUSDT,2025-04-26 00:30:00,0.05008,0.05008,0.0498,0.04984,67866.0
