symbol,timestamp,open,high,low,close,volume
BATUSDT,2025-04-26 14:40:00,0.1518,0.1519,0.1516,0.1517,1648.9
BATUSDT,2025-04-26 14:45:00,0.1517,0.1517,0.1516,0.1516,481.3
BATUSDT,2025-04-26 14:50:00,0.1516,0.1526,0.1516,0.1521,94432.7
BATUSDT,2025-04-26 14:55:00,0.1521,0.1521,0.1519,0.1519,613.9
BATUSDT,2025-04-26 15:00:00,0.1519,0.1521,0.1519,0.1521,4213.1
BATUSDT,2025-04-26 15:05:00,0.1521,0.1521,0.152,0.1521,3954.0
BATUSDT,2025-04-26 15:10:00,0.1521,0.1521,0.1518,0.1518,725.3
BATUSDT,2025-04-26 15:15:00,0.1518,0.1518,0.1518,0.1518,0.0
BATUSDT,2025-04-26 15:20:00,0.1518,0.1521,0.1518,0.1521,7515.2
BATUSDT,2025-04-26 15:25:00,0.1521,0.1524,0.1521,0.1523,2416.2
BATUSDT,2025-04-26 15:30:00,0.1523,0.1523,0.1522,0.1522,1462.9
BATUSDT,2025-04-26 15:35:00,0.1522,0.1522,0.1519,0.152,1502.2
BATUSDT,2025-04-26 15:40:00,0.152,0.1524,0.152,0.1524,3076.5
BATUSDT,2025-04-26 15:45:00,0.1524,0.1524,0.1522,0.1524,3995.4
BATUSDT,2025-04-26 15:50:00,0.1524,0.1528,0.1524,0.1525,14899.6
BATUSDT,2025-04-26 15:55:00,0.1525,0.1525,0.1524,0.1524,2003.2
BATUSDT,2025-04-26 16:00:00,0.1524,0.1524,0.1522,0.1522,4796.9
BATUSDT,2025-04-26 16:05:00,0.1522,0.1522,0.152,0.152,129.0
BATUSDT,2025-04-26 16:10:00,0.152,0.152,0.1515,0.1517,477.7
BATUSDT,2025-04-26 16:15:00,0.1517,0.1518,0.1517,0.1518,158.3
BATUSDT,2025-04-26 16:20:00,0.1518,0.1518,0.1518,0.1518,943.0
BATUSDT,2025-04-26 16:25:00,0.1518,0.1518,0.1518,0.1518,2524.3
BATUSDT,2025-04-26 16:30:00,0.1518,0.1518,0.1514,0.1516,2204.9
BATUSDT,2025-04-26 16:35:00,0.1516,0.1516,0.1513,0.1513,314.3
BATUSDT,2025-04-26 16:40:00,0.1513,0.1513,0.1507,0.1508,2030.2
BATUSDT,2025-04-26 16:45:00,0.1508,0.151,0.1508,0.151,496.5
BATUSDT,2025-04-26 16:50:00,0.151,0.1512,0.151,0.1511,795.1
BATUSDT,2025-04-26 16:55:00,0.1511,0.1514,0.1511,0.1513,2101.5
BATUSDT,2025-04-26 17:00:00,0.1513,0.1516,0.1512,0.1515,4302.1
BATUSDT,2025-04-26 17:05:00,0.1515,0.1515,0.1512,0.1513,2154.5
BATUSDT,2025-04-26 17:10:00,0.1513,0.1513,0.1513,0.1513,0.0
BATUSDT,2025-04-26 17:15:00,0.1513,0.1513,0.1513,0.1513,0.0
BATUSDT,2025-04-26 17:20:00,0.1513,0.1516,0.1513,0.1516,215.8
BATUSDT,2025-04-26 17:25:00,0.1516,0.1516,0.1516,0.1516,0.0
BATUSDT,2025-04-26 17:30:00,0.1516,0.1518,0.1516,0.1517,445.8
BATUSDT,2025-04-26 17:35:00,0.1517,0.1521,0.1517,0.1519,8052.3
BATUSDT,2025-04-26 17:40:00,0.1519,0.1519,0.1518,0.1518,1301.5
BATUSDT,2025-04-26 17:45:00,0.1518,0.1518,0.1518,0.1518,0.0
BATUSDT,2025-04-26 17:50:00,0.1518,0.1518,0.1518,0.1518,0.0
BATUSDT,2025-04-26 17:55:00,0.1518,0.1518,0.1518,0.1518,0.0
BATUSDT,2025-04-26 18:00:00,0.1518,0.1518,0.1518,0.1518,70.2
BATUSDT,2025-04-26 18:05:00,0.1518,0.1518,0.1517,0.1517,497.7
BATUSDT,2025-04-26 18:10:00,0.1517,0.1517,0.1515,0.1515,569.6
BATUSDT,2025-04-26 18:15:00,0.1515,0.1517,0.1515,0.1515,984.9
BATUSDT,2025-04-26 18:20:00,0.1515,0.1518,0.1515,0.1518,2442.8
