symbol,timestamp,open,high,low,close,volume
BGBUSDT,2025-04-25 16:30:00,4.444,4.451,4.44,4.45,8853.0
BGBUSDT,2025-04-25 16:45:00,4.45,4.45,4.443,4.448,6169.0
BGBUSDT,2025-04-25 17:00:00,4.448,4.45,4.444,4.449,5176.0
BGBUSDT,2025-04-25 17:15:00,4.449,4.452,4.444,4.445,7326.0
BGBUSDT,2025-04-25 17:30:00,4.445,4.445,4.425,4.427,38233.0
BGBUSDT,2025-04-25 17:45:00,4.427,4.432,4.424,4.43,12476.0
BGBUSDT,2025-04-25 18:00:00,4.43,4.434,4.427,4.43,5776.0
BGBUSDT,2025-04-25 18:15:00,4.43,4.435,4.429,4.433,5184.0
BGBUSDT,2025-04-25 18:30:00,4.433,4.436,4.43,4.434,4199.0
BGBUSDT,2025-04-25 18:45:00,4.434,4.435,4.426,4.427,8160.0
BGBUSDT,2025-04-25 19:00:00,4.427,4.436,4.424,4.429,4693.0
BGBUSDT,2025-04-25 19:15:00,4.429,4.431,4.424,4.428,5552.0
BGBUSDT,2025-04-25 19:30:00,4.428,4.435,4.426,4.434,3964.0
BGBUSDT,2025-04-25 19:45:00,4.434,4.436,4.431,4.436,1264.0
BGBUSDT,2025-04-25 20:00:00,4.436,4.44,4.432,4.435,4190.0
BGBUSDT,2025-04-25 20:15:00,4.435,4.437,4.433,4.436,1475.0
BGBUSDT,2025-04-25 20:30:00,4.436,4.438,4.43,4.431,1565.0
BGBUSDT,2025-04-25 20:45:00,4.431,4.437,4.43,4.435,1843.0
BGBUSDT,2025-04-25 21:00:00,4.435,4.438,4.425,4.433,10261.0
BGBUSDT,2025-04-25 21:15:00,4.433,4.434,4.42,4.426,15920.0
BGBUSDT,2025-04-25 21:30:00,4.426,4.433,4.425,4.428,2377.0
BGBUSDT,2025-04-25 21:45:00,4.428,4.432,4.425,4.425,3652.0
BGBUSDT,2025-04-25 22:00:00,4.425,4.427,4.417,4.424,12854.0
BGBUSDT,2025-04-25 22:15:00,4.424,4.43,4.422,4.429,2120.0
BGBUSDT,2025-04-25 22:30:00,4.429,4.43,4.424,4.428,4877.0
BGBUSDT,2025-04-25 22:45:00,4.428,4.429,4.425,4.428,675.0
BGBUSDT,2025-04-25 23:00:00,4.428,4.439,4.428,4.434,8717.0
BGBUSDT,2025-04-25 23:15:00,4.434,4.438,4.431,4.433,4175.0
BGBUSDT,2025-04-25 23:30:00,4.433,4.438,4.426,4.437,2978.0
BGBUSDT,2025-04-25 23:45:00,4.437,4.444,4.429,4.44,9046.0
