symbol,timestamp,open,high,low,close,volume
BLUEUSDT,2025-05-22 08:25:00,0.1362,0.1364,0.1353,0.1355,53894.0
BLUEUSDT,2025-05-22 08:30:00,0.1355,0.1364,0.135,0.136,88788.0
BLUEUSDT,2025-05-22 08:35:00,0.136,0.136,0.1334,0.1345,90822.0
BLUEUSDT,2025-05-22 08:40:00,0.1345,0.1347,0.1333,0.1343,88308.0
BLUEUSDT,2025-05-22 08:45:00,0.1343,0.1344,0.133,0.133,84643.0
BLUEUSDT,2025-05-22 08:50:00,0.133,0.1341,0.133,0.1336,97318.0
BLUEUSDT,2025-05-22 08:55:00,0.1336,0.1354,0.1336,0.1346,89146.0
BLUEUSDT,2025-05-22 09:00:00,0.1346,0.1357,0.1325,0.1346,1091335.0
BLUEUSDT,2025-05-22 09:05:00,0.1346,0.1448,0.1339,0.1364,2210977.0
BLUEUSDT,2025-05-22 09:10:00,0.1364,0.1394,0.1354,0.1385,835153.0
BLUEUSDT,2025-05-22 09:15:00,0.1385,0.1409,0.1368,0.1397,680524.0
BLUEUSDT,2025-05-22 09:20:00,0.1397,0.143,0.139,0.1414,659885.0
BLUEUSDT,2025-05-22 09:25:00,0.1414,0.1434,0.1408,0.1434,503013.0
BLUEUSDT,2025-05-22 09:30:00,0.1434,0.1485,0.1419,0.1483,1497060.0
BLUEUSDT,2025-05-22 09:35:00,0.1483,0.152,0.1464,0.1499,2069846.0
BLUEUSDT,2025-05-22 09:40:00,0.1499,0.152,0.1491,0.1505,776869.0
BLUEUSDT,2025-05-22 09:45:00,0.1505,0.1569,0.148,0.1493,1732043.0
BLUEUSDT,2025-05-22 09:50:00,0.1493,0.1539,0.1467,0.149,1197790.0
BLUEUSDT,2025-05-22 09:55:00,0.149,0.1495,0.1471,0.1476,434078.0
BLUEUSDT,2025-05-22 10:00:00,0.1476,0.1484,0.1454,0.1459,480573.0
BLUEUSDT,2025-05-22 10:05:00,0.1459,0.1474,0.1446,0.1448,360560.0
BLUEUSDT,2025-05-22 10:10:00,0.1448,0.1465,0.1446,0.1449,274241.0
BLUEUSDT,2025-05-22 10:15:00,0.1449,0.1467,0.1441,0.145,383372.0
BLUEUSDT,2025-05-22 10:20:00,0.145,0.1452,0.1438,0.144,363504.0
BLUEUSDT,2025-05-22 10:25:00,0.144,0.1445,0.1438,0.1439,286278.0
BLUEUSDT,2025-05-22 10:30:00,0.1439,0.1445,0.1434,0.144,170822.0
BLUEUSDT,2025-05-22 10:35:00,0.144,0.149,0.1436,0.1439,814091.0
BLUEUSDT,2025-05-22 10:40:00,0.1439,0.1439,0.1426,0.1428,231352.0
BLUEUSDT,2025-05-22 10:45:00,0.1428,0.1431,0.1378,0.1426,876282.0
BLUEUSDT,2025-05-22 10:50:00,0.1426,0.143,0.1425,0.1427,82803.0
BLUEUSDT,2025-05-22 10:55:00,0.1427,0.1431,0.1409,0.1424,393922.0
BLUEUSDT,2025-05-22 11:00:00,0.1424,0.1424,0.1387,0.1388,301682.0
BLUEUSDT,2025-05-22 11:05:00,0.1388,0.14,0.1384,0.1387,260053.0
