symbol,timestamp,open,high,low,close,volume
BNBUSDT,2025-04-26 14:40:00,605.09,605.44,604.56,604.95,44.02
BNBUSDT,2025-04-26 14:45:00,604.95,605.3,604.9,604.98,68.35
BNBUSDT,2025-04-26 14:50:00,604.98,605.07,604.63,605.05,36.24
BNBUSDT,2025-04-26 14:55:00,605.05,605.22,604.81,604.97,6.3
BNBUSDT,2025-04-26 15:00:00,604.97,606.29,604.97,606.2,62.3
BNBUSDT,2025-04-26 15:05:00,606.2,606.95,606.2,606.87,52.84
BNBUSDT,2025-04-26 15:10:00,606.87,607.99,606.87,607.43,62.43
BNBUSDT,2025-04-26 15:15:00,607.43,608.21,606.97,607.0,94.38
BNBUSDT,2025-04-26 15:20:00,607.0,607.77,606.97,607.2,19.0
BNBUSDT,2025-04-26 15:25:00,607.2,607.88,607.2,607.56,28.94
BNBUSDT,2025-04-26 15:30:00,607.56,607.92,607.55,607.63,16.78
BNBUSDT,2025-04-26 15:35:00,607.63,608.27,607.63,608.27,39.48
BNBUSDT,2025-04-26 15:40:00,608.27,608.45,607.5,607.91,44.43
BNBUSDT,2025-04-26 15:45:00,607.91,608.6,607.5,608.6,28.85
BNBUSDT,2025-04-26 15:50:00,608.6,608.92,608.07,608.07,32.3
BNBUSDT,2025-04-26 15:55:00,608.07,608.35,607.84,608.01,150.5
BNBUSDT,2025-04-26 16:00:00,608.01,609.1,607.97,608.76,76.96
BNBUSDT,2025-04-26 16:05:00,608.76,609.23,608.4,608.44,16.78
BNBUSDT,2025-04-26 16:10:00,608.44,608.87,608.44,608.67,5.41
BNBUSDT,2025-04-26 16:15:00,608.67,608.69,608.03,608.48,16.25
BNBUSDT,2025-04-26 16:20:00,608.48,608.63,608.2,608.26,15.51
BNBUSDT,2025-04-26 16:25:00,608.26,608.36,608.03,608.32,3.99
BNBUSDT,2025-04-26 16:30:00,608.32,608.49,607.8,607.8,10.78
BNBUSDT,2025-04-26 16:35:00,607.8,607.81,607.38,607.43,4.43
BNBUSDT,2025-04-26 16:40:00,607.43,607.47,606.9,607.36,29.16
BNBUSDT,2025-04-26 16:45:00,607.36,607.8,607.07,607.79,104.87
BNBUSDT,2025-04-26 16:50:00,607.79,608.15,607.5,607.75,10.86
BNBUSDT,2025-04-26 16:55:00,607.75,607.99,607.65,607.84,3.23
BNBUSDT,2025-04-26 17:00:00,607.84,608.39,607.75,608.07,3.81
BNBUSDT,2025-04-26 17:05:00,608.07,608.07,607.69,607.97,2.65
BNBUSDT,2025-04-26 17:10:00,607.97,608.1,606.97,607.1,20.29
BNBUSDT,2025-04-26 17:15:00,607.1,607.16,606.93,606.93,8.55
BNBUSDT,2025-04-26 17:20:00,606.93,607.09,606.85,606.95,2.82
BNBUSDT,2025-04-26 17:25:00,606.95,607.68,606.93,607.44,8.63
BNBUSDT,2025-04-26 17:30:00,607.44,607.44,606.94,607.14,2.96
BNBUSDT,2025-04-26 17:35:00,607.14,607.15,606.82,606.82,3.17
BNBUSDT,2025-04-26 17:40:00,606.82,607.41,606.82,607.35,3.86
BNBUSDT,2025-04-26 17:45:00,607.35,607.58,607.16,607.42,2.07
BNBUSDT,2025-04-26 17:50:00,607.42,607.73,607.41,607.63,6.63
BNBUSDT,2025-04-26 17:55:00,607.63,607.64,607.18,607.31,18.14
BNBUSDT,2025-04-26 18:00:00,607.31,607.64,607.1,607.55,9.79
BNBUSDT,2025-04-26 18:05:00,607.55,608.01,607.54,607.97,9.57
