symbol,timestamp,open,high,low,close,volume
BSWUSDT,2025-04-26 14:40:00,0.03372,0.03389,0.03364,0.03379,261615.0
BSWUSDT,2025-04-26 14:45:00,0.03379,0.03383,0.0336,0.03362,254301.0
BSWUSDT,2025-04-26 14:50:00,0.03362,0.03372,0.03355,0.03361,220054.0
BSWUSDT,2025-04-26 14:55:00,0.03361,0.03383,0.03355,0.03377,91876.0
BSWUSDT,2025-04-26 15:00:00,0.03377,0.03378,0.03359,0.03369,233188.0
BSWUSDT,2025-04-26 15:05:00,0.03369,0.03397,0.03363,0.03382,193469.0
BSWUSDT,2025-04-26 15:10:00,0.03382,0.03383,0.03353,0.03372,714073.0
BSWUSDT,2025-04-26 15:15:00,0.03372,0.03379,0.03369,0.03378,501981.0
BSWUSDT,2025-04-26 15:20:00,0.03378,0.03414,0.03378,0.03399,868683.0
BSWUSDT,2025-04-26 15:25:00,0.03399,0.03411,0.0339,0.03402,329564.0
BSWUSDT,2025-04-26 15:30:00,0.03402,0.03409,0.0339,0.0339,253739.0
BSWUSDT,2025-04-26 15:35:00,0.0339,0.03402,0.0339,0.03401,78503.0
BSWUSDT,2025-04-26 15:40:00,0.03401,0.03408,0.03389,0.03408,64323.0
BSWUSDT,2025-04-26 15:45:00,0.03408,0.03435,0.03406,0.03435,166110.0
BSWUSDT,2025-04-26 15:50:00,0.03435,0.03435,0.03401,0.03408,221871.0
BSWUSDT,2025-04-26 15:55:00,0.03408,0.03423,0.03396,0.03396,108104.0
BSWUSDT,2025-04-26 16:00:00,0.03396,0.03444,0.03396,0.03431,398321.0
BSWUSDT,2025-04-26 16:05:00,0.03431,0.03442,0.0342,0.03422,149223.0
BSWUSDT,2025-04-26 16:10:00,0.03422,0.03434,0.03418,0.03431,290049.0
BSWUSDT,2025-04-26 16:15:00,0.03431,0.0344,0.03401,0.0343,489098.0
BSWUSDT,2025-04-26 16:20:00,0.0343,0.03468,0.03428,0.03432,274646.0
BSWUSDT,2025-04-26 16:25:00,0.03432,0.0345,0.03418,0.03445,341654.0
BSWUSDT,2025-04-26 16:30:00,0.03445,0.03445,0.03427,0.03432,186845.0
BSWUSDT,2025-04-26 16:35:00,0.03432,0.03446,0.03432,0.03438,109320.0
BSWUSDT,2025-04-26 16:40:00,0.03438,0.03443,0.03432,0.03441,179633.0
BSWUSDT,2025-04-26 16:45:00,0.03441,0.03441,0.03423,0.0344,108099.0
BSWUSDT,2025-04-26 16:50:00,0.0344,0.0344,0.0341,0.03417,79906.0
BSWUSDT,2025-04-26 16:55:00,0.03417,0.03421,0.03397,0.03421,192882.0
BSWUSDT,2025-04-26 17:00:00,0.03421,0.03428,0.03416,0.0342,55389.0
BSWUSDT,2025-04-26 17:05:00,0.0342,0.03428,0.0341,0.0341,101006.0
BSWUSDT,2025-04-26 17:10:00,0.0341,0.0341,0.034,0.03406,56808.0
BSWUSDT,2025-04-26 17:15:00,0.03406,0.03406,0.03343,0.03343,505728.0
BSWUSDT,2025-04-26 17:20:00,0.03343,0.0336,0.03335,0.03345,475506.0
BSWUSDT,2025-04-26 17:25:00,0.03345,0.03356,0.0334,0.03344,185041.0
BSWUSDT,2025-04-26 17:30:00,0.03344,0.03348,0.03341,0.03344,16810.0
BSWUSDT,2025-04-26 17:35:00,0.03344,0.03364,0.03344,0.03364,152175.0
BSWUSDT,2025-04-26 17:40:00,0.03364,0.03364,0.03351,0.03355,106629.0
BSWUSDT,2025-04-26 17:45:00,0.03355,0.03355,0.03331,0.03339,132736.0
BSWUSDT,2025-04-26 17:50:00,0.03339,0.03355,0.03339,0.0335,28504.0
BSWUSDT,2025-04-26 17:55:00,0.0335,0.03359,0.03348,0.03359,38690.0
BSWUSDT,2025-04-26 18:00:00,0.03359,0.03381,0.03351,0.03377,443115.0
BSWUSDT,2025-04-26 18:05:00,0.03377,0.03384,0.03364,0.03382,331795.0
BSWUSDT,2025-04-26 18:10:00,0.03382,0.03382,0.03343,0.03351,416517.0
BSWUSDT,2025-04-26 18:15:00,0.03351,0.03369,0.03349,0.03361,120470.0
BSWUSDT,2025-04-26 18:20:00,0.03361,0.03371,0.03359,0.03368,22593.0
BSWUSDT,2025-04-26 18:25:00,0.03368,0.0337,0.03363,0.03365,10862.0
BSWUSDT,2025-04-26 18:30:00,0.03365,0.0337,0.03361,0.0337,45494.0
BSWUSDT,2025-04-26 18:35:00,0.0337,0.03382,0.03369,0.03375,442530.0
BSWUSDT,2025-04-26 18:40:00,0.03375,0.03385,0.03368,0.03385,59599.0
BSWUSDT,2025-04-26 18:45:00,0.03385,0.03396,0.03384,0.0339,215919.0
BSWUSDT,2025-04-26 18:50:00,0.0339,0.034,0.03389,0.0339,157718.0
BSWUSDT,2025-04-26 18:55:00,0.0339,0.03395,0.03389,0.03389,123803.0
BSWUSDT,2025-04-26 19:00:00,0.03389,0.03389,0.03354,0.03357,463230.0
BSWUSDT,2025-04-26 19:05:00,0.03357,0.03362,0.03349,0.03362,138962.0
BSWUSDT,2025-04-26 19:10:00,0.03362,0.03364,0.03353,0.03353,112045.0
BSWUSDT,2025-04-26 19:15:00,0.03353,0.0336,0.03341,0.03342,44992.0
BSWUSDT,2025-04-26 19:20:00,0.03342,0.0336,0.03338,0.03351,522665.0
BSWUSDT,2025-04-26 19:25:00,0.03351,0.03361,0.03331,0.03335,196424.0
BSWUSDT,2025-04-26 19:30:00,0.03335,0.0334,0.03314,0.03324,187310.0
BSWUSDT,2025-04-26 19:35:00,0.03324,0.03329,0.03323,0.03323,36475.0
BSWUSDT,2025-04-26 19:40:00,0.03323,0.03324,0.03318,0.03318,22893.0
BSWUSDT,2025-04-26 19:45:00,0.03318,0.03322,0.03306,0.0331,46571.0
BSWUSDT,2025-04-26 19:50:00,0.0331,0.03321,0.03305,0.03321,95352.0
BSWUSDT,2025-04-26 19:55:00,0.03321,0.03324,0.03316,0.03321,22117.0
BSWUSDT,2025-04-26 20:00:00,0.03321,0.03323,0.03319,0.03322,48090.0
BSWUSDT,2025-04-26 20:05:00,0.03322,0.03341,0.03321,0.03333,227610.0
BSWUSDT,2025-04-26 20:10:00,0.03333,0.03337,0.03324,0.03329,37642.0
BSWUSDT,2025-04-26 20:15:00,0.03329,0.03333,0.0332,0.03333,189092.0
BSWUSDT,2025-04-26 20:20:00,0.03333,0.03336,0.03312,0.03315,270078.0
BSWUSDT,2025-04-26 20:25:00,0.03315,0.03315,0.03305,0.03306,36813.0
BSWUSDT,2025-04-26 20:30:00,0.03306,0.03319,0.03304,0.0331,109831.0
BSWUSDT,2025-04-26 20:35:00,0.0331,0.03311,0.03301,0.03306,189509.0
BSWUSDT,2025-04-26 20:40:00,0.03306,0.03318,0.03306,0.03312,84193.0
BSWUSDT,2025-04-26 20:45:00,0.03312,0.03318,0.03307,0.03318,131128.0
BSWUSDT,2025-04-26 20:50:00,0.03318,0.03318,0.03303,0.03308,446337.0
BSWUSDT,2025-04-26 20:55:00,0.03308,0.03312,0.03307,0.03312,31128.0
BSWUSDT,2025-04-26 21:00:00,0.03312,0.03324,0.03294,0.03323,419295.0
BSWUSDT,2025-04-26 21:05:00,0.03323,0.03323,0.03305,0.03308,18432.0
BSWUSDT,2025-04-26 21:10:00,0.03308,0.0331,0.033,0.03303,77780.0
BSWUSDT,2025-04-26 21:15:00,0.03303,0.03303,0.03287,0.03289,321804.0
BSWUSDT,2025-04-26 21:20:00,0.03289,0.03301,0.03281,0.03301,243788.0
BSWUSDT,2025-04-26 21:25:00,0.03301,0.03308,0.033,0.03303,34063.0
BSWUSDT,2025-04-26 21:30:00,0.03303,0.03317,0.03302,0.03313,102615.0
BSWUSDT,2025-04-26 21:35:00,0.03313,0.03313,0.03309,0.03313,35528.0
