symbol,timestamp,open,high,low,close,volume
C98USDT,2025-04-25 16:30:00,0.06182,0.06298,0.06031,0.06256,2214618.9
C98USDT,2025-04-25 16:45:00,0.06256,0.06301,0.06243,0.06299,382590.1
C98USDT,2025-04-25 17:00:00,0.06299,0.06329,0.06289,0.06299,115895.1
C98USDT,2025-04-25 17:15:00,0.06299,0.06301,0.06235,0.06241,199339.9
C98USDT,2025-04-25 17:30:00,0.06241,0.06241,0.06161,0.06183,238504.9
C98USDT,2025-04-25 17:45:00,0.06183,0.0619,0.06161,0.06161,129269.5
C98USDT,2025-04-25 18:00:00,0.06161,0.06213,0.06161,0.06176,133037.3
C98USDT,2025-04-25 18:15:00,0.06176,0.06212,0.06166,0.06206,70878.7
C98USDT,2025-04-25 18:30:00,0.06206,0.06239,0.06196,0.06238,81141.5
C98USDT,2025-04-25 18:45:00,0.06238,0.06258,0.06211,0.06211,59443.2
C98USDT,2025-04-25 19:00:00,0.06211,0.06217,0.06164,0.06179,80891.3
C98USDT,2025-04-25 19:15:00,0.06179,0.06211,0.06172,0.0621,62199.0
C98USDT,2025-04-25 19:30:00,0.0621,0.06219,0.06185,0.06204,73488.5
C98USDT,2025-04-25 19:45:00,0.06204,0.06239,0.06204,0.06218,86692.6
C98USDT,2025-04-25 20:00:00,0.06218,0.06267,0.06218,0.06245,79877.6
C98USDT,2025-04-25 20:15:00,0.06245,0.06269,0.06241,0.06263,67837.0
C98USDT,2025-04-25 20:30:00,0.06263,0.06279,0.06253,0.06268,98860.6
C98USDT,2025-04-25 20:45:00,0.06268,0.06306,0.06266,0.06285,84862.3
C98USDT,2025-04-25 21:00:00,0.06285,0.0632,0.06282,0.06307,92764.3
C98USDT,2025-04-25 21:15:00,0.06307,0.06319,0.06273,0.06274,67491.6
C98USDT,2025-04-25 21:30:00,0.06274,0.06289,0.06261,0.06277,64933.2
C98USDT,2025-04-25 21:45:00,0.06277,0.06284,0.06209,0.06239,74712.3
C98USDT,2025-04-25 22:00:00,0.06239,0.06301,0.06231,0.06301,58305.0
C98USDT,2025-04-25 22:15:00,0.06301,0.06301,0.06267,0.06294,77609.7
C98USDT,2025-04-25 22:30:00,0.06294,0.06319,0.06293,0.06316,80562.9
C98USDT,2025-04-25 22:45:00,0.06316,0.06319,0.06301,0.06304,84737.3
C98USDT,2025-04-25 23:00:00,0.06304,0.06333,0.06285,0.06328,79044.8
C98USDT,2025-04-25 23:15:00,0.06328,0.0633,0.06292,0.06314,95579.5
C98USDT,2025-04-25 23:30:00,0.06314,0.06314,0.06285,0.06297,80974.7
C98USDT,2025-04-25 23:45:00,0.06297,0.06301,0.06271,0.06272,80305.2
C98USDT,2025-04-26 00:00:00,0.06272,0.06329,0.06272,0.06315,149019.5
C98USDT,2025-04-26 00:15:00,0.06315,0.06348,0.06294,0.06325,106374.4
C98USDT,2025-04-26 00:30:00,0.06325,0.06348,0.06306,0.06326,71028.4
C98USDT,2025-04-26 00:45:00,0.06326,0.0637,0.06326,0.06345,67773.0
C98USDT,2025-04-26 01:00:00,0.06345,0.06378,0.06334,0.06358,75198.9
C98USDT,2025-04-26 01:15:00,0.06358,0.0642,0.06354,0.06419,73287.7
C98USDT,2025-04-26 01:30:00,0.06419,0.06511,0.06419,0.06489,164174.0
C98USDT,2025-04-26 01:45:00,0.06489,0.06507,0.06475,0.06504,50347.0
C98USDT,2025-04-26 02:00:00,0.06504,0.06524,0.06478,0.06493,71957.0
C98USDT,2025-04-26 02:15:00,0.06493,0.06518,0.06484,0.06518,53076.8
C98USDT,2025-04-26 02:30:00,0.06518,0.0655,0.06504,0.06534,76250.8
C98USDT,2025-04-26 02:45:00,0.06534,0.06538,0.06504,0.06537,176323.3
C98USDT,2025-04-26 03:00:00,0.06537,0.06547,0.0649,0.0654,87058.2
C98USDT,2025-04-26 03:15:00,0.0654,0.0654,0.06484,0.0649,74518.1
C98USDT,2025-04-26 03:30:00,0.0649,0.06508,0.0646,0.06505,112121.8
C98USDT,2025-04-26 03:45:00,0.06505,0.06526,0.06485,0.06497,77127.0
C98USDT,2025-04-26 04:00:00,0.06497,0.06506,0.06486,0.06487,75329.0
C98USDT,2025-04-26 04:15:00,0.06487,0.06494,0.06459,0.06468,54671.1
C98USDT,2025-04-26 04:30:00,0.06468,0.06468,0.06402,0.06421,60243.2
C98USDT,2025-04-26 04:45:00,0.06421,0.06423,0.06385,0.06393,52125.7
C98USDT,2025-04-26 05:00:00,0.06393,0.06425,0.06375,0.06395,47139.8
C98USDT,2025-04-26 05:15:00,0.06395,0.06418,0.06382,0.06418,43371.3
C98USDT,2025-04-26 05:30:00,0.06418,0.06448,0.06405,0.06448,47236.4
C98USDT,2025-04-26 05:45:00,0.06448,0.06495,0.06436,0.06457,70244.9
C98USDT,2025-04-26 06:00:00,0.06457,0.06457,0.06431,0.06438,42488.2
C98USDT,2025-04-26 06:15:00,0.06438,0.06463,0.06423,0.06423,39246.4
C98USDT,2025-04-26 06:30:00,0.06423,0.0646,0.06412,0.06459,57825.5
C98USDT,2025-04-26 06:45:00,0.06459,0.06478,0.06453,0.06468,37958.9
C98USDT,2025-04-26 07:00:00,0.06468,0.06488,0.06449,0.06475,34126.4
C98USDT,2025-04-26 07:15:00,0.06475,0.06484,0.06464,0.06473,54542.7
C98USDT,2025-04-26 07:30:00,0.06473,0.06477,0.06454,0.06464,87818.4
C98USDT,2025-04-26 07:45:00,0.06464,0.06473,0.06403,0.06408,119815.0
C98USDT,2025-04-26 08:00:00,0.06408,0.06442,0.06408,0.06435,64130.7
C98USDT,2025-04-26 08:15:00,0.06435,0.06476,0.06412,0.06472,53474.7
C98USDT,2025-04-26 08:30:00,0.06472,0.06472,0.06388,0.06405,54794.0
C98USDT,2025-04-26 08:45:00,0.06405,0.06405,0.06363,0.06386,65718.6
C98USDT,2025-04-26 09:00:00,0.06386,0.06396,0.0634,0.06376,83318.4
C98USDT,2025-04-26 09:15:00,0.06376,0.06401,0.06345,0.06354,99657.9
C98USDT,2025-04-26 09:30:00,0.06354,0.06354,0.06275,0.06311,177377.0
C98USDT,2025-04-26 09:45:00,0.06311,0.06342,0.06305,0.06341,94674.9
C98USDT,2025-04-26 10:00:00,0.06341,0.06385,0.06328,0.06377,72111.4
C98USDT,2025-04-26 10:15:00,0.06377,0.06406,0.06377,0.06393,66338.8
C98USDT,2025-04-26 10:30:00,0.06393,0.06418,0.06386,0.06416,42572.5
C98USDT,2025-04-26 10:45:00,0.06416,0.06418,0.06391,0.064,36880.1
C98USDT,2025-04-26 11:00:00,0.064,0.06429,0.06385,0.06391,57013.7
C98USDT,2025-04-26 11:15:00,0.06391,0.06427,0.06391,0.06396,47749.0
C98USDT,2025-04-26 11:30:00,0.06396,0.06396,0.06301,0.06311,88381.0
C98USDT,2025-04-26 11:45:00,0.06311,0.06326,0.06264,0.06278,68096.7
C98USDT,2025-04-26 12:00:00,0.06278,0.06336,0.06278,0.06311,67437.9
C98USDT,2025-04-26 12:15:00,0.06311,0.06329,0.06296,0.06329,148681.3
C98USDT,2025-04-26 12:30:00,0.06329,0.06331,0.06282,0.06295,50900.9
C98USDT,2025-04-26 12:45:00,0.06295,0.06308,0.06269,0.06283,56391.6
C98USDT,2025-04-26 13:00:00,0.06283,0.06344,0.06279,0.06307,53445.9
C98USDT,2025-04-26 13:15:00,0.06307,0.06317,0.06262,0.06266,63631.9
C98USDT,2025-04-26 13:30:00,0.06266,0.06297,0.06223,0.06261,120219.8
C98USDT,2025-04-26 13:45:00,0.06261,0.06298,0.06204,0.06298,165635.8
C98USDT,2025-04-26 14:00:00,0.06298,0.06317,0.06244,0.06284,97608.5
C98USDT,2025-04-26 14:15:00,0.06284,0.06298,0.06247,0.06292,104067.5
C98USDT,2025-04-26 14:30:00,0.06292,0.06378,0.06288,0.06364,84899.3
C98USDT,2025-04-26 14:45:00,0.06364,0.06364,0.06328,0.06329,56385.3
C98USDT,2025-04-26 15:00:00,0.06329,0.06358,0.06324,0.06336,50476.7
C98USDT,2025-04-26 15:15:00,0.06336,0.06378,0.06328,0.06374,67906.4
C98USDT,2025-04-26 15:30:00,0.06374,0.06379,0.06353,0.06358,54086.4
C98USDT,2025-04-26 15:45:00,0.06358,0.06377,0.06352,0.06363,59424.8
C98USDT,2025-04-26 16:00:00,0.06363,0.06375,0.06342,0.06363,56417.7
C98USDT,2025-04-26 16:15:00,0.06363,0.06417,0.06362,0.06395,66068.6
C98USDT,2025-04-26 16:30:00,0.06395,0.06395,0.06333,0.06333,57003.8
C98USDT,2025-04-26 16:45:00,0.06333,0.06369,0.06332,0.06365,32628.2
C98USDT,2025-04-26 17:00:00,0.06365,0.0639,0.06334,0.06336,51439.3
C98USDT,2025-04-26 17:15:00,0.06336,0.06358,0.06325,0.06349,89961.6
C98USDT,2025-04-26 17:30:00,0.06349,0.06357,0.06343,0.06357,58409.4
C98USDT,2025-04-26 17:45:00,0.06357,0.06362,0.06334,0.06345,83608.5
C98USDT,2025-04-26 18:00:00,0.06345,0.06384,0.06325,0.06363,76647.1
C98USDT,2025-04-26 18:15:00,0.06363,0.06389,0.06363,0.06374,65593.4
C98USDT,2025-04-26 18:30:00,0.06374,0.06378,0.06355,0.06359,41261.7
C98USDT,2025-04-26 18:45:00,0.06359,0.06374,0.06345,0.06345,53747.2
C98USDT,2025-04-26 19:00:00,0.06345,0.06357,0.06325,0.06341,48500.6
C98USDT,2025-04-26 19:15:00,0.06341,0.06376,0.06331,0.06374,64956.8
C98USDT,2025-04-26 19:30:00,0.06374,0.06374,0.06352,0.06357,63672.4
C98USDT,2025-04-26 19:45:00,0.06357,0.06378,0.06354,0.06378,55236.1
C98USDT,2025-04-26 20:00:00,0.06378,0.06408,0.06375,0.06386,41862.1
C98USDT,2025-04-26 20:15:00,0.06386,0.06409,0.06386,0.06405,62441.9
C98USDT,2025-04-26 20:30:00,0.06405,0.06405,0.06375,0.06395,60293.9
C98USDT,2025-04-26 20:45:00,0.06395,0.06404,0.06375,0.06383,69652.3
C98USDT,2025-04-26 21:00:00,0.06383,0.06425,0.06383,0.06425,71756.6
C98USDT,2025-04-26 21:15:00,0.06425,0.06428,0.06404,0.06414,38832.0
C98USDT,2025-04-26 21:30:00,0.06414,0.06414,0.06392,0.06403,29057.0
C98USDT,2025-04-26 21:45:00,0.06403,0.06414,0.06395,0.06411,35855.4
C98USDT,2025-04-26 22:00:00,0.06411,0.06442,0.06411,0.06442,32017.0
C98USDT,2025-04-26 22:15:00,0.06442,0.06445,0.06404,0.06417,85032.5
C98USDT,2025-04-26 22:30:00,0.06417,0.0643,0.06415,0.06425,55212.0
C98USDT,2025-04-26 22:45:00,0.06425,0.06429,0.06415,0.06416,52673.0
C98USDT,2025-04-26 23:00:00,0.06416,0.06447,0.06416,0.06443,57783.9
C98USDT,2025-04-26 23:15:00,0.06443,0.06448,0.06431,0.06433,63801.4
C98USDT,2025-04-26 23:30:00,0.06433,0.06433,0.06403,0.06417,57433.8
C98USDT,2025-04-26 23:45:00,0.06417,0.06419,0.06405,0.06408,70413.4
C98USDT,2025-04-27 00:00:00,0.06408,0.06415,0.06367,0.06413,60304.3
C98USDT,2025-04-27 00:15:00,0.06413,0.06446,0.06411,0.06425,64890.7
C98USDT,2025-04-27 00:30:00,0.06425,0.06437,0.06388,0.06435,57863.5
C98USDT,2025-04-27 00:45:00,0.06435,0.06472,0.06428,0.06438,86119.4
C98USDT,2025-04-27 01:00:00,0.06438,0.06443,0.0638,0.06423,59706.8
C98USDT,2025-04-27 01:15:00,0.06423,0.06427,0.06291,0.06325,134667.8
C98USDT,2025-04-27 01:30:00,0.06325,0.06326,0.06253,0.06309,497335.5
C98USDT,2025-04-27 01:45:00,0.06309,0.06309,0.06211,0.06219,87895.5
C98USDT,2025-04-27 02:00:00,0.06219,0.06296,0.06211,0.06296,55518.8
C98USDT,2025-04-27 02:15:00,0.06296,0.06299,0.06267,0.06287,40054.1
C98USDT,2025-04-27 02:30:00,0.06287,0.06298,0.06257,0.06278,44737.8
C98USDT,2025-04-27 02:45:00,0.06278,0.06328,0.06269,0.06316,40142.7
C98USDT,2025-04-27 03:00:00,0.06316,0.06361,0.06314,0.06336,38835.9
C98USDT,2025-04-27 03:15:00,0.06336,0.06358,0.06329,0.06335,42415.8
C98USDT,2025-04-27 03:30:00,0.06335,0.06385,0.06335,0.06378,50374.9
C98USDT,2025-04-27 03:45:00,0.06378,0.06411,0.06376,0.06406,62841.4
C98USDT,2025-04-27 04:00:00,0.06406,0.06409,0.06385,0.06405,60857.4
C98USDT,2025-04-27 04:15:00,0.06405,0.06452,0.06405,0.06418,42939.6
C98USDT,2025-04-27 04:30:00,0.06418,0.0642,0.06364,0.0637,61649.9
C98USDT,2025-04-27 04:45:00,0.0637,0.06371,0.06313,0.06342,49127.3
C98USDT,2025-04-27 05:00:00,0.06342,0.06379,0.06326,0.06336,60224.0
C98USDT,2025-04-27 05:15:00,0.06336,0.06338,0.06254,0.06263,72522.6
C98USDT,2025-04-27 05:30:00,0.06263,0.06299,0.06259,0.06291,47108.6
C98USDT,2025-04-27 05:45:00,0.06291,0.06295,0.06258,0.06267,53581.1
C98USDT,2025-04-27 06:00:00,0.06267,0.06317,0.06252,0.06315,57130.8
C98USDT,2025-04-27 06:15:00,0.06315,0.06325,0.06303,0.06325,41889.9
C98USDT,2025-04-27 06:30:00,0.06325,0.0633,0.06281,0.06281,32779.7
C98USDT,2025-04-27 06:45:00,0.06281,0.06281,0.06211,0.06257,184820.7
C98USDT,2025-04-27 07:00:00,0.06257,0.06261,0.06215,0.06231,50495.9
C98USDT,2025-04-27 07:15:00,0.06231,0.06297,0.06231,0.06285,61053.3
C98USDT,2025-04-27 07:30:00,0.06285,0.06287,0.06259,0.06267,50860.3
C98USDT,2025-04-27 07:45:00,0.06267,0.06297,0.06253,0.06275,49763.1
C98USDT,2025-04-27 08:00:00,0.06275,0.06287,0.06255,0.06283,125784.5
C98USDT,2025-04-27 08:15:00,0.06283,0.06342,0.06275,0.0632,65915.3
C98USDT,2025-04-27 08:30:00,0.0632,0.06338,0.06309,0.06327,33936.0
C98USDT,2025-04-27 08:45:00,0.06327,0.06329,0.06306,0.06306,35244.9
