symbol,timestamp,open,high,low,close,volume
CAKEUSDT,2025-04-26 14:40:00,2.0991,2.0999,2.0949,2.0995,13919.2
CAKEUSDT,2025-04-26 14:45:00,2.0995,2.1024,2.0962,2.1015,3442.6
CAKEUSDT,2025-04-26 14:50:00,2.1015,2.1056,2.1004,2.1056,1161.0
CAKEUSDT,2025-04-26 14:55:00,2.1056,2.1112,2.103,2.103,5534.8
CAKEUSDT,2025-04-26 15:00:00,2.103,2.113,2.1027,2.113,4948.8
CAKEUSDT,2025-04-26 15:05:00,2.113,2.1181,2.1115,2.1172,1305.6
CAKEUSDT,2025-04-26 15:10:00,2.1172,2.1211,2.1107,2.113,8822.7
CAKEUSDT,2025-04-26 15:15:00,2.113,2.1172,2.11,2.1117,3795.1
CAKEUSDT,2025-04-26 15:20:00,2.1117,2.1204,2.1117,2.1204,1440.7
CAKEUSDT,2025-04-26 15:25:00,2.1204,2.1276,2.1201,2.1276,2310.3
CAKEUSDT,2025-04-26 15:30:00,2.1276,2.1302,2.1235,2.1235,9961.3
CAKEUSDT,2025-04-26 15:35:00,2.1235,2.1421,2.1215,2.1403,9265.6
CAKEUSDT,2025-04-26 15:40:00,2.1403,2.1445,2.1373,2.1405,4644.0
CAKEUSDT,2025-04-26 15:45:00,2.1405,2.1423,2.1374,2.1415,4841.7
CAKEUSDT,2025-04-26 15:50:00,2.1415,2.1468,2.1382,2.1454,4862.2
CAKEUSDT,2025-04-26 15:55:00,2.1454,2.1474,2.1391,2.1391,3807.0
CAKEUSDT,2025-04-26 16:00:00,2.1391,2.1433,2.1296,2.1385,33065.4
CAKEUSDT,2025-04-26 16:05:00,2.1385,2.1385,2.1298,2.1298,15966.3
CAKEUSDT,2025-04-26 16:10:00,2.1298,2.1397,2.1291,2.139,6959.2
CAKEUSDT,2025-04-26 16:15:00,2.139,2.1501,2.1374,2.1501,4735.1
CAKEUSDT,2025-04-26 16:20:00,2.1501,2.1501,2.1425,2.1456,13105.9
CAKEUSDT,2025-04-26 16:25:00,2.1456,2.1456,2.1394,2.1419,3484.0
CAKEUSDT,2025-04-26 16:30:00,2.1419,2.1424,2.13,2.13,5268.5
CAKEUSDT,2025-04-26 16:35:00,2.13,2.1315,2.121,2.122,18714.9
CAKEUSDT,2025-04-26 16:40:00,2.122,2.122,2.1084,2.1109,22820.9
CAKEUSDT,2025-04-26 16:45:00,2.1109,2.1222,2.1107,2.1214,4966.4
CAKEUSDT,2025-04-26 16:50:00,2.1214,2.1227,2.1127,2.1193,16082.4
CAKEUSDT,2025-04-26 16:55:00,2.1193,2.1235,2.1193,2.1206,1586.6
CAKEUSDT,2025-04-26 17:00:00,2.1206,2.1252,2.1196,2.1223,4140.8
CAKEUSDT,2025-04-26 17:05:00,2.1223,2.1223,2.1168,2.1205,1138.6
CAKEUSDT,2025-04-26 17:10:00,2.1205,2.1216,2.1082,2.1087,16998.0
CAKEUSDT,2025-04-26 17:15:00,2.1087,2.1146,2.1087,2.1121,2448.8
CAKEUSDT,2025-04-26 17:20:00,2.1121,2.1159,2.1087,2.1158,1644.3
CAKEUSDT,2025-04-26 17:25:00,2.1158,2.1225,2.1142,2.119,719.5
CAKEUSDT,2025-04-26 17:30:00,2.119,2.1226,2.115,2.1223,5647.0
CAKEUSDT,2025-04-26 17:35:00,2.1223,2.1223,2.1143,2.1149,6032.3
CAKEUSDT,2025-04-26 17:40:00,2.1149,2.116,2.1117,2.1157,750.6
CAKEUSDT,2025-04-26 17:45:00,2.1157,2.1245,2.1157,2.1245,3235.7
CAKEUSDT,2025-04-26 17:50:00,2.1245,2.1273,2.1208,2.1269,6916.1
CAKEUSDT,2025-04-26 17:55:00,2.1269,2.1269,2.121,2.1244,4449.9
CAKEUSDT,2025-04-26 18:00:00,2.1244,2.1261,2.1206,2.1247,1939.8
CAKEUSDT,2025-04-26 18:05:00,2.1247,2.1303,2.1235,2.1263,2727.3
CAKEUSDT,2025-04-26 18:10:00,2.1263,2.1276,2.1179,2.1179,1794.9
CAKEUSDT,2025-04-26 18:15:00,2.1179,2.1197,2.1154,2.1197,797.3
CAKEUSDT,2025-04-26 18:20:00,2.1197,2.1219,2.1185,2.1203,1642.9
CAKEUSDT,2025-04-26 18:25:00,2.1203,2.1252,2.1203,2.1252,1510.1
CAKEUSDT,2025-04-26 18:30:00,2.1252,2.1253,2.1209,2.1226,843.3
CAKEUSDT,2025-04-26 18:35:00,2.1226,2.1282,2.1198,2.1219,2321.1
CAKEUSDT,2025-04-26 18:40:00,2.1219,2.1221,2.1173,2.1175,779.3
CAKEUSDT,2025-04-26 18:45:00,2.1175,2.1206,2.1168,2.1187,808.5
CAKEUSDT,2025-04-26 18:50:00,2.1187,2.1187,2.111,2.1123,1715.3
CAKEUSDT,2025-04-26 18:55:00,2.1123,2.1128,2.1084,2.1084,3678.4
CAKEUSDT,2025-04-26 19:00:00,2.1084,2.1134,2.1084,2.1119,1660.5
CAKEUSDT,2025-04-26 19:05:00,2.1119,2.1119,2.1064,2.108,675.4
CAKEUSDT,2025-04-26 19:10:00,2.108,2.108,2.104,2.1073,510.2
CAKEUSDT,2025-04-26 19:15:00,2.1073,2.1108,2.1012,2.1037,16398.7
CAKEUSDT,2025-04-26 19:20:00,2.1037,2.1049,2.1002,2.1031,1169.8
CAKEUSDT,2025-04-26 19:25:00,2.1031,2.1085,2.1031,2.1067,1079.5
CAKEUSDT,2025-04-26 19:30:00,2.1067,2.107,2.1012,2.1031,614.1
CAKEUSDT,2025-04-26 19:35:00,2.1031,2.1043,2.1003,2.1027,1062.6
CAKEUSDT,2025-04-26 19:40:00,2.1027,2.1059,2.1027,2.1051,559.0
CAKEUSDT,2025-04-26 19:45:00,2.1051,2.1093,2.1051,2.1064,235.4
CAKEUSDT,2025-04-26 19:50:00,2.1064,2.107,2.1041,2.1053,1267.1
CAKEUSDT,2025-04-26 19:55:00,2.1053,2.107,2.1029,2.1064,714.7
CAKEUSDT,2025-04-26 20:00:00,2.1064,2.1109,2.1064,2.1084,1003.1
CAKEUSDT,2025-04-26 20:05:00,2.1084,2.1156,2.1084,2.1105,1339.7
CAKEUSDT,2025-04-26 20:10:00,2.1105,2.1121,2.1037,2.1037,1663.4
CAKEUSDT,2025-04-26 20:15:00,2.1037,2.106,2.1037,2.1059,493.7
CAKEUSDT,2025-04-26 20:20:00,2.1059,2.1059,2.102,2.102,3763.5
CAKEUSDT,2025-04-26 20:25:00,2.102,2.1039,2.1012,2.1035,765.8
CAKEUSDT,2025-04-26 20:30:00,2.1035,2.1039,2.1007,2.1025,722.7
CAKEUSDT,2025-04-26 20:35:00,2.1025,2.1033,2.0974,2.0989,12386.6
CAKEUSDT,2025-04-26 20:40:00,2.0989,2.1027,2.0983,2.1011,751.4
CAKEUSDT,2025-04-26 20:45:00,2.1011,2.1068,2.1011,2.1066,1225.7
CAKEUSDT,2025-04-26 20:50:00,2.1066,2.1072,2.1008,2.1008,5209.7
CAKEUSDT,2025-04-26 20:55:00,2.1008,2.1011,2.0976,2.098,807.4
CAKEUSDT,2025-04-26 21:00:00,2.098,2.1034,2.0977,2.1033,1186.6
CAKEUSDT,2025-04-26 21:05:00,2.1033,2.1075,2.1023,2.1075,1705.5
CAKEUSDT,2025-04-26 21:10:00,2.1075,2.1075,2.1047,2.107,810.2
CAKEUSDT,2025-04-26 21:15:00,2.107,2.1077,2.1022,2.1025,499.7
CAKEUSDT,2025-04-26 21:20:00,2.1025,2.1065,2.1003,2.1065,395.1
CAKEUSDT,2025-04-26 21:25:00,2.1065,2.1077,2.105,2.1067,2909.1
CAKEUSDT,2025-04-26 21:30:00,2.1067,2.1067,2.1039,2.1046,1529.4
CAKEUSDT,2025-04-26 21:35:00,2.1046,2.1052,2.1017,2.1051,325.0
CAKEUSDT,2025-04-26 21:40:00,2.1051,2.1101,2.1037,2.1091,1136.2
CAKEUSDT,2025-04-26 21:45:00,2.1091,2.1091,2.1036,2.1056,459.9
CAKEUSDT,2025-04-26 21:50:00,2.1056,2.107,2.1007,2.1007,2191.7
CAKEUSDT,2025-04-26 21:55:00,2.1007,2.1007,2.0976,2.0994,2046.4
CAKEUSDT,2025-04-26 22:00:00,2.0994,2.1103,2.0994,2.108,430.4
CAKEUSDT,2025-04-26 22:05:00,2.108,2.1181,2.108,2.1137,536.7
CAKEUSDT,2025-04-26 22:10:00,2.1137,2.1157,2.1101,2.1157,1484.8
CAKEUSDT,2025-04-26 22:15:00,2.1157,2.1162,2.1096,2.1131,4450.1
CAKEUSDT,2025-04-26 22:20:00,2.1131,2.1137,2.1082,2.1098,298.6
CAKEUSDT,2025-04-26 22:25:00,2.1098,2.1108,2.1066,2.1078,2124.4
CAKEUSDT,2025-04-26 22:30:00,2.1078,2.1099,2.1059,2.1064,727.5
CAKEUSDT,2025-04-26 22:35:00,2.1064,2.1108,2.1064,2.1093,2399.9
CAKEUSDT,2025-04-26 22:40:00,2.1093,2.1115,2.1048,2.1064,1224.2
CAKEUSDT,2025-04-26 22:45:00,2.1064,2.1067,2.1041,2.1047,898.0
CAKEUSDT,2025-04-26 22:50:00,2.1047,2.1067,2.0977,2.0977,1326.1
