symbol,timestamp,open,high,low,close,volume
CATIUSDT,2025-04-26 14:40:00,0.0888,0.089,0.0888,0.089,12729.0
CATIUSDT,2025-04-26 14:45:00,0.089,0.0892,0.089,0.0892,17801.0
CATIUSDT,2025-04-26 14:50:00,0.0892,0.0893,0.089,0.0891,3997.0
CATIUSDT,2025-04-26 14:55:00,0.0891,0.0891,0.0889,0.0889,13134.0
CATIUSDT,2025-04-26 15:00:00,0.0889,0.0891,0.0889,0.0889,9501.0
CATIUSDT,2025-04-26 15:05:00,0.0889,0.0895,0.0889,0.0895,22089.0
CATIUSDT,2025-04-26 15:10:00,0.0895,0.0895,0.0892,0.0894,18111.0
CATIUSDT,2025-04-26 15:15:00,0.0894,0.0897,0.0894,0.0895,11425.0
CATIUSDT,2025-04-26 15:20:00,0.0895,0.0897,0.0895,0.0896,7987.0
CATIUSDT,2025-04-26 15:25:00,0.0896,0.0899,0.0896,0.0898,29502.0
CATIUSDT,2025-04-26 15:30:00,0.0898,0.0899,0.0896,0.0897,15123.0
CATIUSDT,2025-04-26 15:35:00,0.0897,0.0898,0.0896,0.0897,13657.0
CATIUSDT,2025-04-26 15:40:00,0.0897,0.09,0.0897,0.09,9384.0
CATIUSDT,2025-04-26 15:45:00,0.09,0.0905,0.09,0.0904,12603.0
CATIUSDT,2025-04-26 15:50:00,0.0904,0.0904,0.0904,0.0904,13494.0
CATIUSDT,2025-04-26 15:55:00,0.0904,0.0906,0.0904,0.0905,62528.0
CATIUSDT,2025-04-26 16:00:00,0.0905,0.091,0.0904,0.0908,46232.0
CATIUSDT,2025-04-26 16:05:00,0.0908,0.0908,0.0905,0.0905,21482.0
CATIUSDT,2025-04-26 16:10:00,0.0905,0.0905,0.0901,0.0903,54418.0
CATIUSDT,2025-04-26 16:15:00,0.0903,0.0905,0.0902,0.0902,8124.0
CATIUSDT,2025-04-26 16:20:00,0.0902,0.0906,0.0902,0.0906,5704.0
CATIUSDT,2025-04-26 16:25:00,0.0906,0.0908,0.0904,0.0904,20471.0
CATIUSDT,2025-04-26 16:30:00,0.0904,0.0904,0.0902,0.0902,4195.0
CATIUSDT,2025-04-26 16:35:00,0.0902,0.0902,0.0897,0.0897,70688.0
