symbol,timestamp,open,high,low,close,volume
CFXUSDT,2025-04-25 16:30:00,0.07923,0.07987,0.07908,0.07985,66816.0
CFXUSDT,2025-04-25 16:45:00,0.07985,0.07985,0.07941,0.07968,99051.0
CFXUSDT,2025-04-25 17:00:00,0.07968,0.0803,0.07965,0.08021,63020.0
CFXUSDT,2025-04-25 17:15:00,0.08021,0.08055,0.07998,0.08029,58570.0
CFXUSDT,2025-04-25 17:30:00,0.08029,0.08029,0.07908,0.07952,139207.0
CFXUSDT,2025-04-25 17:45:00,0.07952,0.07952,0.07906,0.07929,111325.0
CFXUSDT,2025-04-25 18:00:00,0.07929,0.07981,0.07929,0.07973,57566.0
CFXUSDT,2025-04-25 18:15:00,0.07973,0.0801,0.07954,0.08004,37037.0
CFXUSDT,2025-04-25 18:30:00,0.08004,0.08032,0.08001,0.08012,60002.0
CFXUSDT,2025-04-25 18:45:00,0.08012,0.08017,0.07954,0.07962,49591.0
CFXUSDT,2025-04-25 19:00:00,0.07962,0.0798,0.0793,0.07939,58864.0
CFXUSDT,2025-04-25 19:15:00,0.07939,0.07995,0.07937,0.07986,306614.0
CFXUSDT,2025-04-25 19:30:00,0.07986,0.07994,0.0796,0.07981,37048.0
CFXUSDT,2025-04-25 19:45:00,0.07981,0.08008,0.07977,0.08008,37570.0
CFXUSDT,2025-04-25 20:00:00,0.08008,0.08033,0.07989,0.0802,75451.0
CFXUSDT,2025-04-25 20:15:00,0.0802,0.08042,0.07997,0.08012,56977.0
CFXUSDT,2025-04-25 20:30:00,0.08012,0.08045,0.08004,0.08012,48172.0
CFXUSDT,2025-04-25 20:45:00,0.08012,0.08042,0.08007,0.08028,33561.0
CFXUSDT,2025-04-25 21:00:00,0.08028,0.0807,0.08026,0.0805,47343.0
CFXUSDT,2025-04-25 21:15:00,0.0805,0.08059,0.08015,0.08028,60302.0
CFXUSDT,2025-04-25 21:30:00,0.08028,0.08051,0.0802,0.08024,20695.0
CFXUSDT,2025-04-25 21:45:00,0.08024,0.08035,0.0796,0.07983,154406.0
CFXUSDT,2025-04-25 22:00:00,0.07983,0.0802,0.07983,0.08014,28016.0
CFXUSDT,2025-04-25 22:15:00,0.08014,0.08047,0.08007,0.08037,28452.0
CFXUSDT,2025-04-25 22:30:00,0.08037,0.08085,0.08037,0.08083,321681.0
CFXUSDT,2025-04-25 22:45:00,0.08083,0.08084,0.08057,0.08068,126620.0
CFXUSDT,2025-04-25 23:00:00,0.08068,0.08074,0.08026,0.08047,1545881.0
CFXUSDT,2025-04-25 23:15:00,0.08047,0.08047,0.08003,0.08026,379986.0
CFXUSDT,2025-04-25 23:30:00,0.08026,0.08026,0.07989,0.07999,193629.0
CFXUSDT,2025-04-25 23:45:00,0.07999,0.08012,0.0798,0.07991,174466.0
CFXUSDT,2025-04-26 00:00:00,0.07991,0.08067,0.07991,0.08065,32293.0
CFXUSDT,2025-04-26 00:15:00,0.08065,0.08104,0.08046,0.08063,103074.0
CFXUSDT,2025-04-26 00:30:00,0.08063,0.08087,0.08042,0.08071,61545.0
CFXUSDT,2025-04-26 00:45:00,0.08071,0.0812,0.08064,0.08108,206163.0
CFXUSDT,2025-04-26 01:00:00,0.08108,0.08117,0.08075,0.08109,42099.0
CFXUSDT,2025-04-26 01:15:00,0.08109,0.0819,0.08098,0.0819,115886.0
CFXUSDT,2025-04-26 01:30:00,0.0819,0.08326,0.0819,0.08277,322991.0
CFXUSDT,2025-04-26 01:45:00,0.08277,0.08335,0.08265,0.08326,124756.0
CFXUSDT,2025-04-26 02:00:00,0.08326,0.08326,0.08242,0.08262,60964.0
CFXUSDT,2025-04-26 02:15:00,0.08262,0.08303,0.08245,0.08293,55152.0
CFXUSDT,2025-04-26 02:30:00,0.08293,0.08317,0.08277,0.08302,112844.0
CFXUSDT,2025-04-26 02:45:00,0.08302,0.08321,0.08263,0.08274,60395.0
CFXUSDT,2025-04-26 03:00:00,0.08274,0.08293,0.08234,0.08282,65049.0
CFXUSDT,2025-04-26 03:15:00,0.08282,0.08284,0.08216,0.08227,73865.0
CFXUSDT,2025-04-26 03:30:00,0.08227,0.08253,0.08216,0.08242,152520.0
CFXUSDT,2025-04-26 03:45:00,0.08242,0.08272,0.0821,0.08223,94441.0
CFXUSDT,2025-04-26 04:00:00,0.08223,0.08256,0.08211,0.08241,101400.0
CFXUSDT,2025-04-26 04:15:00,0.08241,0.08243,0.08196,0.08196,103428.0
CFXUSDT,2025-04-26 04:30:00,0.08196,0.08202,0.08154,0.08202,195413.0
CFXUSDT,2025-04-26 04:45:00,0.08202,0.08211,0.08172,0.08176,73259.0
CFXUSDT,2025-04-26 05:00:00,0.08176,0.08183,0.08127,0.08139,261014.0
