symbol,timestamp,open,high,low,close,volume
CHRUSDT,2025-04-25 16:30:00,0.09859,0.09887,0.09819,0.09883,33205.5
CHRUSDT,2025-04-25 16:45:00,0.09883,0.0989,0.09842,0.0989,32892.8
CHRUSDT,2025-04-25 17:00:00,0.0989,0.09938,0.09882,0.0992,36899.2
CHRUSDT,2025-04-25 17:15:00,0.0992,0.09952,0.09902,0.09905,46415.8
CHRUSDT,2025-04-25 17:30:00,0.09905,0.09906,0.09797,0.09819,51308.9
CHRUSDT,2025-04-25 17:45:00,0.09819,0.0982,0.09771,0.09806,41774.9
CHRUSDT,2025-04-25 18:00:00,0.09806,0.09875,0.09802,0.09874,25966.4
CHRUSDT,2025-04-25 18:15:00,0.09874,0.09928,0.09847,0.09916,29764.5
CHRUSDT,2025-04-25 18:30:00,0.09916,0.09938,0.09891,0.0992,26743.5
CHRUSDT,2025-04-25 18:45:00,0.0992,0.0992,0.09872,0.09886,27656.0
CHRUSDT,2025-04-25 19:00:00,0.09886,0.0989,0.09844,0.09847,32701.9
CHRUSDT,2025-04-25 19:15:00,0.09847,0.09894,0.09843,0.09869,29321.3
CHRUSDT,2025-04-25 19:30:00,0.09869,0.09878,0.0983,0.0986,37937.3
CHRUSDT,2025-04-25 19:45:00,0.0986,0.09919,0.09857,0.09914,34316.1
CHRUSDT,2025-04-25 20:00:00,0.09914,0.0996,0.09912,0.09935,44011.5
CHRUSDT,2025-04-25 20:15:00,0.09935,0.09948,0.099,0.09913,32795.8
CHRUSDT,2025-04-25 20:30:00,0.09913,0.09948,0.09902,0.09907,36504.8
CHRUSDT,2025-04-25 20:45:00,0.09907,0.09948,0.09907,0.09923,32244.0
CHRUSDT,2025-04-25 21:00:00,0.09923,0.09949,0.09922,0.09933,28283.7
CHRUSDT,2025-04-25 21:15:00,0.09933,0.09939,0.09894,0.09907,26710.8
CHRUSDT,2025-04-25 21:30:00,0.09907,0.09938,0.09885,0.09924,26136.0
CHRUSDT,2025-04-25 21:45:00,0.09924,0.09934,0.09814,0.09831,21337.7
CHRUSDT,2025-04-25 22:00:00,0.09831,0.09903,0.09831,0.09896,24763.5
CHRUSDT,2025-04-25 22:15:00,0.09896,0.09939,0.09881,0.09937,21091.1
CHRUSDT,2025-04-25 22:30:00,0.09937,0.09968,0.09927,0.09952,30408.2
CHRUSDT,2025-04-25 22:45:00,0.09952,0.09978,0.09942,0.09943,22905.0
CHRUSDT,2025-04-25 23:00:00,0.09943,0.0996,0.09928,0.09933,31190.5
CHRUSDT,2025-04-25 23:15:00,0.09933,0.09938,0.09902,0.09924,25635.9
CHRUSDT,2025-04-25 23:30:00,0.09924,0.09925,0.09892,0.09908,24684.5
CHRUSDT,2025-04-25 23:45:00,0.09908,0.09914,0.09882,0.09882,16457.6
CHRUSDT,2025-04-26 00:00:00,0.09882,0.09929,0.09882,0.0992,19943.2
CHRUSDT,2025-04-26 00:15:00,0.0992,0.09965,0.09902,0.09943,26488.0
CHRUSDT,2025-04-26 00:30:00,0.09943,0.09967,0.09923,0.09952,24279.5
CHRUSDT,2025-04-26 00:45:00,0.09952,0.10036,0.09952,0.10009,53356.3
CHRUSDT,2025-04-26 01:00:00,0.10009,0.10048,0.09996,0.10024,45757.8
CHRUSDT,2025-04-26 01:15:00,0.10024,0.1012,0.10011,0.10102,86470.5
CHRUSDT,2025-04-26 01:30:00,0.10102,0.1037,0.10102,0.10347,206367.9
CHRUSDT,2025-04-26 01:45:00,0.10347,0.10384,0.10332,0.10378,84074.8
CHRUSDT,2025-04-26 02:00:00,0.10378,0.10397,0.10278,0.10292,43772.0
CHRUSDT,2025-04-26 02:15:00,0.10292,0.10337,0.10273,0.10297,35474.5
CHRUSDT,2025-04-26 02:30:00,0.10297,0.10329,0.10274,0.10301,35542.9
CHRUSDT,2025-04-26 02:45:00,0.10301,0.10316,0.10247,0.10275,34111.8
CHRUSDT,2025-04-26 03:00:00,0.10275,0.10284,0.10193,0.10239,28358.2
CHRUSDT,2025-04-26 03:15:00,0.10239,0.10239,0.10183,0.10183,33290.2
CHRUSDT,2025-04-26 03:30:00,0.10183,0.1021,0.10171,0.10196,25551.1
CHRUSDT,2025-04-26 03:45:00,0.10196,0.10279,0.10195,0.10279,20689.8
CHRUSDT,2025-04-26 04:00:00,0.10279,0.1032,0.10275,0.10293,34108.9
CHRUSDT,2025-04-26 04:15:00,0.10293,0.10309,0.10223,0.10224,18618.1
CHRUSDT,2025-04-26 04:30:00,0.10224,0.10224,0.10152,0.10202,16554.4
CHRUSDT,2025-04-26 04:45:00,0.10202,0.10219,0.10162,0.10167,30993.8
CHRUSDT,2025-04-26 05:00:00,0.10167,0.10198,0.10121,0.10155,35793.6
CHRUSDT,2025-04-26 05:15:00,0.10155,0.10195,0.10131,0.10163,47695.9
CHRUSDT,2025-04-26 05:30:00,0.10163,0.10238,0.10155,0.10234,50579.3
CHRUSDT,2025-04-26 05:45:00,0.10234,0.1026,0.10224,0.10256,20708.2
