symbol,timestamp,open,high,low,close,volume
CHZUSDT,2025-04-26 14:40:00,0.04217,0.04235,0.04217,0.04231,26897.0
CHZUSDT,2025-04-26 14:45:00,0.04231,0.04238,0.04227,0.04236,46956.0
CHZUSDT,2025-04-26 14:50:00,0.04236,0.04236,0.04228,0.04233,20931.0
CHZUSDT,2025-04-26 14:55:00,0.04233,0.04234,0.04222,0.04222,19392.0
CHZUSDT,2025-04-26 15:00:00,0.04222,0.04226,0.04221,0.04225,17580.0
CHZUSDT,2025-04-26 15:05:00,0.04225,0.04226,0.04223,0.04226,15075.0
CHZUSDT,2025-04-26 15:10:00,0.04226,0.04226,0.04221,0.04221,13740.0
CHZUSDT,2025-04-26 15:15:00,0.04221,0.04224,0.04218,0.04218,17841.0
CHZUSDT,2025-04-26 15:20:00,0.04218,0.04225,0.04218,0.04225,12279.0
CHZUSDT,2025-04-26 15:25:00,0.04225,0.04254,0.04223,0.04252,136178.0
CHZUSDT,2025-04-26 15:30:00,0.04252,0.04254,0.04247,0.0425,37608.0
CHZUSDT,2025-04-26 15:35:00,0.0425,0.04255,0.04248,0.04251,73286.0
CHZUSDT,2025-04-26 15:40:00,0.04251,0.04255,0.04251,0.04255,45289.0
CHZUSDT,2025-04-26 15:45:00,0.04255,0.04256,0.04243,0.04256,60790.0
CHZUSDT,2025-04-26 15:50:00,0.04256,0.04259,0.04252,0.04255,39682.0
CHZUSDT,2025-04-26 15:55:00,0.04255,0.04256,0.0425,0.0425,42915.0
CHZUSDT,2025-04-26 16:00:00,0.0425,0.04257,0.04248,0.04248,433523.0
CHZUSDT,2025-04-26 16:05:00,0.04248,0.04254,0.04241,0.04241,72279.0
CHZUSDT,2025-04-26 16:10:00,0.04241,0.04248,0.0424,0.04245,45688.0
CHZUSDT,2025-04-26 16:15:00,0.04245,0.04257,0.04243,0.04252,30969.0
CHZUSDT,2025-04-26 16:20:00,0.04252,0.04255,0.04248,0.0425,23900.0
CHZUSDT,2025-04-26 16:25:00,0.0425,0.04254,0.04249,0.0425,16442.0
CHZUSDT,2025-04-26 16:30:00,0.0425,0.04254,0.04242,0.04243,33570.0
CHZUSDT,2025-04-26 16:35:00,0.04243,0.0425,0.04238,0.04245,56861.0
CHZUSDT,2025-04-26 16:40:00,0.04245,0.04245,0.0423,0.04232,12155.0
CHZUSDT,2025-04-26 16:45:00,0.04232,0.04242,0.04231,0.04239,19015.0
CHZUSDT,2025-04-26 16:50:00,0.04239,0.04245,0.04231,0.04237,85908.0
CHZUSDT,2025-04-26 16:55:00,0.04237,0.04241,0.04236,0.0424,13617.0
CHZUSDT,2025-04-26 17:00:00,0.0424,0.04249,0.04237,0.04243,27289.0
CHZUSDT,2025-04-26 17:05:00,0.04243,0.04245,0.0424,0.04245,26469.0
CHZUSDT,2025-04-26 17:10:00,0.04245,0.04248,0.04234,0.04234,29447.0
CHZUSDT,2025-04-26 17:15:00,0.04234,0.04243,0.04234,0.04238,19044.0
CHZUSDT,2025-04-26 17:20:00,0.04238,0.04244,0.04234,0.04244,65372.0
