symbol,timestamp,open,high,low,close,volume
CLOUDUSDT,2025-04-25 16:30:00,0.0801,0.0802,0.0799,0.0801,60199.0
CLOUDUSDT,2025-04-25 16:45:00,0.0801,0.0804,0.08,0.0802,71128.0
CLOUDUSDT,2025-04-25 17:00:00,0.0802,0.0803,0.08,0.0803,67632.0
CLOUDUSDT,2025-04-25 17:15:00,0.0803,0.0804,0.0801,0.0802,53133.0
CLOUDUSDT,2025-04-25 17:30:00,0.0802,0.0802,0.0794,0.0794,110845.0
CLOUDUSDT,2025-04-25 17:45:00,0.0794,0.0795,0.0791,0.0794,73356.0
CLOUDUSDT,2025-04-25 18:00:00,0.0794,0.0795,0.0789,0.0792,115895.0
CLOUDUSDT,2025-04-25 18:15:00,0.0792,0.0797,0.0792,0.0795,58006.0
CLOUDUSDT,2025-04-25 18:30:00,0.0795,0.0802,0.0795,0.0801,220693.0
CLOUDUSDT,2025-04-25 18:45:00,0.0801,0.0801,0.0794,0.0797,95475.0
CLOUDUSDT,2025-04-25 19:00:00,0.0797,0.0797,0.0792,0.0794,92658.0
CLOUDUSDT,2025-04-25 19:15:00,0.0794,0.0797,0.0794,0.0797,49554.0
CLOUDUSDT,2025-04-25 19:30:00,0.0797,0.0797,0.0788,0.079,128102.0
CLOUDUSDT,2025-04-25 19:45:00,0.079,0.0792,0.0784,0.0788,117255.0
CLOUDUSDT,2025-04-25 20:00:00,0.0788,0.0789,0.0786,0.0787,73281.0
CLOUDUSDT,2025-04-25 20:15:00,0.0787,0.0789,0.0785,0.0787,64299.0
CLOUDUSDT,2025-04-25 20:30:00,0.0787,0.079,0.0786,0.0787,66383.0
CLOUDUSDT,2025-04-25 20:45:00,0.0787,0.0791,0.0787,0.0789,49227.0
CLOUDUSDT,2025-04-25 21:00:00,0.0789,0.0792,0.0789,0.0791,56196.0
CLOUDUSDT,2025-04-25 21:15:00,0.0791,0.0791,0.0786,0.0787,75190.0
CLOUDUSDT,2025-04-25 21:30:00,0.0787,0.0789,0.0778,0.078,196839.0
CLOUDUSDT,2025-04-25 21:45:00,0.078,0.0784,0.0777,0.0784,107296.0
CLOUDUSDT,2025-04-25 22:00:00,0.0784,0.0785,0.078,0.0783,102174.0
CLOUDUSDT,2025-04-25 22:15:00,0.0783,0.0785,0.0781,0.0785,47727.0
CLOUDUSDT,2025-04-25 22:30:00,0.0785,0.0786,0.0783,0.0786,44699.0
CLOUDUSDT,2025-04-25 22:45:00,0.0786,0.0787,0.0782,0.0783,55842.0
CLOUDUSDT,2025-04-25 23:00:00,0.0783,0.0789,0.0783,0.0783,72611.0
CLOUDUSDT,2025-04-25 23:15:00,0.0783,0.0783,0.078,0.0782,62115.0
CLOUDUSDT,2025-04-25 23:30:00,0.0782,0.0783,0.078,0.0783,57371.0
CLOUDUSDT,2025-04-25 23:45:00,0.0783,0.0784,0.0782,0.0783,66046.0
CLOUDUSDT,2025-04-26 00:00:00,0.0783,0.0783,0.0781,0.0782,66733.0
CLOUDUSDT,2025-04-26 00:15:00,0.0782,0.0783,0.078,0.0781,52342.0
CLOUDUSDT,2025-04-26 00:30:00,0.0781,0.0783,0.0781,0.0782,45950.0
CLOUDUSDT,2025-04-26 00:45:00,0.0782,0.0783,0.0781,0.0783,45591.0
CLOUDUSDT,2025-04-26 01:00:00,0.0783,0.0783,0.0781,0.0783,55039.0
CLOUDUSDT,2025-04-26 01:15:00,0.0783,0.0786,0.0782,0.0783,73222.0
CLOUDUSDT,2025-04-26 01:30:00,0.0783,0.0791,0.0783,0.0788,80830.0
CLOUDUSDT,2025-04-26 01:45:00,0.0788,0.0789,0.0785,0.0786,63553.0
CLOUDUSDT,2025-04-26 02:00:00,0.0786,0.0796,0.0785,0.0793,510025.0
