symbol,timestamp,open,high,low,close,volume
COMPUSDT,2025-04-26 14:40:00,43.49,43.6,43.49,43.56,6.25
COMPUSDT,2025-04-26 14:45:00,43.56,43.61,43.52,43.55,10.16
COMPUSDT,2025-04-26 14:50:00,43.55,43.56,43.48,43.48,9.01
COMPUSDT,2025-04-26 14:55:00,43.48,43.48,43.48,43.48,0.0
COMPUSDT,2025-04-26 15:00:00,43.48,43.52,43.46,43.52,72.83
COMPUSDT,2025-04-26 15:05:00,43.52,43.52,43.52,43.52,0.0
COMPUSDT,2025-04-26 15:10:00,43.52,43.52,43.52,43.52,0.0
COMPUSDT,2025-04-26 15:15:00,43.52,43.6,43.52,43.54,13.48
COMPUSDT,2025-04-26 15:20:00,43.54,43.6,43.54,43.59,5.72
COMPUSDT,2025-04-26 15:25:00,43.59,43.73,43.59,43.73,13.25
COMPUSDT,2025-04-26 15:30:00,43.73,43.74,43.7,43.72,126.58
COMPUSDT,2025-04-26 15:35:00,43.72,43.72,43.72,43.72,0.98
COMPUSDT,2025-04-26 15:40:00,43.72,43.82,43.72,43.82,20.09
COMPUSDT,2025-04-26 15:45:00,43.82,43.91,43.78,43.91,29.54
COMPUSDT,2025-04-26 15:50:00,43.91,43.98,43.91,43.95,63.61
COMPUSDT,2025-04-26 15:55:00,43.95,44.0,43.94,43.94,137.75
COMPUSDT,2025-04-26 16:00:00,43.94,43.94,43.89,43.92,30.37
COMPUSDT,2025-04-26 16:05:00,43.92,43.92,43.85,43.85,1.11
COMPUSDT,2025-04-26 16:10:00,43.85,43.85,43.79,43.79,4.92
COMPUSDT,2025-04-26 16:15:00,43.79,43.79,43.73,43.73,6.92
COMPUSDT,2025-04-26 16:20:00,43.73,43.84,43.73,43.82,5.53
COMPUSDT,2025-04-26 16:25:00,43.82,43.82,43.82,43.82,2.66
COMPUSDT,2025-04-26 16:30:00,43.82,43.82,43.8,43.8,106.17
COMPUSDT,2025-04-26 16:35:00,43.8,43.8,43.7,43.75,185.65
COMPUSDT,2025-04-26 16:40:00,43.75,43.75,43.52,43.52,15.72
COMPUSDT,2025-04-26 16:45:00,43.52,43.68,43.52,43.67,9.56
COMPUSDT,2025-04-26 16:50:00,43.67,43.69,43.67,43.69,6.96
COMPUSDT,2025-04-26 16:55:00,43.69,43.72,43.68,43.7,7.71
COMPUSDT,2025-04-26 17:00:00,43.7,43.7,43.68,43.7,10.5
COMPUSDT,2025-04-26 17:05:00,43.7,43.7,43.66,43.66,2.35
COMPUSDT,2025-04-26 17:10:00,43.66,43.69,43.62,43.62,3.06
COMPUSDT,2025-04-26 17:15:00,43.62,43.71,43.62,43.71,20.2
COMPUSDT,2025-04-26 17:20:00,43.71,43.71,43.62,43.69,12.44
COMPUSDT,2025-04-26 17:25:00,43.69,43.75,43.69,43.75,2.1
COMPUSDT,2025-04-26 17:30:00,43.75,43.75,43.72,43.73,22.23
COMPUSDT,2025-04-26 17:35:00,43.73,43.73,43.68,43.69,76.48
COMPUSDT,2025-04-26 17:40:00,43.69,43.73,43.68,43.73,50.25
COMPUSDT,2025-04-26 17:45:00,43.73,43.73,43.71,43.72,5.82
COMPUSDT,2025-04-26 17:50:00,43.72,43.72,43.68,43.68,6.23
COMPUSDT,2025-04-26 17:55:00,43.68,43.68,43.68,43.68,0.0
