symbol,timestamp,open,high,low,close,volume
CVCUSDT,2025-04-26 14:40:00,0.11295,0.11331,0.11295,0.11316,16230.0
CVCUSDT,2025-04-26 14:45:00,0.11316,0.11332,0.11303,0.1133,7901.0
CVCUSDT,2025-04-26 14:50:00,0.1133,0.1133,0.11317,0.11321,38361.0
CVCUSDT,2025-04-26 14:55:00,0.11321,0.11335,0.11321,0.11323,6615.0
CVCUSDT,2025-04-26 15:00:00,0.11323,0.11369,0.11323,0.11336,245389.0
CVCUSDT,2025-04-26 15:05:00,0.11336,0.11363,0.11325,0.11347,17935.0
CVCUSDT,2025-04-26 15:10:00,0.11347,0.11352,0.11343,0.11351,13685.0
CVCUSDT,2025-04-26 15:15:00,0.11351,0.11386,0.11328,0.11328,52526.0
CVCUSDT,2025-04-26 15:20:00,0.11328,0.1135,0.11328,0.1135,12398.0
CVCUSDT,2025-04-26 15:25:00,0.1135,0.11367,0.1135,0.11361,37307.0
CVCUSDT,2025-04-26 15:30:00,0.11361,0.11361,0.11339,0.11341,15592.0
CVCUSDT,2025-04-26 15:35:00,0.11341,0.11364,0.11339,0.1135,15497.0
CVCUSDT,2025-04-26 15:40:00,0.1135,0.11361,0.11347,0.11349,20546.0
CVCUSDT,2025-04-26 15:45:00,0.11349,0.11369,0.11347,0.1136,15139.0
CVCUSDT,2025-04-26 15:50:00,0.1136,0.11388,0.1136,0.11378,17924.0
CVCUSDT,2025-04-26 15:55:00,0.11378,0.11385,0.11373,0.11378,27212.0
CVCUSDT,2025-04-26 16:00:00,0.11378,0.11378,0.11357,0.11363,19655.0
CVCUSDT,2025-04-26 16:05:00,0.11363,0.11366,0.11345,0.11345,10348.0
CVCUSDT,2025-04-26 16:10:00,0.11345,0.11355,0.1134,0.11346,155545.0
CVCUSDT,2025-04-26 16:15:00,0.11346,0.11348,0.1133,0.11348,130713.0
CVCUSDT,2025-04-26 16:20:00,0.11348,0.11374,0.11348,0.11373,9492.0
CVCUSDT,2025-04-26 16:25:00,0.11373,0.11379,0.1137,0.11379,8957.0
CVCUSDT,2025-04-26 16:30:00,0.11379,0.11379,0.11355,0.11356,8303.0
CVCUSDT,2025-04-26 16:35:00,0.11356,0.11372,0.1135,0.11367,459147.0
CVCUSDT,2025-04-26 16:40:00,0.11367,0.11373,0.11339,0.11348,96546.0
CVCUSDT,2025-04-26 16:45:00,0.11348,0.1154,0.11348,0.11414,766015.0
CVCUSDT,2025-04-26 16:50:00,0.11414,0.11416,0.11381,0.11398,9650.0
CVCUSDT,2025-04-26 16:55:00,0.11398,0.11407,0.11389,0.11406,9514.0
CVCUSDT,2025-04-26 17:00:00,0.11406,0.11423,0.11403,0.11415,11796.0
CVCUSDT,2025-04-26 17:05:00,0.11415,0.11421,0.11394,0.11415,23224.0
CVCUSDT,2025-04-26 17:10:00,0.11415,0.11427,0.11403,0.11417,12474.0
CVCUSDT,2025-04-26 17:15:00,0.11417,0.11451,0.11417,0.11442,12390.0
CVCUSDT,2025-04-26 17:20:00,0.11442,0.11469,0.11422,0.11454,14558.0
CVCUSDT,2025-04-26 17:25:00,0.11454,0.1148,0.11446,0.11472,8267.0
CVCUSDT,2025-04-26 17:30:00,0.11472,0.11474,0.11449,0.11451,11994.0
CVCUSDT,2025-04-26 17:35:00,0.11451,0.11463,0.11445,0.11451,11747.0
CVCUSDT,2025-04-26 17:40:00,0.11451,0.11461,0.11444,0.11461,12420.0
CVCUSDT,2025-04-26 17:45:00,0.11461,0.1147,0.11454,0.11461,9458.0
CVCUSDT,2025-04-26 17:50:00,0.11461,0.11468,0.11452,0.11454,14841.0
CVCUSDT,2025-04-26 17:55:00,0.11454,0.11464,0.11449,0.11456,12011.0
CVCUSDT,2025-04-26 18:00:00,0.11456,0.11459,0.11443,0.11451,10683.0
CVCUSDT,2025-04-26 18:05:00,0.11451,0.11501,0.11451,0.1148,18255.0
CVCUSDT,2025-04-26 18:10:00,0.1148,0.11495,0.11445,0.11457,12048.0
CVCUSDT,2025-04-26 18:15:00,0.11457,0.11478,0.11451,0.11471,13847.0
CVCUSDT,2025-04-26 18:20:00,0.11471,0.11479,0.1146,0.11471,12650.0
CVCUSDT,2025-04-26 18:25:00,0.11471,0.11484,0.11456,0.11456,11277.0
CVCUSDT,2025-04-26 18:30:00,0.11456,0.11468,0.11453,0.1146,10280.0
CVCUSDT,2025-04-26 18:35:00,0.1146,0.11468,0.1145,0.11458,9290.0
CVCUSDT,2025-04-26 18:40:00,0.11458,0.11458,0.11444,0.11447,9773.0
CVCUSDT,2025-04-26 18:45:00,0.11447,0.11462,0.11444,0.11458,12119.0
CVCUSDT,2025-04-26 18:50:00,0.11458,0.11458,0.11444,0.11453,9248.0
CVCUSDT,2025-04-26 18:55:00,0.11453,0.11453,0.11421,0.11421,14091.0
