symbol,timestamp,open,high,low,close,volume
CVXUSDT,2025-04-25 16:30:00,2.836,2.884,2.818,2.875,3291.0
CVXUSDT,2025-04-25 16:45:00,2.875,2.875,2.859,2.868,3466.66
CVXUSDT,2025-04-25 17:00:00,2.868,2.894,2.866,2.877,971.74
CVXUSDT,2025-04-25 17:15:00,2.877,2.888,2.873,2.883,1835.58
CVXUSDT,2025-04-25 17:30:00,2.883,2.883,2.842,2.85,5000.68
CVXUSDT,2025-04-25 17:45:00,2.85,2.853,2.833,2.833,1173.12
CVXUSDT,2025-04-25 18:00:00,2.833,2.852,2.831,2.84,937.16
CVXUSDT,2025-04-25 18:15:00,2.84,2.84,2.833,2.834,990.63
CVXUSDT,2025-04-25 18:30:00,2.834,2.848,2.833,2.837,1938.88
CVXUSDT,2025-04-25 18:45:00,2.837,2.838,2.816,2.821,707.26
CVXUSDT,2025-04-25 19:00:00,2.821,2.824,2.812,2.812,619.09
CVXUSDT,2025-04-25 19:15:00,2.812,2.819,2.811,2.816,1926.95
CVXUSDT,2025-04-25 19:30:00,2.816,2.824,2.812,2.819,1164.1
CVXUSDT,2025-04-25 19:45:00,2.819,2.824,2.813,2.822,673.39
CVXUSDT,2025-04-25 20:00:00,2.822,2.831,2.819,2.821,751.87
CVXUSDT,2025-04-25 20:15:00,2.821,2.832,2.818,2.829,663.3
CVXUSDT,2025-04-25 20:30:00,2.829,2.843,2.829,2.84,627.59
CVXUSDT,2025-04-25 20:45:00,2.84,2.844,2.837,2.838,748.61
CVXUSDT,2025-04-25 21:00:00,2.838,2.838,2.835,2.837,581.0
CVXUSDT,2025-04-25 21:15:00,2.837,2.842,2.832,2.841,882.66
CVXUSDT,2025-04-25 21:30:00,2.841,2.843,2.83,2.831,1165.0
CVXUSDT,2025-04-25 21:45:00,2.831,2.833,2.814,2.817,1318.15
CVXUSDT,2025-04-25 22:00:00,2.817,2.824,2.817,2.819,943.62
CVXUSDT,2025-04-25 22:15:00,2.819,2.836,2.819,2.835,897.8
CVXUSDT,2025-04-25 22:30:00,2.835,2.838,2.82,2.835,737.05
CVXUSDT,2025-04-25 22:45:00,2.835,2.837,2.829,2.83,665.0
CVXUSDT,2025-04-25 23:00:00,2.83,2.832,2.825,2.826,338.78
CVXUSDT,2025-04-25 23:15:00,2.826,2.826,2.808,2.815,2556.19
CVXUSDT,2025-04-25 23:30:00,2.815,2.815,2.804,2.806,895.54
CVXUSDT,2025-04-25 23:45:00,2.806,2.812,2.804,2.808,1134.55
CVXUSDT,2025-04-26 00:00:00,2.808,2.828,2.807,2.828,2025.88
CVXUSDT,2025-04-26 00:15:00,2.828,2.834,2.823,2.829,1175.74
CVXUSDT,2025-04-26 00:30:00,2.829,2.834,2.822,2.829,634.0
CVXUSDT,2025-04-26 00:45:00,2.829,2.847,2.829,2.843,878.63
CVXUSDT,2025-04-26 01:00:00,2.843,2.843,2.818,2.834,595.38
CVXUSDT,2025-04-26 01:15:00,2.834,2.877,2.832,2.842,9101.84
CVXUSDT,2025-04-26 01:30:00,2.842,2.904,2.827,2.877,22419.32
CVXUSDT,2025-04-26 01:45:00,2.877,2.877,2.849,2.853,1089.54
CVXUSDT,2025-04-26 02:00:00,2.853,2.858,2.844,2.852,1053.14
CVXUSDT,2025-04-26 02:15:00,2.852,2.904,2.852,2.895,4068.66
CVXUSDT,2025-04-26 02:30:00,2.895,2.924,2.882,2.907,5322.84
CVXUSDT,2025-04-26 02:45:00,2.907,2.91,2.897,2.906,4368.49
CVXUSDT,2025-04-26 03:00:00,2.906,2.919,2.902,2.914,1167.49
CVXUSDT,2025-04-26 03:15:00,2.914,2.915,2.908,2.91,926.68
CVXUSDT,2025-04-26 03:30:00,2.91,2.917,2.908,2.915,1683.43
CVXUSDT,2025-04-26 03:45:00,2.915,2.926,2.915,2.92,1387.27
CVXUSDT,2025-04-26 04:00:00,2.92,2.954,2.915,2.939,2161.17
CVXUSDT,2025-04-26 04:15:00,2.939,2.94,2.914,2.921,2912.29
CVXUSDT,2025-04-26 04:30:00,2.921,2.925,2.911,2.917,1116.07
CVXUSDT,2025-04-26 04:45:00,2.917,2.924,2.911,2.913,872.14
CVXUSDT,2025-04-26 05:00:00,2.913,2.915,2.904,2.909,815.48
CVXUSDT,2025-04-26 05:15:00,2.909,2.941,2.909,2.941,1090.98
CVXUSDT,2025-04-26 05:30:00,2.941,2.949,2.939,2.948,1062.59
CVXUSDT,2025-04-26 05:45:00,2.948,2.956,2.946,2.949,753.59
CVXUSDT,2025-04-26 06:00:00,2.949,2.954,2.943,2.946,2150.13
CVXUSDT,2025-04-26 06:15:00,2.946,2.96,2.943,2.959,717.95
CVXUSDT,2025-04-26 06:30:00,2.959,2.995,2.959,2.984,5848.81
CVXUSDT,2025-04-26 06:45:00,2.984,2.989,2.97,2.971,1793.79
CVXUSDT,2025-04-26 07:00:00,2.971,2.994,2.971,2.989,1059.87
CVXUSDT,2025-04-26 07:15:00,2.989,2.993,2.971,2.971,820.0
CVXUSDT,2025-04-26 07:30:00,2.971,2.982,2.962,2.973,4297.99
CVXUSDT,2025-04-26 07:45:00,2.973,2.975,2.967,2.97,744.3
CVXUSDT,2025-04-26 08:00:00,2.97,3.002,2.953,2.961,27954.23
CVXUSDT,2025-04-26 08:15:00,2.961,2.984,2.955,2.979,950.34
CVXUSDT,2025-04-26 08:30:00,2.979,2.979,2.947,2.948,16726.77
CVXUSDT,2025-04-26 08:45:00,2.948,2.95,2.919,2.927,2724.87
CVXUSDT,2025-04-26 09:00:00,2.927,2.953,2.91,2.947,2382.2
CVXUSDT,2025-04-26 09:15:00,2.947,2.969,2.939,2.944,2576.04
CVXUSDT,2025-04-26 09:30:00,2.944,2.944,2.927,2.932,1078.9
CVXUSDT,2025-04-26 09:45:00,2.932,2.932,2.92,2.921,1180.86
CVXUSDT,2025-04-26 10:00:00,2.921,2.942,2.915,2.918,1459.18
CVXUSDT,2025-04-26 10:15:00,2.918,2.938,2.918,2.93,2766.24
CVXUSDT,2025-04-26 10:30:00,2.93,2.93,2.92,2.924,916.0
CVXUSDT,2025-04-26 10:45:00,2.924,2.927,2.916,2.917,807.59
CVXUSDT,2025-04-26 11:00:00,2.917,2.923,2.904,2.904,984.5
CVXUSDT,2025-04-26 11:15:00,2.904,2.913,2.889,2.897,1289.18
CVXUSDT,2025-04-26 11:30:00,2.897,2.897,2.876,2.876,3110.91
CVXUSDT,2025-04-26 11:45:00,2.876,2.889,2.872,2.887,3266.78
CVXUSDT,2025-04-26 12:00:00,2.887,2.896,2.878,2.888,1249.93
CVXUSDT,2025-04-26 12:15:00,2.888,2.898,2.882,2.898,687.0
CVXUSDT,2025-04-26 12:30:00,2.898,2.898,2.878,2.878,868.46
CVXUSDT,2025-04-26 12:45:00,2.878,2.881,2.874,2.877,667.39
CVXUSDT,2025-04-26 13:00:00,2.877,2.884,2.867,2.874,2099.75
CVXUSDT,2025-04-26 13:15:00,2.874,2.876,2.855,2.866,2107.9
CVXUSDT,2025-04-26 13:30:00,2.866,2.885,2.854,2.879,3090.42
CVXUSDT,2025-04-26 13:45:00,2.879,2.896,2.867,2.896,3522.45
CVXUSDT,2025-04-26 14:00:00,2.896,2.897,2.874,2.897,1148.35
CVXUSDT,2025-04-26 14:15:00,2.897,2.897,2.836,2.854,5691.26
CVXUSDT,2025-04-26 14:30:00,2.854,2.882,2.853,2.874,778.29
CVXUSDT,2025-04-26 14:45:00,2.874,2.882,2.866,2.866,663.0
CVXUSDT,2025-04-26 15:00:00,2.866,2.88,2.866,2.876,824.52
CVXUSDT,2025-04-26 15:15:00,2.876,2.89,2.875,2.876,1229.75
CVXUSDT,2025-04-26 15:30:00,2.876,2.876,2.813,2.816,5525.04
CVXUSDT,2025-04-26 15:45:00,2.816,2.844,2.816,2.833,1895.34
CVXUSDT,2025-04-26 16:00:00,2.833,2.833,2.802,2.806,914.04
CVXUSDT,2025-04-26 16:15:00,2.806,2.82,2.806,2.82,1274.59
CVXUSDT,2025-04-26 16:30:00,2.82,2.824,2.81,2.81,874.0
CVXUSDT,2025-04-26 16:45:00,2.81,2.818,2.807,2.812,1034.0
CVXUSDT,2025-04-26 17:00:00,2.812,2.814,2.802,2.802,960.0
CVXUSDT,2025-04-26 17:15:00,2.802,2.818,2.802,2.818,726.33
CVXUSDT,2025-04-26 17:30:00,2.818,2.818,2.812,2.814,516.0
CVXUSDT,2025-04-26 17:45:00,2.814,2.859,2.813,2.849,4884.26
CVXUSDT,2025-04-26 18:00:00,2.849,2.849,2.812,2.814,1998.32
CVXUSDT,2025-04-26 18:15:00,2.814,2.826,2.813,2.824,1253.37
CVXUSDT,2025-04-26 18:30:00,2.824,2.831,2.824,2.825,722.0
CVXUSDT,2025-04-26 18:45:00,2.825,2.832,2.82,2.82,435.0
CVXUSDT,2025-04-26 19:00:00,2.82,2.83,2.82,2.826,631.0
CVXUSDT,2025-04-26 19:15:00,2.826,2.837,2.826,2.835,614.33
CVXUSDT,2025-04-26 19:30:00,2.835,2.837,2.831,2.836,647.58
CVXUSDT,2025-04-26 19:45:00,2.836,2.85,2.835,2.849,1068.81
CVXUSDT,2025-04-26 20:00:00,2.849,2.86,2.849,2.849,642.59
CVXUSDT,2025-04-26 20:15:00,2.849,2.85,2.843,2.845,785.0
