symbol,timestamp,open,high,low,close,volume
CYBERUSDT,2025-04-25 16:30:00,1.3569,1.3637,1.3503,1.3626,7766.0
CYBERUSDT,2025-04-25 16:45:00,1.3626,1.363,1.3568,1.3605,2843.5
CYBERUSDT,2025-04-25 17:00:00,1.3605,1.3739,1.3605,1.3739,3304.8
CYBERUSDT,2025-04-25 17:15:00,1.3739,1.3784,1.3715,1.3741,2010.9
CYBERUSDT,2025-04-25 17:30:00,1.3741,1.3741,1.3516,1.3553,3705.0
CYBERUSDT,2025-04-25 17:45:00,1.3553,1.3553,1.3478,1.3496,2139.9
CYBERUSDT,2025-04-25 18:00:00,1.3496,1.3598,1.3489,1.3584,2625.4
CYBERUSDT,2025-04-25 18:15:00,1.3584,1.366,1.3555,1.366,4371.3
CYBERUSDT,2025-04-25 18:30:00,1.366,1.3671,1.3611,1.3671,2759.6
CYBERUSDT,2025-04-25 18:45:00,1.3671,1.3677,1.3553,1.3567,2737.5
CYBERUSDT,2025-04-25 19:00:00,1.3567,1.3574,1.3486,1.3514,4299.2
CYBERUSDT,2025-04-25 19:15:00,1.3514,1.3625,1.3514,1.3615,3623.0
CYBERUSDT,2025-04-25 19:30:00,1.3615,1.3637,1.3563,1.3609,3616.4
CYBERUSDT,2025-04-25 19:45:00,1.3609,1.3669,1.3592,1.3669,3689.0
CYBERUSDT,2025-04-25 20:00:00,1.3669,1.367,1.3617,1.3635,2996.3
CYBERUSDT,2025-04-25 20:15:00,1.3635,1.3677,1.3589,1.363,2667.7
CYBERUSDT,2025-04-25 20:30:00,1.363,1.3658,1.3608,1.3613,3111.8
CYBERUSDT,2025-04-25 20:45:00,1.3613,1.3702,1.3613,1.3693,2781.6
CYBERUSDT,2025-04-25 21:00:00,1.3693,1.3734,1.364,1.3715,1517.8
CYBERUSDT,2025-04-25 21:15:00,1.3715,1.373,1.3665,1.3681,1690.4
CYBERUSDT,2025-04-25 21:30:00,1.3681,1.3738,1.3669,1.3714,2971.5
CYBERUSDT,2025-04-25 21:45:00,1.3714,1.3744,1.3532,1.3571,2959.6
CYBERUSDT,2025-04-25 22:00:00,1.3571,1.3659,1.3562,1.3659,2124.6
CYBERUSDT,2025-04-25 22:15:00,1.3659,1.3724,1.3648,1.3717,3932.5
CYBERUSDT,2025-04-25 22:30:00,1.3717,1.3801,1.3716,1.3801,3966.4
CYBERUSDT,2025-04-25 22:45:00,1.3801,1.3817,1.3788,1.3802,3973.0
CYBERUSDT,2025-04-25 23:00:00,1.3802,1.3802,1.3714,1.3714,2794.3
CYBERUSDT,2025-04-25 23:15:00,1.3714,1.3719,1.363,1.3661,3298.0
CYBERUSDT,2025-04-25 23:30:00,1.3661,1.3661,1.36,1.3629,2174.5
CYBERUSDT,2025-04-25 23:45:00,1.3629,1.363,1.3593,1.36,2297.3
CYBERUSDT,2025-04-26 00:00:00,1.36,1.3784,1.36,1.3753,2826.9
CYBERUSDT,2025-04-26 00:15:00,1.3753,1.3832,1.3748,1.3804,2125.3
CYBERUSDT,2025-04-26 00:30:00,1.3804,1.3804,1.3707,1.3755,4438.6
CYBERUSDT,2025-04-26 00:45:00,1.3755,1.3869,1.3755,1.3859,2219.4
