symbol,timestamp,open,high,low,close,volume
DFUSDT,2025-04-25 16:30:00,0.0595,0.05996,0.05943,0.05996,44898.0
DFUSDT,2025-04-25 16:45:00,0.05996,0.05996,0.05965,0.05975,46725.0
DFUSDT,2025-04-25 17:00:00,0.05975,0.06006,0.05975,0.06006,43035.0
DFUSDT,2025-04-25 17:15:00,0.06006,0.06026,0.06005,0.06009,49625.0
DFUSDT,2025-04-25 17:30:00,0.06009,0.06009,0.05948,0.05963,42184.0
DFUSDT,2025-04-25 17:45:00,0.05963,0.05963,0.05931,0.05948,54565.0
DFUSDT,2025-04-25 18:00:00,0.05948,0.0599,0.05947,0.05977,45669.0
DFUSDT,2025-04-25 18:15:00,0.05977,0.06015,0.05976,0.06001,52033.0
DFUSDT,2025-04-25 18:30:00,0.06001,0.06025,0.05998,0.06021,46627.0
DFUSDT,2025-04-25 18:45:00,0.06021,0.06027,0.06008,0.06017,46564.0
DFUSDT,2025-04-25 19:00:00,0.06017,0.06017,0.05957,0.05957,44241.0
DFUSDT,2025-04-25 19:15:00,0.05957,0.05991,0.05949,0.05984,47367.0
DFUSDT,2025-04-25 19:30:00,0.05984,0.05999,0.05969,0.05981,54321.0
DFUSDT,2025-04-25 19:45:00,0.05981,0.06004,0.05979,0.06004,44565.0
DFUSDT,2025-04-25 20:00:00,0.06004,0.06007,0.05995,0.06002,45569.0
DFUSDT,2025-04-25 20:15:00,0.06002,0.06007,0.05973,0.05984,35723.0
DFUSDT,2025-04-25 20:30:00,0.05984,0.05993,0.05976,0.05988,40854.0
DFUSDT,2025-04-25 20:45:00,0.05988,0.06002,0.05988,0.05997,42969.0
DFUSDT,2025-04-25 21:00:00,0.05997,0.06014,0.05991,0.06,50360.0
DFUSDT,2025-04-25 21:15:00,0.06,0.06,0.05965,0.05965,70103.0
DFUSDT,2025-04-25 21:30:00,0.05965,0.05977,0.05955,0.05958,63151.0
DFUSDT,2025-04-25 21:45:00,0.05958,0.05958,0.05885,0.05893,99007.0
DFUSDT,2025-04-25 22:00:00,0.05893,0.05924,0.05893,0.05917,52249.0
DFUSDT,2025-04-25 22:15:00,0.05917,0.05919,0.05898,0.05904,77578.0
DFUSDT,2025-04-25 22:30:00,0.05904,0.05925,0.05895,0.05921,39570.0
DFUSDT,2025-04-25 22:45:00,0.05921,0.05928,0.05918,0.0592,37759.0
DFUSDT,2025-04-25 23:00:00,0.0592,0.05938,0.05908,0.0592,44221.0
DFUSDT,2025-04-25 23:15:00,0.0592,0.05922,0.05904,0.05911,50094.0
DFUSDT,2025-04-25 23:30:00,0.05911,0.0593,0.059,0.0593,40594.0
DFUSDT,2025-04-25 23:45:00,0.0593,0.05934,0.05917,0.05931,42076.0
DFUSDT,2025-04-26 00:00:00,0.05931,0.05934,0.05914,0.05929,45893.0
DFUSDT,2025-04-26 00:15:00,0.05929,0.05955,0.05918,0.05949,40604.0
DFUSDT,2025-04-26 00:30:00,0.05949,0.05949,0.05932,0.05942,55730.0
DFUSDT,2025-04-26 00:45:00,0.05942,0.0597,0.05941,0.05958,38235.0
DFUSDT,2025-04-26 01:00:00,0.05958,0.0596,0.05944,0.05948,53707.0
DFUSDT,2025-04-26 01:15:00,0.05948,0.06002,0.05948,0.05997,31621.0
DFUSDT,2025-04-26 01:30:00,0.05997,0.06058,0.05997,0.0604,45668.0
DFUSDT,2025-04-26 01:45:00,0.0604,0.06047,0.06032,0.06036,48147.0
DFUSDT,2025-04-26 02:00:00,0.06036,0.06036,0.06004,0.06006,42889.0
DFUSDT,2025-04-26 02:15:00,0.06006,0.06016,0.06001,0.06015,37402.0
DFUSDT,2025-04-26 02:30:00,0.06015,0.06039,0.06009,0.06038,43606.0
DFUSDT,2025-04-26 02:45:00,0.06038,0.06048,0.06029,0.06037,40321.0
DFUSDT,2025-04-26 03:00:00,0.06037,0.06048,0.06012,0.06024,38339.0
DFUSDT,2025-04-26 03:15:00,0.06024,0.06024,0.05995,0.05996,45983.0
DFUSDT,2025-04-26 03:30:00,0.05996,0.06001,0.05988,0.05989,44260.0
DFUSDT,2025-04-26 03:45:00,0.05989,0.05998,0.05968,0.05977,36764.0
DFUSDT,2025-04-26 04:00:00,0.05977,0.05997,0.05977,0.05989,44206.0
DFUSDT,2025-04-26 04:15:00,0.05989,0.06006,0.05985,0.05989,60678.0
DFUSDT,2025-04-26 04:30:00,0.05989,0.05989,0.05921,0.05932,102496.0
DFUSDT,2025-04-26 04:45:00,0.05932,0.05946,0.05911,0.05913,41896.0
DFUSDT,2025-04-26 05:00:00,0.05913,0.05938,0.05901,0.05938,51850.0
DFUSDT,2025-04-26 05:15:00,0.05938,0.05955,0.05926,0.05946,47856.0
DFUSDT,2025-04-26 05:30:00,0.05946,0.0597,0.05932,0.05963,64531.0
DFUSDT,2025-04-26 05:45:00,0.05963,0.05974,0.05962,0.05963,11112.0
DFUSDT,2025-04-26 06:00:00,0.05963,0.05976,0.05963,0.05976,22456.0
DFUSDT,2025-04-26 06:15:00,0.05976,0.0601,0.05967,0.05989,73616.0
DFUSDT,2025-04-26 06:30:00,0.05989,0.06009,0.05987,0.05994,35279.0
DFUSDT,2025-04-26 06:45:00,0.05994,0.0601,0.05988,0.06007,30315.0
DFUSDT,2025-04-26 07:00:00,0.06007,0.06014,0.05996,0.06006,43960.0
DFUSDT,2025-04-26 07:15:00,0.06006,0.06016,0.05999,0.06002,44804.0
DFUSDT,2025-04-26 07:30:00,0.06002,0.06002,0.05987,0.05997,29527.0
DFUSDT,2025-04-26 07:45:00,0.05997,0.06001,0.05968,0.05974,35027.0
DFUSDT,2025-04-26 08:00:00,0.05974,0.05985,0.05945,0.05963,54693.0
DFUSDT,2025-04-26 08:15:00,0.05963,0.06017,0.05963,0.06017,47781.0
DFUSDT,2025-04-26 08:30:00,0.06017,0.06017,0.05937,0.05953,57221.0
DFUSDT,2025-04-26 08:45:00,0.05953,0.05959,0.05928,0.05959,38899.0
DFUSDT,2025-04-26 09:00:00,0.05959,0.05959,0.05913,0.05938,52597.0
DFUSDT,2025-04-26 09:15:00,0.05938,0.05956,0.05932,0.05937,36733.0
DFUSDT,2025-04-26 09:30:00,0.05937,0.05937,0.05896,0.05935,101302.0
DFUSDT,2025-04-26 09:45:00,0.05935,0.05941,0.05928,0.05941,40919.0
DFUSDT,2025-04-26 10:00:00,0.05941,0.05966,0.05935,0.05948,32850.0
DFUSDT,2025-04-26 10:15:00,0.05948,0.05968,0.05942,0.05958,36796.0
DFUSDT,2025-04-26 10:30:00,0.05958,0.05984,0.05951,0.05981,81530.0
DFUSDT,2025-04-26 10:45:00,0.05981,0.05991,0.05978,0.05983,40362.0
DFUSDT,2025-04-26 11:00:00,0.05983,0.05988,0.05953,0.05953,54129.0
DFUSDT,2025-04-26 11:15:00,0.05953,0.05962,0.05928,0.05933,41566.0
DFUSDT,2025-04-26 11:30:00,0.05933,0.05959,0.05927,0.05933,70937.0
DFUSDT,2025-04-26 11:45:00,0.05933,0.05939,0.05896,0.05914,69746.0
DFUSDT,2025-04-26 12:00:00,0.05914,0.0596,0.05914,0.05957,78941.0
DFUSDT,2025-04-26 12:15:00,0.05957,0.05968,0.05943,0.05957,44156.0
DFUSDT,2025-04-26 12:30:00,0.05957,0.05996,0.05948,0.05967,89760.0
DFUSDT,2025-04-26 12:45:00,0.05967,0.05974,0.05952,0.05966,63365.0
DFUSDT,2025-04-26 13:00:00,0.05966,0.05984,0.05958,0.0597,57282.0
DFUSDT,2025-04-26 13:15:00,0.0597,0.05974,0.05953,0.05953,39611.0
DFUSDT,2025-04-26 13:30:00,0.05953,0.0597,0.05944,0.05947,40017.0
DFUSDT,2025-04-26 13:45:00,0.05947,0.05955,0.05734,0.05787,129272.0
DFUSDT,2025-04-26 14:00:00,0.05787,0.0583,0.05757,0.05823,178693.0
DFUSDT,2025-04-26 14:15:00,0.05823,0.05823,0.05771,0.05806,62010.0
DFUSDT,2025-04-26 14:30:00,0.05806,0.05833,0.05796,0.05827,80122.0
DFUSDT,2025-04-26 14:45:00,0.05827,0.0584,0.05823,0.05826,57932.0
DFUSDT,2025-04-26 15:00:00,0.05826,0.05849,0.05821,0.05846,53552.0
DFUSDT,2025-04-26 15:15:00,0.05846,0.05852,0.05833,0.05851,37947.0
DFUSDT,2025-04-26 15:30:00,0.05851,0.05857,0.05837,0.0585,37278.0
DFUSDT,2025-04-26 15:45:00,0.0585,0.05866,0.05848,0.05862,41536.0
DFUSDT,2025-04-26 16:00:00,0.05862,0.05862,0.0582,0.05826,48149.0
DFUSDT,2025-04-26 16:15:00,0.05826,0.0585,0.05818,0.05847,61366.0
DFUSDT,2025-04-26 16:30:00,0.05847,0.05847,0.05789,0.05793,52933.0
DFUSDT,2025-04-26 16:45:00,0.05793,0.05813,0.05784,0.05806,67575.0
DFUSDT,2025-04-26 17:00:00,0.05806,0.05832,0.05806,0.05812,50531.0
DFUSDT,2025-04-26 17:15:00,0.05812,0.0583,0.05811,0.05828,56667.0
DFUSDT,2025-04-26 17:30:00,0.05828,0.05835,0.05824,0.05835,52931.0
DFUSDT,2025-04-26 17:45:00,0.05835,0.05835,0.05815,0.0582,58320.0
