symbol,timestamp,open,high,low,close,volume
DOTUSDT,2025-04-26 14:40:00,4.266,4.27,4.262,4.268,14859.0
DOTUSDT,2025-04-26 14:45:00,4.268,4.272,4.262,4.268,1213.0
DOTUSDT,2025-04-26 14:50:00,4.268,4.271,4.263,4.267,2027.0
DOTUSDT,2025-04-26 14:55:00,4.267,4.272,4.261,4.261,4241.0
DOTUSDT,2025-04-26 15:00:00,4.261,4.269,4.258,4.269,4404.0
DOTUSDT,2025-04-26 15:05:00,4.269,4.275,4.264,4.269,11791.0
DOTUSDT,2025-04-26 15:10:00,4.269,4.273,4.266,4.27,1210.0
DOTUSDT,2025-04-26 15:15:00,4.27,4.281,4.26,4.262,4297.0
DOTUSDT,2025-04-26 15:20:00,4.262,4.277,4.262,4.277,1592.0
DOTUSDT,2025-04-26 15:25:00,4.277,4.287,4.276,4.286,6623.0
DOTUSDT,2025-04-26 15:30:00,4.286,4.287,4.279,4.283,1885.0
DOTUSDT,2025-04-26 15:35:00,4.283,4.292,4.282,4.288,3840.0
DOTUSDT,2025-04-26 15:40:00,4.288,4.289,4.274,4.278,3138.0
DOTUSDT,2025-04-26 15:45:00,4.278,4.288,4.273,4.287,3524.0
DOTUSDT,2025-04-26 15:50:00,4.287,4.293,4.285,4.288,10098.0
DOTUSDT,2025-04-26 15:55:00,4.288,4.289,4.282,4.282,636.0
DOTUSDT,2025-04-26 16:00:00,4.282,4.284,4.277,4.28,3805.0
DOTUSDT,2025-04-26 16:05:00,4.28,4.285,4.27,4.272,5381.0
DOTUSDT,2025-04-26 16:10:00,4.272,4.276,4.27,4.274,1501.0
DOTUSDT,2025-04-26 16:15:00,4.274,4.278,4.27,4.278,2151.0
DOTUSDT,2025-04-26 16:20:00,4.278,4.289,4.277,4.289,12586.0
DOTUSDT,2025-04-26 16:25:00,4.289,4.294,4.289,4.293,5442.0
DOTUSDT,2025-04-26 16:30:00,4.293,4.293,4.281,4.283,754.0
DOTUSDT,2025-04-26 16:35:00,4.283,4.284,4.274,4.275,1591.0
DOTUSDT,2025-04-26 16:40:00,4.275,4.276,4.261,4.264,5394.0
DOTUSDT,2025-04-26 16:45:00,4.264,4.275,4.262,4.273,594.0
DOTUSDT,2025-04-26 16:50:00,4.273,4.275,4.265,4.27,765.0
DOTUSDT,2025-04-26 16:55:00,4.27,4.275,4.27,4.275,631.0
DOTUSDT,2025-04-26 17:00:00,4.275,4.285,4.274,4.278,5907.0
DOTUSDT,2025-04-26 17:05:00,4.278,4.286,4.278,4.284,856.0
DOTUSDT,2025-04-26 17:10:00,4.284,4.285,4.276,4.276,3027.0
DOTUSDT,2025-04-26 17:15:00,4.276,4.283,4.276,4.282,1186.0
DOTUSDT,2025-04-26 17:20:00,4.282,4.282,4.276,4.28,244.0
DOTUSDT,2025-04-26 17:25:00,4.28,4.291,4.28,4.291,1325.0
DOTUSDT,2025-04-26 17:30:00,4.291,4.293,4.288,4.29,435.0
DOTUSDT,2025-04-26 17:35:00,4.29,4.292,4.28,4.28,2056.0
DOTUSDT,2025-04-26 17:40:00,4.28,4.288,4.277,4.287,2393.0
DOTUSDT,2025-04-26 17:45:00,4.287,4.294,4.287,4.288,4033.0
DOTUSDT,2025-04-26 17:50:00,4.288,4.29,4.285,4.287,488.0
DOTUSDT,2025-04-26 17:55:00,4.287,4.288,4.278,4.284,6354.0
DOTUSDT,2025-04-26 18:00:00,4.284,4.284,4.274,4.279,7430.0
DOTUSDT,2025-04-26 18:05:00,4.279,4.284,4.276,4.278,1756.0
DOTUSDT,2025-04-26 18:10:00,4.278,4.284,4.273,4.273,1738.0
DOTUSDT,2025-04-26 18:15:00,4.273,4.278,4.273,4.277,1409.0
DOTUSDT,2025-04-26 18:20:00,4.277,4.282,4.275,4.28,1257.0
DOTUSDT,2025-04-26 18:25:00,4.28,4.285,4.28,4.282,1191.0
DOTUSDT,2025-04-26 18:30:00,4.282,4.285,4.277,4.285,1516.0
DOTUSDT,2025-04-26 18:35:00,4.285,4.285,4.279,4.28,817.0
DOTUSDT,2025-04-26 18:40:00,4.28,4.284,4.28,4.283,2470.0
DOTUSDT,2025-04-26 18:45:00,4.283,4.286,4.283,4.286,1166.0
DOTUSDT,2025-04-26 18:50:00,4.286,4.289,4.278,4.279,875.0
DOTUSDT,2025-04-26 18:55:00,4.279,4.282,4.274,4.274,662.0
DOTUSDT,2025-04-26 19:00:00,4.274,4.281,4.273,4.28,1933.0
DOTUSDT,2025-04-26 19:05:00,4.28,4.28,4.26,4.264,11469.0
DOTUSDT,2025-04-26 19:10:00,4.264,4.267,4.26,4.267,2688.0
DOTUSDT,2025-04-26 19:15:00,4.267,4.268,4.264,4.267,945.0
DOTUSDT,2025-04-26 19:20:00,4.267,4.268,4.262,4.264,17843.0
DOTUSDT,2025-04-26 19:25:00,4.264,4.276,4.264,4.273,800.0
DOTUSDT,2025-04-26 19:30:00,4.273,4.273,4.262,4.265,1553.0
DOTUSDT,2025-04-26 19:35:00,4.265,4.272,4.265,4.271,242.0
DOTUSDT,2025-04-26 19:40:00,4.271,4.271,4.266,4.267,495.0
DOTUSDT,2025-04-26 19:45:00,4.267,4.272,4.264,4.266,1175.0
DOTUSDT,2025-04-26 19:50:00,4.266,4.269,4.262,4.267,401.0
DOTUSDT,2025-04-26 19:55:00,4.267,4.28,4.267,4.276,7455.0
DOTUSDT,2025-04-26 20:00:00,4.276,4.287,4.276,4.284,5468.0
DOTUSDT,2025-04-26 20:05:00,4.284,4.29,4.282,4.284,799.0
DOTUSDT,2025-04-26 20:10:00,4.284,4.285,4.27,4.274,1164.0
DOTUSDT,2025-04-26 20:15:00,4.274,4.276,4.27,4.27,1768.0
DOTUSDT,2025-04-26 20:20:00,4.27,4.273,4.268,4.268,2879.0
DOTUSDT,2025-04-26 20:25:00,4.268,4.269,4.264,4.268,6886.0
DOTUSDT,2025-04-26 20:30:00,4.268,4.271,4.266,4.27,2247.0
DOTUSDT,2025-04-26 20:35:00,4.27,4.27,4.261,4.261,2372.0
