symbol,timestamp,open,high,low,close,volume
DRIFTUSDT,2025-04-25 16:30:00,0.5248,0.5259,0.5235,0.5257,9312.0
DRIFTUSDT,2025-04-25 16:45:00,0.5257,0.5263,0.5248,0.526,4905.0
DRIFTUSDT,2025-04-25 17:00:00,0.526,0.5287,0.526,0.5283,15427.0
DRIFTUSDT,2025-04-25 17:15:00,0.5283,0.529,0.527,0.5274,5837.0
DRIFTUSDT,2025-04-25 17:30:00,0.5274,0.5274,0.5226,0.5234,10216.0
DRIFTUSDT,2025-04-25 17:45:00,0.5234,0.5234,0.5204,0.5205,5180.0
DRIFTUSDT,2025-04-25 18:00:00,0.5205,0.5215,0.5192,0.52,14810.0
DRIFTUSDT,2025-04-25 18:15:00,0.52,0.522,0.5198,0.5218,4608.0
DRIFTUSDT,2025-04-25 18:30:00,0.5218,0.5228,0.5218,0.5222,6021.0
DRIFTUSDT,2025-04-25 18:45:00,0.5222,0.5234,0.5211,0.5214,7402.0
DRIFTUSDT,2025-04-25 19:00:00,0.5214,0.5217,0.52,0.5203,8467.0
DRIFTUSDT,2025-04-25 19:15:00,0.5203,0.5242,0.5203,0.524,8764.0
DRIFTUSDT,2025-04-25 19:30:00,0.524,0.524,0.5227,0.5227,10560.0
DRIFTUSDT,2025-04-25 19:45:00,0.5227,0.5241,0.5225,0.5235,7055.0
DRIFTUSDT,2025-04-25 20:00:00,0.5235,0.5237,0.5228,0.5228,9204.0
DRIFTUSDT,2025-04-25 20:15:00,0.5228,0.5231,0.5217,0.5226,9979.0
DRIFTUSDT,2025-04-25 20:30:00,0.5226,0.5238,0.5226,0.5228,7184.0
DRIFTUSDT,2025-04-25 20:45:00,0.5228,0.5243,0.5227,0.5229,8156.0
DRIFTUSDT,2025-04-25 21:00:00,0.5229,0.5248,0.5225,0.5248,7550.0
DRIFTUSDT,2025-04-25 21:15:00,0.5248,0.5248,0.5221,0.5225,7195.0
DRIFTUSDT,2025-04-25 21:30:00,0.5225,0.5234,0.5221,0.5232,6355.0
DRIFTUSDT,2025-04-25 21:45:00,0.5232,0.5232,0.5193,0.5194,14584.0
DRIFTUSDT,2025-04-25 22:00:00,0.5194,0.5213,0.5194,0.5207,11037.0
DRIFTUSDT,2025-04-25 22:15:00,0.5207,0.5223,0.5203,0.5223,3774.0
DRIFTUSDT,2025-04-25 22:30:00,0.5223,0.5241,0.5223,0.5239,6011.0
DRIFTUSDT,2025-04-25 22:45:00,0.5239,0.5265,0.5239,0.5265,6216.0
DRIFTUSDT,2025-04-25 23:00:00,0.5265,0.5266,0.5257,0.5258,32598.0
DRIFTUSDT,2025-04-25 23:15:00,0.5258,0.5259,0.5243,0.5246,10588.0
DRIFTUSDT,2025-04-25 23:30:00,0.5246,0.5266,0.524,0.5264,14812.0
DRIFTUSDT,2025-04-25 23:45:00,0.5264,0.5277,0.5261,0.5272,12912.0
DRIFTUSDT,2025-04-26 00:00:00,0.5272,0.5291,0.5272,0.5282,11201.0
DRIFTUSDT,2025-04-26 00:15:00,0.5282,0.5284,0.5271,0.5278,3924.0
DRIFTUSDT,2025-04-26 00:30:00,0.5278,0.5291,0.5274,0.5282,9463.0
DRIFTUSDT,2025-04-26 00:45:00,0.5282,0.5341,0.5282,0.5333,17293.0
DRIFTUSDT,2025-04-26 01:00:00,0.5333,0.5333,0.5312,0.5322,11006.0
DRIFTUSDT,2025-04-26 01:15:00,0.5322,0.5343,0.5318,0.5337,18698.0
DRIFTUSDT,2025-04-26 01:30:00,0.5337,0.5418,0.5337,0.5399,66550.0
DRIFTUSDT,2025-04-26 01:45:00,0.5399,0.5407,0.5392,0.5405,8899.0
DRIFTUSDT,2025-04-26 02:00:00,0.5405,0.5405,0.5367,0.5367,10301.0
DRIFTUSDT,2025-04-26 02:15:00,0.5367,0.5386,0.5353,0.5384,37261.0
DRIFTUSDT,2025-04-26 02:30:00,0.5384,0.5446,0.538,0.5441,10100.0
DRIFTUSDT,2025-04-26 02:45:00,0.5441,0.5447,0.5418,0.5444,17785.0
DRIFTUSDT,2025-04-26 03:00:00,0.5444,0.548,0.5431,0.547,19179.0
DRIFTUSDT,2025-04-26 03:15:00,0.547,0.5471,0.5434,0.5444,9170.0
DRIFTUSDT,2025-04-26 03:30:00,0.5444,0.5447,0.5419,0.5432,17369.0
DRIFTUSDT,2025-04-26 03:45:00,0.5432,0.5445,0.5423,0.5432,9985.0
DRIFTUSDT,2025-04-26 04:00:00,0.5432,0.5449,0.5422,0.5429,9455.0
DRIFTUSDT,2025-04-26 04:15:00,0.5429,0.5444,0.5421,0.544,10173.0
DRIFTUSDT,2025-04-26 04:30:00,0.544,0.544,0.5388,0.54,8375.0
DRIFTUSDT,2025-04-26 04:45:00,0.54,0.5402,0.5349,0.5355,7862.0
DRIFTUSDT,2025-04-26 05:00:00,0.5355,0.5369,0.5347,0.5353,11267.0
DRIFTUSDT,2025-04-26 05:15:00,0.5353,0.5366,0.5343,0.5366,9695.0
DRIFTUSDT,2025-04-26 05:30:00,0.5366,0.5375,0.5363,0.5375,17249.0
DRIFTUSDT,2025-04-26 05:45:00,0.5375,0.5383,0.5374,0.5375,6683.0
DRIFTUSDT,2025-04-26 06:00:00,0.5375,0.5391,0.5373,0.5386,5762.0
DRIFTUSDT,2025-04-26 06:15:00,0.5386,0.5396,0.5377,0.5395,6022.0
DRIFTUSDT,2025-04-26 06:30:00,0.5395,0.5427,0.5395,0.5419,6665.0
DRIFTUSDT,2025-04-26 06:45:00,0.5419,0.5446,0.5419,0.5438,6123.0
DRIFTUSDT,2025-04-26 07:00:00,0.5438,0.5444,0.543,0.544,6432.0
DRIFTUSDT,2025-04-26 07:15:00,0.544,0.5447,0.5432,0.5437,7354.0
DRIFTUSDT,2025-04-26 07:30:00,0.5437,0.5447,0.5419,0.5432,90623.0
DRIFTUSDT,2025-04-26 07:45:00,0.5432,0.5432,0.5395,0.5395,2989.0
DRIFTUSDT,2025-04-26 08:00:00,0.5395,0.5395,0.5355,0.5361,3999.0
DRIFTUSDT,2025-04-26 08:15:00,0.5361,0.54,0.5361,0.54,3893.0
DRIFTUSDT,2025-04-26 08:30:00,0.54,0.54,0.5348,0.5357,8596.0
DRIFTUSDT,2025-04-26 08:45:00,0.5357,0.5361,0.5336,0.5343,6507.0
DRIFTUSDT,2025-04-26 09:00:00,0.5343,0.5354,0.5319,0.534,15331.0
DRIFTUSDT,2025-04-26 09:15:00,0.534,0.5354,0.5325,0.5326,7336.0
DRIFTUSDT,2025-04-26 09:30:00,0.5326,0.5326,0.5278,0.5281,36153.0
DRIFTUSDT,2025-04-26 09:45:00,0.5281,0.53,0.5277,0.53,6758.0
DRIFTUSDT,2025-04-26 10:00:00,0.53,0.5315,0.5294,0.5301,4382.0
DRIFTUSDT,2025-04-26 10:15:00,0.5301,0.5329,0.5297,0.5316,9171.0
DRIFTUSDT,2025-04-26 10:30:00,0.5316,0.5335,0.5303,0.5335,9495.0
DRIFTUSDT,2025-04-26 10:45:00,0.5335,0.5341,0.5327,0.5331,4898.0
DRIFTUSDT,2025-04-26 11:00:00,0.5331,0.5343,0.5305,0.5305,7855.0
DRIFTUSDT,2025-04-26 11:15:00,0.5305,0.5321,0.528,0.528,6360.0
DRIFTUSDT,2025-04-26 11:30:00,0.528,0.5298,0.5242,0.5248,35777.0
DRIFTUSDT,2025-04-26 11:45:00,0.5248,0.5255,0.5173,0.5207,53153.0
DRIFTUSDT,2025-04-26 12:00:00,0.5207,0.5242,0.5205,0.5228,12548.0
DRIFTUSDT,2025-04-26 12:15:00,0.5228,0.5244,0.5228,0.5235,6541.0
DRIFTUSDT,2025-04-26 12:30:00,0.5235,0.524,0.5219,0.5232,13180.0
DRIFTUSDT,2025-04-26 12:45:00,0.5232,0.5242,0.5218,0.5228,13581.0
DRIFTUSDT,2025-04-26 13:00:00,0.5228,0.5252,0.5221,0.5249,16701.0
DRIFTUSDT,2025-04-26 13:15:00,0.5249,0.5263,0.5223,0.5223,9285.0
DRIFTUSDT,2025-04-26 13:30:00,0.5223,0.5223,0.5192,0.5195,16793.0
DRIFTUSDT,2025-04-26 13:45:00,0.5195,0.5223,0.5169,0.5223,29470.0
DRIFTUSDT,2025-04-26 14:00:00,0.5223,0.5227,0.52,0.5214,14277.0
DRIFTUSDT,2025-04-26 14:15:00,0.5214,0.5237,0.5204,0.5234,14476.0
DRIFTUSDT,2025-04-26 14:30:00,0.5234,0.527,0.5229,0.5251,6356.0
DRIFTUSDT,2025-04-26 14:45:00,0.5251,0.5265,0.5244,0.5251,9781.0
DRIFTUSDT,2025-04-26 15:00:00,0.5251,0.5268,0.5249,0.5263,4601.0
DRIFTUSDT,2025-04-26 15:15:00,0.5263,0.5293,0.5261,0.5289,7261.0
DRIFTUSDT,2025-04-26 15:30:00,0.5289,0.5289,0.5274,0.5284,6001.0
DRIFTUSDT,2025-04-26 15:45:00,0.5284,0.5293,0.5273,0.5293,4946.0
DRIFTUSDT,2025-04-26 16:00:00,0.5293,0.5306,0.5287,0.5296,11057.0
DRIFTUSDT,2025-04-26 16:15:00,0.5296,0.5317,0.5292,0.5314,7244.0
DRIFTUSDT,2025-04-26 16:30:00,0.5314,0.5314,0.5258,0.5263,36658.0
DRIFTUSDT,2025-04-26 16:45:00,0.5263,0.5285,0.5263,0.5275,9739.0
DRIFTUSDT,2025-04-26 17:00:00,0.5275,0.5289,0.5274,0.5277,7141.0
DRIFTUSDT,2025-04-26 17:15:00,0.5277,0.5299,0.5277,0.5299,15861.0
DRIFTUSDT,2025-04-26 17:30:00,0.5299,0.5308,0.5298,0.5308,4896.0
DRIFTUSDT,2025-04-26 17:45:00,0.5308,0.5314,0.5306,0.5306,15253.0
DRIFTUSDT,2025-04-26 18:00:00,0.5306,0.5315,0.5298,0.5302,9772.0
DRIFTUSDT,2025-04-26 18:15:00,0.5302,0.5324,0.5302,0.5321,4952.0
DRIFTUSDT,2025-04-26 18:30:00,0.5321,0.5321,0.5298,0.5298,4751.0
DRIFTUSDT,2025-04-26 18:45:00,0.5298,0.5303,0.5289,0.5289,4062.0
DRIFTUSDT,2025-04-26 19:00:00,0.5289,0.5299,0.5283,0.5285,4301.0
