symbol,timestamp,open,high,low,close,volume
EGLDUSDT,2025-04-25 16:30:00,17.59,17.63,17.51,17.61,554.8
EGLDUSDT,2025-04-25 16:45:00,17.61,17.69,17.59,17.61,419.8
EGLDUSDT,2025-04-25 17:00:00,17.61,17.7,17.59,17.63,275.3
EGLDUSDT,2025-04-25 17:15:00,17.63,17.7,17.59,17.64,2410.4
EGLDUSDT,2025-04-25 17:30:00,17.64,17.64,17.41,17.46,1784.4
EGLDUSDT,2025-04-25 17:45:00,17.46,17.47,17.34,17.46,832.2
EGLDUSDT,2025-04-25 18:00:00,17.46,17.54,17.4,17.44,576.9
EGLDUSDT,2025-04-25 18:15:00,17.44,17.56,17.43,17.56,305.8
EGLDUSDT,2025-04-25 18:30:00,17.56,17.6,17.51,17.56,245.8
EGLDUSDT,2025-04-25 18:45:00,17.56,17.56,17.42,17.45,1088.9
EGLDUSDT,2025-04-25 19:00:00,17.45,17.45,17.38,17.4,357.4
EGLDUSDT,2025-04-25 19:15:00,17.4,17.48,17.39,17.46,91.8
EGLDUSDT,2025-04-25 19:30:00,17.46,17.46,17.43,17.43,28.0
EGLDUSDT,2025-04-25 19:45:00,17.43,17.45,17.4,17.44,501.4
EGLDUSDT,2025-04-25 20:00:00,17.44,17.56,17.44,17.53,692.2
EGLDUSDT,2025-04-25 20:15:00,17.53,17.57,17.52,17.57,93.3
EGLDUSDT,2025-04-25 20:30:00,17.57,17.57,17.48,17.48,223.7
EGLDUSDT,2025-04-25 20:45:00,17.48,17.52,17.46,17.49,82.0
EGLDUSDT,2025-04-25 21:00:00,17.49,17.54,17.46,17.54,358.6
EGLDUSDT,2025-04-25 21:15:00,17.54,17.54,17.49,17.52,121.8
EGLDUSDT,2025-04-25 21:30:00,17.52,17.52,17.43,17.44,425.6
EGLDUSDT,2025-04-25 21:45:00,17.44,17.46,17.4,17.43,347.1
EGLDUSDT,2025-04-25 22:00:00,17.43,17.48,17.41,17.46,1876.2
EGLDUSDT,2025-04-25 22:15:00,17.46,17.56,17.44,17.55,327.9
EGLDUSDT,2025-04-25 22:30:00,17.55,17.64,17.53,17.61,3679.0
EGLDUSDT,2025-04-25 22:45:00,17.61,17.71,17.61,17.67,665.1
EGLDUSDT,2025-04-25 23:00:00,17.67,17.68,17.59,17.61,524.1
EGLDUSDT,2025-04-25 23:15:00,17.61,17.61,17.52,17.57,1336.6
EGLDUSDT,2025-04-25 23:30:00,17.57,17.64,17.53,17.61,214.4
EGLDUSDT,2025-04-25 23:45:00,17.61,17.66,17.59,17.62,229.1
EGLDUSDT,2025-04-26 00:00:00,17.62,17.78,17.32,17.4,2518.1
EGLDUSDT,2025-04-26 00:15:00,17.4,17.4,17.11,17.23,3697.6
EGLDUSDT,2025-04-26 00:30:00,17.23,17.25,17.11,17.18,1728.2
EGLDUSDT,2025-04-26 00:45:00,17.18,17.36,17.17,17.32,1201.7
EGLDUSDT,2025-04-26 01:00:00,17.32,17.36,17.24,17.33,1784.1
EGLDUSDT,2025-04-26 01:15:00,17.33,17.47,17.33,17.37,1526.6
EGLDUSDT,2025-04-26 01:30:00,17.37,17.64,17.37,17.56,3119.8
EGLDUSDT,2025-04-26 01:45:00,17.56,17.58,17.44,17.51,1510.3
EGLDUSDT,2025-04-26 02:00:00,17.51,17.55,17.46,17.48,742.2
EGLDUSDT,2025-04-26 02:15:00,17.48,17.54,17.46,17.52,240.2
EGLDUSDT,2025-04-26 02:30:00,17.52,17.62,17.48,17.59,1034.6
EGLDUSDT,2025-04-26 02:45:00,17.59,17.6,17.53,17.59,554.6
