symbol,timestamp,open,high,low,close,volume
ELXUSDT,2025-04-26 14:40:00,0.1132,0.1133,0.1128,0.1132,79270.0
ELXUSDT,2025-04-26 14:45:00,0.1132,0.1137,0.1129,0.1135,8242.0
ELXUSDT,2025-04-26 14:50:00,0.1135,0.1135,0.1131,0.1133,5145.0
ELXUSDT,2025-04-26 14:55:00,0.1133,0.1137,0.113,0.1136,12197.0
ELXUSDT,2025-04-26 15:00:00,0.1136,0.1138,0.113,0.1133,81289.0
ELXUSDT,2025-04-26 15:05:00,0.1133,0.1151,0.1133,0.1149,73115.0
ELXUSDT,2025-04-26 15:10:00,0.1149,0.115,0.1134,0.1139,18443.0
ELXUSDT,2025-04-26 15:15:00,0.1139,0.1139,0.1133,0.1133,8429.0
ELXUSDT,2025-04-26 15:20:00,0.1133,0.1137,0.1128,0.1131,18196.0
ELXUSDT,2025-04-26 15:25:00,0.1131,0.1132,0.1128,0.1132,180286.0
ELXUSDT,2025-04-26 15:30:00,0.1132,0.1134,0.113,0.1132,26296.0
ELXUSDT,2025-04-26 15:35:00,0.1132,0.1137,0.1132,0.1137,9075.0
ELXUSDT,2025-04-26 15:40:00,0.1137,0.1138,0.1136,0.1138,7271.0
ELXUSDT,2025-04-26 15:45:00,0.1138,0.1138,0.1134,0.1135,4705.0
ELXUSDT,2025-04-26 15:50:00,0.1135,0.1136,0.1132,0.1132,7463.0
ELXUSDT,2025-04-26 15:55:00,0.1132,0.1133,0.1131,0.1133,8060.0
ELXUSDT,2025-04-26 16:00:00,0.1133,0.1137,0.1133,0.1136,7133.0
ELXUSDT,2025-04-26 16:05:00,0.1136,0.1137,0.1131,0.1131,12431.0
ELXUSDT,2025-04-26 16:10:00,0.1131,0.1133,0.113,0.1132,9174.0
ELXUSDT,2025-04-26 16:15:00,0.1132,0.1132,0.1127,0.1127,8983.0
ELXUSDT,2025-04-26 16:20:00,0.1127,0.1132,0.1127,0.1132,5602.0
ELXUSDT,2025-04-26 16:25:00,0.1132,0.1135,0.1129,0.1129,7856.0
ELXUSDT,2025-04-26 16:30:00,0.1129,0.1129,0.1119,0.1123,66621.0
ELXUSDT,2025-04-26 16:35:00,0.1123,0.1123,0.112,0.112,1296.0
ELXUSDT,2025-04-26 16:40:00,0.112,0.112,0.1113,0.1113,29566.0
ELXUSDT,2025-04-26 16:45:00,0.1113,0.1119,0.1113,0.1119,9731.0
ELXUSDT,2025-04-26 16:50:00,0.1119,0.1119,0.1114,0.1117,5588.0
ELXUSDT,2025-04-26 16:55:00,0.1117,0.1117,0.1114,0.1115,8713.0
ELXUSDT,2025-04-26 17:00:00,0.1115,0.1121,0.1115,0.1119,6830.0
ELXUSDT,2025-04-26 17:05:00,0.1119,0.112,0.1119,0.1119,4569.0
ELXUSDT,2025-04-26 17:10:00,0.1119,0.1121,0.1119,0.112,7657.0
ELXUSDT,2025-04-26 17:15:00,0.112,0.1122,0.1119,0.1121,5709.0
ELXUSDT,2025-04-26 17:20:00,0.1121,0.1124,0.1121,0.1122,4961.0
ELXUSDT,2025-04-26 17:25:00,0.1122,0.1125,0.1122,0.1125,3518.0
ELXUSDT,2025-04-26 17:30:00,0.1125,0.1125,0.1124,0.1124,6257.0
ELXUSDT,2025-04-26 17:35:00,0.1124,0.1125,0.1124,0.1125,6650.0
ELXUSDT,2025-04-26 17:40:00,0.1125,0.1125,0.1124,0.1124,8648.0
ELXUSDT,2025-04-26 17:45:00,0.1124,0.1125,0.1117,0.1118,37114.0
ELXUSDT,2025-04-26 17:50:00,0.1118,0.1124,0.1118,0.1124,12059.0
ELXUSDT,2025-04-26 17:55:00,0.1124,0.1124,0.1122,0.1123,4998.0
ELXUSDT,2025-04-26 18:00:00,0.1123,0.1124,0.1121,0.1124,7277.0
ELXUSDT,2025-04-26 18:05:00,0.1124,0.1125,0.1123,0.1124,9366.0
ELXUSDT,2025-04-26 18:10:00,0.1124,0.1124,0.1116,0.1116,6880.0
ELXUSDT,2025-04-26 18:15:00,0.1116,0.1116,0.1115,0.1116,4784.0
ELXUSDT,2025-04-26 18:20:00,0.1116,0.1119,0.1116,0.1119,5222.0
ELXUSDT,2025-04-26 18:25:00,0.1119,0.1123,0.1119,0.1122,35235.0
ELXUSDT,2025-04-26 18:30:00,0.1122,0.1122,0.112,0.112,4214.0
ELXUSDT,2025-04-26 18:35:00,0.112,0.112,0.1119,0.1119,8910.0
ELXUSDT,2025-04-26 18:40:00,0.1119,0.1119,0.1118,0.1118,869.0
ELXUSDT,2025-04-26 18:45:00,0.1118,0.1119,0.1118,0.1118,2524.0
ELXUSDT,2025-04-26 18:50:00,0.1118,0.1118,0.1117,0.1117,6627.0
ELXUSDT,2025-04-26 18:55:00,0.1117,0.1117,0.1116,0.1116,3779.0
ELXUSDT,2025-04-26 19:00:00,0.1116,0.1116,0.1116,0.1116,4614.0
ELXUSDT,2025-04-26 19:05:00,0.1116,0.1116,0.1114,0.1115,8506.0
ELXUSDT,2025-04-26 19:10:00,0.1115,0.1115,0.111,0.1111,6390.0
ELXUSDT,2025-04-26 19:15:00,0.1111,0.1115,0.1111,0.1115,9727.0
ELXUSDT,2025-04-26 19:20:00,0.1115,0.112,0.1114,0.1116,9368.0
ELXUSDT,2025-04-26 19:25:00,0.1116,0.1117,0.1116,0.1117,9649.0
ELXUSDT,2025-04-26 19:30:00,0.1117,0.1118,0.1117,0.1117,6335.0
ELXUSDT,2025-04-26 19:35:00,0.1117,0.1118,0.1116,0.1117,6500.0
ELXUSDT,2025-04-26 19:40:00,0.1117,0.1119,0.1115,0.1115,8193.0
ELXUSDT,2025-04-26 19:45:00,0.1115,0.1117,0.1115,0.1116,6390.0
ELXUSDT,2025-04-26 19:50:00,0.1116,0.1117,0.1115,0.1116,6420.0
ELXUSDT,2025-04-26 19:55:00,0.1116,0.1116,0.1114,0.1114,4889.0
ELXUSDT,2025-04-26 20:00:00,0.1114,0.1119,0.1114,0.1118,6380.0
ELXUSDT,2025-04-26 20:05:00,0.1118,0.1118,0.1116,0.1117,8626.0
ELXUSDT,2025-04-26 20:10:00,0.1117,0.1117,0.1114,0.1115,5164.0
ELXUSDT,2025-04-26 20:15:00,0.1115,0.1115,0.1114,0.1115,4912.0
ELXUSDT,2025-04-26 20:20:00,0.1115,0.112,0.1115,0.1117,6470.0
ELXUSDT,2025-04-26 20:25:00,0.1117,0.1117,0.1115,0.1116,4425.0
ELXUSDT,2025-04-26 20:30:00,0.1116,0.112,0.1115,0.1117,5860.0
ELXUSDT,2025-04-26 20:35:00,0.1117,0.1118,0.1113,0.1115,5640.0
ELXUSDT,2025-04-26 20:40:00,0.1115,0.1115,0.111,0.111,46596.0
ELXUSDT,2025-04-26 20:45:00,0.111,0.1112,0.1109,0.111,7950.0
ELXUSDT,2025-04-26 20:50:00,0.111,0.111,0.1109,0.1109,5534.0
ELXUSDT,2025-04-26 20:55:00,0.1109,0.1109,0.1109,0.1109,3921.0
ELXUSDT,2025-04-26 21:00:00,0.1109,0.1111,0.1109,0.1109,7043.0
ELXUSDT,2025-04-26 21:05:00,0.1109,0.1111,0.1108,0.1109,9642.0
ELXUSDT,2025-04-26 21:10:00,0.1109,0.111,0.1109,0.1109,5739.0
ELXUSDT,2025-04-26 21:15:00,0.1109,0.1109,0.1108,0.1108,9850.0
ELXUSDT,2025-04-26 21:20:00,0.1108,0.1109,0.1108,0.1108,7116.0
ELXUSDT,2025-04-26 21:25:00,0.1108,0.1109,0.1108,0.1108,5627.0
ELXUSDT,2025-04-26 21:30:00,0.1108,0.1108,0.1098,0.1106,46581.0
ELXUSDT,2025-04-26 21:35:00,0.1106,0.1111,0.1106,0.1108,46288.0
ELXUSDT,2025-04-26 21:40:00,0.1108,0.111,0.1106,0.1106,5807.0
ELXUSDT,2025-04-26 21:45:00,0.1106,0.1108,0.1104,0.1107,12784.0
ELXUSDT,2025-04-26 21:50:00,0.1107,0.1107,0.1103,0.1104,11458.0
ELXUSDT,2025-04-26 21:55:00,0.1104,0.1109,0.1103,0.1108,20946.0
ELXUSDT,2025-04-26 22:00:00,0.1108,0.1108,0.1103,0.1104,3621.0
ELXUSDT,2025-04-26 22:05:00,0.1104,0.1108,0.1104,0.1107,3177.0
ELXUSDT,2025-04-26 22:10:00,0.1107,0.1108,0.1106,0.1107,2082.0
ELXUSDT,2025-04-26 22:15:00,0.1107,0.1109,0.1107,0.1109,4690.0
ELXUSDT,2025-04-26 22:20:00,0.1109,0.111,0.1109,0.111,4258.0
ELXUSDT,2025-04-26 22:25:00,0.111,0.111,0.111,0.111,0.0
ELXUSDT,2025-04-26 22:30:00,0.111,0.1115,0.111,0.1113,7063.0
ELXUSDT,2025-04-26 22:35:00,0.1113,0.1113,0.111,0.1112,4813.0
ELXUSDT,2025-04-26 22:40:00,0.1112,0.1113,0.1111,0.1113,8498.0
ELXUSDT,2025-04-26 22:45:00,0.1113,0.1113,0.1113,0.1113,193.0
ELXUSDT,2025-04-26 22:50:00,0.1113,0.1113,0.1111,0.1112,4791.0
ELXUSDT,2025-04-26 22:55:00,0.1112,0.1113,0.1109,0.1112,5740.0
ELXUSDT,2025-04-26 23:00:00,0.1112,0.1113,0.1111,0.1113,7773.0
ELXUSDT,2025-04-26 23:05:00,0.1113,0.1113,0.1109,0.1111,7898.0
ELXUSDT,2025-04-26 23:10:00,0.1111,0.1112,0.111,0.1112,9001.0
ELXUSDT,2025-04-26 23:15:00,0.1112,0.1113,0.1111,0.1113,4505.0
ELXUSDT,2025-04-26 23:20:00,0.1113,0.1114,0.1113,0.1113,6673.0
ELXUSDT,2025-04-26 23:25:00,0.1113,0.1113,0.1112,0.1112,7382.0
ELXUSDT,2025-04-26 23:30:00,0.1112,0.1112,0.1111,0.1112,4368.0
ELXUSDT,2025-04-26 23:35:00,0.1112,0.1114,0.1111,0.1111,6614.0
ELXUSDT,2025-04-26 23:40:00,0.1111,0.1111,0.111,0.1111,6597.0
ELXUSDT,2025-04-26 23:45:00,0.1111,0.1112,0.1111,0.1111,6858.0
ELXUSDT,2025-04-26 23:50:00,0.1111,0.1115,0.1111,0.1115,9298.0
ELXUSDT,2025-04-26 23:55:00,0.1115,0.1115,0.1111,0.1113,16908.0
ELXUSDT,2025-04-27 00:00:00,0.1113,0.1115,0.1112,0.1114,12575.0
ELXUSDT,2025-04-27 00:05:00,0.1114,0.1114,0.1107,0.1108,38721.0
ELXUSDT,2025-04-27 00:10:00,0.1108,0.1115,0.1108,0.1115,10915.0
ELXUSDT,2025-04-27 00:15:00,0.1115,0.1121,0.1115,0.112,27184.0
ELXUSDT,2025-04-27 00:20:00,0.112,0.1123,0.1117,0.1117,6877.0
ELXUSDT,2025-04-27 00:25:00,0.1117,0.1119,0.1112,0.1119,14529.0
ELXUSDT,2025-04-27 00:30:00,0.1119,0.112,0.1117,0.112,40016.0
ELXUSDT,2025-04-27 00:35:00,0.112,0.112,0.112,0.112,6290.0
ELXUSDT,2025-04-27 00:40:00,0.112,0.1123,0.112,0.1121,30829.0
ELXUSDT,2025-04-27 00:45:00,0.1121,0.1123,0.1121,0.1123,6414.0
ELXUSDT,2025-04-27 00:50:00,0.1123,0.1123,0.112,0.112,6968.0
ELXUSDT,2025-04-27 00:55:00,0.112,0.112,0.112,0.112,6087.0
ELXUSDT,2025-04-27 01:00:00,0.112,0.112,0.1119,0.1119,33009.0
ELXUSDT,2025-04-27 01:05:00,0.1119,0.1119,0.1111,0.1113,89605.0
ELXUSDT,2025-04-27 01:10:00,0.1113,0.112,0.1112,0.112,11132.0
ELXUSDT,2025-04-27 01:15:00,0.112,0.112,0.1114,0.1114,12242.0
ELXUSDT,2025-04-27 01:20:00,0.1114,0.1115,0.1109,0.1112,27278.0
ELXUSDT,2025-04-27 01:25:00,0.1112,0.1116,0.1107,0.1116,51086.0
ELXUSDT,2025-04-27 01:30:00,0.1116,0.1116,0.1101,0.1105,41693.0
ELXUSDT,2025-04-27 01:35:00,0.1105,0.1114,0.1103,0.1112,27389.0
ELXUSDT,2025-04-27 01:40:00,0.1112,0.1112,0.1106,0.1107,14212.0
ELXUSDT,2025-04-27 01:45:00,0.1107,0.1107,0.1105,0.1105,1774.0
ELXUSDT,2025-04-27 01:50:00,0.1105,0.1108,0.1099,0.1099,11395.0
ELXUSDT,2025-04-27 01:55:00,0.1099,0.1102,0.1095,0.1097,39463.0
ELXUSDT,2025-04-27 02:00:00,0.1097,0.1101,0.1094,0.1098,22173.0
ELXUSDT,2025-04-27 02:05:00,0.1098,0.11,0.1096,0.1099,12936.0
ELXUSDT,2025-04-27 02:10:00,0.1099,0.1102,0.1099,0.1101,21517.0
ELXUSDT,2025-04-27 02:15:00,0.1101,0.1101,0.1098,0.11,14369.0
ELXUSDT,2025-04-27 02:20:00,0.11,0.1101,0.1098,0.11,11850.0
ELXUSDT,2025-04-27 02:25:00,0.11,0.1104,0.11,0.1104,8164.0
ELXUSDT,2025-04-27 02:30:00,0.1104,0.1104,0.1101,0.1103,12167.0
ELXUSDT,2025-04-27 02:35:00,0.1103,0.1104,0.1102,0.1103,9682.0
ELXUSDT,2025-04-27 02:40:00,0.1103,0.1104,0.1103,0.1103,9390.0
ELXUSDT,2025-04-27 02:45:00,0.1103,0.1104,0.1101,0.1101,8201.0
ELXUSDT,2025-04-27 02:50:00,0.1101,0.1102,0.1101,0.1102,4392.0
ELXUSDT,2025-04-27 02:55:00,0.1102,0.1103,0.1101,0.1103,8686.0
ELXUSDT,2025-04-27 03:00:00,0.1103,0.1104,0.1103,0.1103,14227.0
ELXUSDT,2025-04-27 03:05:00,0.1103,0.1108,0.1103,0.1107,7923.0
ELXUSDT,2025-04-27 03:10:00,0.1107,0.1108,0.1107,0.1108,2746.0
ELXUSDT,2025-04-27 03:15:00,0.1108,0.1108,0.1102,0.1104,16178.0
ELXUSDT,2025-04-27 03:20:00,0.1104,0.1107,0.1103,0.1106,5022.0
ELXUSDT,2025-04-27 03:25:00,0.1106,0.1106,0.1098,0.1101,26374.0
ELXUSDT,2025-04-27 03:30:00,0.1101,0.1102,0.1098,0.1102,6024.0
ELXUSDT,2025-04-27 03:35:00,0.1102,0.1108,0.1101,0.1103,20584.0
ELXUSDT,2025-04-27 03:40:00,0.1103,0.1107,0.1102,0.1107,7885.0
ELXUSDT,2025-04-27 03:45:00,0.1107,0.1107,0.1107,0.1107,5102.0
ELXUSDT,2025-04-27 03:50:00,0.1107,0.1107,0.1104,0.1105,4779.0
ELXUSDT,2025-04-27 03:55:00,0.1105,0.1106,0.1105,0.1105,5551.0
ELXUSDT,2025-04-27 04:00:00,0.1105,0.1108,0.1105,0.1108,1248.0
ELXUSDT,2025-04-27 04:05:00,0.1108,0.1108,0.1107,0.1107,437.0
ELXUSDT,2025-04-27 04:10:00,0.1107,0.1113,0.1107,0.1112,7551.0
ELXUSDT,2025-04-27 04:15:00,0.1112,0.1113,0.1106,0.1108,26542.0
ELXUSDT,2025-04-27 04:20:00,0.1108,0.1109,0.1107,0.1108,8041.0
ELXUSDT,2025-04-27 04:25:00,0.1108,0.1108,0.1104,0.1104,4981.0
ELXUSDT,2025-04-27 04:30:00,0.1104,0.1104,0.1103,0.1103,8658.0
ELXUSDT,2025-04-27 04:35:00,0.1103,0.1108,0.1099,0.1102,30295.0
ELXUSDT,2025-04-27 04:40:00,0.1102,0.1103,0.1099,0.1102,15433.0
ELXUSDT,2025-04-27 04:45:00,0.1102,0.1102,0.11,0.11,7907.0
ELXUSDT,2025-04-27 04:50:00,0.11,0.1101,0.1097,0.1098,10473.0
