symbol,timestamp,open,high,low,close,volume
ENSUSDT,2025-04-25 16:30:00,18.197,18.584,18.138,18.584,1929.7
ENSUSDT,2025-04-25 16:45:00,18.584,18.641,18.47,18.605,12323.0
ENSUSDT,2025-04-25 17:00:00,18.605,18.745,18.571,18.712,2994.3
ENSUSDT,2025-04-25 17:15:00,18.712,18.791,18.617,18.628,2240.2
ENSUSDT,2025-04-25 17:30:00,18.628,18.638,18.41,18.536,1482.2
ENSUSDT,2025-04-25 17:45:00,18.536,18.536,18.327,18.393,546.2
ENSUSDT,2025-04-25 18:00:00,18.393,18.525,18.356,18.416,1053.5
ENSUSDT,2025-04-25 18:15:00,18.416,18.635,18.398,18.63,266.0
ENSUSDT,2025-04-25 18:30:00,18.63,18.746,18.62,18.701,444.5
ENSUSDT,2025-04-25 18:45:00,18.701,18.702,18.521,18.538,457.7
ENSUSDT,2025-04-25 19:00:00,18.538,18.582,18.395,18.398,284.3
ENSUSDT,2025-04-25 19:15:00,18.398,18.484,18.385,18.43,392.5
ENSUSDT,2025-04-25 19:30:00,18.43,18.457,18.309,18.366,308.8
ENSUSDT,2025-04-25 19:45:00,18.366,18.395,18.282,18.387,397.4
ENSUSDT,2025-04-25 20:00:00,18.387,18.426,18.287,18.298,1730.6
ENSUSDT,2025-04-25 20:15:00,18.298,18.449,18.278,18.374,1153.9
ENSUSDT,2025-04-25 20:30:00,18.374,18.422,18.293,18.293,874.3
ENSUSDT,2025-04-25 20:45:00,18.293,18.485,18.283,18.435,835.2
ENSUSDT,2025-04-25 21:00:00,18.435,18.682,18.398,18.624,2099.8
ENSUSDT,2025-04-25 21:15:00,18.624,18.624,18.415,18.417,173.7
ENSUSDT,2025-04-25 21:30:00,18.417,18.548,18.411,18.459,562.1
ENSUSDT,2025-04-25 21:45:00,18.459,18.463,18.266,18.314,303.6
ENSUSDT,2025-04-25 22:00:00,18.314,18.429,18.314,18.394,251.3
ENSUSDT,2025-04-25 22:15:00,18.394,18.586,18.378,18.564,221.5
ENSUSDT,2025-04-25 22:30:00,18.564,18.717,18.56,18.681,538.4
ENSUSDT,2025-04-25 22:45:00,18.681,18.718,18.635,18.709,175.6
ENSUSDT,2025-04-25 23:00:00,18.709,18.709,18.512,18.538,1153.6
ENSUSDT,2025-04-25 23:15:00,18.538,18.538,18.337,18.398,804.1
ENSUSDT,2025-04-25 23:30:00,18.398,18.461,18.364,18.445,257.4
ENSUSDT,2025-04-25 23:45:00,18.445,18.445,18.346,18.383,520.3
ENSUSDT,2025-04-26 00:00:00,18.383,18.594,18.382,18.575,1330.5
ENSUSDT,2025-04-26 00:15:00,18.575,18.607,18.415,18.555,933.4
ENSUSDT,2025-04-26 00:30:00,18.555,18.678,18.458,18.624,601.6
ENSUSDT,2025-04-26 00:45:00,18.624,18.761,18.624,18.726,3631.2
