symbol,timestamp,open,high,low,close,volume
EPICUSDT,2025-04-26 14:40:00,1.4087,1.4133,1.4082,1.4113,1133.0
EPICUSDT,2025-04-26 14:45:00,1.4113,1.4119,1.4054,1.4094,2361.3
EPICUSDT,2025-04-26 14:50:00,1.4094,1.4101,1.4047,1.4101,965.2
EPICUSDT,2025-04-26 14:55:00,1.4101,1.4101,1.4041,1.4046,1688.2
EPICUSDT,2025-04-26 15:00:00,1.4046,1.4092,1.404,1.4057,1331.2
EPICUSDT,2025-04-26 15:05:00,1.4057,1.4093,1.4046,1.4074,699.1
EPICUSDT,2025-04-26 15:10:00,1.4074,1.4084,1.4021,1.4034,1173.5
EPICUSDT,2025-04-26 15:15:00,1.4034,1.4103,1.4031,1.4054,722.6
EPICUSDT,2025-04-26 15:20:00,1.4054,1.4101,1.4036,1.4087,717.0
EPICUSDT,2025-04-26 15:25:00,1.4087,1.4133,1.4081,1.413,657.3
EPICUSDT,2025-04-26 15:30:00,1.413,1.4136,1.4085,1.4118,802.6
EPICUSDT,2025-04-26 15:35:00,1.4118,1.4118,1.4079,1.4112,925.2
EPICUSDT,2025-04-26 15:40:00,1.4112,1.4118,1.4084,1.4084,652.7
EPICUSDT,2025-04-26 15:45:00,1.4084,1.4126,1.4084,1.4107,717.6
EPICUSDT,2025-04-26 15:50:00,1.4107,1.4173,1.4107,1.4137,619.2
EPICUSDT,2025-04-26 15:55:00,1.4137,1.4196,1.4121,1.4142,6231.6
EPICUSDT,2025-04-26 16:00:00,1.4142,1.4204,1.4113,1.4119,4460.6
EPICUSDT,2025-04-26 16:05:00,1.4119,1.4151,1.4049,1.4055,1906.7
EPICUSDT,2025-04-26 16:10:00,1.4055,1.4102,1.4034,1.4102,1010.8
EPICUSDT,2025-04-26 16:15:00,1.4102,1.4113,1.4054,1.4086,974.5
EPICUSDT,2025-04-26 16:20:00,1.4086,1.412,1.4083,1.4099,808.7
EPICUSDT,2025-04-26 16:25:00,1.4099,1.4127,1.4082,1.4115,1230.3
EPICUSDT,2025-04-26 16:30:00,1.4115,1.4115,1.4054,1.4067,777.5
EPICUSDT,2025-04-26 16:35:00,1.4067,1.4067,1.4007,1.403,781.9
EPICUSDT,2025-04-26 16:40:00,1.403,1.403,1.3919,1.3936,906.7
EPICUSDT,2025-04-26 16:45:00,1.3936,1.3999,1.3926,1.3999,852.5
EPICUSDT,2025-04-26 16:50:00,1.3999,1.4014,1.3938,1.398,1582.6
EPICUSDT,2025-04-26 16:55:00,1.398,1.4003,1.3964,1.3988,801.4
EPICUSDT,2025-04-26 17:00:00,1.3988,1.404,1.3988,1.3989,942.1
EPICUSDT,2025-04-26 17:05:00,1.3989,1.4037,1.3989,1.4018,744.0
EPICUSDT,2025-04-26 17:10:00,1.4018,1.4018,1.3951,1.3962,648.7
EPICUSDT,2025-04-26 17:15:00,1.3962,1.4019,1.3962,1.4004,1095.3
EPICUSDT,2025-04-26 17:20:00,1.4004,1.4021,1.395,1.399,799.6
EPICUSDT,2025-04-26 17:25:00,1.399,1.4041,1.3986,1.4041,772.4
EPICUSDT,2025-04-26 17:30:00,1.4041,1.4041,1.398,1.4016,1154.3
EPICUSDT,2025-04-26 17:35:00,1.4016,1.4036,1.3998,1.4014,836.5
EPICUSDT,2025-04-26 17:40:00,1.4014,1.4032,1.3989,1.4007,748.3
EPICUSDT,2025-04-26 17:45:00,1.4007,1.4057,1.4007,1.4012,1073.0
EPICUSDT,2025-04-26 17:50:00,1.4012,1.4051,1.4006,1.4051,726.6
EPICUSDT,2025-04-26 17:55:00,1.4051,1.4072,1.401,1.4072,823.4
EPICUSDT,2025-04-26 18:00:00,1.4072,1.4102,1.4066,1.409,558.4
EPICUSDT,2025-04-26 18:05:00,1.409,1.4094,1.4054,1.4071,591.2
EPICUSDT,2025-04-26 18:10:00,1.4071,1.4079,1.4004,1.4015,554.2
EPICUSDT,2025-04-26 18:15:00,1.4015,1.4058,1.4015,1.405,595.1
EPICUSDT,2025-04-26 18:20:00,1.405,1.4076,1.4027,1.4076,846.5
EPICUSDT,2025-04-26 18:25:00,1.4076,1.4082,1.4045,1.4069,792.8
EPICUSDT,2025-04-26 18:30:00,1.4069,1.4076,1.4032,1.4039,706.7
EPICUSDT,2025-04-26 18:35:00,1.4039,1.4064,1.4019,1.403,726.0
EPICUSDT,2025-04-26 18:40:00,1.403,1.4036,1.4011,1.4029,902.2
EPICUSDT,2025-04-26 18:45:00,1.4029,1.4074,1.4029,1.4058,610.1
EPICUSDT,2025-04-26 18:50:00,1.4058,1.4074,1.4026,1.4026,676.6
EPICUSDT,2025-04-26 18:55:00,1.4026,1.4054,1.4001,1.4001,723.2
EPICUSDT,2025-04-26 19:00:00,1.4001,1.4069,1.4001,1.4069,713.2
EPICUSDT,2025-04-26 19:05:00,1.4069,1.4097,1.3997,1.3997,889.9
EPICUSDT,2025-04-26 19:10:00,1.3997,1.4079,1.3973,1.4011,1608.5
EPICUSDT,2025-04-26 19:15:00,1.4011,1.4057,1.4,1.4047,885.2
EPICUSDT,2025-04-26 19:20:00,1.4047,1.4085,1.4021,1.4044,839.6
EPICUSDT,2025-04-26 19:25:00,1.4044,1.4072,1.4034,1.406,469.1
EPICUSDT,2025-04-26 19:30:00,1.406,1.4071,1.4025,1.4049,764.5
EPICUSDT,2025-04-26 19:35:00,1.4049,1.4087,1.404,1.4052,542.3
EPICUSDT,2025-04-26 19:40:00,1.4052,1.4074,1.4038,1.4065,662.8
EPICUSDT,2025-04-26 19:45:00,1.4065,1.4121,1.4048,1.4059,783.5
EPICUSDT,2025-04-26 19:50:00,1.4059,1.4088,1.4051,1.4071,560.5
EPICUSDT,2025-04-26 19:55:00,1.4071,1.4079,1.4046,1.4065,737.3
EPICUSDT,2025-04-26 20:00:00,1.4065,1.411,1.4062,1.4076,805.5
EPICUSDT,2025-04-26 20:05:00,1.4076,1.4099,1.406,1.4067,853.1
EPICUSDT,2025-04-26 20:10:00,1.4067,1.41,1.4055,1.4056,986.8
EPICUSDT,2025-04-26 20:15:00,1.4056,1.4095,1.4056,1.4095,1240.2
EPICUSDT,2025-04-26 20:20:00,1.4095,1.4104,1.4055,1.4093,1068.9
EPICUSDT,2025-04-26 20:25:00,1.4093,1.4093,1.405,1.407,1376.2
EPICUSDT,2025-04-26 20:30:00,1.407,1.4104,1.4056,1.4104,991.5
EPICUSDT,2025-04-26 20:35:00,1.4104,1.4104,1.4049,1.4083,982.6
EPICUSDT,2025-04-26 20:40:00,1.4083,1.4095,1.4055,1.406,1067.6
