symbol,timestamp,open,high,low,close,volume
ETHUSDT,2025-04-25 16:30:00,1798.03,1802.93,1794.98,1802.92,20962.13
ETHUSDT,2025-04-25 16:45:00,1802.92,1803.0,1796.19,1800.75,19972.85
ETHUSDT,2025-04-25 17:00:00,1800.75,1805.72,1799.96,1803.93,27444.82
ETHUSDT,2025-04-25 17:15:00,1803.93,1809.84,1802.64,1805.59,22020.03
ETHUSDT,2025-04-25 17:30:00,1805.59,1805.6,1784.13,1790.09,72986.27
ETHUSDT,2025-04-25 17:45:00,1790.09,1791.26,1781.45,1784.79,93460.98
ETHUSDT,2025-04-25 18:00:00,1784.79,1792.66,1784.79,1791.71,15532.09
ETHUSDT,2025-04-25 18:15:00,1791.71,1795.8,1790.41,1795.12,14603.41
ETHUSDT,2025-04-25 18:30:00,1795.12,1802.56,1794.87,1801.69,24086.58
ETHUSDT,2025-04-25 18:45:00,1801.69,1802.37,1794.02,1795.44,12872.52
ETHUSDT,2025-04-25 19:00:00,1795.44,1799.79,1790.92,1791.81,15376.41
ETHUSDT,2025-04-25 19:15:00,1791.81,1799.65,1791.57,1798.33,8444.21
ETHUSDT,2025-04-25 19:30:00,1798.33,1798.33,1792.0,1795.93,5357.43
ETHUSDT,2025-04-25 19:45:00,1795.93,1802.3,1791.39,1801.36,3394.55
ETHUSDT,2025-04-25 20:00:00,1801.36,1803.79,1798.43,1799.67,9389.0
ETHUSDT,2025-04-25 20:15:00,1799.67,1805.43,1797.14,1797.15,10271.25
ETHUSDT,2025-04-25 20:30:00,1797.15,1800.8,1791.67,1791.67,6681.36
ETHUSDT,2025-04-25 20:45:00,1791.67,1800.38,1791.67,1797.61,4937.98
ETHUSDT,2025-04-25 21:00:00,1797.61,1808.66,1795.71,1802.37,27218.6
ETHUSDT,2025-04-25 21:15:00,1802.37,1803.0,1793.98,1794.35,20308.25
ETHUSDT,2025-04-25 21:30:00,1794.35,1799.94,1793.3,1797.13,5719.89
ETHUSDT,2025-04-25 21:45:00,1797.13,1797.89,1784.51,1789.11,20875.15
ETHUSDT,2025-04-25 22:00:00,1789.11,1792.69,1788.69,1790.08,5355.78
ETHUSDT,2025-04-25 22:15:00,1790.08,1794.7,1787.76,1793.01,3432.69
ETHUSDT,2025-04-25 22:30:00,1793.01,1798.58,1792.98,1798.04,6898.52
ETHUSDT,2025-04-25 22:45:00,1798.04,1798.63,1793.82,1794.92,3220.52
ETHUSDT,2025-04-25 23:00:00,1794.92,1798.02,1791.38,1794.76,5426.14
ETHUSDT,2025-04-25 23:15:00,1794.76,1794.76,1788.17,1789.53,5631.75
ETHUSDT,2025-04-25 23:30:00,1789.53,1789.53,1785.22,1787.53,10854.92
ETHUSDT,2025-04-25 23:45:00,1787.53,1787.77,1782.91,1783.78,9553.43
ETHUSDT,2025-04-26 00:00:00,1783.78,1792.5,1783.74,1791.02,10441.82
ETHUSDT,2025-04-26 00:15:00,1791.02,1794.02,1787.48,1790.11,15109.44
ETHUSDT,2025-04-26 00:30:00,1790.11,1792.99,1785.16,1792.52,11639.43
ETHUSDT,2025-04-26 00:45:00,1792.52,1798.17,1792.43,1795.68,16386.18
ETHUSDT,2025-04-26 01:00:00,1795.68,1796.28,1790.79,1794.98,6693.06
ETHUSDT,2025-04-26 01:15:00,1794.98,1806.48,1794.33,1802.0,20841.54
ETHUSDT,2025-04-26 01:30:00,1802.0,1815.02,1801.97,1808.5,24813.57
ETHUSDT,2025-04-26 01:45:00,1808.5,1808.66,1803.04,1806.39,7644.68
ETHUSDT,2025-04-26 02:00:00,1806.39,1807.89,1800.44,1802.53,23476.63
ETHUSDT,2025-04-26 02:15:00,1802.53,1806.0,1801.98,1805.03,6755.77
ETHUSDT,2025-04-26 02:30:00,1805.03,1813.8,1803.37,1811.93,12785.7
ETHUSDT,2025-04-26 02:45:00,1811.93,1814.54,1806.42,1807.16,13577.94
ETHUSDT,2025-04-26 03:00:00,1807.16,1809.22,1804.09,1807.07,15287.39
ETHUSDT,2025-04-26 03:15:00,1807.07,1807.13,1791.86,1793.92,28355.76
ETHUSDT,2025-04-26 03:30:00,1793.92,1796.99,1793.0,1795.91,21906.21
ETHUSDT,2025-04-26 03:45:00,1795.91,1798.81,1793.4,1796.51,14776.26
ETHUSDT,2025-04-26 04:00:00,1796.51,1798.26,1794.13,1798.0,7468.38
ETHUSDT,2025-04-26 04:15:00,1798.0,1799.56,1793.0,1794.0,13182.72
ETHUSDT,2025-04-26 04:30:00,1794.0,1794.58,1789.25,1794.0,12369.63
ETHUSDT,2025-04-26 04:45:00,1794.0,1794.52,1790.07,1790.91,6048.94
ETHUSDT,2025-04-26 05:00:00,1790.91,1793.21,1788.0,1790.57,20796.44
ETHUSDT,2025-04-26 05:15:00,1790.57,1794.52,1788.12,1794.02,7720.4
ETHUSDT,2025-04-26 05:30:00,1794.02,1795.87,1791.79,1794.86,5950.67
ETHUSDT,2025-04-26 05:45:00,1794.86,1797.02,1793.35,1793.39,6184.51
ETHUSDT,2025-04-26 06:00:00,1793.39,1796.58,1792.93,1796.1,3891.78
ETHUSDT,2025-04-26 06:15:00,1796.1,1796.19,1794.03,1795.44,2929.31
ETHUSDT,2025-04-26 06:30:00,1795.44,1802.6,1794.65,1802.14,18883.18
ETHUSDT,2025-04-26 06:45:00,1802.14,1806.39,1800.75,1802.16,13475.29
ETHUSDT,2025-04-26 07:00:00,1802.16,1809.99,1801.61,1807.08,14131.79
ETHUSDT,2025-04-26 07:15:00,1807.08,1809.92,1804.93,1805.78,13599.64
ETHUSDT,2025-04-26 07:30:00,1805.78,1806.98,1802.9,1803.0,4832.95
ETHUSDT,2025-04-26 07:45:00,1803.0,1806.38,1799.16,1799.73,17970.91
ETHUSDT,2025-04-26 08:00:00,1799.73,1802.5,1797.1,1801.99,10343.8
ETHUSDT,2025-04-26 08:15:00,1801.99,1840.96,1801.99,1827.45,95726.68
ETHUSDT,2025-04-26 08:30:00,1827.45,1829.76,1806.73,1812.33,106568.01
ETHUSDT,2025-04-26 08:45:00,1812.33,1813.28,1800.0,1805.44,69573.1
ETHUSDT,2025-04-26 09:00:00,1805.44,1811.24,1798.33,1811.03,40399.22
ETHUSDT,2025-04-26 09:15:00,1811.03,1814.55,1805.08,1806.75,30512.06
ETHUSDT,2025-04-26 09:30:00,1806.75,1806.78,1791.91,1797.9,46763.31
ETHUSDT,2025-04-26 09:45:00,1797.9,1802.65,1795.18,1802.4,10695.45
ETHUSDT,2025-04-26 10:00:00,1802.4,1810.1,1800.48,1802.95,19063.32
ETHUSDT,2025-04-26 10:15:00,1802.95,1808.82,1802.45,1805.49,15085.1
ETHUSDT,2025-04-26 10:30:00,1805.49,1809.56,1804.33,1808.57,9932.09
ETHUSDT,2025-04-26 10:45:00,1808.57,1808.77,1802.85,1802.88,6615.06
ETHUSDT,2025-04-26 11:00:00,1802.88,1805.45,1797.52,1798.07,17152.57
ETHUSDT,2025-04-26 11:15:00,1798.07,1801.03,1791.34,1792.18,22096.51
ETHUSDT,2025-04-26 11:30:00,1792.18,1796.23,1783.29,1786.89,64327.23
ETHUSDT,2025-04-26 11:45:00,1786.89,1788.95,1778.06,1784.81,52507.47
ETHUSDT,2025-04-26 12:00:00,1784.81,1793.86,1783.17,1790.52,24507.0
ETHUSDT,2025-04-26 12:15:00,1790.52,1798.24,1788.01,1796.38,20048.44
ETHUSDT,2025-04-26 12:30:00,1796.38,1797.0,1792.47,1794.03,14648.45
ETHUSDT,2025-04-26 12:45:00,1794.03,1795.89,1790.79,1790.79,7869.83
ETHUSDT,2025-04-26 13:00:00,1790.79,1794.77,1789.71,1791.0,6936.29
ETHUSDT,2025-04-26 13:15:00,1791.0,1794.0,1787.27,1787.62,12828.23
ETHUSDT,2025-04-26 13:30:00,1787.62,1790.88,1783.75,1784.9,26878.19
ETHUSDT,2025-04-26 13:45:00,1784.9,1789.81,1779.03,1789.73,35724.93
ETHUSDT,2025-04-26 14:00:00,1789.73,1790.74,1784.08,1789.91,14638.24
ETHUSDT,2025-04-26 14:15:00,1789.91,1792.13,1784.69,1791.45,12824.87
ETHUSDT,2025-04-26 14:30:00,1791.45,1795.99,1789.99,1792.83,21352.22
ETHUSDT,2025-04-26 14:45:00,1792.83,1795.52,1790.49,1791.27,15458.15
ETHUSDT,2025-04-26 15:00:00,1791.27,1797.31,1791.26,1795.44,8057.49
ETHUSDT,2025-04-26 15:15:00,1795.44,1803.41,1795.38,1801.58,51618.16
