symbol,timestamp,open,high,low,close,volume
FETUSDT,2025-04-25 16:30:00,0.7014,0.7058,0.6998,0.7026,317501.0
FETUSDT,2025-04-25 16:45:00,0.7026,0.7026,0.6961,0.6995,414395.0
FETUSDT,2025-04-25 17:00:00,0.6995,0.7022,0.6975,0.7018,83113.0
FETUSDT,2025-04-25 17:15:00,0.7018,0.7024,0.6987,0.6987,67261.0
FETUSDT,2025-04-25 17:30:00,0.6987,0.6987,0.689,0.6931,180058.0
FETUSDT,2025-04-25 17:45:00,0.6931,0.6964,0.6896,0.6919,785830.0
FETUSDT,2025-04-25 18:00:00,0.6919,0.695,0.691,0.6912,528221.0
FETUSDT,2025-04-25 18:15:00,0.6912,0.6964,0.69,0.695,155823.0
FETUSDT,2025-04-25 18:30:00,0.695,0.7005,0.6939,0.6977,72923.0
FETUSDT,2025-04-25 18:45:00,0.6977,0.6985,0.6949,0.6967,84969.0
FETUSDT,2025-04-25 19:00:00,0.6967,0.6971,0.6934,0.6937,54322.0
FETUSDT,2025-04-25 19:15:00,0.6937,0.6992,0.6937,0.6988,55760.0
FETUSDT,2025-04-25 19:30:00,0.6988,0.7012,0.6977,0.6997,59317.0
FETUSDT,2025-04-25 19:45:00,0.6997,0.7018,0.6973,0.7018,70406.0
FETUSDT,2025-04-25 20:00:00,0.7018,0.7063,0.7018,0.7045,172241.0
FETUSDT,2025-04-25 20:15:00,0.7045,0.7077,0.7028,0.7059,67965.0
FETUSDT,2025-04-25 20:30:00,0.7059,0.7074,0.7022,0.7045,79882.0
FETUSDT,2025-04-25 20:45:00,0.7045,0.7109,0.7045,0.7096,152133.0
FETUSDT,2025-04-25 21:00:00,0.7096,0.7134,0.7095,0.7106,1001438.0
FETUSDT,2025-04-25 21:15:00,0.7106,0.7137,0.7092,0.7101,559465.0
FETUSDT,2025-04-25 21:30:00,0.7101,0.7166,0.709,0.7153,406436.0
FETUSDT,2025-04-25 21:45:00,0.7153,0.7177,0.7106,0.715,1347967.0
FETUSDT,2025-04-25 22:00:00,0.715,0.7241,0.714,0.7194,836495.0
FETUSDT,2025-04-25 22:15:00,0.7194,0.7302,0.7179,0.7293,914680.0
FETUSDT,2025-04-25 22:30:00,0.7293,0.7432,0.7285,0.7412,1006759.0
FETUSDT,2025-04-25 22:45:00,0.7412,0.7412,0.7277,0.7353,959168.0
FETUSDT,2025-04-25 23:00:00,0.7353,0.7462,0.7353,0.7422,388974.0
FETUSDT,2025-04-25 23:15:00,0.7422,0.745,0.7399,0.743,126403.0
FETUSDT,2025-04-25 23:30:00,0.743,0.7483,0.7394,0.7482,127098.0
FETUSDT,2025-04-25 23:45:00,0.7482,0.755,0.7455,0.7518,166528.0
FETUSDT,2025-04-26 00:00:00,0.7518,0.7613,0.7463,0.7575,709004.0
FETUSDT,2025-04-26 00:15:00,0.7575,0.7657,0.757,0.7626,566032.0
FETUSDT,2025-04-26 00:30:00,0.7626,0.7671,0.7547,0.7651,422112.0
FETUSDT,2025-04-26 00:45:00,0.7651,0.7881,0.7645,0.7843,1251383.0
FETUSDT,2025-04-26 01:00:00,0.7843,0.7896,0.7788,0.7799,461176.0
FETUSDT,2025-04-26 01:15:00,0.7799,0.7978,0.7736,0.7945,805243.0
FETUSDT,2025-04-26 01:30:00,0.7945,0.8019,0.7884,0.7977,462845.0
FETUSDT,2025-04-26 01:45:00,0.7977,0.7982,0.7855,0.7882,249739.0
FETUSDT,2025-04-26 02:00:00,0.7882,0.7912,0.7777,0.7794,514536.0
FETUSDT,2025-04-26 02:15:00,0.7794,0.7953,0.7794,0.7917,327983.0
FETUSDT,2025-04-26 02:30:00,0.7917,0.7956,0.7867,0.7867,99009.0
FETUSDT,2025-04-26 02:45:00,0.7867,0.7915,0.7845,0.7854,212826.0
FETUSDT,2025-04-26 03:00:00,0.7854,0.7854,0.7756,0.7785,169242.0
FETUSDT,2025-04-26 03:15:00,0.7785,0.7826,0.7741,0.7803,248044.0
FETUSDT,2025-04-26 03:30:00,0.7803,0.7907,0.7802,0.7907,120860.0
FETUSDT,2025-04-26 03:45:00,0.7907,0.7996,0.7907,0.798,360858.0
FETUSDT,2025-04-26 04:00:00,0.798,0.8072,0.797,0.7994,313016.0
FETUSDT,2025-04-26 04:15:00,0.7994,0.8044,0.7934,0.7944,244360.0
FETUSDT,2025-04-26 04:30:00,0.7944,0.7944,0.7829,0.7895,315737.0
FETUSDT,2025-04-26 04:45:00,0.7895,0.7937,0.7865,0.7929,210623.0
FETUSDT,2025-04-26 05:00:00,0.7929,0.7942,0.7834,0.7921,267747.0
FETUSDT,2025-04-26 05:15:00,0.7921,0.796,0.7866,0.7915,429964.0
FETUSDT,2025-04-26 05:30:00,0.7915,0.7915,0.7853,0.7878,716962.0
FETUSDT,2025-04-26 05:45:00,0.7878,0.7886,0.7798,0.7837,291242.0
FETUSDT,2025-04-26 06:00:00,0.7837,0.7909,0.7835,0.7855,777647.0
FETUSDT,2025-04-26 06:15:00,0.7855,0.7855,0.7794,0.7815,120373.0
FETUSDT,2025-04-26 06:30:00,0.7815,0.7869,0.7796,0.7857,288039.0
FETUSDT,2025-04-26 06:45:00,0.7857,0.7899,0.7828,0.7874,119086.0
FETUSDT,2025-04-26 07:00:00,0.7874,0.7889,0.7853,0.7857,135168.0
FETUSDT,2025-04-26 07:15:00,0.7857,0.7871,0.7709,0.7758,722660.0
FETUSDT,2025-04-26 07:30:00,0.7758,0.7768,0.7704,0.7725,794139.0
FETUSDT,2025-04-26 07:45:00,0.7725,0.7735,0.7682,0.7688,462807.0
FETUSDT,2025-04-26 08:00:00,0.7688,0.7754,0.7681,0.7747,199908.0
FETUSDT,2025-04-26 08:15:00,0.7747,0.7788,0.7727,0.7772,167150.0
FETUSDT,2025-04-26 08:30:00,0.7772,0.7772,0.7663,0.7697,804716.0
FETUSDT,2025-04-26 08:45:00,0.7697,0.7727,0.7654,0.767,298125.0
FETUSDT,2025-04-26 09:00:00,0.767,0.767,0.7591,0.7644,506049.0
FETUSDT,2025-04-26 09:15:00,0.7644,0.7653,0.7601,0.7626,155248.0
FETUSDT,2025-04-26 09:30:00,0.7626,0.7653,0.7545,0.7626,617077.0
FETUSDT,2025-04-26 09:45:00,0.7626,0.7659,0.7616,0.7635,109924.0
FETUSDT,2025-04-26 10:00:00,0.7635,0.7679,0.7595,0.7604,295560.0
FETUSDT,2025-04-26 10:15:00,0.7604,0.7672,0.7603,0.7666,200779.0
FETUSDT,2025-04-26 10:30:00,0.7666,0.7678,0.7612,0.7623,256137.0
FETUSDT,2025-04-26 10:45:00,0.7623,0.7636,0.7582,0.7582,203458.0
FETUSDT,2025-04-26 11:00:00,0.7582,0.7613,0.7536,0.7537,381315.0
FETUSDT,2025-04-26 11:15:00,0.7537,0.7573,0.7537,0.7549,308185.0
FETUSDT,2025-04-26 11:30:00,0.7549,0.759,0.7491,0.7502,671917.0
FETUSDT,2025-04-26 11:45:00,0.7502,0.7517,0.7448,0.7458,215343.0
FETUSDT,2025-04-26 12:00:00,0.7458,0.7476,0.7424,0.7443,206363.0
FETUSDT,2025-04-26 12:15:00,0.7443,0.7464,0.7393,0.7446,523574.0
