symbol,timestamp,open,high,low,close,volume
FHEUSDT,2025-04-26 14:40:00,0.09864,0.09864,0.09793,0.09803,59922.0
FHEUSDT,2025-04-26 14:45:00,0.09803,0.09811,0.09765,0.09802,45090.0
FHEUSDT,2025-04-26 14:50:00,0.09802,0.09802,0.09745,0.09745,18988.0
FHEUSDT,2025-04-26 14:55:00,0.09745,0.09802,0.09745,0.09772,18609.0
FHEUSDT,2025-04-26 15:00:00,0.09772,0.09804,0.09728,0.09749,67024.0
FHEUSDT,2025-04-26 15:05:00,0.09749,0.09754,0.09684,0.09684,30246.0
FHEUSDT,2025-04-26 15:10:00,0.09684,0.0971,0.09665,0.0969,46814.0
FHEUSDT,2025-04-26 15:15:00,0.0969,0.09735,0.0969,0.09697,15598.0
FHEUSDT,2025-04-26 15:20:00,0.09697,0.09736,0.09658,0.09736,39428.0
FHEUSDT,2025-04-26 15:25:00,0.09736,0.0975,0.09685,0.0969,62025.0
FHEUSDT,2025-04-26 15:30:00,0.0969,0.09711,0.09669,0.09674,49445.0
FHEUSDT,2025-04-26 15:35:00,0.09674,0.09684,0.09623,0.09656,88660.0
FHEUSDT,2025-04-26 15:40:00,0.09656,0.09656,0.09635,0.09637,21091.0
FHEUSDT,2025-04-26 15:45:00,0.09637,0.09654,0.09505,0.09634,79513.0
FHEUSDT,2025-04-26 15:50:00,0.09634,0.09648,0.0959,0.09614,35141.0
FHEUSDT,2025-04-26 15:55:00,0.09614,0.09688,0.09614,0.09623,88729.0
FHEUSDT,2025-04-26 16:00:00,0.09623,0.09684,0.09609,0.09646,57383.0
FHEUSDT,2025-04-26 16:05:00,0.09646,0.09648,0.09537,0.09537,143891.0
FHEUSDT,2025-04-26 16:10:00,0.09537,0.09555,0.09501,0.09515,50317.0
FHEUSDT,2025-04-26 16:15:00,0.09515,0.09548,0.09448,0.09459,33798.0
FHEUSDT,2025-04-26 16:20:00,0.09459,0.09525,0.0943,0.0943,53124.0
FHEUSDT,2025-04-26 16:25:00,0.0943,0.09474,0.0943,0.09449,66365.0
FHEUSDT,2025-04-26 16:30:00,0.09449,0.09465,0.09407,0.09465,19502.0
FHEUSDT,2025-04-26 16:35:00,0.09465,0.09471,0.09416,0.09432,111575.0
FHEUSDT,2025-04-26 16:40:00,0.09432,0.09446,0.09322,0.094,241183.0
