symbol,timestamp,open,high,low,close,volume
FILUSDT,2025-04-26 14:40:00,2.842,2.85,2.841,2.843,7169.7
FILUSDT,2025-04-26 14:45:00,2.843,2.852,2.84,2.847,1924.9
FILUSDT,2025-04-26 14:50:00,2.847,2.85,2.844,2.848,705.1
FILUSDT,2025-04-26 14:55:00,2.848,2.852,2.848,2.849,3028.5
FILUSDT,2025-04-26 15:00:00,2.849,2.859,2.849,2.857,23166.9
FILUSDT,2025-04-26 15:05:00,2.857,2.865,2.855,2.862,1876.5
FILUSDT,2025-04-26 15:10:00,2.862,2.865,2.86,2.862,2930.9
FILUSDT,2025-04-26 15:15:00,2.862,2.87,2.853,2.854,639.7
FILUSDT,2025-04-26 15:20:00,2.854,2.858,2.852,2.857,3960.1
FILUSDT,2025-04-26 15:25:00,2.857,2.866,2.857,2.864,387.1
FILUSDT,2025-04-26 15:30:00,2.864,2.864,2.859,2.859,735.0
FILUSDT,2025-04-26 15:35:00,2.859,2.864,2.858,2.859,2568.6
FILUSDT,2025-04-26 15:40:00,2.859,2.861,2.856,2.86,436.4
FILUSDT,2025-04-26 15:45:00,2.86,2.866,2.855,2.866,377.1
FILUSDT,2025-04-26 15:50:00,2.866,2.867,2.864,2.867,226.5
FILUSDT,2025-04-26 15:55:00,2.867,2.873,2.867,2.868,3546.8
FILUSDT,2025-04-26 16:00:00,2.868,2.869,2.86,2.862,473.9
FILUSDT,2025-04-26 16:05:00,2.862,2.865,2.856,2.856,1117.5
FILUSDT,2025-04-26 16:10:00,2.856,2.861,2.854,2.86,1772.7
FILUSDT,2025-04-26 16:15:00,2.86,2.862,2.854,2.86,3599.5
FILUSDT,2025-04-26 16:20:00,2.86,2.866,2.857,2.862,1844.4
FILUSDT,2025-04-26 16:25:00,2.862,2.864,2.861,2.862,838.0
FILUSDT,2025-04-26 16:30:00,2.862,2.862,2.855,2.855,590.0
FILUSDT,2025-04-26 16:35:00,2.855,2.855,2.849,2.85,5197.3
FILUSDT,2025-04-26 16:40:00,2.85,2.852,2.841,2.844,3150.3
FILUSDT,2025-04-26 16:45:00,2.844,2.852,2.842,2.852,3321.3
FILUSDT,2025-04-26 16:50:00,2.852,2.854,2.846,2.852,6000.3
FILUSDT,2025-04-26 16:55:00,2.852,2.856,2.849,2.853,929.9
FILUSDT,2025-04-26 17:00:00,2.853,2.859,2.852,2.858,2052.1
FILUSDT,2025-04-26 17:05:00,2.858,2.86,2.856,2.859,446.5
FILUSDT,2025-04-26 17:10:00,2.859,2.859,2.853,2.854,351.6
FILUSDT,2025-04-26 17:15:00,2.854,2.86,2.854,2.858,287.8
FILUSDT,2025-04-26 17:20:00,2.858,2.868,2.854,2.866,1114.3
FILUSDT,2025-04-26 17:25:00,2.866,2.87,2.865,2.87,550.1
FILUSDT,2025-04-26 17:30:00,2.87,2.87,2.866,2.868,1333.2
FILUSDT,2025-04-26 17:35:00,2.868,2.868,2.86,2.864,795.4
FILUSDT,2025-04-26 17:40:00,2.864,2.867,2.862,2.867,3701.4
FILUSDT,2025-04-26 17:45:00,2.867,2.87,2.867,2.869,1041.4
FILUSDT,2025-04-26 17:50:00,2.869,2.87,2.865,2.867,3587.6
FILUSDT,2025-04-26 17:55:00,2.867,2.867,2.862,2.863,300.6
FILUSDT,2025-04-26 18:00:00,2.863,2.863,2.856,2.856,758.0
FILUSDT,2025-04-26 18:05:00,2.856,2.867,2.856,2.864,343.2
FILUSDT,2025-04-26 18:10:00,2.864,2.865,2.852,2.852,986.4
FILUSDT,2025-04-26 18:15:00,2.852,2.862,2.852,2.862,382.7
FILUSDT,2025-04-26 18:20:00,2.862,2.867,2.859,2.866,1817.4
FILUSDT,2025-04-26 18:25:00,2.866,2.869,2.864,2.864,332.0
FILUSDT,2025-04-26 18:30:00,2.864,2.868,2.863,2.867,241.7
FILUSDT,2025-04-26 18:35:00,2.867,2.869,2.866,2.869,553.5
FILUSDT,2025-04-26 18:40:00,2.869,2.87,2.866,2.869,451.7
FILUSDT,2025-04-26 18:45:00,2.869,2.87,2.868,2.87,1257.9
FILUSDT,2025-04-26 18:50:00,2.87,2.874,2.865,2.867,1813.4
FILUSDT,2025-04-26 18:55:00,2.867,2.867,2.856,2.856,2287.5
