symbol,timestamp,open,high,low,close,volume
FLMUSDT,2025-04-25 16:30:00,0.02919,0.02961,0.02909,0.02947,2437403.0
FLMUSDT,2025-04-25 16:45:00,0.02947,0.02981,0.02943,0.02954,1875122.0
FLMUSDT,2025-04-25 17:00:00,0.02954,0.02964,0.0293,0.02948,803135.0
FLMUSDT,2025-04-25 17:15:00,0.02948,0.03286,0.02937,0.03241,10944732.0
FLMUSDT,2025-04-25 17:30:00,0.03241,0.03374,0.02954,0.03061,17302566.0
FLMUSDT,2025-04-25 17:45:00,0.03061,0.03329,0.03029,0.03297,19652080.0
FLMUSDT,2025-04-25 18:00:00,0.03297,0.0375,0.0327,0.03438,44768507.0
FLMUSDT,2025-04-25 18:15:00,0.03438,0.0356,0.03255,0.03361,17945306.0
FLMUSDT,2025-04-25 18:30:00,0.03361,0.03629,0.03313,0.03596,25942317.0
FLMUSDT,2025-04-25 18:45:00,0.03596,0.0396,0.03568,0.03571,44562800.0
FLMUSDT,2025-04-25 19:00:00,0.03571,0.03612,0.03375,0.03409,17818924.0
FLMUSDT,2025-04-25 19:15:00,0.03409,0.03723,0.03402,0.03713,25725890.0
FLMUSDT,2025-04-25 19:30:00,0.03713,0.038,0.03463,0.03507,42797083.0
FLMUSDT,2025-04-25 19:45:00,0.03507,0.03589,0.0337,0.03434,19285193.0
FLMUSDT,2025-04-25 20:00:00,0.03434,0.03639,0.03383,0.03625,31002128.0
FLMUSDT,2025-04-25 20:15:00,0.03625,0.03671,0.03414,0.03449,18215042.0
FLMUSDT,2025-04-25 20:30:00,0.03449,0.03495,0.03349,0.03446,7005726.0
FLMUSDT,2025-04-25 20:45:00,0.03446,0.03458,0.03283,0.03347,11951281.0
FLMUSDT,2025-04-25 21:00:00,0.03347,0.03379,0.03304,0.03314,3165112.0
FLMUSDT,2025-04-25 21:15:00,0.03314,0.03533,0.03255,0.03398,15078860.0
FLMUSDT,2025-04-25 21:30:00,0.03398,0.03441,0.03218,0.03298,17282416.0
FLMUSDT,2025-04-25 21:45:00,0.03298,0.03441,0.03284,0.03425,20273421.0
FLMUSDT,2025-04-25 22:00:00,0.03425,0.03475,0.03368,0.03368,5683032.0
FLMUSDT,2025-04-25 22:15:00,0.03368,0.03466,0.03339,0.03358,5645548.0
FLMUSDT,2025-04-25 22:30:00,0.03358,0.03393,0.0334,0.03376,2363457.0
FLMUSDT,2025-04-25 22:45:00,0.03376,0.03427,0.03323,0.03353,1992292.0
FLMUSDT,2025-04-25 23:00:00,0.03353,0.0337,0.03303,0.03365,1747558.0
FLMUSDT,2025-04-25 23:15:00,0.03365,0.03386,0.03284,0.03362,1659176.0
FLMUSDT,2025-04-25 23:30:00,0.03362,0.03398,0.03342,0.03355,1802410.0
FLMUSDT,2025-04-25 23:45:00,0.03355,0.03462,0.03355,0.03394,5200294.0
FLMUSDT,2025-04-26 00:00:00,0.03394,0.03403,0.03264,0.03366,5472285.0
FLMUSDT,2025-04-26 00:15:00,0.03366,0.03371,0.03251,0.03278,1992432.0
FLMUSDT,2025-04-26 00:30:00,0.03278,0.03299,0.0322,0.03261,2074025.0
FLMUSDT,2025-04-26 00:45:00,0.03261,0.03304,0.03261,0.03294,1607662.0
FLMUSDT,2025-04-26 01:00:00,0.03294,0.03354,0.03254,0.03313,1155031.0
FLMUSDT,2025-04-26 01:15:00,0.03313,0.03366,0.03286,0.03294,1647443.0
FLMUSDT,2025-04-26 01:30:00,0.03294,0.03345,0.03259,0.03268,3523122.0
FLMUSDT,2025-04-26 01:45:00,0.03268,0.03285,0.03144,0.03191,4528902.0
FLMUSDT,2025-04-26 02:00:00,0.03191,0.03218,0.03162,0.03197,2677626.0
FLMUSDT,2025-04-26 02:15:00,0.03197,0.03247,0.03166,0.03237,2375739.0
FLMUSDT,2025-04-26 02:30:00,0.03237,0.03259,0.03199,0.03235,800786.0
FLMUSDT,2025-04-26 02:45:00,0.03235,0.03241,0.03194,0.03214,642799.0
FLMUSDT,2025-04-26 03:00:00,0.03214,0.03228,0.03182,0.03188,1273212.0
FLMUSDT,2025-04-26 03:15:00,0.03188,0.03199,0.03158,0.03168,2042832.0
FLMUSDT,2025-04-26 03:30:00,0.03168,0.03184,0.0314,0.03184,2574496.0
FLMUSDT,2025-04-26 03:45:00,0.03184,0.03197,0.03148,0.03162,489316.0
FLMUSDT,2025-04-26 04:00:00,0.03162,0.03189,0.03151,0.03166,312297.0
FLMUSDT,2025-04-26 04:15:00,0.03166,0.03212,0.03166,0.0319,689207.0
FLMUSDT,2025-04-26 04:30:00,0.0319,0.0319,0.03142,0.0318,1865805.0
FLMUSDT,2025-04-26 04:45:00,0.0318,0.03239,0.0318,0.03204,3298189.0
