symbol,timestamp,open,high,low,close,volume
FLUXUSDT,2025-04-26 14:40:00,0.3034,0.3035,0.3028,0.3028,3120.0
FLUXUSDT,2025-04-26 14:45:00,0.3028,0.303,0.3022,0.3028,2271.0
FLUXUSDT,2025-04-26 14:50:00,0.3028,0.3028,0.3015,0.3015,4154.0
FLUXUSDT,2025-04-26 14:55:00,0.3015,0.3021,0.3015,0.3019,1331.0
FLUXUSDT,2025-04-26 15:00:00,0.3019,0.3019,0.3012,0.3014,3101.0
FLUXUSDT,2025-04-26 15:05:00,0.3014,0.3026,0.301,0.3026,2423.0
FLUXUSDT,2025-04-26 15:10:00,0.3026,0.3027,0.3022,0.3025,3249.0
FLUXUSDT,2025-04-26 15:15:00,0.3025,0.3033,0.3021,0.3022,3069.0
FLUXUSDT,2025-04-26 15:20:00,0.3022,0.3029,0.3021,0.3029,4769.0
FLUXUSDT,2025-04-26 15:25:00,0.3029,0.3036,0.3029,0.3035,4008.0
FLUXUSDT,2025-04-26 15:30:00,0.3035,0.3039,0.3031,0.3035,4921.0
FLUXUSDT,2025-04-26 15:35:00,0.3035,0.3039,0.3032,0.3033,3427.0
FLUXUSDT,2025-04-26 15:40:00,0.3033,0.304,0.3033,0.304,2845.0
FLUXUSDT,2025-04-26 15:45:00,0.304,0.304,0.3032,0.304,4201.0
FLUXUSDT,2025-04-26 15:50:00,0.304,0.3043,0.3037,0.3041,3911.0
FLUXUSDT,2025-04-26 15:55:00,0.3041,0.3043,0.3036,0.3037,3487.0
FLUXUSDT,2025-04-26 16:00:00,0.3037,0.3037,0.3025,0.3033,3543.0
FLUXUSDT,2025-04-26 16:05:00,0.3033,0.3033,0.3017,0.3021,2298.0
FLUXUSDT,2025-04-26 16:10:00,0.3021,0.3025,0.3021,0.3021,3214.0
FLUXUSDT,2025-04-26 16:15:00,0.3021,0.3021,0.2978,0.2984,35490.0
FLUXUSDT,2025-04-26 16:20:00,0.2984,0.2984,0.2973,0.2976,4796.0
FLUXUSDT,2025-04-26 16:25:00,0.2976,0.2985,0.2974,0.2975,4261.0
FLUXUSDT,2025-04-26 16:30:00,0.2975,0.2975,0.2959,0.2962,19197.0
FLUXUSDT,2025-04-26 16:35:00,0.2962,0.2981,0.2954,0.2969,10231.0
