symbol,timestamp,open,high,low,close,volume
FORMUSDT,2025-04-26 14:40:00,2.0802,2.0818,2.0785,2.0785,426.0
FORMUSDT,2025-04-26 14:45:00,2.0785,2.0796,2.0762,2.0773,1402.0
FORMUSDT,2025-04-26 14:50:00,2.0773,2.0778,2.0758,2.0759,516.0
FORMUSDT,2025-04-26 14:55:00,2.0759,2.0759,2.0736,2.0741,333.0
FORMUSDT,2025-04-26 15:00:00,2.0741,2.0783,2.0737,2.0773,526.0
FORMUSDT,2025-04-26 15:05:00,2.0773,2.0838,2.0773,2.0826,1054.0
FORMUSDT,2025-04-26 15:10:00,2.0826,2.0826,2.079,2.0793,858.0
FORMUSDT,2025-04-26 15:15:00,2.0793,2.0805,2.0759,2.0768,885.0
FORMUSDT,2025-04-26 15:20:00,2.0768,2.0779,2.076,2.0765,728.0
FORMUSDT,2025-04-26 15:25:00,2.0765,2.0794,2.0765,2.079,647.0
FORMUSDT,2025-04-26 15:30:00,2.079,2.0791,2.0751,2.0751,611.0
FORMUSDT,2025-04-26 15:35:00,2.0751,2.0777,2.0751,2.0777,771.0
FORMUSDT,2025-04-26 15:40:00,2.0777,2.0933,2.0773,2.0933,1054.0
FORMUSDT,2025-04-26 15:45:00,2.0933,2.0933,2.0822,2.0862,2662.0
FORMUSDT,2025-04-26 15:50:00,2.0862,2.0862,2.0827,2.0836,951.0
FORMUSDT,2025-04-26 15:55:00,2.0836,2.0861,2.0834,2.0849,884.0
FORMUSDT,2025-04-26 16:00:00,2.0849,2.0879,2.0842,2.0879,795.0
FORMUSDT,2025-04-26 16:05:00,2.0879,2.089,2.0866,2.088,957.0
FORMUSDT,2025-04-26 16:10:00,2.088,2.0936,2.0867,2.0936,640.0
FORMUSDT,2025-04-26 16:15:00,2.0936,2.0962,2.0916,2.0962,496.0
FORMUSDT,2025-04-26 16:20:00,2.0962,2.0991,2.0959,2.0976,2640.0
FORMUSDT,2025-04-26 16:25:00,2.0976,2.0977,2.0944,2.0965,669.0
FORMUSDT,2025-04-26 16:30:00,2.0965,2.0982,2.0945,2.0969,1764.0
FORMUSDT,2025-04-26 16:35:00,2.0969,2.0976,2.0933,2.0933,472.0
FORMUSDT,2025-04-26 16:40:00,2.0933,2.0933,2.0902,2.0913,802.0
FORMUSDT,2025-04-26 16:45:00,2.0913,2.0925,2.0896,2.0925,1034.0
FORMUSDT,2025-04-26 16:50:00,2.0925,2.0989,2.0925,2.0985,615.0
FORMUSDT,2025-04-26 16:55:00,2.0985,2.0987,2.096,2.0976,490.0
FORMUSDT,2025-04-26 17:00:00,2.0976,2.1014,2.0974,2.098,682.0
FORMUSDT,2025-04-26 17:05:00,2.098,2.0989,2.0938,2.0973,812.0
FORMUSDT,2025-04-26 17:10:00,2.0973,2.0988,2.094,2.0978,810.0
FORMUSDT,2025-04-26 17:15:00,2.0978,2.1027,2.0972,2.1019,863.0
FORMUSDT,2025-04-26 17:20:00,2.1019,2.1019,2.0987,2.1008,986.0
FORMUSDT,2025-04-26 17:25:00,2.1008,2.1026,2.0993,2.1018,1157.0
FORMUSDT,2025-04-26 17:30:00,2.1018,2.1018,2.0962,2.0962,1111.0
FORMUSDT,2025-04-26 17:35:00,2.0962,2.1012,2.0962,2.1002,853.0
FORMUSDT,2025-04-26 17:40:00,2.1002,2.1014,2.0955,2.0976,1320.0
FORMUSDT,2025-04-26 17:45:00,2.0976,2.1047,2.0976,2.104,777.0
FORMUSDT,2025-04-26 17:50:00,2.104,2.1066,2.103,2.1049,1127.0
FORMUSDT,2025-04-26 17:55:00,2.1049,2.1063,2.0967,2.0967,1093.0
FORMUSDT,2025-04-26 18:00:00,2.0967,2.0982,2.0951,2.0974,824.0
FORMUSDT,2025-04-26 18:05:00,2.0974,2.1066,2.0974,2.1059,1071.0
FORMUSDT,2025-04-26 18:10:00,2.1059,2.1069,2.1049,2.1061,512.0
FORMUSDT,2025-04-26 18:15:00,2.1061,2.1178,2.1061,2.1115,28764.0
FORMUSDT,2025-04-26 18:20:00,2.1115,2.1152,2.1109,2.113,792.0
FORMUSDT,2025-04-26 18:25:00,2.113,2.113,2.1063,2.1111,853.0
FORMUSDT,2025-04-26 18:30:00,2.1111,2.1111,2.1019,2.1059,604.0
FORMUSDT,2025-04-26 18:35:00,2.1059,2.1074,2.1026,2.1051,1598.0
FORMUSDT,2025-04-26 18:40:00,2.1051,2.1051,2.0991,2.1035,1020.0
FORMUSDT,2025-04-26 18:45:00,2.1035,2.1077,2.1035,2.1077,636.0
FORMUSDT,2025-04-26 18:50:00,2.1077,2.1119,2.1077,2.1113,1076.0
FORMUSDT,2025-04-26 18:55:00,2.1113,2.1113,2.1078,2.1078,487.0
FORMUSDT,2025-04-26 19:00:00,2.1078,2.1098,2.1035,2.1086,787.0
FORMUSDT,2025-04-26 19:05:00,2.1086,2.1086,2.1036,2.1085,743.0
FORMUSDT,2025-04-26 19:10:00,2.1085,2.1124,2.1023,2.1059,1107.0
FORMUSDT,2025-04-26 19:15:00,2.1059,2.108,2.1026,2.1026,858.0
FORMUSDT,2025-04-26 19:20:00,2.1026,2.1095,2.1026,2.1095,937.0
FORMUSDT,2025-04-26 19:25:00,2.1095,2.1137,2.1081,2.1119,987.0
FORMUSDT,2025-04-26 19:30:00,2.1119,2.1205,2.1119,2.1204,2248.0
FORMUSDT,2025-04-26 19:35:00,2.1204,2.1237,2.1173,2.1202,1282.0
FORMUSDT,2025-04-26 19:40:00,2.1202,2.1298,2.1202,2.1298,1738.0
FORMUSDT,2025-04-26 19:45:00,2.1298,2.1561,2.1075,2.1245,35511.0
FORMUSDT,2025-04-26 19:50:00,2.1245,2.1308,2.1234,2.1286,1606.0
FORMUSDT,2025-04-26 19:55:00,2.1286,2.13,2.1245,2.13,1063.0
FORMUSDT,2025-04-26 20:00:00,2.13,2.1362,2.1296,2.135,1314.0
FORMUSDT,2025-04-26 20:05:00,2.135,2.1439,2.1333,2.134,18839.0
FORMUSDT,2025-04-26 20:10:00,2.134,2.1369,2.1331,2.1359,706.0
FORMUSDT,2025-04-26 20:15:00,2.1359,2.1475,2.1359,2.1452,767.0
FORMUSDT,2025-04-26 20:20:00,2.1452,2.1452,2.1386,2.1386,591.0
FORMUSDT,2025-04-26 20:25:00,2.1386,2.141,2.1371,2.141,885.0
FORMUSDT,2025-04-26 20:30:00,2.141,2.1421,2.1358,2.1362,767.0
FORMUSDT,2025-04-26 20:35:00,2.1362,2.1477,2.1359,2.1477,872.0
FORMUSDT,2025-04-26 20:40:00,2.1477,2.1599,2.1477,2.1571,9424.0
FORMUSDT,2025-04-26 20:45:00,2.1571,2.158,2.151,2.153,687.0
FORMUSDT,2025-04-26 20:50:00,2.153,2.1532,2.1469,2.1523,570.0
FORMUSDT,2025-04-26 20:55:00,2.1523,2.1567,2.1483,2.1489,712.0
FORMUSDT,2025-04-26 21:00:00,2.1489,2.1515,2.1456,2.1474,620.0
FORMUSDT,2025-04-26 21:05:00,2.1474,2.1532,2.141,2.1431,1014.0
FORMUSDT,2025-04-26 21:10:00,2.1431,2.1471,2.1429,2.1471,950.0
FORMUSDT,2025-04-26 21:15:00,2.1471,2.1525,2.1469,2.1507,520.0
FORMUSDT,2025-04-26 21:20:00,2.1507,2.1705,2.1503,2.1618,1792.0
FORMUSDT,2025-04-26 21:25:00,2.1618,2.1667,2.1574,2.1591,1253.0
FORMUSDT,2025-04-26 21:30:00,2.1591,2.1598,2.1574,2.1588,2810.0
FORMUSDT,2025-04-26 21:35:00,2.1588,2.1653,2.1547,2.164,576.0
FORMUSDT,2025-04-26 21:40:00,2.164,2.1692,2.1639,2.1666,671.0
FORMUSDT,2025-04-26 21:45:00,2.1666,2.1666,2.1598,2.1632,2777.0
FORMUSDT,2025-04-26 21:50:00,2.1632,2.1736,2.1632,2.1736,737.0
FORMUSDT,2025-04-26 21:55:00,2.1736,2.1779,2.1697,2.1716,407.0
FORMUSDT,2025-04-26 22:00:00,2.1716,2.1765,2.1685,2.1711,3185.0
FORMUSDT,2025-04-26 22:05:00,2.1711,2.1807,2.1687,2.1807,1015.0
FORMUSDT,2025-04-26 22:10:00,2.1807,2.1808,2.1743,2.1769,1009.0
FORMUSDT,2025-04-26 22:15:00,2.1769,2.181,2.175,2.175,877.0
FORMUSDT,2025-04-26 22:20:00,2.175,2.181,2.174,2.1804,904.0
FORMUSDT,2025-04-26 22:25:00,2.1804,2.1835,2.1804,2.1825,616.0
FORMUSDT,2025-04-26 22:30:00,2.1825,2.1849,2.18,2.1804,1636.0
FORMUSDT,2025-04-26 22:35:00,2.1804,2.1824,2.177,2.1778,912.0
FORMUSDT,2025-04-26 22:40:00,2.1778,2.183,2.1727,2.1777,980.0
FORMUSDT,2025-04-26 22:45:00,2.1777,2.1783,2.1724,2.1782,766.0
