symbol,timestamp,open,high,low,close,volume
FTNUSDT,2025-04-25 16:30:00,4.2664,4.269,4.2646,4.2657,786.5
FTNUSDT,2025-04-25 16:45:00,4.2657,4.2703,4.264,4.2657,646.8
FTNUSDT,2025-04-25 17:00:00,4.2657,4.2683,4.2636,4.2664,696.3
FTNUSDT,2025-04-25 17:15:00,4.2664,4.2704,4.2617,4.2698,1164.3
FTNUSDT,2025-04-25 17:30:00,4.2698,4.2698,4.2631,4.2631,792.9
FTNUSDT,2025-04-25 17:45:00,4.2631,4.267,4.2611,4.2656,789.4
FTNUSDT,2025-04-25 18:00:00,4.2656,4.2672,4.262,4.2652,828.8
FTNUSDT,2025-04-25 18:15:00,4.2652,4.2674,4.263,4.2669,730.6
FTNUSDT,2025-04-25 18:30:00,4.2669,4.2672,4.2631,4.2639,667.5
FTNUSDT,2025-04-25 18:45:00,4.2639,4.2685,4.256,4.2685,1896.8
FTNUSDT,2025-04-25 19:00:00,4.2685,4.2688,4.2648,4.266,722.9
FTNUSDT,2025-04-25 19:15:00,4.266,4.2687,4.2646,4.2674,659.8
FTNUSDT,2025-04-25 19:30:00,4.2674,4.2686,4.2639,4.2646,776.1
FTNUSDT,2025-04-25 19:45:00,4.2646,4.2702,4.264,4.2702,669.3
FTNUSDT,2025-04-25 20:00:00,4.2702,4.2705,4.2675,4.2697,631.9
FTNUSDT,2025-04-25 20:15:00,4.2697,4.2756,4.2697,4.2717,718.4
FTNUSDT,2025-04-25 20:30:00,4.2717,4.2753,4.2704,4.2724,648.3
FTNUSDT,2025-04-25 20:45:00,4.2724,4.2738,4.2696,4.2703,794.5
FTNUSDT,2025-04-25 21:00:00,4.2703,4.2751,4.2686,4.27,722.2
FTNUSDT,2025-04-25 21:15:00,4.27,4.2766,4.266,4.266,699.7
FTNUSDT,2025-04-25 21:30:00,4.266,4.2783,4.266,4.2781,700.2
FTNUSDT,2025-04-25 21:45:00,4.2781,4.2782,4.2678,4.27,613.7
FTNUSDT,2025-04-25 22:00:00,4.27,4.278,4.2647,4.2751,856.8
FTNUSDT,2025-04-25 22:15:00,4.2751,4.2755,4.2669,4.2752,725.4
FTNUSDT,2025-04-25 22:30:00,4.2752,4.2752,4.2667,4.2672,721.2
FTNUSDT,2025-04-25 22:45:00,4.2672,4.2754,4.2667,4.2702,663.9
FTNUSDT,2025-04-25 23:00:00,4.2702,4.2784,4.2702,4.2777,691.0
FTNUSDT,2025-04-25 23:15:00,4.2777,4.2785,4.266,4.2722,833.1
FTNUSDT,2025-04-25 23:30:00,4.2722,4.2785,4.2694,4.2738,805.9
FTNUSDT,2025-04-25 23:45:00,4.2738,4.2783,4.2697,4.2772,924.7
FTNUSDT,2025-04-26 00:00:00,4.2772,4.278,4.2697,4.2713,815.5
FTNUSDT,2025-04-26 00:15:00,4.2713,4.2764,4.2696,4.2716,922.7
FTNUSDT,2025-04-26 00:30:00,4.2716,4.2756,4.2696,4.2696,826.5
FTNUSDT,2025-04-26 00:45:00,4.2696,4.2755,4.2696,4.2722,802.5
FTNUSDT,2025-04-26 01:00:00,4.2722,4.2748,4.2695,4.2722,913.2
FTNUSDT,2025-04-26 01:15:00,4.2722,4.2756,4.2696,4.2744,906.5
FTNUSDT,2025-04-26 01:30:00,4.2744,4.2759,4.2696,4.2722,919.1
FTNUSDT,2025-04-26 01:45:00,4.2722,4.2753,4.2698,4.2728,825.9
FTNUSDT,2025-04-26 02:00:00,4.2728,4.2734,4.269,4.2734,696.0
FTNUSDT,2025-04-26 02:15:00,4.2734,4.2766,4.2692,4.2718,763.0
FTNUSDT,2025-04-26 02:30:00,4.2718,4.2767,4.2702,4.2737,756.5
FTNUSDT,2025-04-26 02:45:00,4.2737,4.2788,4.2662,4.2729,1206.9
FTNUSDT,2025-04-26 03:00:00,4.2729,4.2776,4.2703,4.2771,733.7
FTNUSDT,2025-04-26 03:15:00,4.2771,4.2774,4.2712,4.2713,690.6
FTNUSDT,2025-04-26 03:30:00,4.2713,4.2754,4.2713,4.2723,744.7
FTNUSDT,2025-04-26 03:45:00,4.2723,4.2752,4.2712,4.2721,666.5
FTNUSDT,2025-04-26 04:00:00,4.2721,4.2747,4.2711,4.2716,745.0
FTNUSDT,2025-04-26 04:15:00,4.2716,4.2747,4.2712,4.2734,684.7
FTNUSDT,2025-04-26 04:30:00,4.2734,4.2747,4.2652,4.2703,1189.8
FTNUSDT,2025-04-26 04:45:00,4.2703,4.2768,4.2694,4.2755,686.1
FTNUSDT,2025-04-26 05:00:00,4.2755,4.2765,4.2699,4.2732,678.3
FTNUSDT,2025-04-26 05:15:00,4.2732,4.2765,4.27,4.2753,759.7
FTNUSDT,2025-04-26 05:30:00,4.2753,4.276,4.2688,4.2744,25286.6
FTNUSDT,2025-04-26 05:45:00,4.2744,4.2748,4.27,4.2715,728.2
FTNUSDT,2025-04-26 06:00:00,4.2715,4.275,4.2704,4.2722,859.1
FTNUSDT,2025-04-26 06:15:00,4.2722,4.2749,4.27,4.2704,756.9
FTNUSDT,2025-04-26 06:30:00,4.2704,4.2748,4.27,4.2701,733.0
FTNUSDT,2025-04-26 06:45:00,4.2701,4.275,4.27,4.2723,798.5
FTNUSDT,2025-04-26 07:00:00,4.2723,4.2747,4.2701,4.2707,787.5
FTNUSDT,2025-04-26 07:15:00,4.2707,4.275,4.2699,4.2735,693.8
FTNUSDT,2025-04-26 07:30:00,4.2735,4.2751,4.2699,4.272,618.7
FTNUSDT,2025-04-26 07:45:00,4.272,4.2748,4.27,4.2745,620.1
FTNUSDT,2025-04-26 08:00:00,4.2745,4.2745,4.2683,4.2711,694.2
FTNUSDT,2025-04-26 08:15:00,4.2711,4.2731,4.269,4.2713,706.1
FTNUSDT,2025-04-26 08:30:00,4.2713,4.2724,4.267,4.2699,694.0
FTNUSDT,2025-04-26 08:45:00,4.2699,4.2717,4.2665,4.2673,867.9
FTNUSDT,2025-04-26 09:00:00,4.2673,4.2724,4.2673,4.2691,664.0
FTNUSDT,2025-04-26 09:15:00,4.2691,4.2728,4.2674,4.2687,740.7
FTNUSDT,2025-04-26 09:30:00,4.2687,4.274,4.2671,4.2689,736.1
FTNUSDT,2025-04-26 09:45:00,4.2689,4.2722,4.2671,4.2714,710.7
FTNUSDT,2025-04-26 10:00:00,4.2714,4.2714,4.2671,4.2703,576.5
FTNUSDT,2025-04-26 10:15:00,4.2703,4.2714,4.266,4.267,675.8
FTNUSDT,2025-04-26 10:30:00,4.267,4.2709,4.2659,4.2682,666.7
FTNUSDT,2025-04-26 10:45:00,4.2682,4.2714,4.2653,4.2683,587.4
FTNUSDT,2025-04-26 11:00:00,4.2683,4.2706,4.2653,4.2699,744.2
FTNUSDT,2025-04-26 11:15:00,4.2699,4.2717,4.2653,4.2661,752.4
FTNUSDT,2025-04-26 11:30:00,4.2661,4.2711,4.2655,4.2688,699.8
FTNUSDT,2025-04-26 11:45:00,4.2688,4.2697,4.2629,4.2683,903.1
FTNUSDT,2025-04-26 12:00:00,4.2683,4.2687,4.2626,4.2673,776.7
FTNUSDT,2025-04-26 12:15:00,4.2673,4.2687,4.2634,4.2661,634.3
FTNUSDT,2025-04-26 12:30:00,4.2661,4.2688,4.264,4.2683,687.6
FTNUSDT,2025-04-26 12:45:00,4.2683,4.2688,4.2639,4.2684,708.6
FTNUSDT,2025-04-26 13:00:00,4.2684,4.2688,4.2638,4.2658,795.9
FTNUSDT,2025-04-26 13:15:00,4.2658,4.2687,4.2638,4.2685,760.5
FTNUSDT,2025-04-26 13:30:00,4.2685,4.2687,4.262,4.2663,757.2
FTNUSDT,2025-04-26 13:45:00,4.2663,4.2668,4.2618,4.264,823.2
FTNUSDT,2025-04-26 14:00:00,4.264,4.266,4.2618,4.2654,849.0
FTNUSDT,2025-04-26 14:15:00,4.2654,4.2672,4.2621,4.264,920.8
FTNUSDT,2025-04-26 14:30:00,4.264,4.2651,4.2611,4.2634,8962.8
FTNUSDT,2025-04-26 14:45:00,4.2634,4.2649,4.2612,4.2618,28553.1
FTNUSDT,2025-04-26 15:00:00,4.2618,4.2649,4.261,4.2631,1042.4
FTNUSDT,2025-04-26 15:15:00,4.2631,4.2651,4.2611,4.2645,830.1
FTNUSDT,2025-04-26 15:30:00,4.2645,4.265,4.2611,4.265,644.1
FTNUSDT,2025-04-26 15:45:00,4.265,4.265,4.2615,4.2629,700.0
FTNUSDT,2025-04-26 16:00:00,4.2629,4.2678,4.2609,4.2629,857.1
FTNUSDT,2025-04-26 16:15:00,4.2629,4.2667,4.2616,4.2655,794.8
FTNUSDT,2025-04-26 16:30:00,4.2655,4.2671,4.2626,4.2636,837.1
FTNUSDT,2025-04-26 16:45:00,4.2636,4.2671,4.2627,4.2631,776.7
FTNUSDT,2025-04-26 17:00:00,4.2631,4.2654,4.2609,4.2643,874.8
FTNUSDT,2025-04-26 17:15:00,4.2643,4.2654,4.2609,4.2621,951.4
FTNUSDT,2025-04-26 17:30:00,4.2621,4.2665,4.2609,4.2659,1140.4
FTNUSDT,2025-04-26 17:45:00,4.2659,4.2672,4.2612,4.264,1132.7
FTNUSDT,2025-04-26 18:00:00,4.264,4.2672,4.2612,4.2627,903.1
FTNUSDT,2025-04-26 18:15:00,4.2627,4.2672,4.2621,4.2659,808.7
FTNUSDT,2025-04-26 18:30:00,4.2659,4.2672,4.2624,4.265,974.3
FTNUSDT,2025-04-26 18:45:00,4.265,4.2671,4.2609,4.2649,805.5
FTNUSDT,2025-04-26 19:00:00,4.2649,4.2672,4.2617,4.2638,861.2
FTNUSDT,2025-04-26 19:15:00,4.2638,4.2672,4.2618,4.2633,814.6
FTNUSDT,2025-04-26 19:30:00,4.2633,4.2685,4.2617,4.2656,793.3
FTNUSDT,2025-04-26 19:45:00,4.2656,4.267,4.2619,4.2662,740.7
FTNUSDT,2025-04-26 20:00:00,4.2662,4.2666,4.2619,4.2641,1027.9
FTNUSDT,2025-04-26 20:15:00,4.2641,4.2668,4.2629,4.2649,907.1
FTNUSDT,2025-04-26 20:30:00,4.2649,4.2669,4.2621,4.2652,747.7
FTNUSDT,2025-04-26 20:45:00,4.2652,4.2669,4.2634,4.2666,717.1
FTNUSDT,2025-04-26 21:00:00,4.2666,4.2666,4.2619,4.2619,787.3
FTNUSDT,2025-04-26 21:15:00,4.2619,4.2655,4.255,4.2598,683.4
FTNUSDT,2025-04-26 21:30:00,4.2598,4.264,4.2539,4.2577,759.6
FTNUSDT,2025-04-26 21:45:00,4.2577,4.2624,4.2543,4.2597,791.7
FTNUSDT,2025-04-26 22:00:00,4.2597,4.267,4.2547,4.2608,967.4
FTNUSDT,2025-04-26 22:15:00,4.2608,4.266,4.2571,4.2611,1148.0
FTNUSDT,2025-04-26 22:30:00,4.2611,4.2629,4.2552,4.2558,1117.5
FTNUSDT,2025-04-26 22:45:00,4.2558,4.2622,4.2558,4.258,1003.8
FTNUSDT,2025-04-26 23:00:00,4.258,4.2623,4.2566,4.26,967.5
FTNUSDT,2025-04-26 23:15:00,4.26,4.2613,4.2565,4.2577,542.8
FTNUSDT,2025-04-26 23:30:00,4.2577,4.2651,4.2552,4.2607,704.4
FTNUSDT,2025-04-26 23:45:00,4.2607,4.2628,4.256,4.2586,666.1
FTNUSDT,2025-04-27 00:00:00,4.2586,4.2639,4.2552,4.2587,643.2
FTNUSDT,2025-04-27 00:15:00,4.2587,4.2646,4.2567,4.2602,629.9
