symbol,timestamp,open,high,low,close,volume
GHSTUSDT,2025-04-26 14:40:00,0.5276,0.5283,0.5272,0.5275,1924.0
GHSTUSDT,2025-04-26 14:45:00,0.5275,0.5296,0.5271,0.5296,2087.0
GHSTUSDT,2025-04-26 14:50:00,0.5296,0.5296,0.5272,0.5281,2329.0
GHSTUSDT,2025-04-26 14:55:00,0.5281,0.5281,0.5265,0.5265,1767.0
GHSTUSDT,2025-04-26 15:00:00,0.5265,0.5287,0.5265,0.5282,1954.0
GHSTUSDT,2025-04-26 15:05:00,0.5282,0.5306,0.5282,0.5296,1926.0
GHSTUSDT,2025-04-26 15:10:00,0.5296,0.53,0.5294,0.5299,1818.0
GHSTUSDT,2025-04-26 15:15:00,0.5299,0.5311,0.5288,0.5306,2042.0
GHSTUSDT,2025-04-26 15:20:00,0.5306,0.5319,0.5303,0.5306,1312.0
GHSTUSDT,2025-04-26 15:25:00,0.5306,0.5314,0.5306,0.5311,1469.0
GHSTUSDT,2025-04-26 15:30:00,0.5311,0.5314,0.5297,0.5299,2313.0
GHSTUSDT,2025-04-26 15:35:00,0.5299,0.5313,0.5298,0.5307,2351.0
GHSTUSDT,2025-04-26 15:40:00,0.5307,0.5315,0.5306,0.5312,1571.0
GHSTUSDT,2025-04-26 15:45:00,0.5312,0.5324,0.5305,0.5324,1886.0
GHSTUSDT,2025-04-26 15:50:00,0.5324,0.5326,0.532,0.5322,907.0
GHSTUSDT,2025-04-26 15:55:00,0.5322,0.533,0.5321,0.5323,1643.0
GHSTUSDT,2025-04-26 16:00:00,0.5323,0.5324,0.5309,0.5322,1777.0
GHSTUSDT,2025-04-26 16:05:00,0.5322,0.5325,0.5295,0.53,4253.0
GHSTUSDT,2025-04-26 16:10:00,0.53,0.5304,0.5262,0.5264,13478.0
GHSTUSDT,2025-04-26 16:15:00,0.5264,0.5275,0.5257,0.5268,3403.0
GHSTUSDT,2025-04-26 16:20:00,0.5268,0.5273,0.526,0.5273,2862.0
GHSTUSDT,2025-04-26 16:25:00,0.5273,0.5273,0.5261,0.5261,2188.0
GHSTUSDT,2025-04-26 16:30:00,0.5261,0.5262,0.5244,0.5248,3831.0
GHSTUSDT,2025-04-26 16:35:00,0.5248,0.5248,0.5225,0.5225,2997.0
GHSTUSDT,2025-04-26 16:40:00,0.5225,0.5228,0.5201,0.5206,2770.0
GHSTUSDT,2025-04-26 16:45:00,0.5206,0.5238,0.5198,0.5238,3945.0
GHSTUSDT,2025-04-26 16:50:00,0.5238,0.5267,0.5238,0.5254,7435.0
GHSTUSDT,2025-04-26 16:55:00,0.5254,0.5261,0.5248,0.525,6355.0
GHSTUSDT,2025-04-26 17:00:00,0.525,0.5268,0.525,0.5266,7602.0
GHSTUSDT,2025-04-26 17:05:00,0.5266,0.5273,0.5262,0.5263,1774.0
GHSTUSDT,2025-04-26 17:10:00,0.5263,0.5265,0.5251,0.5251,2486.0
GHSTUSDT,2025-04-26 17:15:00,0.5251,0.5267,0.5251,0.5266,2138.0
GHSTUSDT,2025-04-26 17:20:00,0.5266,0.5269,0.5257,0.5266,2421.0
GHSTUSDT,2025-04-26 17:25:00,0.5266,0.5278,0.5264,0.5275,1970.0
GHSTUSDT,2025-04-26 17:30:00,0.5275,0.5281,0.5275,0.5281,1905.0
GHSTUSDT,2025-04-26 17:35:00,0.5281,0.5292,0.5266,0.5266,2051.0
GHSTUSDT,2025-04-26 17:40:00,0.5266,0.5279,0.5266,0.5274,2481.0
GHSTUSDT,2025-04-26 17:45:00,0.5274,0.528,0.5273,0.528,2247.0
GHSTUSDT,2025-04-26 17:50:00,0.528,0.5284,0.5269,0.5269,2355.0
GHSTUSDT,2025-04-26 17:55:00,0.5269,0.5273,0.5264,0.5271,2374.0
GHSTUSDT,2025-04-26 18:00:00,0.5271,0.5272,0.5259,0.5271,2318.0
GHSTUSDT,2025-04-26 18:05:00,0.5271,0.5283,0.527,0.5278,2645.0
GHSTUSDT,2025-04-26 18:10:00,0.5278,0.5283,0.5264,0.5264,3181.0
GHSTUSDT,2025-04-26 18:15:00,0.5264,0.5276,0.5264,0.5273,2650.0
GHSTUSDT,2025-04-26 18:20:00,0.5273,0.5281,0.5273,0.5279,2294.0
GHSTUSDT,2025-04-26 18:25:00,0.5279,0.5284,0.5277,0.5277,1843.0
GHSTUSDT,2025-04-26 18:30:00,0.5277,0.5282,0.5268,0.5281,2611.0
GHSTUSDT,2025-04-26 18:35:00,0.5281,0.5282,0.5271,0.5272,1796.0
GHSTUSDT,2025-04-26 18:40:00,0.5272,0.5274,0.5265,0.5268,1580.0
GHSTUSDT,2025-04-26 18:45:00,0.5268,0.5276,0.5268,0.5276,1514.0
GHSTUSDT,2025-04-26 18:50:00,0.5276,0.5276,0.525,0.525,2389.0
GHSTUSDT,2025-04-26 18:55:00,0.525,0.5255,0.5224,0.5228,4152.0
GHSTUSDT,2025-04-26 19:00:00,0.5228,0.5247,0.5226,0.5247,2832.0
GHSTUSDT,2025-04-26 19:05:00,0.5247,0.5248,0.5238,0.524,2753.0
GHSTUSDT,2025-04-26 19:10:00,0.524,0.5244,0.5233,0.5239,2500.0
GHSTUSDT,2025-04-26 19:15:00,0.5239,0.5244,0.5229,0.5232,4153.0
GHSTUSDT,2025-04-26 19:20:00,0.5232,0.5243,0.5226,0.5234,2389.0
GHSTUSDT,2025-04-26 19:25:00,0.5234,0.5253,0.5234,0.5248,2961.0
GHSTUSDT,2025-04-26 19:30:00,0.5248,0.5249,0.5237,0.5244,1954.0
GHSTUSDT,2025-04-26 19:35:00,0.5244,0.5251,0.5241,0.5246,2566.0
GHSTUSDT,2025-04-26 19:40:00,0.5246,0.5252,0.5241,0.5247,3134.0
GHSTUSDT,2025-04-26 19:45:00,0.5247,0.5258,0.5243,0.5246,1837.0
GHSTUSDT,2025-04-26 19:50:00,0.5246,0.5253,0.5242,0.525,2197.0
GHSTUSDT,2025-04-26 19:55:00,0.525,0.5258,0.5249,0.5258,2643.0
GHSTUSDT,2025-04-26 20:00:00,0.5258,0.5277,0.5258,0.527,2536.0
GHSTUSDT,2025-04-26 20:05:00,0.527,0.5279,0.5268,0.5268,2578.0
GHSTUSDT,2025-04-26 20:10:00,0.5268,0.5275,0.5262,0.5262,1630.0
GHSTUSDT,2025-04-26 20:15:00,0.5262,0.5267,0.5256,0.5263,2816.0
GHSTUSDT,2025-04-26 20:20:00,0.5263,0.5266,0.5257,0.5257,2234.0
GHSTUSDT,2025-04-26 20:25:00,0.5257,0.5262,0.5254,0.526,2824.0
GHSTUSDT,2025-04-26 20:30:00,0.526,0.5267,0.5256,0.5261,1723.0
GHSTUSDT,2025-04-26 20:35:00,0.5261,0.5263,0.5251,0.5252,2336.0
GHSTUSDT,2025-04-26 20:40:00,0.5252,0.5255,0.5251,0.5251,3331.0
GHSTUSDT,2025-04-26 20:45:00,0.5251,0.5263,0.5248,0.5255,2175.0
GHSTUSDT,2025-04-26 20:50:00,0.5255,0.5255,0.5236,0.5236,2553.0
GHSTUSDT,2025-04-26 20:55:00,0.5236,0.5239,0.5232,0.5237,2160.0
GHSTUSDT,2025-04-26 21:00:00,0.5237,0.5248,0.5232,0.5248,2342.0
GHSTUSDT,2025-04-26 21:05:00,0.5248,0.5249,0.5241,0.5247,3084.0
GHSTUSDT,2025-04-26 21:10:00,0.5247,0.5247,0.524,0.5246,2607.0
GHSTUSDT,2025-04-26 21:15:00,0.5246,0.5252,0.5238,0.5239,4338.0
GHSTUSDT,2025-04-26 21:20:00,0.5239,0.5243,0.5232,0.5242,3179.0
GHSTUSDT,2025-04-26 21:25:00,0.5242,0.5249,0.5242,0.5245,3806.0
