symbol,timestamp,open,high,low,close,volume
GLMUSDT,2025-04-26 14:40:00,0.2827,0.2834,0.2827,0.2832,4706.0
GLMUSDT,2025-04-26 14:45:00,0.2832,0.2832,0.2819,0.2825,50919.0
GLMUSDT,2025-04-26 14:50:00,0.2825,0.2825,0.282,0.2825,7171.0
GLMUSDT,2025-04-26 14:55:00,0.2825,0.2825,0.2816,0.2816,4048.0
GLMUSDT,2025-04-26 15:00:00,0.2816,0.2825,0.2816,0.2825,4931.0
GLMUSDT,2025-04-26 15:05:00,0.2825,0.2834,0.2823,0.2834,3656.0
GLMUSDT,2025-04-26 15:10:00,0.2834,0.2835,0.283,0.283,8467.0
GLMUSDT,2025-04-26 15:15:00,0.283,0.2838,0.2828,0.2828,5255.0
GLMUSDT,2025-04-26 15:20:00,0.2828,0.2834,0.2827,0.283,2278.0
GLMUSDT,2025-04-26 15:25:00,0.283,0.2841,0.283,0.2841,5711.0
GLMUSDT,2025-04-26 15:30:00,0.2841,0.2841,0.2835,0.2836,4091.0
GLMUSDT,2025-04-26 15:35:00,0.2836,0.2842,0.2835,0.2837,4208.0
GLMUSDT,2025-04-26 15:40:00,0.2837,0.2839,0.2834,0.2836,5927.0
GLMUSDT,2025-04-26 15:45:00,0.2836,0.2838,0.2832,0.2837,6883.0
GLMUSDT,2025-04-26 15:50:00,0.2837,0.2846,0.2837,0.284,13246.0
GLMUSDT,2025-04-26 15:55:00,0.284,0.2843,0.2839,0.284,4502.0
GLMUSDT,2025-04-26 16:00:00,0.284,0.284,0.2836,0.2838,3612.0
GLMUSDT,2025-04-26 16:05:00,0.2838,0.2838,0.2831,0.2831,3175.0
GLMUSDT,2025-04-26 16:10:00,0.2831,0.2837,0.2831,0.2837,5366.0
GLMUSDT,2025-04-26 16:15:00,0.2837,0.284,0.2834,0.284,5541.0
GLMUSDT,2025-04-26 16:20:00,0.284,0.2844,0.2839,0.2843,6206.0
GLMUSDT,2025-04-26 16:25:00,0.2843,0.2845,0.2843,0.2845,5729.0
GLMUSDT,2025-04-26 16:30:00,0.2845,0.2845,0.2837,0.2838,6508.0
GLMUSDT,2025-04-26 16:35:00,0.2838,0.2838,0.2831,0.2832,19244.0
GLMUSDT,2025-04-26 16:40:00,0.2832,0.2832,0.2821,0.2822,5512.0
GLMUSDT,2025-04-26 16:45:00,0.2822,0.2828,0.2821,0.2826,4128.0
GLMUSDT,2025-04-26 16:50:00,0.2826,0.2831,0.2824,0.2831,3594.0
GLMUSDT,2025-04-26 16:55:00,0.2831,0.2831,0.2828,0.283,3954.0
GLMUSDT,2025-04-26 17:00:00,0.283,0.2833,0.2828,0.2829,24481.0
GLMUSDT,2025-04-26 17:05:00,0.2829,0.283,0.2826,0.2829,4306.0
GLMUSDT,2025-04-26 17:10:00,0.2829,0.2834,0.2828,0.2828,16361.0
GLMUSDT,2025-04-26 17:15:00,0.2828,0.2834,0.2828,0.2834,3917.0
GLMUSDT,2025-04-26 17:20:00,0.2834,0.2835,0.2829,0.2834,5683.0
GLMUSDT,2025-04-26 17:25:00,0.2834,0.2839,0.2833,0.2839,3525.0
GLMUSDT,2025-04-26 17:30:00,0.2839,0.2852,0.2839,0.285,2573.0
GLMUSDT,2025-04-26 17:35:00,0.285,0.2863,0.285,0.2862,26291.0
GLMUSDT,2025-04-26 17:40:00,0.2862,0.2862,0.2849,0.2852,30854.0
GLMUSDT,2025-04-26 17:45:00,0.2852,0.2866,0.2852,0.2866,8624.0
GLMUSDT,2025-04-26 17:50:00,0.2866,0.287,0.2865,0.287,7018.0
GLMUSDT,2025-04-26 17:55:00,0.287,0.2871,0.2867,0.2868,5866.0
GLMUSDT,2025-04-26 18:00:00,0.2868,0.2868,0.2858,0.2866,10767.0
GLMUSDT,2025-04-26 18:05:00,0.2866,0.2876,0.2864,0.2867,19969.0
GLMUSDT,2025-04-26 18:10:00,0.2867,0.2869,0.2864,0.2869,5329.0
GLMUSDT,2025-04-26 18:15:00,0.2869,0.287,0.2867,0.2867,4332.0
GLMUSDT,2025-04-26 18:20:00,0.2867,0.287,0.2866,0.2869,6669.0
GLMUSDT,2025-04-26 18:25:00,0.2869,0.2873,0.2865,0.2865,2289.0
GLMUSDT,2025-04-26 18:30:00,0.2865,0.2865,0.2861,0.2863,7953.0
GLMUSDT,2025-04-26 18:35:00,0.2863,0.2864,0.2856,0.2859,12358.0
GLMUSDT,2025-04-26 18:40:00,0.2859,0.286,0.2853,0.2853,7849.0
GLMUSDT,2025-04-26 18:45:00,0.2853,0.2857,0.2853,0.2856,8427.0
GLMUSDT,2025-04-26 18:50:00,0.2856,0.2856,0.2852,0.2852,6143.0
GLMUSDT,2025-04-26 18:55:00,0.2852,0.2858,0.2851,0.2851,9740.0
GLMUSDT,2025-04-26 19:00:00,0.2851,0.2856,0.2851,0.2852,7054.0
GLMUSDT,2025-04-26 19:05:00,0.2852,0.2852,0.2842,0.2842,5287.0
GLMUSDT,2025-04-26 19:10:00,0.2842,0.2852,0.2842,0.2851,4611.0
GLMUSDT,2025-04-26 19:15:00,0.2851,0.2856,0.2851,0.2853,4860.0
GLMUSDT,2025-04-26 19:20:00,0.2853,0.2853,0.285,0.285,1156.0
GLMUSDT,2025-04-26 19:25:00,0.285,0.2863,0.285,0.286,6086.0
GLMUSDT,2025-04-26 19:30:00,0.286,0.2864,0.2858,0.2864,8334.0
GLMUSDT,2025-04-26 19:35:00,0.2864,0.2869,0.2863,0.2864,4714.0
GLMUSDT,2025-04-26 19:40:00,0.2864,0.2868,0.2863,0.2865,9525.0
GLMUSDT,2025-04-26 19:45:00,0.2865,0.2871,0.2865,0.2865,5878.0
GLMUSDT,2025-04-26 19:50:00,0.2865,0.2865,0.2865,0.2865,1958.0
GLMUSDT,2025-04-26 19:55:00,0.2865,0.2865,0.2864,0.2864,1900.0
GLMUSDT,2025-04-26 20:00:00,0.2864,0.2871,0.2864,0.2868,6854.0
GLMUSDT,2025-04-26 20:05:00,0.2868,0.2874,0.2866,0.2867,9718.0
GLMUSDT,2025-04-26 20:10:00,0.2867,0.287,0.2862,0.2862,16484.0
GLMUSDT,2025-04-26 20:15:00,0.2862,0.2866,0.2862,0.2865,6053.0
GLMUSDT,2025-04-26 20:20:00,0.2865,0.2865,0.2864,0.2865,1979.0
GLMUSDT,2025-04-26 20:25:00,0.2865,0.2865,0.2861,0.2862,2531.0
GLMUSDT,2025-04-26 20:30:00,0.2862,0.287,0.2862,0.287,4627.0
GLMUSDT,2025-04-26 20:35:00,0.287,0.287,0.2866,0.2869,1655.0
GLMUSDT,2025-04-26 20:40:00,0.2869,0.2869,0.2862,0.2864,4021.0
GLMUSDT,2025-04-26 20:45:00,0.2864,0.2868,0.2864,0.2867,2811.0
GLMUSDT,2025-04-26 20:50:00,0.2867,0.2867,0.286,0.2862,6628.0
GLMUSDT,2025-04-26 20:55:00,0.2862,0.2864,0.2858,0.2858,10588.0
GLMUSDT,2025-04-26 21:00:00,0.2858,0.2862,0.2857,0.286,14157.0
GLMUSDT,2025-04-26 21:05:00,0.286,0.2863,0.2859,0.2863,2545.0
GLMUSDT,2025-04-26 21:10:00,0.2863,0.2865,0.2862,0.2864,3279.0
GLMUSDT,2025-04-26 21:15:00,0.2864,0.287,0.2863,0.2864,7701.0
GLMUSDT,2025-04-26 21:20:00,0.2864,0.2869,0.2862,0.2869,6599.0
GLMUSDT,2025-04-26 21:25:00,0.2869,0.2873,0.2866,0.2866,4571.0
GLMUSDT,2025-04-26 21:30:00,0.2866,0.2866,0.2861,0.2861,6938.0
GLMUSDT,2025-04-26 21:35:00,0.2861,0.2865,0.2861,0.2861,7230.0
GLMUSDT,2025-04-26 21:40:00,0.2861,0.2863,0.2858,0.2858,7043.0
GLMUSDT,2025-04-26 21:45:00,0.2858,0.2861,0.2858,0.2859,6608.0
GLMUSDT,2025-04-26 21:50:00,0.2859,0.2859,0.2856,0.2857,9234.0
GLMUSDT,2025-04-26 21:55:00,0.2857,0.286,0.2854,0.2859,8738.0
GLMUSDT,2025-04-26 22:00:00,0.2859,0.2867,0.2858,0.2867,6620.0
GLMUSDT,2025-04-26 22:05:00,0.2867,0.2872,0.2866,0.2871,4221.0
GLMUSDT,2025-04-26 22:10:00,0.2871,0.2874,0.2871,0.2874,2816.0
GLMUSDT,2025-04-26 22:15:00,0.2874,0.2881,0.2873,0.2877,5396.0
GLMUSDT,2025-04-26 22:20:00,0.2877,0.2877,0.2872,0.2875,6738.0
GLMUSDT,2025-04-26 22:25:00,0.2875,0.2877,0.2871,0.2871,7467.0
GLMUSDT,2025-04-26 22:30:00,0.2871,0.2872,0.2871,0.2872,2589.0
GLMUSDT,2025-04-26 22:35:00,0.2872,0.2877,0.2871,0.2877,3341.0
GLMUSDT,2025-04-26 22:40:00,0.2877,0.2878,0.2875,0.2878,5374.0
GLMUSDT,2025-04-26 22:45:00,0.2878,0.2878,0.2871,0.2871,4684.0
GLMUSDT,2025-04-26 22:50:00,0.2871,0.2871,0.2869,0.287,3430.0
GLMUSDT,2025-04-26 22:55:00,0.287,0.287,0.2868,0.2869,4820.0
GLMUSDT,2025-04-26 23:00:00,0.2869,0.2869,0.2864,0.2864,770.0
GLMUSDT,2025-04-26 23:05:00,0.2864,0.2866,0.2862,0.2866,13299.0
GLMUSDT,2025-04-26 23:10:00,0.2866,0.287,0.2865,0.2865,4903.0
GLMUSDT,2025-04-26 23:15:00,0.2865,0.2872,0.2865,0.2872,5645.0
GLMUSDT,2025-04-26 23:20:00,0.2872,0.2873,0.287,0.2871,6862.0
GLMUSDT,2025-04-26 23:25:00,0.2871,0.2872,0.287,0.2871,4671.0
GLMUSDT,2025-04-26 23:30:00,0.2871,0.2871,0.2865,0.2869,2356.0
GLMUSDT,2025-04-26 23:35:00,0.2869,0.2873,0.2869,0.2873,3577.0
GLMUSDT,2025-04-26 23:40:00,0.2873,0.2878,0.2871,0.2878,4479.0
GLMUSDT,2025-04-26 23:45:00,0.2878,0.2882,0.2878,0.2882,5729.0
GLMUSDT,2025-04-26 23:50:00,0.2882,0.2885,0.2881,0.2884,12811.0
GLMUSDT,2025-04-26 23:55:00,0.2884,0.2887,0.2882,0.2882,5958.0
GLMUSDT,2025-04-27 00:00:00,0.2882,0.2914,0.2874,0.2906,55818.0
GLMUSDT,2025-04-27 00:05:00,0.2906,0.295,0.2902,0.2909,1993549.0
GLMUSDT,2025-04-27 00:10:00,0.2909,0.2926,0.2871,0.2887,261646.0
GLMUSDT,2025-04-27 00:15:00,0.2887,0.2899,0.2882,0.2892,304641.0
GLMUSDT,2025-04-27 00:20:00,0.2892,0.2896,0.2888,0.2889,18801.0
GLMUSDT,2025-04-27 00:25:00,0.2889,0.2889,0.2878,0.2882,6282.0
GLMUSDT,2025-04-27 00:30:00,0.2882,0.2885,0.2851,0.2862,117255.0
GLMUSDT,2025-04-27 00:35:00,0.2862,0.2871,0.2856,0.2871,31179.0
GLMUSDT,2025-04-27 00:40:00,0.2871,0.2874,0.2865,0.2873,5925.0
GLMUSDT,2025-04-27 00:45:00,0.2873,0.2881,0.2872,0.2875,21072.0
GLMUSDT,2025-04-27 00:50:00,0.2875,0.2886,0.2875,0.2883,9042.0
