symbol,timestamp,open,high,low,close,volume
GMTUSDT,2025-04-25 16:30:00,0.05615,0.05645,0.05611,0.05644,531490.0
GMTUSDT,2025-04-25 16:45:00,0.05644,0.05653,0.05632,0.05646,22209.0
GMTUSDT,2025-04-25 17:00:00,0.05646,0.05676,0.05646,0.05665,108495.0
GMTUSDT,2025-04-25 17:15:00,0.05665,0.05675,0.05652,0.05665,149741.0
GMTUSDT,2025-04-25 17:30:00,0.05665,0.05665,0.05598,0.05628,1154260.0
GMTUSDT,2025-04-25 17:45:00,0.05628,0.05628,0.05587,0.05587,48984.0
GMTUSDT,2025-04-25 18:00:00,0.05587,0.05621,0.05587,0.05619,116389.0
GMTUSDT,2025-04-25 18:15:00,0.05619,0.05657,0.05607,0.05655,172847.0
GMTUSDT,2025-04-25 18:30:00,0.05655,0.0567,0.05649,0.05664,102037.0
GMTUSDT,2025-04-25 18:45:00,0.05664,0.05664,0.05632,0.05634,25656.0
GMTUSDT,2025-04-25 19:00:00,0.05634,0.05643,0.05608,0.05608,37519.0
GMTUSDT,2025-04-25 19:15:00,0.05608,0.05643,0.05608,0.05641,48073.0
GMTUSDT,2025-04-25 19:30:00,0.05641,0.05653,0.0564,0.0564,44360.0
GMTUSDT,2025-04-25 19:45:00,0.0564,0.05659,0.0564,0.05659,42148.0
GMTUSDT,2025-04-25 20:00:00,0.05659,0.05686,0.05659,0.05678,120172.0
GMTUSDT,2025-04-25 20:15:00,0.05678,0.05687,0.05671,0.05685,87698.0
GMTUSDT,2025-04-25 20:30:00,0.05685,0.05712,0.0568,0.05695,182160.0
GMTUSDT,2025-04-25 20:45:00,0.05695,0.05723,0.05695,0.05716,453359.0
GMTUSDT,2025-04-25 21:00:00,0.05716,0.0575,0.05712,0.0575,92963.0
GMTUSDT,2025-04-25 21:15:00,0.0575,0.05753,0.05701,0.05707,399508.0
GMTUSDT,2025-04-25 21:30:00,0.05707,0.05717,0.0568,0.05685,451545.0
GMTUSDT,2025-04-25 21:45:00,0.05685,0.05686,0.05645,0.05656,1628725.0
GMTUSDT,2025-04-25 22:00:00,0.05656,0.0572,0.05656,0.05694,150731.0
GMTUSDT,2025-04-25 22:15:00,0.05694,0.05704,0.05677,0.05687,68203.0
GMTUSDT,2025-04-25 22:30:00,0.05687,0.05712,0.05687,0.05695,109100.0
GMTUSDT,2025-04-25 22:45:00,0.05695,0.05703,0.05694,0.05698,53519.0
GMTUSDT,2025-04-25 23:00:00,0.05698,0.05698,0.05663,0.05666,81131.0
GMTUSDT,2025-04-25 23:15:00,0.05666,0.05666,0.05646,0.05665,66802.0
GMTUSDT,2025-04-25 23:30:00,0.05665,0.05677,0.05642,0.05649,274709.0
GMTUSDT,2025-04-25 23:45:00,0.05649,0.05649,0.05618,0.0563,285099.0
GMTUSDT,2025-04-26 00:00:00,0.0563,0.05638,0.0562,0.05626,160651.0
GMTUSDT,2025-04-26 00:15:00,0.05626,0.05649,0.05613,0.0563,1004284.0
GMTUSDT,2025-04-26 00:30:00,0.0563,0.05639,0.05627,0.05639,121503.0
GMTUSDT,2025-04-26 00:45:00,0.05639,0.05683,0.05637,0.05679,399903.0
GMTUSDT,2025-04-26 01:00:00,0.05679,0.05717,0.05676,0.05709,1388098.0
GMTUSDT,2025-04-26 01:15:00,0.05709,0.058,0.05709,0.05792,3373886.0
GMTUSDT,2025-04-26 01:30:00,0.05792,0.05862,0.0578,0.05782,2094774.0
GMTUSDT,2025-04-26 01:45:00,0.05782,0.05791,0.05754,0.05781,930121.0
GMTUSDT,2025-04-26 02:00:00,0.05781,0.05783,0.05717,0.05734,1631927.0
GMTUSDT,2025-04-26 02:15:00,0.05734,0.0579,0.05734,0.05783,106530.0
GMTUSDT,2025-04-26 02:30:00,0.05783,0.0579,0.05755,0.05788,478157.0
GMTUSDT,2025-04-26 02:45:00,0.05788,0.05799,0.05775,0.05795,551729.0
GMTUSDT,2025-04-26 03:00:00,0.05795,0.05815,0.05778,0.0581,1112616.0
GMTUSDT,2025-04-26 03:15:00,0.0581,0.05812,0.05768,0.05768,809509.0
GMTUSDT,2025-04-26 03:30:00,0.05768,0.05769,0.05752,0.05756,229530.0
GMTUSDT,2025-04-26 03:45:00,0.05756,0.05781,0.05755,0.05764,79818.0
GMTUSDT,2025-04-26 04:00:00,0.05764,0.05768,0.05754,0.05759,228239.0
GMTUSDT,2025-04-26 04:15:00,0.05759,0.0576,0.05728,0.05728,173574.0
GMTUSDT,2025-04-26 04:30:00,0.05728,0.05743,0.05705,0.05739,1395314.0
GMTUSDT,2025-04-26 04:45:00,0.05739,0.05748,0.05725,0.0574,298929.0
GMTUSDT,2025-04-26 05:00:00,0.0574,0.0575,0.05702,0.0571,342759.0
GMTUSDT,2025-04-26 05:15:00,0.0571,0.05719,0.0569,0.05708,324601.0
GMTUSDT,2025-04-26 05:30:00,0.05708,0.05717,0.05691,0.05702,124232.0
GMTUSDT,2025-04-26 05:45:00,0.05702,0.05738,0.05702,0.05717,1046402.0
GMTUSDT,2025-04-26 06:00:00,0.05717,0.05734,0.05712,0.05734,157742.0
GMTUSDT,2025-04-26 06:15:00,0.05734,0.0575,0.05715,0.05732,465992.0
GMTUSDT,2025-04-26 06:30:00,0.05732,0.05788,0.05732,0.05759,407211.0
GMTUSDT,2025-04-26 06:45:00,0.05759,0.05781,0.05759,0.05771,83745.0
GMTUSDT,2025-04-26 07:00:00,0.05771,0.05786,0.05757,0.05782,306700.0
GMTUSDT,2025-04-26 07:15:00,0.05782,0.05792,0.05765,0.05765,69299.0
GMTUSDT,2025-04-26 07:30:00,0.05765,0.05793,0.0576,0.05771,259954.0
GMTUSDT,2025-04-26 07:45:00,0.05771,0.05771,0.05721,0.05721,648829.0
GMTUSDT,2025-04-26 08:00:00,0.05721,0.05734,0.05707,0.05718,414665.0
GMTUSDT,2025-04-26 08:15:00,0.05718,0.05809,0.05718,0.05791,467266.0
GMTUSDT,2025-04-26 08:30:00,0.05791,0.05791,0.05734,0.05746,553960.0
GMTUSDT,2025-04-26 08:45:00,0.05746,0.05752,0.05707,0.05727,398416.0
GMTUSDT,2025-04-26 09:00:00,0.05727,0.05756,0.05702,0.05755,180705.0
GMTUSDT,2025-04-26 09:15:00,0.05755,0.05768,0.05733,0.05733,510311.0
GMTUSDT,2025-04-26 09:30:00,0.05733,0.05733,0.05665,0.05684,1520111.0
GMTUSDT,2025-04-26 09:45:00,0.05684,0.05709,0.0568,0.05708,982413.0
GMTUSDT,2025-04-26 10:00:00,0.05708,0.05755,0.05699,0.0574,626808.0
GMTUSDT,2025-04-26 10:15:00,0.0574,0.05755,0.05731,0.05744,171034.0
GMTUSDT,2025-04-26 10:30:00,0.05744,0.05774,0.05737,0.05774,31267.0
GMTUSDT,2025-04-26 10:45:00,0.05774,0.05774,0.05742,0.05742,239984.0
GMTUSDT,2025-04-26 11:00:00,0.05742,0.05756,0.0572,0.05731,526635.0
GMTUSDT,2025-04-26 11:15:00,0.05731,0.0574,0.05658,0.05672,1518702.0
GMTUSDT,2025-04-26 11:30:00,0.05672,0.05698,0.05626,0.05635,939306.0
GMTUSDT,2025-04-26 11:45:00,0.05635,0.05647,0.05586,0.05611,4822875.0
GMTUSDT,2025-04-26 12:00:00,0.05611,0.05653,0.05611,0.05652,960817.0
GMTUSDT,2025-04-26 12:15:00,0.05652,0.05664,0.0563,0.05664,133050.0
GMTUSDT,2025-04-26 12:30:00,0.05664,0.05664,0.05646,0.0566,63711.0
GMTUSDT,2025-04-26 12:45:00,0.0566,0.05667,0.05639,0.05648,130408.0
GMTUSDT,2025-04-26 13:00:00,0.05648,0.05674,0.05644,0.05653,86794.0
GMTUSDT,2025-04-26 13:15:00,0.05653,0.05653,0.0563,0.0563,64461.0
GMTUSDT,2025-04-26 13:30:00,0.0563,0.05631,0.05593,0.05594,646549.0
GMTUSDT,2025-04-26 13:45:00,0.05594,0.05623,0.05555,0.05623,3449586.0
GMTUSDT,2025-04-26 14:00:00,0.05623,0.0564,0.05618,0.05639,272460.0
GMTUSDT,2025-04-26 14:15:00,0.05639,0.05651,0.0561,0.05648,62783.0
GMTUSDT,2025-04-26 14:30:00,0.05648,0.0568,0.05648,0.05675,642039.0
GMTUSDT,2025-04-26 14:45:00,0.05675,0.0568,0.05661,0.05661,176142.0
GMTUSDT,2025-04-26 15:00:00,0.05661,0.05711,0.05661,0.05711,976979.0
GMTUSDT,2025-04-26 15:15:00,0.05711,0.05733,0.05696,0.05697,258209.0
GMTUSDT,2025-04-26 15:30:00,0.05697,0.05707,0.05681,0.05707,431797.0
GMTUSDT,2025-04-26 15:45:00,0.05707,0.05717,0.057,0.05709,395768.0
GMTUSDT,2025-04-26 16:00:00,0.05709,0.05718,0.05699,0.05715,250463.0
GMTUSDT,2025-04-26 16:15:00,0.05715,0.05782,0.05715,0.05773,375253.0
GMTUSDT,2025-04-26 16:30:00,0.05773,0.05785,0.05747,0.05761,169258.0
GMTUSDT,2025-04-26 16:45:00,0.05761,0.058,0.05745,0.05781,163873.0
GMTUSDT,2025-04-26 17:00:00,0.05781,0.05807,0.05773,0.05779,179128.0
GMTUSDT,2025-04-26 17:15:00,0.05779,0.05795,0.05757,0.05776,190206.0
GMTUSDT,2025-04-26 17:30:00,0.05776,0.05786,0.05751,0.05759,109697.0
GMTUSDT,2025-04-26 17:45:00,0.05759,0.05793,0.05759,0.05769,198290.0
GMTUSDT,2025-04-26 18:00:00,0.05769,0.05783,0.05747,0.05769,740854.0
GMTUSDT,2025-04-26 18:15:00,0.05769,0.05789,0.05764,0.05769,504462.0
GMTUSDT,2025-04-26 18:30:00,0.05769,0.05772,0.05754,0.05759,83903.0
GMTUSDT,2025-04-26 18:45:00,0.05759,0.05766,0.05741,0.05741,146843.0
GMTUSDT,2025-04-26 19:00:00,0.05741,0.05751,0.05723,0.05749,847452.0
GMTUSDT,2025-04-26 19:15:00,0.05749,0.05768,0.05742,0.05768,16419.0
GMTUSDT,2025-04-26 19:30:00,0.05768,0.05782,0.05768,0.05782,35302.0
GMTUSDT,2025-04-26 19:45:00,0.05782,0.05792,0.05773,0.0579,225638.0
GMTUSDT,2025-04-26 20:00:00,0.0579,0.05799,0.05771,0.05771,412772.0
GMTUSDT,2025-04-26 20:15:00,0.05771,0.05775,0.0576,0.05763,50485.0
GMTUSDT,2025-04-26 20:30:00,0.05763,0.05769,0.05752,0.05763,164119.0
GMTUSDT,2025-04-26 20:45:00,0.05763,0.05781,0.05744,0.05744,355508.0
GMTUSDT,2025-04-26 21:00:00,0.05744,0.05779,0.05743,0.05779,218152.0
GMTUSDT,2025-04-26 21:15:00,0.05779,0.05791,0.05752,0.05778,105067.0
GMTUSDT,2025-04-26 21:30:00,0.05778,0.05788,0.05755,0.05769,530864.0
GMTUSDT,2025-04-26 21:45:00,0.05769,0.05771,0.05759,0.05769,199291.0
GMTUSDT,2025-04-26 22:00:00,0.05769,0.05791,0.0576,0.05786,232108.0
GMTUSDT,2025-04-26 22:15:00,0.05786,0.05797,0.05755,0.05756,99142.0
GMTUSDT,2025-04-26 22:30:00,0.05756,0.05776,0.05756,0.05767,71864.0
GMTUSDT,2025-04-26 22:45:00,0.05767,0.05772,0.05749,0.05764,1017893.0
GMTUSDT,2025-04-26 23:00:00,0.05764,0.05781,0.0576,0.05772,138975.0
GMTUSDT,2025-04-26 23:15:00,0.05772,0.05786,0.0577,0.05786,142331.0
