symbol,timestamp,open,high,low,close,volume
GNOUSDT,2025-04-26 14:40:00,112.46,112.53,112.23,112.36,10.571
GNOUSDT,2025-04-26 14:45:00,112.36,112.44,112.1,112.1,9.846
GNOUSDT,2025-04-26 14:50:00,112.1,112.35,112.1,112.14,9.359
GNOUSDT,2025-04-26 14:55:00,112.14,112.35,112.05,112.05,9.448
GNOUSDT,2025-04-26 15:00:00,112.05,112.31,112.05,112.2,9.043
GNOUSDT,2025-04-26 15:05:00,112.2,112.63,112.2,112.61,10.6
GNOUSDT,2025-04-26 15:10:00,112.61,112.61,112.39,112.61,10.101
GNOUSDT,2025-04-26 15:15:00,112.61,112.63,112.32,112.32,10.327
GNOUSDT,2025-04-26 15:20:00,112.32,112.55,112.3,112.43,12.746
GNOUSDT,2025-04-26 15:25:00,112.43,112.65,112.37,112.56,12.704
GNOUSDT,2025-04-26 15:30:00,112.56,112.66,112.4,112.4,15.643
GNOUSDT,2025-04-26 15:35:00,112.4,112.53,112.28,112.41,10.536
GNOUSDT,2025-04-26 15:40:00,112.41,112.55,112.36,112.55,13.72
GNOUSDT,2025-04-26 15:45:00,112.55,112.86,112.42,112.86,10.71
GNOUSDT,2025-04-26 15:50:00,112.86,112.89,112.66,112.89,11.085
GNOUSDT,2025-04-26 15:55:00,112.89,113.03,112.73,112.96,18.839
GNOUSDT,2025-04-26 16:00:00,112.96,113.12,112.5,112.6,21.586
GNOUSDT,2025-04-26 16:05:00,112.6,112.8,112.6,112.66,11.748
GNOUSDT,2025-04-26 16:10:00,112.66,112.75,112.55,112.66,12.474
GNOUSDT,2025-04-26 16:15:00,112.66,112.77,112.51,112.72,8.53
GNOUSDT,2025-04-26 16:20:00,112.72,112.8,112.52,112.8,14.894
GNOUSDT,2025-04-26 16:25:00,112.8,112.87,112.63,112.8,16.256
GNOUSDT,2025-04-26 16:30:00,112.8,112.9,112.64,112.72,12.29
GNOUSDT,2025-04-26 16:35:00,112.72,112.85,112.64,112.71,13.464
GNOUSDT,2025-04-26 16:40:00,112.71,112.76,112.28,112.29,14.672
GNOUSDT,2025-04-26 16:45:00,112.29,112.73,112.29,112.59,10.412
GNOUSDT,2025-04-26 16:50:00,112.59,112.72,112.46,112.72,11.179
GNOUSDT,2025-04-26 16:55:00,112.72,112.82,112.58,112.63,12.897
GNOUSDT,2025-04-26 17:00:00,112.63,112.77,112.51,112.59,13.169
GNOUSDT,2025-04-26 17:05:00,112.59,112.77,112.54,112.75,12.562
GNOUSDT,2025-04-26 17:10:00,112.75,112.78,112.46,112.52,5.738
GNOUSDT,2025-04-26 17:15:00,112.52,112.78,112.52,112.69,9.127
GNOUSDT,2025-04-26 17:20:00,112.69,112.78,112.6,112.64,6.75
GNOUSDT,2025-04-26 17:25:00,112.64,112.88,112.6,112.83,7.544
GNOUSDT,2025-04-26 17:30:00,112.83,112.96,112.76,112.76,10.02
GNOUSDT,2025-04-26 17:35:00,112.76,112.98,112.72,112.82,8.017
GNOUSDT,2025-04-26 17:40:00,112.82,112.96,112.72,112.8,10.763
GNOUSDT,2025-04-26 17:45:00,112.8,112.99,112.78,112.79,10.915
GNOUSDT,2025-04-26 17:50:00,112.79,112.97,112.75,112.93,10.687
GNOUSDT,2025-04-26 17:55:00,112.93,112.96,112.75,112.85,8.26
GNOUSDT,2025-04-26 18:00:00,112.85,112.93,112.59,112.64,9.505
GNOUSDT,2025-04-26 18:05:00,112.64,112.97,112.64,112.88,14.524
GNOUSDT,2025-04-26 18:10:00,112.88,112.97,112.58,112.71,12.261
GNOUSDT,2025-04-26 18:15:00,112.71,112.84,112.48,112.84,14.905
GNOUSDT,2025-04-26 18:20:00,112.84,112.85,112.62,112.85,10.43
GNOUSDT,2025-04-26 18:25:00,112.85,113.09,112.85,113.01,11.756
GNOUSDT,2025-04-26 18:30:00,113.01,113.01,112.76,112.96,10.254
GNOUSDT,2025-04-26 18:35:00,112.96,112.99,112.71,112.76,14.133
GNOUSDT,2025-04-26 18:40:00,112.76,112.89,112.64,112.64,12.99
GNOUSDT,2025-04-26 18:45:00,112.64,112.91,112.64,112.83,13.183
GNOUSDT,2025-04-26 18:50:00,112.83,112.9,112.68,112.73,17.514
GNOUSDT,2025-04-26 18:55:00,112.73,112.82,112.57,112.62,13.289
GNOUSDT,2025-04-26 19:00:00,112.62,112.76,112.58,112.66,8.69
GNOUSDT,2025-04-26 19:05:00,112.66,112.83,112.58,112.74,14.54
GNOUSDT,2025-04-26 19:10:00,112.74,112.74,112.43,112.6,12.343
GNOUSDT,2025-04-26 19:15:00,112.6,112.8,112.58,112.6,11.892
GNOUSDT,2025-04-26 19:20:00,112.6,112.81,112.57,112.7,9.448
GNOUSDT,2025-04-26 19:25:00,112.7,112.87,112.62,112.78,10.605
GNOUSDT,2025-04-26 19:30:00,112.78,112.84,112.64,112.8,9.175
GNOUSDT,2025-04-26 19:35:00,112.8,112.91,112.64,112.83,9.965
GNOUSDT,2025-04-26 19:40:00,112.83,112.93,112.72,112.72,12.309
GNOUSDT,2025-04-26 19:45:00,112.72,112.98,112.68,112.9,9.694
GNOUSDT,2025-04-26 19:50:00,112.9,112.98,112.68,112.98,9.766
GNOUSDT,2025-04-26 19:55:00,112.98,113.06,112.75,113.06,10.253
GNOUSDT,2025-04-26 20:00:00,113.06,113.31,113.0,113.15,13.098
GNOUSDT,2025-04-26 20:05:00,113.15,113.35,113.05,113.19,10.375
GNOUSDT,2025-04-26 20:10:00,113.19,113.48,113.08,113.14,31.008
GNOUSDT,2025-04-26 20:15:00,113.14,113.23,113.05,113.14,8.818
GNOUSDT,2025-04-26 20:20:00,113.14,113.24,113.05,113.06,14.488
GNOUSDT,2025-04-26 20:25:00,113.06,113.21,113.03,113.18,13.995
GNOUSDT,2025-04-26 20:30:00,113.18,113.21,113.02,113.07,9.68
GNOUSDT,2025-04-26 20:35:00,113.07,113.18,112.9,112.97,12.885
